% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2017-06-27 01:03:41.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , infl-ig-ht, high- a-lt, high- a-lt. See the list of files below
% 20160920_NIR_C0_refined_langley_4STAR.dat
% 20160920_NIR_C0_refined_high_alt_low_m_fromBonanza.dat
% 20160918_NIR_C0_refined_high_alt_low_m_fromBonanza.dat
Pix Wavelength C0 C0err
511 949.79 5.62481896e+00 1.42210337e-01 
510 949.79 5.76629178e+00 1.34108477e-01 
509 951.68 6.16906516e+00 1.43999949e-01 
508 953.57 6.19800075e+00 1.32484743e-01 
507 955.46 6.67248821e+00 1.38043839e-01 
506 957.34 6.75723473e+00 1.40646847e-01 
505 959.22 7.21807146e+00 1.48182158e-01 
504 961.10 7.27367560e+00 1.56875390e-01 
503 962.98 7.67385832e+00 1.84670432e-01 
502 964.85 7.66235574e+00 1.77330339e-01 
501 966.72 8.14779345e+00 2.06459452e-01 
500 968.59 8.14282306e+00 2.35737305e-01 
499 970.45 8.56803831e+00 2.24017049e-01 
498 972.32 8.52548727e+00 2.26455967e-01 
497 974.18 8.89105384e+00 2.18941915e-01 
496 976.04 8.79519240e+00 2.27446089e-01 
495 977.89 9.15752029e+00 2.17798555e-01 
494 979.74 9.04068375e+00 2.17835080e-01 
493 981.59 9.30841096e+00 2.59792024e-01 
492 983.44 9.17431386e+00 2.49894062e-01 
491 985.29 9.42652194e+00 2.79293775e-01 
490 987.13 9.19848792e+00 2.83142596e-01 
489 988.97 9.44347763e+00 2.89835396e-01 
488 990.81 9.26472378e+00 2.69249269e-01 
487 992.65 9.46084626e+00 2.68279901e-01 
486 994.48 9.26141294e+00 2.58598911e-01 
485 996.31 9.41561572e+00 2.52509921e-01 
484 998.14 9.17678579e+00 2.50385891e-01 
483 999.97 9.31613445e+00 2.64007374e-01 
482 1001.79 9.03483232e+00 2.58093349e-01 
481 1003.62 9.11203099e+00 2.61434987e-01 
480 1005.44 8.88069725e+00 2.55262423e-01 
479 1007.25 9.11851597e+00 2.71072716e-01 
478 1009.07 8.90116692e+00 2.59315556e-01 
477 1010.88 9.07070859e+00 2.58688024e-01 
476 1012.69 8.78800773e+00 2.52828632e-01 
475 1014.50 8.91198222e+00 2.55806100e-01 
474 1016.31 8.68505223e+00 2.58883181e-01 
473 1018.11 8.82884216e+00 2.54481299e-01 
472 1019.91 8.57064565e+00 2.49031986e-01 
471 1021.71 8.74046453e+00 2.25860062e-01 
470 1023.51 8.49557623e+00 2.36784088e-01 
469 1025.30 8.66021602e+00 2.56877452e-01 
468 1027.09 8.54962985e+00 2.49687490e-01 
467 1028.88 8.71249231e+00 2.34057467e-01 
466 1030.67 8.55205091e+00 2.37253231e-01 
465 1032.46 8.72832362e+00 2.39970958e-01 
464 1034.24 8.55922317e+00 2.37346596e-01 
463 1036.02 8.75757599e+00 2.39349705e-01 
462 1037.80 8.60945702e+00 2.49821560e-01 
461 1039.58 8.82595062e+00 2.50248498e-01 
460 1041.35 8.69373608e+00 2.28507541e-01 
459 1043.12 8.83084011e+00 2.56998013e-01 
458 1044.89 8.76012929e+00 2.31477761e-01 
457 1046.66 8.97844219e+00 2.64798784e-01 
456 1048.43 8.91364543e+00 2.68511411e-01 
455 1050.19 9.14193249e+00 2.75154980e-01 
454 1051.95 8.99362024e+00 2.69547875e-01 
453 1053.71 9.27792740e+00 2.49766958e-01 
452 1055.47 9.11627579e+00 2.45860947e-01 
451 1057.23 9.25805410e+00 2.63087283e-01 
450 1058.98 9.08867582e+00 2.57246150e-01 
449 1060.73 9.28146172e+00 2.35691037e-01 
448 1062.48 9.05425898e+00 2.40544453e-01 
447 1064.23 9.16953119e+00 2.48090257e-01 
446 1065.97 8.87161064e+00 2.38749201e-01 
445 1067.71 8.93517590e+00 2.29527654e-01 
444 1069.46 8.70935027e+00 2.59236475e-01 
443 1071.19 8.84452693e+00 2.52504918e-01 
442 1072.93 8.67542299e+00 2.49891134e-01 
441 1074.67 8.76986631e+00 2.66810820e-01 
440 1076.40 8.56823285e+00 2.60711779e-01 
439 1078.13 8.60249138e+00 2.55394144e-01 
438 1079.86 8.37151941e+00 2.37292680e-01 
437 1081.58 8.47288322e+00 2.32633304e-01 
436 1083.31 8.34864267e+00 2.33466317e-01 
435 1085.03 8.55490748e+00 2.27651919e-01 
434 1086.75 8.49008751e+00 2.25435898e-01 
433 1088.47 8.65985362e+00 2.40136653e-01 
432 1090.19 8.56326358e+00 2.23937055e-01 
431 1091.90 8.66897869e+00 2.64995737e-01 
430 1093.61 8.56939697e+00 2.42000914e-01 
429 1095.33 8.79207484e+00 2.51457191e-01 
428 1097.03 8.83495585e+00 2.52251615e-01 
427 1098.74 9.08975347e+00 2.67556658e-01 
426 1100.45 9.11658796e+00 2.67861835e-01 
425 1102.15 9.45047951e+00 2.47172297e-01 
424 1103.85 9.47363949e+00 2.42225702e-01 
423 1105.55 9.76755047e+00 2.52803390e-01 
422 1107.25 9.74495888e+00 2.23946570e-01 
421 1108.94 9.97598075e+00 2.12354834e-01 
420 1110.64 9.85441652e+00 1.92733649e-01 
419 1112.33 1.00337041e+01 1.81597523e-01 
418 1114.02 9.83887417e+00 2.37793916e-01 
417 1115.70 9.93331305e+00 3.17929971e-01 
416 1117.39 9.72968323e+00 3.81468075e-01 
415 1119.07 9.78787453e+00 4.74971200e-01 
414 1120.76 9.65998522e+00 4.83614797e-01 
413 1122.44 9.82816220e+00 5.53836186e-01 
412 1124.12 9.73196252e+00 5.20257475e-01 
411 1125.79 9.91609033e+00 4.95441350e-01 
410 1127.47 9.92197322e+00 4.07664561e-01 
409 1129.14 1.01289889e+01 3.47681377e-01 
408 1130.81 9.90743542e+00 4.44055950e-01 
407 1132.48 9.95471667e+00 5.58013420e-01 
406 1134.15 9.75400544e+00 5.25252089e-01 
405 1135.81 9.90586152e+00 4.20175176e-01 
404 1137.48 1.00129181e+01 2.47825122e-01 
403 1139.14 1.01877782e+01 2.10265106e-01 
402 1140.80 9.97931831e+00 2.24063259e-01 
401 1142.46 1.00611652e+01 2.77976359e-01 
400 1144.12 9.89798958e+00 3.37499420e-01 
399 1145.77 9.98034190e+00 3.53093595e-01 
398 1147.43 9.90210788e+00 3.26891997e-01 
397 1149.08 9.99119599e+00 2.90794367e-01 
396 1150.73 9.92077066e+00 2.93607995e-01 
395 1152.38 1.00711428e+01 2.46769905e-01 
394 1154.02 9.95316316e+00 2.08759413e-01 
393 1155.67 1.00965827e+01 1.89441940e-01 
392 1157.31 9.88408756e+00 1.78139186e-01 
391 1158.95 9.89780808e+00 1.86141909e-01 
390 1160.59 9.76386452e+00 1.86564329e-01 
389 1162.23 9.87069447e+00 1.97845261e-01 
388 1163.87 9.72188250e+00 2.10160640e-01 
387 1165.50 9.77514299e+00 2.13240860e-01 
386 1167.13 9.62998199e+00 2.25781589e-01 
385 1168.76 9.73856003e+00 2.28381059e-01 
384 1170.39 9.64301395e+00 1.98701387e-01 
383 1172.02 9.64423943e+00 1.84689295e-01 
382 1173.65 9.42830626e+00 1.91344845e-01 
381 1175.27 9.40399742e+00 2.05055713e-01 
380 1176.90 9.25065040e+00 2.26584388e-01 
379 1178.52 9.26343059e+00 2.00223795e-01 
378 1180.14 9.02625338e+00 2.01879438e-01 
377 1181.75 9.00501283e+00 2.08747592e-01 
376 1183.37 8.80408923e+00 2.03520910e-01 
375 1184.99 8.85316436e+00 1.92505924e-01 
374 1186.60 8.67269135e+00 2.24823266e-01 
373 1188.21 8.63973014e+00 2.10013059e-01 
