% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2017-06-26 18:40:38.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , infl-ig-ht, infl-ig-ht, infl-ig-ht, high- a-lt. See the list of files below
% 20160918_NIR_C0_refined_Langley_airborne_ORACLES_v1.dat
% 20160924_NIR_C0_refined_Langley_airborne_ORACLES_v1.dat
% 20160920_NIR_C0_refined_langley_4STAR.dat
% 20160920_NIR_C0_refined_high_alt_low_m_fromBonanza.dat
Pix Wavelength C0 C0err
511 949.79 5.72943545e+00 2.67592542e-01 
510 949.79 5.86325943e+00 2.63026459e-01 
509 951.68 6.25456703e+00 2.51542208e-01 
508 953.57 6.28381074e+00 2.45142731e-01 
507 955.46 6.72697485e+00 2.27759800e-01 
506 957.34 6.80397439e+00 2.02489604e-01 
505 959.22 7.23993480e+00 1.95241856e-01 
504 961.10 7.26266944e+00 1.38800775e-01 
503 962.98 7.64488375e+00 1.25857799e-01 
502 964.85 7.60338569e+00 8.75046711e-02 
501 966.72 8.05037522e+00 6.55204383e-02 
500 968.59 8.04457700e+00 6.13214483e-02 
499 970.45 8.43513393e+00 3.26859064e-02 
498 972.32 8.41145420e+00 5.74933236e-02 
497 974.18 8.75468946e+00 5.92511817e-02 
496 976.04 8.66473865e+00 4.64286640e-02 
495 977.89 8.99271893e+00 5.96753378e-02 
494 979.74 8.86564541e+00 6.23235029e-02 
493 981.59 9.12886668e+00 6.58807611e-02 
492 983.44 8.98733639e+00 7.32443462e-02 
491 985.29 9.22274971e+00 9.28277468e-02 
490 987.13 8.99228072e+00 9.97122179e-02 
489 988.97 9.21990919e+00 1.14744615e-01 
488 990.81 9.05168343e+00 9.96572616e-02 
487 992.65 9.23195934e+00 1.12652363e-01 
486 994.48 9.03160143e+00 1.13718247e-01 
485 996.31 9.16907549e+00 1.30178798e-01 
