% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from 4STAR_20160920starsun.mat and recorded on 2017-06-26 17:56:57.
% Using the MLO from September 2016 high altitude AOD for stratospheric AOD component, calculating the c0 from the AOD at low airmass. 
Pix Wavelength C0 C0err
511 949.79 5.46274853e+00 1.07823052e-02 
510 949.79 5.61147785e+00 1.00906743e-02 
509 951.68 6.00289345e+00 1.17098372e-02 
508 953.57 6.04812002e+00 9.60748643e-03 
507 955.46 6.52055645e+00 1.11587951e-02 
506 957.34 6.60706282e+00 1.04654590e-02 
505 959.22 7.06990576e+00 1.22923246e-02 
504 961.10 7.13916683e+00 1.00270966e-02 
503 962.98 7.55676794e+00 1.05610630e-02 
502 964.85 7.54593849e+00 9.14826803e-03 
501 966.72 8.04158306e+00 1.13231633e-02 
500 968.59 8.05713367e+00 1.01564080e-02 
499 970.45 8.46652031e+00 1.05207199e-02 
498 972.32 8.43064404e+00 9.88016464e-03 
497 974.18 8.78503609e+00 1.07376762e-02 
496 976.04 8.69671535e+00 1.03641702e-02 
495 977.89 9.04350948e+00 1.09169949e-02 
494 979.74 8.93761349e+00 1.09161213e-02 
493 981.59 9.22741032e+00 1.06017310e-02 
492 983.44 9.09459686e+00 9.28154495e-03 
491 985.29 9.35359573e+00 1.09814741e-02 
490 987.13 9.14098549e+00 1.06862383e-02 
489 988.97 9.38233185e+00 1.11387502e-02 
488 990.81 9.19519138e+00 9.88454185e-03 
487 992.65 9.38314915e+00 1.14615168e-02 
486 994.48 9.18413448e+00 1.03742778e-02 
485 996.31 9.33264732e+00 1.05834324e-02 
484 998.14 9.09609413e+00 9.59680229e-03 
483 999.97 9.23576069e+00 1.08693531e-02 
482 1001.79 8.95747948e+00 1.07110189e-02 
481 1003.62 9.03299809e+00 1.13665247e-02 
480 1005.44 8.80475521e+00 1.00063775e-02 
479 1007.25 9.04755688e+00 1.08425906e-02 
478 1009.07 8.82581711e+00 9.45223216e-03 
477 1010.88 8.99502563e+00 1.12116458e-02 
476 1012.69 8.71530151e+00 9.95485298e-03 
475 1014.50 8.84164810e+00 1.12862485e-02 
474 1016.31 8.62499332e+00 1.06135067e-02 
473 1018.11 8.76335239e+00 1.06794704e-02 
