% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2017-06-27 01:25:25.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , MLO -av-g-, infl-ig-ht, high- a-lt, infl-ig-ht, high- a-lt. See the list of files below
% 20161115_NIR_C0_refined_Langley_Nov2016part1.5incl1115_good_mean.dat
% 20160924_NIR_C0_refined_Langley_airborne_ORACLES_v1.dat
% 20160927_NIR_C0_refined_high_alt_low_m.dat
% 20160824_NIR_C0_refined_langley_4STAR.dat
% 20160927_NIR_C0_refined_high_alt_low_m_fromBonanza_loglogquad.dat
Pix Wavelength C0 C0err
511 949.79 5.10066800e+00 8.42125071e-01 
510 949.79 5.35172692e+00 7.50103089e-01 
509 951.68 5.73164451e+00 7.55099276e-01 
508 953.57 5.79121906e+00 7.26137591e-01 
507 955.46 6.24749698e+00 7.14326369e-01 
506 957.34 6.34617195e+00 6.70065959e-01 
505 959.22 6.82939387e+00 6.27189460e-01 
504 961.10 6.91342975e+00 5.32105813e-01 
503 962.98 7.35981203e+00 4.65294888e-01 
502 964.85 7.37465432e+00 3.62929844e-01 
501 966.72 7.90443720e+00 2.77625851e-01 
500 968.59 7.95337664e+00 1.91894790e-01 
499 970.45 8.34627455e+00 1.66069684e-01 
498 972.32 8.30640580e+00 2.07952247e-01 
497 974.18 8.63430036e+00 2.19157036e-01 
496 976.04 8.56625083e+00 1.93635980e-01 
495 977.89 8.91624776e+00 1.43425012e-01 
494 979.74 8.83275034e+00 7.99836648e-02 
493 981.59 9.14056132e+00 5.38082034e-02 
492 983.44 9.03694244e+00 7.76669648e-02 
491 985.29 9.28709224e+00 1.04239823e-01 
490 987.13 9.09680178e+00 1.31840028e-01 
489 988.97 9.33531211e+00 1.62238870e-01 
488 990.81 9.15626740e+00 1.42948974e-01 
487 992.65 9.33806329e+00 1.64993175e-01 
486 994.48 9.14169218e+00 1.56607048e-01 
485 996.31 9.28051729e+00 1.54989623e-01 
484 998.14 9.04486049e+00 1.41315496e-01 
483 999.97 9.19012535e+00 1.58034599e-01 
482 1001.79 8.91142575e+00 1.53411843e-01 
481 1003.62 8.98332774e+00 1.63437126e-01 
480 1005.44 8.78313785e+00 1.57998142e-01 
479 1007.25 9.02029241e+00 1.69434054e-01 
478 1009.07 8.80875033e+00 1.66352216e-01 
477 1010.88 8.96283712e+00 1.76079185e-01 
476 1012.69 8.69968352e+00 1.61473509e-01 
475 1014.50 8.82361774e+00 1.47994489e-01 
474 1016.31 8.59953017e+00 1.38462187e-01 
473 1018.11 8.74080343e+00 1.52689230e-01 
472 1019.91 8.49079539e+00 1.60591995e-01 
471 1021.71 8.65076273e+00 1.63961154e-01 
470 1023.51 8.42133869e+00 1.61313072e-01 
469 1025.30 8.57853669e+00 1.63169739e-01 
468 1027.09 8.46903297e+00 1.50687201e-01 
467 1028.88 8.61076621e+00 1.63281999e-01 
466 1030.67 8.46400432e+00 1.47614811e-01 
465 1032.46 8.63562180e+00 1.59018300e-01 
464 1034.24 8.47066629e+00 1.52232478e-01 
463 1036.02 8.67109805e+00 1.52909036e-01 
462 1037.80 8.53814000e+00 1.69860815e-01 
461 1039.58 8.74652781e+00 1.74797728e-01 
460 1041.35 8.59858118e+00 1.66808408e-01 
459 1043.12 8.76157374e+00 1.58733453e-01 
458 1044.89 8.67766038e+00 1.75440906e-01 
457 1046.66 8.89277947e+00 1.90735867e-01 
456 1048.43 8.84104839e+00 1.73310448e-01 
455 1050.19 9.06967143e+00 1.76049057e-01 
454 1051.95 8.94444013e+00 1.78496690e-01 
453 1053.71 9.19797942e+00 1.79979672e-01 
452 1055.47 9.02826992e+00 1.72348473e-01 
451 1057.23 9.15500588e+00 1.65547109e-01 
450 1058.98 9.00514825e+00 1.42401085e-01 
449 1060.73 9.17346891e+00 1.57040536e-01 
448 1062.48 8.96270909e+00 1.66389813e-01 
447 1064.23 9.09580445e+00 1.68786622e-01 
446 1065.97 8.81501336e+00 1.71705614e-01 
445 1067.71 8.85639317e+00 1.82157005e-01 
444 1069.46 8.66176126e+00 1.70357840e-01 
443 1071.19 8.77473481e+00 1.51922870e-01 
442 1072.93 8.62512966e+00 1.50132712e-01 
441 1074.67 8.70667934e+00 1.44806003e-01 
440 1076.40 8.50317363e+00 1.34120868e-01 
439 1078.13 8.52643210e+00 1.46816651e-01 
438 1079.86 8.29314246e+00 1.16100735e-01 
437 1081.58 8.36387713e+00 1.16061924e-01 
436 1083.31 8.24500099e+00 9.57534823e-02 
435 1085.03 8.42432264e+00 8.84061009e-02 
434 1086.75 8.36493053e+00 6.86780758e-02 
433 1088.47 8.52292331e+00 7.05132947e-02 
432 1090.19 8.42371123e+00 5.53735205e-02 
431 1091.90 8.52815312e+00 5.63762861e-02 
430 1093.61 8.40510351e+00 5.37866775e-02 
429 1095.33 8.61461435e+00 6.34502258e-02 
428 1097.03 8.63420738e+00 9.55211287e-02 
427 1098.74 8.87335393e+00 1.47820497e-01 
426 1100.45 8.89556845e+00 1.79077445e-01 
425 1102.15 9.18069200e+00 2.21349083e-01 
424 1103.85 9.19020005e+00 2.42404793e-01 
423 1105.55 9.43834384e+00 2.90521654e-01 
422 1107.25 9.35629790e+00 3.85768519e-01 
421 1108.94 9.50481466e+00 5.44708553e-01 
420 1110.64 9.28276437e+00 7.69443233e-01 
419 1112.33 9.26934912e+00 1.17217292e+00 
418 1114.02 8.91069546e+00 1.62971344e+00 
417 1115.70 8.89547576e+00 1.95369435e+00 
416 1117.39 8.62831161e+00 2.11984937e+00 
415 1119.07 8.62061097e+00 2.31348504e+00 
414 1120.76 8.49211372e+00 2.41653235e+00 
413 1122.44 8.55760499e+00 2.61323097e+00 
412 1124.12 8.49095907e+00 2.57375833e+00 
411 1125.79 8.65559278e+00 2.48048947e+00 
410 1127.47 8.74693612e+00 2.19235972e+00 
409 1129.14 9.03895254e+00 1.97242336e+00 
408 1130.81 8.71963791e+00 2.27596835e+00 
407 1132.48 8.66682901e+00 2.46352199e+00 
406 1134.15 8.53086676e+00 2.43246999e+00 
405 1135.81 8.79537881e+00 2.00941699e+00 
404 1137.48 9.16062800e+00 1.40682043e+00 
403 1139.14 9.39826714e+00 1.27303803e+00 
402 1140.80 9.13920151e+00 1.44604702e+00 
401 1142.46 9.09261537e+00 1.75067799e+00 
400 1144.12 8.81568266e+00 1.90499960e+00 
399 1145.77 8.86781671e+00 1.99141867e+00 
398 1147.43 8.84233263e+00 1.83994631e+00 
397 1149.08 9.02781437e+00 1.63600918e+00 
396 1150.73 8.99761436e+00 1.57126702e+00 
395 1152.38 9.22857152e+00 1.39357199e+00 
394 1154.02 9.20076683e+00 1.21466154e+00 
393 1155.67 9.41986245e+00 9.97414912e-01 
392 1157.31 9.30336299e+00 8.29948679e-01 
391 1158.95 9.38169607e+00 6.64481585e-01 
390 1160.59 9.33252427e+00 4.99386405e-01 
389 1162.23 9.48146491e+00 3.96432219e-01 
388 1163.87 9.38491238e+00 3.16217167e-01 
