% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2019-08-19 00:30:01.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , infl-ig-ht, infl-ig-ht, infl-ig-ht, infl-ig-ht, infl-ig-ht. See the list of files below
% 20160825_NIR_C0_refined_Langley_ORACLES_transit2.dat
% 20160908_NIR_C0_refined_Langley_airborne_ORACLES_v1.dat
% 20160912_NIR_C0_refined_Langley_airborne_ORACLES_v1.dat
% 20160918_NIR_C0_refined_Langley_airborne_ORACLES_v1.dat
% 20160924_NIR_C0_refined_Langley_airborne_ORACLES_v1.dat
Pix Wavelength C0 C0err
511 949.79 5.66702170e+00 2.66332544e-01 
510 949.79 5.81260690e+00 2.61343099e-01 
509 951.68 6.19493068e+00 2.52543104e-01 
508 953.57 6.24023573e+00 2.42827721e-01 
507 955.46 6.68378698e+00 2.27569707e-01 
506 957.34 6.76639656e+00 2.06461812e-01 
505 959.22 7.20395079e+00 1.99909038e-01 
504 961.10 7.24107249e+00 1.46179531e-01 
503 962.98 7.63765677e+00 1.35390974e-01 
502 964.85 7.59019896e+00 9.97747768e-02 
501 966.72 8.04844222e+00 8.25847702e-02 
500 968.59 8.05614636e+00 5.74441946e-02 
499 970.45 8.42878390e+00 4.82284796e-02 
498 972.32 8.40921351e+00 6.25976482e-02 
497 974.18 8.73807736e+00 7.03229033e-02 
496 976.04 8.64991926e+00 5.74898666e-02 
495 977.89 8.96316939e+00 5.98814689e-02 
494 979.74 8.83559448e+00 3.83221363e-02 
493 981.59 9.11118878e+00 3.34398056e-02 
492 983.44 8.96919627e+00 4.43264770e-02 
491 985.29 9.20809745e+00 4.99682799e-02 
490 987.13 8.99491564e+00 5.85963596e-02 
489 988.97 9.21784322e+00 7.31651507e-02 
488 990.81 9.04635212e+00 5.99646518e-02 
487 992.65 9.21309364e+00 6.90385412e-02 
486 994.48 9.01834225e+00 7.20772695e-02 
485 996.31 9.15551827e+00 9.07131605e-02 
484 998.14 8.93745874e+00 7.10620302e-02 
483 999.97 9.07474165e+00 6.83572461e-02 
482 1001.79 8.80818383e+00 6.08336923e-02 
481 1003.62 8.87146205e+00 6.50775878e-02 
480 1005.44 8.67029945e+00 5.24916292e-02 
479 1007.25 8.89512238e+00 5.57975465e-02 
478 1009.07 8.69180189e+00 4.65604329e-02 
477 1010.88 8.85090192e+00 7.82109477e-02 
476 1012.69 8.57792971e+00 5.99041611e-02 
475 1014.50 8.69823172e+00 6.30575222e-02 
474 1016.31 8.48215836e+00 6.44909868e-02 
473 1018.11 8.61490487e+00 6.54479593e-02 
472 1019.91 8.36292299e+00 6.73657776e-02 
471 1021.71 8.50808964e+00 7.80424714e-02 
470 1023.51 8.28690496e+00 7.18201176e-02 
469 1025.30 8.44842246e+00 7.68062390e-02 
468 1027.09 8.35590319e+00 6.48647312e-02 
467 1028.88 8.48657231e+00 7.81461682e-02 
466 1030.67 8.33968669e+00 6.97142240e-02 
465 1032.46 8.50241152e+00 8.29594074e-02 
464 1034.24 8.33761741e+00 8.73792063e-02 
463 1036.02 8.52689277e+00 9.41995708e-02 
462 1037.80 8.40077238e+00 8.82920356e-02 
461 1039.58 8.61291142e+00 9.07528858e-02 
460 1041.35 8.47763157e+00 7.76957755e-02 
459 1043.12 8.63526711e+00 7.16301047e-02 
458 1044.89 8.55416946e+00 7.91726579e-02 
457 1046.66 8.77149057e+00 8.61956242e-02 
456 1048.43 8.71191746e+00 6.94907088e-02 
455 1050.19 8.92796084e+00 7.36995459e-02 
454 1051.95 8.81136238e+00 7.13290483e-02 
453 1053.71 9.05472292e+00 7.70771530e-02 
452 1055.47 8.90400365e+00 6.78487680e-02 
451 1057.23 9.04256811e+00 7.24541914e-02 
450 1058.98 8.89733978e+00 6.50064425e-02 
449 1060.73 9.05545011e+00 7.66126484e-02 
448 1062.48 8.84647122e+00 8.50260673e-02 
447 1064.23 8.96602123e+00 9.64598596e-02 
446 1065.97 8.66975191e+00 1.03079148e-01 
445 1067.71 8.69965564e+00 1.11911757e-01 
444 1069.46 8.51576255e+00 8.60551313e-02 
443 1071.19 8.63860155e+00 7.73787632e-02 
442 1072.93 8.48836479e+00 8.62977942e-02 
441 1074.67 8.58048993e+00 8.05566366e-02 
440 1076.40 8.38157409e+00 7.64587563e-02 
439 1078.13 8.40493674e+00 9.15956735e-02 
438 1079.86 8.19264476e+00 7.23089414e-02 
437 1081.58 8.27203808e+00 7.06765546e-02 
436 1083.31 8.17024549e+00 6.57062159e-02 
435 1085.03 8.35078913e+00 6.79314085e-02 
434 1086.75 8.29270722e+00 6.31033092e-02 
433 1088.47 8.45700386e+00 6.24206562e-02 
432 1090.19 8.36357005e+00 6.98116071e-02 
431 1091.90 8.49393400e+00 6.57347583e-02 
430 1093.61 8.38562847e+00 4.62060531e-02 
429 1095.33 8.60995265e+00 4.24953376e-02 
428 1097.03 8.67056471e+00 4.35848725e-02 
427 1098.74 8.93102094e+00 4.95395364e-02 
426 1100.45 8.97022568e+00 5.04072810e-02 
425 1102.15 9.27714327e+00 6.35264884e-02 
424 1103.85 9.30499109e+00 6.20368153e-02 
423 1105.55 9.60606109e+00 6.16207386e-02 
422 1107.25 9.57903215e+00 9.80756613e-02 
421 1108.94 9.81895430e+00 1.58665083e-01 
420 1110.64 9.75778303e+00 2.20134514e-01 
419 1112.33 9.99515062e+00 3.79769189e-01 
418 1114.02 9.91947065e+00 5.84580050e-01 
417 1115.70 1.00953402e+01 7.52046053e-01 
416 1117.39 9.94768112e+00 8.26257479e-01 
415 1119.07 1.00490829e+01 9.40561031e-01 
414 1120.76 9.97776711e+00 1.00050656e+00 
413 1122.44 1.01894370e+01 1.10451946e+00 
412 1124.12 1.01145250e+01 1.08178174e+00 
411 1125.79 1.02374300e+01 9.99335599e-01 
410 1127.47 1.01706679e+01 8.24532097e-01 
409 1129.14 1.03057515e+01 7.24098016e-01 
408 1130.81 1.01836907e+01 9.10463531e-01 
407 1132.48 1.02542772e+01 1.02623596e+00 
406 1134.15 1.00894269e+01 1.02780279e+00 
405 1135.81 1.01123504e+01 7.99145549e-01 
404 1137.48 1.00609178e+01 4.96848406e-01 
403 1139.14 1.02044978e+01 4.33263138e-01 
402 1140.80 1.00477254e+01 5.16728986e-01 
401 1142.46 1.01883933e+01 6.54480662e-01 
400 1144.12 1.00358966e+01 7.05641228e-01 
399 1145.77 1.01238999e+01 7.53714320e-01 
398 1147.43 1.00006520e+01 6.86172195e-01 
397 1149.08 1.00379016e+01 6.02315546e-01 
396 1150.73 9.93761915e+00 5.79479047e-01 
395 1152.38 1.00503516e+01 4.88528039e-01 
394 1154.02 9.91320486e+00 4.12839480e-01 
393 1155.67 1.00064886e+01 3.24673265e-01 
392 1157.31 9.77560949e+00 2.77099355e-01 
391 1158.95 9.76605697e+00 1.84764383e-01 
390 1160.59 9.60932715e+00 1.49723830e-01 
389 1162.23 9.67107065e+00 1.11755869e-01 
388 1163.87 9.52743061e+00 7.82572194e-02 
387 1165.50 9.56003626e+00 6.59465374e-02 
386 1167.13 9.43610548e+00 6.04382698e-02 
385 1168.76 9.52300220e+00 4.81143956e-02 
384 1170.39 9.42292334e+00 5.88844232e-02 
383 1172.02 9.40357350e+00 6.37712116e-02 
382 1173.65 9.21631083e+00 5.79099075e-02 
381 1175.27 9.20502913e+00 7.90495356e-02 
380 1176.90 9.07182371e+00 6.87743457e-02 
379 1178.52 9.07197628e+00 7.87249352e-02 
378 1180.14 8.85041171e+00 7.22917714e-02 
377 1181.75 8.84956672e+00 1.01823258e-01 
376 1183.37 8.66466270e+00 1.04197868e-01 
375 1184.99 8.69070976e+00 8.71420031e-02 
374 1186.60 8.52837577e+00 8.32147311e-02 
373 1188.21 8.46491040e+00 7.07334810e-02 
372 1189.82 8.34284027e+00 5.83627010e-02 
371 1191.43 8.52048417e+00 6.06380572e-02 
370 1193.04 8.41877545e+00 5.35451602e-02 
369 1194.64 8.41534838e+00 6.49336332e-02 
368 1196.24 8.26837706e+00 5.52830291e-02 
367 1197.85 8.33339195e+00 4.98049548e-02 
366 1199.45 8.23067565e+00 5.81597749e-02 
365 1201.05 8.32055979e+00 5.61373287e-02 
364 1202.64 8.24713071e+00 5.08888497e-02 
363 1204.24 8.27020818e+00 5.38886936e-02 
362 1205.83 8.14413212e+00 5.56218428e-02 
361 1207.43 8.14567860e+00 6.56968095e-02 
360 1209.02 8.09195541e+00 5.35353289e-02 
359 1210.61 8.21984626e+00 5.03420392e-02 
358 1212.19 8.17675103e+00 6.33515745e-02 
357 1213.78 8.29434206e+00 7.17250935e-02 
356 1215.37 8.23324654e+00 5.22886200e-02 
355 1216.95 8.28308271e+00 6.15229452e-02 
354 1218.53 8.24615354e+00 5.52344893e-02 
353 1220.11 8.31082750e+00 6.29593906e-02 
352 1221.69 8.29865920e+00 5.40140087e-02 
351 1223.27 8.33078131e+00 6.30982767e-02 
350 1224.84 8.30850608e+00 4.48080390e-02 
349 1226.42 8.33711366e+00 5.74099027e-02 
348 1227.99 8.29500417e+00 4.92398510e-02 
347 1229.56 8.42209849e+00 5.57018668e-02 
346 1231.13 8.34434223e+00 5.49644252e-02 
345 1232.70 8.41109387e+00 7.10257998e-02 
344 1234.27 8.35666514e+00 8.06048307e-02 
343 1235.84 8.36695714e+00 7.57278598e-02 
342 1237.40 8.29638424e+00 8.43332981e-02 
341 1238.96 8.28590207e+00 8.83566676e-02 
340 1240.52 8.14109291e+00 9.34989904e-02 
339 1242.08 8.24504715e+00 1.04895162e-01 
338 1243.64 8.21832870e+00 9.98662458e-02 
337 1245.20 8.25015139e+00 1.12838563e-01 
336 1246.75 8.23709539e+00 8.93077678e-02 
335 1248.31 8.32096472e+00 8.16968507e-02 
334 1249.86 8.24165885e+00 8.08538371e-02 
333 1251.41 8.28801827e+00 6.41470167e-02 
332 1252.96 8.20133390e+00 7.01788968e-02 
331 1254.51 8.24906700e+00 6.43214383e-02 
330 1256.06 8.19828500e+00 5.64983006e-02 
329 1257.61 8.19246098e+00 4.38091849e-02 
328 1259.15 8.13496691e+00 7.90071402e-02 
327 1260.69 8.14201660e+00 8.92729501e-02 
326 1262.23 8.05282148e+00 9.57670766e-02 
325 1263.77 8.05626779e+00 1.14850796e-01 
324 1265.31 7.99346222e+00 1.05754812e-01 
323 1266.85 8.04765311e+00 1.13202037e-01 
322 1268.39 8.06115168e+00 1.26583380e-01 
321 1269.92 8.12939575e+00 1.13067442e-01 
320 1271.46 8.16950459e+00 8.12433722e-02 
319 1272.99 8.15038045e+00 5.93313450e-02 
318 1274.52 8.09657505e+00 5.03460296e-02 
317 1276.05 8.13483219e+00 6.39772898e-02 
316 1277.58 7.98358171e+00 5.16879933e-02 
315 1279.10 7.81177001e+00 5.74275862e-02 
314 1280.63 7.76344444e+00 5.85721086e-02 
313 1282.15 7.74274914e+00 6.85080476e-02 
312 1283.68 7.84820138e+00 4.38822607e-02 
311 1285.20 7.99908677e+00 5.36572066e-02 
