% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2017-06-12 14:08:10.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , infl-ig-ht, MLO -av-g-, infl-ig-ht. See the list of files below
% 20160825_NIR_C0_refined_Langley_ORACLES_transit2.dat
% 20161115_NIR_C0_refined_Langley_Nov2016part1.5incl1115_good_mean.dat
% 20160924_NIR_C0_refined_Langley_airborne_ORACLES_v1.dat
Pix Wavelength C0 C0err
511 949.79 5.37072428e+00 8.01370589e-01 
510 949.79 5.65827942e+00 5.71863303e-01 
509 951.68 6.04450020e+00 5.58885935e-01 
508 953.57 6.08864869e+00 5.41279315e-01 
507 955.46 6.54682956e+00 5.16352412e-01 
506 957.34 6.62949361e+00 4.71431803e-01 
505 959.22 7.10185832e+00 4.27281760e-01 
504 961.10 7.15043996e+00 3.30754634e-01 
503 962.98 7.57602539e+00 2.71239355e-01 
502 964.85 7.55101392e+00 1.95156860e-01 
501 966.72 8.04464562e+00 1.15844040e-01 
500 968.59 8.06270263e+00 5.30722375e-02 
499 970.45 8.44272437e+00 3.26361356e-02 
498 972.32 8.41971339e+00 6.42266090e-02 
497 974.18 8.75149686e+00 6.50023949e-02 
496 976.04 8.66930703e+00 4.38003736e-02 
495 977.89 8.99518921e+00 6.53715543e-03 
494 979.74 8.88119370e+00 4.36056137e-02 
493 981.59 9.16421304e+00 6.51879426e-02 
492 983.44 9.03799392e+00 9.92271059e-02 
491 985.29 9.26813956e+00 1.30763773e-01 
490 987.13 9.07431108e+00 1.47610371e-01 
489 988.97 9.30183443e+00 1.88399838e-01 
488 990.81 9.12485499e+00 1.60915612e-01 
487 992.65 9.29318036e+00 1.77402741e-01 
486 994.48 9.10212685e+00 1.74278588e-01 
485 996.31 9.24565605e+00 1.70042711e-01 
484 998.14 9.00660828e+00 1.51532475e-01 
483 999.97 9.15455528e+00 1.74049888e-01 
482 1001.79 8.88398859e+00 1.66848217e-01 
481 1003.62 8.95870155e+00 1.97987814e-01 
480 1005.44 8.76293290e+00 1.79585472e-01 
479 1007.25 8.99382524e+00 2.00255822e-01 
478 1009.07 8.79170932e+00 1.87860264e-01 
477 1010.88 8.93798069e+00 2.02584237e-01 
476 1012.69 8.67633847e+00 1.75379410e-01 
475 1014.50 8.79471275e+00 1.62670855e-01 
474 1016.31 8.57038121e+00 1.56962081e-01 
473 1018.11 8.71504751e+00 1.65262458e-01 
472 1019.91 8.46000767e+00 1.78073842e-01 
471 1021.71 8.62374430e+00 1.75564091e-01 
470 1023.51 8.39749733e+00 1.68424648e-01 
469 1025.30 8.54509022e+00 1.75677407e-01 
468 1027.09 8.44086624e+00 1.51540980e-01 
467 1028.88 8.57380014e+00 1.56705298e-01 
466 1030.67 8.42884907e+00 1.29695307e-01 
465 1032.46 8.58967721e+00 1.32502107e-01 
464 1034.24 8.43414320e+00 1.46216569e-01 
463 1036.02 8.63308434e+00 1.43701353e-01 
462 1037.80 8.49694249e+00 1.61550503e-01 
461 1039.58 8.70433005e+00 1.60892518e-01 
460 1041.35 8.55421011e+00 1.49946172e-01 
459 1043.12 8.72836906e+00 1.39993792e-01 
458 1044.89 8.64504275e+00 1.58018644e-01 
457 1046.66 8.85321843e+00 1.86082813e-01 
456 1048.43 8.80709921e+00 1.68026488e-01 
455 1050.19 9.03704938e+00 1.82727268e-01 
454 1051.95 8.91580227e+00 1.74357588e-01 
453 1053.71 9.16158073e+00 1.73364689e-01 
452 1055.47 8.99561007e+00 1.53281822e-01 
451 1057.23 9.12121160e+00 1.61865064e-01 
450 1058.98 8.98497754e+00 1.15324537e-01 
449 1060.73 9.14618681e+00 1.47443068e-01 
448 1062.48 8.93994944e+00 1.75175110e-01 
447 1064.23 9.07577439e+00 1.78132136e-01 
446 1065.97 8.79467714e+00 1.84631557e-01 
445 1067.71 8.82565408e+00 1.95384839e-01 
444 1069.46 8.63360788e+00 1.75784667e-01 
443 1071.19 8.74312686e+00 1.46183942e-01 
442 1072.93 8.59633980e+00 1.29756500e-01 
441 1074.67 8.68112215e+00 1.51702238e-01 
440 1076.40 8.47862724e+00 1.45063575e-01 
439 1078.13 8.50270145e+00 1.69999225e-01 
438 1079.86 8.29207806e+00 1.38267491e-01 
437 1081.58 8.35169733e+00 1.42981196e-01 
436 1083.31 8.24508175e+00 1.14691282e-01 
435 1085.03 8.42223389e+00 1.13617156e-01 
434 1086.75 8.37224508e+00 9.28794749e-02 
433 1088.47 8.52120544e+00 9.80844179e-02 
