% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from (SEE Original files for sources) and recorded on 2017-05-10 14:00:08.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Averages of c0 from multiple days including: , inflight-20160825, MLO-avg-20161115, inflight-20160924. See the list of files below
% 20160825_VIS_C0_refined_Langley_ORACLES_transit2.dat
% 20161115_VIS_C0_refined_Langley_Nov2016part1.5incl1115_good_mean.dat
% 20160924_VIS_C0_refined_Langley_airborne_ORACLES_v1.dat
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 0.00000000e+00 
1 173.98 4.09972056e+05 8.91885577e+05 
2 174.77 1.89738792e+06 4.33518271e+06 
3 175.56 8.09809699e+05 1.55372526e+06 
4 176.36 7.28106897e+07 1.52779684e+08 
5 177.15 8.94920300e+07 1.85602308e+08 
6 177.94 1.06659021e+08 2.21154428e+08 
7 178.74 1.29136944e+08 2.68436401e+08 
8 179.53 1.55208477e+08 3.21234711e+08 
9 180.33 1.89240298e+08 3.92013988e+08 
10 181.12 2.26996765e+08 4.71254571e+08 
11 181.92 2.80089091e+08 5.82995102e+08 
12 182.71 3.55169382e+08 7.39284679e+08 
13 183.51 4.17817827e+08 8.74258711e+08 
14 184.30 5.33049847e+08 1.11880739e+09 
15 185.10 6.55923323e+08 1.38605588e+09 
16 185.89 8.15995528e+08 1.72227735e+09 
17 186.69 1.03178835e+09 2.20518304e+09 
18 187.49 1.35124223e+09 2.88675342e+09 
19 188.28 1.74157920e+09 3.69509793e+09 
20 189.08 2.22244773e+09 4.64794134e+09 
21 189.88 2.85806868e+09 5.82930962e+09 
22 190.67 3.71334249e+09 7.58213447e+09 
23 191.47 5.00136631e+09 1.01021426e+10 
24 192.27 6.60703694e+09 1.31190071e+10 
25 193.07 8.46658814e+09 1.63920057e+10 
26 193.86 1.04001663e+10 1.97088390e+10 
27 194.66 1.13471810e+10 2.00147667e+10 
28 195.46 1.22524187e+10 2.04604722e+10 
29 196.26 1.41355805e+10 2.24651585e+10 
30 197.05 1.39868480e+10 2.21765260e+10 
31 197.85 1.65255597e+10 2.95401938e+10 
32 198.65 2.06545172e+10 4.18962085e+10 
33 199.45 2.88234446e+10 6.44962861e+10 
34 200.25 4.13299191e+10 9.71607205e+10 
35 201.05 5.91808321e+10 1.42288769e+11 
36 201.85 9.02056018e+10 2.19193315e+11 
37 202.65 1.47807877e+11 3.60907687e+11 
38 203.44 2.44255638e+11 5.97535684e+11 
39 204.24 3.54450713e+11 8.67717550e+11 
40 205.04 5.63203244e+11 1.37923347e+12 
41 205.84 1.08479718e+12 2.65698778e+12 
42 206.64 1.50318433e+12 3.68189338e+12 
43 207.44 1.79496803e+12 4.39666521e+12 
44 208.24 2.91163172e+12 7.13195328e+12 
45 209.04 4.72913012e+12 1.15839166e+13 
46 209.84 1.19829673e+13 2.93521304e+13 
47 210.64 1.06299426e+13 2.60379184e+13 
48 211.44 1.21296714e+13 2.97114947e+13 
49 212.24 1.48112811e+13 3.62800740e+13 
50 213.04 1.55213862e+13 3.80194716e+13 
51 213.85 1.22370249e+13 2.99744638e+13 
52 214.65 5.00727667e+12 1.22652709e+13 
53 215.45 2.02132543e+12 4.95121460e+12 
54 216.25 8.34038936e+11 2.04296894e+12 
55 217.05 3.35555494e+11 8.21939175e+11 
56 217.85 1.37564015e+11 3.36961262e+11 
57 218.65 5.59799181e+10 1.37121990e+11 
58 219.46 2.26360996e+10 5.54467367e+10 
59 220.26 9.29271786e+09 2.27623120e+10 
60 221.06 3.85234759e+09 9.43621701e+09 
61 221.86 1.56533018e+09 3.83421526e+09 
62 222.66 6.47223063e+08 1.58533653e+09 
63 223.47 2.60550294e+08 6.38195009e+08 
64 224.27 1.04870171e+08 2.56865081e+08 
65 225.07 4.45874988e+07 1.09208023e+08 
66 225.87 1.78549115e+07 4.37296816e+07 
67 226.68 7.41143641e+06 1.81505594e+07 
68 227.48 3.14924984e+06 7.71154603e+06 
69 228.28 1.42978752e+06 3.50053476e+06 
70 229.08 7.23267533e+05 1.77032572e+06 
71 229.89 4.97044219e+05 1.21644770e+06 
72 230.69 4.88303405e+05 1.19501696e+06 
73 231.49 7.21395674e+05 1.76575643e+06 
74 232.30 1.48262511e+06 3.62993448e+06 
75 233.10 3.70153798e+06 9.06416227e+06 
76 233.90 1.00557256e+07 2.46270580e+07 
77 234.71 2.77253275e+07 6.79058818e+07 
78 235.51 8.21667556e+07 2.01255233e+08 
79 236.32 2.36416712e+08 5.79081816e+08 
80 237.12 6.88470358e+08 1.68637002e+09 
81 237.92 2.01976011e+09 4.94733182e+09 
82 238.73 6.04768628e+09 1.48136600e+10 
83 239.53 1.73940735e+10 4.26064679e+10 
84 240.34 5.26725803e+10 1.29020718e+11 
85 241.14 1.49520376e+11 3.66248258e+11 
86 241.94 3.97832427e+11 9.74485846e+11 
87 242.75 1.08553693e+12 2.65901066e+12 
88 243.55 2.73869638e+12 6.70840728e+12 
89 244.36 6.61412165e+12 1.62012208e+13 
90 245.16 1.52559383e+13 3.73692612e+13 
91 245.97 2.91491556e+13 7.14005529e+13 
92 246.77 3.13230436e+13 7.67254673e+13 
93 247.58 2.76579341e+13 6.77478168e+13 
94 248.38 2.66622432e+13 6.53088784e+13 
95 249.19 2.74224603e+13 6.71710187e+13 
96 249.99 1.98640318e+13 4.86567207e+13 
97 250.80 1.84750234e+13 4.52543556e+13 
98 251.60 2.15526973e+13 5.27930812e+13 
99 252.41 2.26774340e+13 5.55481077e+13 
100 253.21 1.94673395e+13 4.76850131e+13 
101 254.02 1.58113070e+13 3.87295945e+13 
102 254.82 1.37231911e+13 3.36147750e+13 
103 255.63 1.43282647e+13 3.50968969e+13 
104 256.44 1.97330923e+13 4.83359691e+13 
105 257.24 2.35099189e+13 5.75872707e+13 
106 258.05 2.28748672e+13 5.60317231e+13 
107 258.85 1.97517173e+13 4.83816035e+13 
108 259.66 2.24756828e+13 5.50539335e+13 
109 260.46 2.89085773e+13 7.08112480e+13 
110 261.27 3.49873994e+13 8.57012640e+13 
111 262.08 2.32403931e+13 5.69270959e+13 
112 262.88 3.14667196e+13 7.70774007e+13 
113 263.69 2.58164199e+13 6.32370516e+13 
114 264.49 1.15268535e+13 2.82349065e+13 
115 265.30 4.92110073e+12 1.20541838e+13 
116 266.11 1.89019367e+12 4.63000882e+12 
117 266.91 6.78363054e+11 1.66164258e+12 
118 267.72 2.28585023e+11 5.59916224e+11 
119 268.53 7.41519244e+10 1.81634105e+11 
120 269.33 2.41086571e+10 5.90537497e+10 
121 270.14 8.48268520e+09 2.07781552e+10 
122 270.95 2.87867522e+09 7.05122604e+09 
123 271.75 9.37583333e+08 2.29656596e+09 
124 272.56 2.91188960e+08 7.13243330e+08 
125 273.37 8.88407410e+07 2.17602819e+08 
126 274.17 2.66064109e+07 6.51652254e+07 
127 274.98 8.45492561e+06 2.07062461e+07 
128 275.79 2.89654536e+06 7.09263398e+06 
129 276.59 1.00706960e+06 2.46529913e+06 
130 277.40 3.51912391e+05 8.61090639e+05 
131 278.21 1.26200404e+05 3.08540212e+05 
132 279.01 4.57713847e+04 1.11762766e+05 
133 279.82 1.72371014e+04 4.19881670e+04 
134 280.63 6.38440047e+03 1.54933986e+04 
135 281.43 2.48176188e+03 5.98236683e+03 
136 282.24 1.06495759e+03 2.54417722e+03 
137 283.05 4.78088510e+02 1.12616403e+03 
138 283.86 2.28527432e+02 5.28501378e+02 
139 284.66 1.11332227e+02 2.50190463e+02 
140 285.47 5.62093629e+01 1.20926607e+02 
141 286.28 3.26384732e+01 6.72943311e+01 
142 287.09 1.94075803e+01 3.77384655e+01 
143 287.89 1.15883850e+01 2.08754377e+01 
144 288.70 7.56952619e+00 1.26084341e+01 
145 289.51 5.32216960e+00 7.98685345e+00 
146 290.32 3.82599177e+00 5.11784703e+00 
