% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from (SEE Original files for sources) and recorded on 2017-06-27 01:25:24.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , MLO -av-g-, infl-ig-ht, high- a-lt, infl-ig-ht, high- a-lt. See the list of files below
% 20161115_VIS_C0_refined_Langley_Nov2016part1.5incl1115_good_mean.dat
% 20160924_VIS_C0_refined_Langley_airborne_ORACLES_v1.dat
% 20160927_VIS_C0_refined_high_alt_low_m.dat
% 20160824_VIS_C0_refined_langley_4STAR.dat
% 20160927_VIS_C0_refined_high_alt_low_m_fromBonanza_loglogquad.dat
Pix Wavelength C0 C0err
0 173.18 -6.00000000e-01 5.47722558e-01 
1 173.98 4.79008578e+04 1.07111810e+05 
2 174.77 1.30704375e+05 2.92266104e+05 
3 175.56 1.95696989e+05 4.37594006e+05 
4 176.36 1.10916847e+07 2.48017633e+07 
5 177.15 1.46621967e+07 3.27856707e+07 
6 177.94 1.74993147e+07 3.91296595e+07 
7 178.74 2.08674498e+07 4.66610385e+07 
8 179.53 2.57457620e+07 5.75692762e+07 
9 180.33 3.12285976e+07 6.98292693e+07 
10 181.12 3.69712022e+07 8.26701236e+07 
11 181.92 4.48996416e+07 1.00398653e+08 
12 182.71 5.69313624e+07 1.27302399e+08 
13 183.51 6.48168384e+07 1.44934859e+08 
14 184.30 8.10840504e+07 1.81309451e+08 
15 185.10 9.54112506e+07 2.13346044e+08 
16 185.89 1.19642763e+08 2.67529354e+08 
17 186.69 1.38602081e+08 3.09923676e+08 
18 187.49 1.82069567e+08 4.07119931e+08 
19 188.28 2.46452197e+08 5.51083868e+08 
20 189.08 3.45964429e+08 7.73599984e+08 
21 189.88 5.15665761e+08 1.15306370e+09 
22 190.67 6.65891975e+08 1.48897972e+09 
23 191.47 9.50664503e+08 2.12575046e+09 
24 192.27 1.36887560e+09 3.06089889e+09 
25 193.07 1.97052178e+09 4.40622064e+09 
26 193.86 2.65000414e+09 5.92558940e+09 
27 194.66 3.78136058e+09 8.45537930e+09 
28 195.46 4.93468204e+09 1.10342845e+10 
29 196.26 6.89318038e+09 1.54136199e+10 
30 197.05 9.88774070e+09 2.21096603e+10 
31 197.85 1.45767655e+10 3.25946386e+10 
32 198.65 2.09456180e+10 4.68358257e+10 
33 199.45 3.20112664e+10 7.15793677e+10 
34 200.25 4.79079046e+10 1.07125331e+11 
35 201.05 6.99184816e+10 1.56342478e+11 
36 201.85 1.07524519e+11 2.40432135e+11 
37 202.65 1.76901042e+11 3.95562755e+11 
38 203.44 2.92793924e+11 6.54707117e+11 
39 204.24 4.25134312e+11 9.50629221e+11 
40 205.04 6.75710346e+11 1.51093427e+12 
41 205.84 1.30167015e+12 2.91062295e+12 
42 206.64 1.80376354e+12 4.03333790e+12 
43 207.44 2.15392466e+12 4.81632196e+12 
44 208.24 3.49393408e+12 7.81267411e+12 
45 209.04 5.67494016e+12 1.26895520e+13 
46 209.84 1.43795505e+13 3.21536524e+13 
47 210.64 1.27559242e+13 2.85231136e+13 
48 211.44 1.45556012e+13 3.25473138e+13 
49 212.24 1.77735344e+13 3.97428312e+13 
50 213.04 1.86256615e+13 4.16482453e+13 
51 213.85 1.46844286e+13 3.28353805e+13 
52 214.65 6.00873120e+12 1.34359314e+13 
53 215.45 3.15230676e+34 4.31852262e+34 
54 216.25 3.50165589e+33 4.79709869e+33 
55 217.05 3.68361423e+32 5.04635505e+32 
56 217.85 4.14400970e+31 5.67705244e+31 
57 218.65 4.65781274e+30 6.38091055e+30 
58 219.46 5.13988096e+29 7.04128931e+29 
59 220.26 5.66661142e+28 7.76284768e+28 
60 221.06 6.21405580e+27 8.51277770e+27 
61 221.86 6.96557378e+26 9.54226685e+26 
62 222.66 7.60317088e+25 1.04156874e+26 
63 223.47 8.37695426e+24 1.14756650e+25 
64 224.27 9.39497750e+23 1.28702208e+24 
65 225.07 1.05755267e+23 1.44874117e+23 
66 225.87 1.18505978e+22 1.62340771e+22 
67 226.68 1.33182013e+21 1.82444795e+21 
68 227.48 1.59928030e+20 2.19083186e+20 
69 228.28 2.20499026e+19 3.02057553e+19 
70 229.08 4.39716604e+18 6.02357688e+18 
71 229.89 1.68178341e+18 2.30382895e+18 
72 230.69 1.61694504e+18 2.21500140e+18 
73 231.49 4.19754176e+18 5.75005972e+18 
74 232.30 2.39887893e+19 3.28612626e+19 
75 233.10 2.19782797e+20 3.01070501e+20 
76 233.90 2.50998735e+21 3.43830688e+21 
77 234.71 3.17281188e+22 4.34626323e+22 
