% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from (SEE Original files for sources) and recorded on 2017-06-12 14:08:10.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , infl-ig-ht, MLO -av-g-, infl-ig-ht. See the list of files below
% 20160825_VIS_C0_refined_Langley_ORACLES_transit2.dat
% 20161115_VIS_C0_refined_Langley_Nov2016part1.5incl1115_good_mean.dat
% 20160924_VIS_C0_refined_Langley_airborne_ORACLES_v1.dat
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 0.00000000e+00 
1 173.98 7.99449581e+04 1.38185996e+05 
2 174.77 2.17961734e+05 3.77209655e+05 
3 175.56 3.26578034e+05 5.64571752e+05 
4 176.36 1.84989980e+07 3.20078108e+07 
5 177.15 2.44526823e+07 4.23125398e+07 
6 177.94 2.91841438e+07 5.05000568e+07 
7 178.74 3.48007130e+07 6.02204189e+07 
8 179.53 4.29337029e+07 7.43007545e+07 
9 180.33 5.20749974e+07 9.01255364e+07 
10 181.12 6.16504576e+07 1.06699153e+08 
11 181.92 7.48699903e+07 1.29581853e+08 
12 182.71 9.49300121e+07 1.64308245e+08 
13 183.51 1.08079525e+08 1.87065548e+08 
14 184.30 1.35201852e+08 2.34016021e+08 
15 185.10 1.59092253e+08 2.75364927e+08 
16 185.89 1.99494067e+08 3.45301462e+08 
17 186.69 2.31109602e+08 4.00017863e+08 
18 187.49 3.03569742e+08 5.25485277e+08 
19 188.28 4.10901451e+08 7.11318261e+08 
20 189.08 5.76790094e+08 9.98555089e+08 
21 189.88 8.59666165e+08 1.48840555e+09 
22 190.67 1.11011078e+09 1.92201275e+09 
23 191.47 1.58479978e+09 2.74402124e+09 
24 192.27 2.28188975e+09 3.95123076e+09 
25 193.07 3.28475741e+09 5.68792628e+09 
26 193.86 4.41738291e+09 7.64928878e+09 
27 194.66 6.30317762e+09 1.09150598e+10 
28 195.46 8.22564825e+09 1.42441798e+10 
29 196.26 1.14901991e+10 1.98975424e+10 
30 197.05 1.64816814e+10 2.85416185e+10 
31 197.85 2.42975325e+10 4.20769662e+10 
32 198.65 3.49133506e+10 6.04613381e+10 
33 199.45 5.33577473e+10 9.24036853e+10 
34 200.25 7.98547320e+10 1.38291086e+11 
35 201.05 1.16540745e+11 2.01828661e+11 
36 201.85 1.79219022e+11 3.10386601e+11 
37 202.65 2.94845742e+11 5.10660079e+11 
38 203.44 4.88003825e+11 8.45211172e+11 
39 204.24 7.08568302e+11 1.22724742e+12 
40 205.04 1.12619165e+12 1.95060105e+12 
41 205.84 2.16945563e+12 3.75759342e+12 
42 206.64 3.00627636e+12 5.20701356e+12 
43 207.44 3.58987704e+12 6.21784266e+12 
44 208.24 5.82322528e+12 1.00861173e+13 
45 209.04 9.45823487e+12 1.63821400e+13 
46 209.84 2.39659184e+13 4.15101861e+13 
47 210.64 2.12598743e+13 3.68231808e+13 
48 211.44 2.42593358e+13 4.20184010e+13 
49 212.24 2.96225577e+13 5.13077742e+13 
50 213.04 3.10427694e+13 5.37676533e+13 
51 213.85 2.44740478e+13 4.23902938e+13 
52 214.65 1.00145521e+13 1.73457128e+13 
53 215.45 4.04265004e+12 7.00207508e+12 
54 216.25 1.66807733e+12 2.88919455e+12 
55 217.05 6.71110638e+11 1.16239763e+12 
56 217.85 2.75127794e+11 4.76535256e+11 
57 218.65 1.11959686e+11 1.93919822e+11 
58 219.46 4.52721040e+10 7.84135540e+10 
59 220.26 1.85853724e+10 3.21907881e+10 
60 221.06 7.70465391e+09 1.33448375e+10 
61 221.86 3.13063363e+09 5.42240647e+09 
62 222.66 1.29442866e+09 2.24200903e+09 
63 223.47 5.21088723e+08 9.02547148e+08 
64 224.27 2.09732608e+08 3.63264067e+08 
65 225.07 8.91700762e+07 1.54444689e+08 
66 225.87 3.57065673e+07 6.18438983e+07 
67 226.68 1.48208224e+07 2.56692424e+07 
68 227.48 6.29710358e+06 1.09060946e+07 
69 228.28 2.85863776e+06 4.95070878e+06 
