% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from 4STAR_20160927starsun.mat and recorded on 2017-05-23 18:50:32.
% Using the MLO from September 2016 high altitude AOD for stratospheric AOD component, calculating the c0 from the AOD at low airmass. 
Pix Wavelength C0 C0err
511 949.79 5.45853138e+00 1.11124692e-02 
510 949.79 5.61243582e+00 1.05789322e-02 
509 951.68 6.00200081e+00 1.07969940e-02 
508 953.57 6.04974461e+00 1.07419901e-02 
507 955.46 6.51354265e+00 1.17646372e-02 
506 957.34 6.59877014e+00 1.03488239e-02 
505 959.22 7.06121254e+00 1.10727791e-02 
504 961.10 7.12494326e+00 1.00530125e-02 
503 962.98 7.54103136e+00 1.08803790e-02 
502 964.85 7.51245928e+00 9.62315314e-03 
501 966.72 8.01734161e+00 1.10515701e-02 
500 968.59 8.01888084e+00 1.07833846e-02 
499 970.45 8.40963650e+00 1.16878282e-02 
498 972.32 8.37537003e+00 1.06853405e-02 
497 974.18 8.71417713e+00 1.07260160e-02 
496 976.04 8.63714027e+00 1.09200580e-02 
495 977.89 8.96869659e+00 1.18570561e-02 
494 979.74 8.85494709e+00 1.09660476e-02 
493 981.59 9.13927937e+00 1.18202679e-02 
492 983.44 9.01038933e+00 1.08895376e-02 
491 985.29 9.26671314e+00 1.16066299e-02 
490 987.13 9.04928970e+00 1.10898977e-02 
489 988.97 9.28934097e+00 1.25692459e-02 
488 990.81 9.10803509e+00 1.16279945e-02 
487 992.65 9.28761768e+00 1.23478482e-02 
486 994.48 9.09481907e+00 1.19437939e-02 
485 996.31 9.23782730e+00 1.16652846e-02 
484 998.14 9.00047588e+00 1.14403553e-02 
483 999.97 9.13820744e+00 1.21930530e-02 
482 1001.79 8.85135937e+00 1.00172488e-02 
481 1003.62 8.92616081e+00 1.24651678e-02 
480 1005.44 8.70637131e+00 1.24892471e-02 
479 1007.25 8.94941711e+00 1.26942042e-02 
478 1009.07 8.72375584e+00 1.17829517e-02 
477 1010.88 8.89900398e+00 1.29074287e-02 
476 1012.69 8.62587929e+00 1.12192137e-02 
475 1014.50 8.76568508e+00 1.19787613e-02 
474 1016.31 8.55623341e+00 1.18942969e-02 
473 1018.11 8.68376064e+00 1.25386249e-02 
472 1019.91 8.43776417e+00 1.25491777e-02 
471 1021.71 8.58959007e+00 1.31155942e-02 
470 1023.51 8.35523891e+00 1.21910851e-02 
469 1025.30 8.53075695e+00 1.30210724e-02 
468 1027.09 8.41285992e+00 1.18902782e-02 
467 1028.88 8.55764294e+00 1.33240679e-02 
466 1030.67 8.40999603e+00 1.18091414e-02 
465 1032.46 8.58373642e+00 1.25879804e-02 
464 1034.24 8.42624855e+00 1.08463839e-02 
463 1036.02 8.62516594e+00 1.14170369e-02 
462 1037.80 8.48452568e+00 1.03749689e-02 
461 1039.58 8.69112968e+00 1.12742661e-02 
460 1041.35 8.54087830e+00 1.10291997e-02 
459 1043.12 8.69049454e+00 1.19694844e-02 
458 1044.89 8.59857368e+00 1.08921407e-02 
457 1046.66 8.82399178e+00 1.11678075e-02 
456 1048.43 8.76854706e+00 9.54800379e-03 
455 1050.19 9.00209904e+00 1.16462614e-02 
454 1051.95 8.86481953e+00 1.06063047e-02 
453 1053.71 9.12640190e+00 1.26563106e-02 
452 1055.47 8.95248318e+00 1.12966457e-02 
451 1057.23 9.09604263e+00 1.23866880e-02 
450 1058.98 8.93433571e+00 1.11888722e-02 
449 1060.73 9.11032486e+00 1.21665252e-02 
448 1062.48 8.90580750e+00 1.12602971e-02 
447 1064.23 9.03498077e+00 1.22892493e-02 
446 1065.97 8.75026035e+00 1.19987680e-02 
445 1067.71 8.79971123e+00 1.24413846e-02 
444 1069.46 8.59880829e+00 1.19015928e-02 
443 1071.19 8.72209263e+00 1.25317648e-02 
442 1072.93 8.56370258e+00 1.11384112e-02 
441 1074.67 8.65870571e+00 1.20787937e-02 
440 1076.40 8.46261311e+00 1.20015163e-02 
439 1078.13 8.49117661e+00 1.29235322e-02 
438 1079.86 8.24792862e+00 1.27317337e-02 
437 1081.58 8.33627510e+00 1.22126276e-02 
436 1083.31 8.21088409e+00 1.06504299e-02 
