% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2017-05-23 19:48:42.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , infl-ig-ht, MLO -av-g-, MLO -av-g-, infl-ig-ht, infl-ig-ht, high- a-lt, high- a-lt, high- a-lt. See the list of files below
% 20160825_NIR_C0_refined_Langley_ORACLES_transit2.dat
% 20161115_NIR_C0_refined_Langley_Nov2016part1.5incl1115_good_mean.dat
% 20161115_NIR_C0_refined_Langley_Nov2016part1.5incl1115_good_mean.dat
% 20160918_NIR_C0_refined_Langley_airborne_ORACLES_v1.dat
% 20160924_NIR_C0_refined_Langley_airborne_ORACLES_v1.dat
% 20160908_NIR_C0_refined_high_alt_low_m.dat
% 20160912_NIR_C0_refined_high_alt_low_m.dat
% 20160927_NIR_C0_refined_high_alt_low_m.dat
Pix Wavelength C0 C0err
511 949.79 5.30408928e+00 5.43661021e-01 
510 949.79 5.56010187e+00 3.70055256e-01 
509 951.68 5.94740163e+00 3.63814461e-01 
508 953.57 5.99889263e+00 3.52370989e-01 
507 955.46 6.45575697e+00 3.35619279e-01 
506 957.34 6.55150666e+00 3.09385200e-01 
505 959.22 7.01874967e+00 2.76254827e-01 
504 961.10 7.08838412e+00 2.17507518e-01 
503 962.98 7.51540828e+00 1.78309266e-01 
502 964.85 7.49842257e+00 1.28305394e-01 
501 966.72 7.99771699e+00 7.98459152e-02 
500 968.59 8.02587297e+00 5.11505644e-02 
499 970.45 8.41011290e+00 4.07410706e-02 
498 972.32 8.37685597e+00 5.48132502e-02 
497 974.18 8.70830362e+00 5.42672732e-02 
496 976.04 8.63246441e+00 4.55304625e-02 
495 977.89 8.96322818e+00 4.24982381e-02 
494 979.74 8.85687516e+00 5.42562737e-02 
493 981.59 9.14567586e+00 6.40456051e-02 
492 983.44 9.01990143e+00 8.43479057e-02 
491 985.29 9.26859502e+00 9.43202444e-02 
490 987.13 9.06300743e+00 1.13468353e-01 
489 988.97 9.30221703e+00 1.33451465e-01 
488 990.81 9.11896957e+00 1.19929143e-01 
487 992.65 9.29580199e+00 1.25771687e-01 
486 994.48 9.09956353e+00 1.28932565e-01 
485 996.31 9.23656149e+00 1.31570620e-01 
484 998.14 9.00495851e+00 1.13537250e-01 
483 999.97 9.15529683e+00 1.23272938e-01 
482 1001.79 8.88160807e+00 1.18291009e-01 
481 1003.62 8.96130164e+00 1.39218075e-01 
480 1005.44 8.75044193e+00 1.35604424e-01 
479 1007.25 8.98540837e+00 1.48109633e-01 
478 1009.07 8.77578725e+00 1.43120499e-01 
477 1010.88 8.93092722e+00 1.44527750e-01 
476 1012.69 8.65700168e+00 1.36520456e-01 
475 1014.50 8.77669312e+00 1.28267536e-01 
474 1016.31 8.55623268e+00 1.21335916e-01 
473 1018.11 8.69552475e+00 1.27421630e-01 
472 1019.91 8.44740049e+00 1.31848681e-01 
471 1021.71 8.59715399e+00 1.40020126e-01 
470 1023.51 8.37154671e+00 1.33525661e-01 
469 1025.30 8.53538013e+00 1.25778235e-01 
468 1027.09 8.42893634e+00 1.10499039e-01 
467 1028.88 8.56073619e+00 1.15136352e-01 
466 1030.67 8.40897196e+00 1.02801810e-01 
465 1032.46 8.57048368e+00 1.09302047e-01 
464 1034.24 8.41556135e+00 1.16014086e-01 
463 1036.02 8.60869737e+00 1.22163949e-01 
462 1037.80 8.48130922e+00 1.23761061e-01 
461 1039.58 8.69029826e+00 1.18546413e-01 
460 1041.35 8.54625959e+00 1.09936939e-01 
459 1043.12 8.70793029e+00 1.12779906e-01 
458 1044.89 8.62428595e+00 1.22997428e-01 
457 1046.66 8.84538790e+00 1.29539251e-01 
456 1048.43 8.79075830e+00 1.25811342e-01 
455 1050.19 9.01933303e+00 1.37281162e-01 
454 1051.95 8.89120199e+00 1.34345286e-01 
453 1053.71 9.13804631e+00 1.34842642e-01 
452 1055.47 8.97352747e+00 1.17978044e-01 
451 1057.23 9.11250996e+00 1.14165447e-01 
450 1058.98 8.95398713e+00 9.92754538e-02 
449 1060.73 9.12080474e+00 1.16503689e-01 
448 1062.48 8.91889566e+00 1.28491330e-01 
447 1064.23 9.04532884e+00 1.40289740e-01 
446 1065.97 8.75698308e+00 1.55032878e-01 
445 1067.71 8.79519508e+00 1.58968211e-01 
444 1069.46 8.60632574e+00 1.40190216e-01 
443 1071.19 8.72036870e+00 1.16542766e-01 
442 1072.93 8.56143708e+00 1.17453534e-01 
441 1074.67 8.65773904e+00 1.22121750e-01 
440 1076.40 8.45820786e+00 1.16057928e-01 
439 1078.13 8.48674838e+00 1.29504504e-01 
438 1079.86 8.26445519e+00 1.14803783e-01 
437 1081.58 8.33927909e+00 1.05575105e-01 
436 1083.31 8.22450809e+00 9.23694114e-02 
435 1085.03 8.40685006e+00 8.79698233e-02 
434 1086.75 8.34980378e+00 8.11031775e-02 
433 1088.47 8.51163813e+00 7.44574251e-02 
432 1090.19 8.41240542e+00 7.78037560e-02 
431 1091.90 8.53267175e+00 6.41591402e-02 
430 1093.61 8.41459261e+00 5.54023634e-02 
429 1095.33 8.63680543e+00 5.06078324e-02 
428 1097.03 8.67529364e+00 3.37202093e-02 
427 1098.74 8.93731032e+00 3.64418343e-02 
426 1100.45 8.97174581e+00 3.90509345e-02 
425 1102.15 9.26947890e+00 3.56873201e-02 
424 1103.85 9.28235898e+00 4.48385527e-02 
423 1105.55 9.55157541e+00 8.54774689e-02 
422 1107.25 9.48905222e+00 1.47934378e-01 
421 1108.94 9.67479747e+00 2.44758444e-01 
420 1110.64 9.51853309e+00 3.79743595e-01 
419 1112.33 9.60464233e+00 6.15717426e-01 
418 1114.02 9.34240988e+00 8.99686402e-01 
417 1115.70 9.39169156e+00 1.10152765e+00 
416 1117.39 9.17752351e+00 1.19472134e+00 
415 1119.07 9.19967736e+00 1.31384394e+00 
414 1120.76 9.08631611e+00 1.37473011e+00 
