% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from 4STAR_20161110starsun.mat and recorded on 2017-02-09 13:12:51.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
511 949.79 3.00461236e+00 9.01383708e-02 
510 949.79 4.18649065e+00 1.25594720e-01 
509 951.68 4.56587009e+00 1.36976103e-01 
508 953.57 4.64637038e+00 1.39391111e-01 
507 955.46 5.08277330e+00 1.52483199e-01 
506 957.34 5.21849882e+00 1.56554965e-01 
505 959.22 5.76430461e+00 1.72929138e-01 
504 961.10 5.97615326e+00 1.79284598e-01 
503 962.98 6.54599375e+00 1.96379812e-01 
502 964.85 6.70150088e+00 2.01045026e-01 
501 966.72 7.40746543e+00 2.22223963e-01 
500 968.59 7.61589402e+00 2.28476821e-01 
499 970.45 8.06317470e+00 2.41895241e-01 
498 972.32 7.98995203e+00 2.39698561e-01 
497 974.18 8.29059706e+00 2.48717912e-01 
496 976.04 8.27248550e+00 2.48174565e-01 
495 977.89 8.69039083e+00 2.60711725e-01 
494 979.74 8.70987042e+00 2.61296113e-01 
493 981.59 9.08320009e+00 2.72496003e-01 
492 983.44 9.05736070e+00 2.71720821e-01 
491 985.29 9.36512363e+00 2.80953709e-01 
490 987.13 9.22854837e+00 2.76856451e-01 
489 988.97 9.50875190e+00 2.85262557e-01 
488 990.81 9.31788413e+00 2.79536524e-01 
487 992.65 9.49491912e+00 2.84847574e-01 
486 994.48 9.31162142e+00 2.79348643e-01 
485 996.31 9.43675837e+00 2.83102751e-01 
484 998.14 9.19875431e+00 2.75962629e-01 
483 999.97 9.35777331e+00 2.80733199e-01 
482 1001.79 9.09433459e+00 2.72830038e-01 
481 1003.62 9.21292612e+00 2.76387784e-01 
480 1005.44 9.02529692e+00 2.70758908e-01 
479 1007.25 9.27255190e+00 2.78176557e-01 
478 1009.07 9.07156887e+00 2.72147066e-01 
477 1010.88 9.21537985e+00 2.76461395e-01 
476 1012.69 8.93856015e+00 2.68156805e-01 
475 1014.50 9.03653250e+00 2.71095975e-01 
474 1016.31 8.79828332e+00 2.63948500e-01 
473 1018.11 8.93952032e+00 2.68185610e-01 
472 1019.91 8.70494057e+00 2.61148217e-01 
471 1021.71 8.87022285e+00 2.66106685e-01 
470 1023.51 8.62658273e+00 2.58797482e-01 
469 1025.30 8.75701199e+00 2.62710360e-01 
468 1027.09 8.61761129e+00 2.58528339e-01 
467 1028.88 8.74046725e+00 2.62214018e-01 
466 1030.67 8.56471391e+00 2.56941417e-01 
465 1032.46 8.71011904e+00 2.61303571e-01 
464 1034.24 8.55343886e+00 2.56603166e-01 
463 1036.02 8.75499718e+00 2.62649915e-01 
462 1037.80 8.63973104e+00 2.59191931e-01 
461 1039.58 8.83797211e+00 2.65139163e-01 
460 1041.35 8.69072265e+00 2.60721679e-01 
459 1043.12 8.87295415e+00 2.66188624e-01 
458 1044.89 8.80731126e+00 2.64219338e-01 
457 1046.66 9.04975180e+00 2.71492554e-01 
456 1048.43 9.00197870e+00 2.70059361e-01 
455 1050.19 9.24254168e+00 2.77276250e-01 
454 1051.95 9.14392438e+00 2.74317731e-01 
453 1053.71 9.37841069e+00 2.81352321e-01 
452 1055.47 9.17469036e+00 2.75240711e-01 
451 1057.23 9.31276235e+00 2.79382870e-01 
450 1058.98 9.13807507e+00 2.74142252e-01 
449 1060.73 9.32340095e+00 2.79702028e-01 
448 1062.48 9.14359971e+00 2.74307991e-01 
447 1064.23 9.27845422e+00 2.78353627e-01 
446 1065.97 9.02322032e+00 2.70696610e-01 
445 1067.71 9.06228189e+00 2.71868457e-01 
444 1069.46 8.84644633e+00 2.65393390e-01 
443 1071.19 8.88468347e+00 2.66540504e-01 
442 1072.93 8.70960628e+00 2.61288188e-01 
441 1074.67 8.80211618e+00 2.64063485e-01 
440 1076.40 8.57381145e+00 2.57214344e-01 
439 1078.13 8.60843444e+00 2.58253033e-01 
438 1079.86 8.37064065e+00 2.51119220e-01 
437 1081.58 8.41317130e+00 2.52395139e-01 
436 1083.31 8.26187523e+00 2.47856257e-01 
435 1085.03 8.41356853e+00 2.52407056e-01 
434 1086.75 8.34120187e+00 2.50236056e-01 
433 1088.47 8.46298937e+00 2.53889681e-01 
432 1090.19 8.34263783e+00 2.50279135e-01 
431 1091.90 8.41971001e+00 2.52591300e-01 
430 1093.61 8.29296497e+00 2.48788949e-01 
429 1095.33 8.47190685e+00 2.54157205e-01 
428 1097.03 8.42586696e+00 2.52776009e-01 
427 1098.74 8.62307908e+00 2.58692373e-01 
426 1100.45 8.58677629e+00 2.57603289e-01 
425 1102.15 8.78916587e+00 2.63674976e-01 
424 1103.85 8.69125275e+00 2.60737582e-01 
423 1105.55 8.78054943e+00 2.63416483e-01 
422 1107.25 8.57343270e+00 2.57202981e-01 
421 1108.94 8.51340414e+00 2.55402124e-01 
420 1110.64 7.96348834e+00 2.38904650e-01 
419 1112.33 7.41443979e+00 2.22433194e-01 
418 1114.02 6.45209506e+00 1.93562852e-01 
417 1115.70 6.02497904e+00 1.80749371e-01 
416 1117.39 5.59748090e+00 1.67924427e-01 
415 1119.07 5.42614935e+00 1.62784481e-01 
414 1120.76 5.33023189e+00 1.59906957e-01 
413 1122.44 5.19746062e+00 1.55923818e-01 
412 1124.12 5.20439182e+00 1.56131755e-01 
411 1125.79 5.40288437e+00 1.62086531e-01 
410 1127.47 5.58299229e+00 1.67489769e-01 
409 1129.14 6.17711636e+00 1.85313491e-01 
408 1130.81 5.61242643e+00 1.68372793e-01 
407 1132.48 5.42218434e+00 1.62665530e-01 
406 1134.15 5.40737809e+00 1.62221343e-01 
405 1135.81 6.12015361e+00 1.83604608e-01 
404 1137.48 7.19467041e+00 2.15840112e-01 
403 1139.14 7.65086568e+00 2.29525970e-01 
402 1140.80 7.12251141e+00 2.13675342e-01 
401 1142.46 6.66512820e+00 1.99953846e-01 
400 1144.12 6.00868599e+00 1.80260580e-01 
