% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 4STAR_20161110starsun.mat and recorded on 2016-11-11 18:22:40.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.97 2.26870681e+04 6.80612044e+02 
2 174.77 2.26331800e+04 6.78995400e+02 
3 175.56 5.01265678e+04 1.50379703e+03 
4 176.36 1.29440160e+06 3.88320480e+04 
5 177.15 1.53292053e+06 4.59876159e+04 
6 177.94 1.73553311e+06 5.20659933e+04 
7 178.74 2.05892789e+06 6.17678368e+04 
8 179.53 2.38435341e+06 7.15306023e+04 
9 180.33 2.69325301e+06 8.07975904e+04 
10 181.12 3.18557203e+06 9.55671608e+04 
11 181.92 3.65170248e+06 1.09551074e+05 
12 182.71 4.29870704e+06 1.28961211e+05 
13 183.51 5.11089121e+06 1.53326736e+05 
14 184.30 6.08994837e+06 1.82698451e+05 
15 185.10 7.23091369e+06 2.16927411e+05 
16 185.89 8.74365033e+06 2.62309510e+05 
17 186.69 1.04920859e+07 3.14762576e+05 
18 187.49 1.29585697e+07 3.88757090e+05 
19 188.28 1.56938770e+07 4.70816310e+05 
20 189.08 1.91090045e+07 5.73270136e+05 
21 189.88 2.23187529e+07 6.69562587e+05 
22 190.67 2.77989113e+07 8.33967338e+05 
23 191.47 3.55651534e+07 1.06695460e+06 
24 192.27 4.49865093e+07 1.34959528e+06 
25 193.07 5.30140334e+07 1.59042100e+06 
26 193.86 6.35557932e+07 1.90667380e+06 
27 194.66 7.65486346e+07 2.29645904e+06 
28 195.46 8.77833455e+07 2.63350037e+06 
29 196.26 1.17023474e+08 3.51070421e+06 
30 197.05 1.43315119e+08 4.29945356e+06 
31 197.85 1.31116170e+08 3.93348509e+06 
32 198.65 9.58923288e+07 2.87676986e+06 
33 199.45 6.99051534e+07 2.09715460e+06 
34 200.25 5.12858656e+07 1.53857597e+06 
35 201.05 3.63871751e+07 1.09161525e+06 
36 201.85 2.66650889e+07 7.99952667e+05 
37 202.64 1.87823241e+07 5.63469722e+05 
38 203.44 1.34485396e+07 4.03456187e+05 
39 204.24 9.60020868e+06 2.88006260e+05 
40 205.04 7.00291490e+06 2.10087447e+05 
41 205.84 4.89840215e+06 1.46952065e+05 
42 206.64 3.51120521e+06 1.05336156e+05 
43 207.44 2.55644275e+06 7.66932824e+04 
44 208.24 1.79808671e+06 5.39426013e+04 
45 209.04 1.28635592e+06 3.85906776e+04 
46 209.84 9.31322146e+05 2.79396644e+04 
47 210.64 6.47875479e+05 1.94362644e+04 
48 211.44 4.75054614e+05 1.42516384e+04 
49 212.24 3.36238004e+05 1.00871401e+04 
50 213.05 2.43138738e+05 7.29416214e+03 
51 213.85 1.74552059e+05 5.23656176e+03 
52 214.65 1.23961880e+05 3.71885639e+03 
53 215.45 8.98293072e+04 2.69487922e+03 
54 216.25 6.40057720e+04 1.92017316e+03 
55 217.05 4.55015946e+04 1.36504784e+03 
56 217.85 3.29001671e+04 9.87005013e+02 
57 218.65 2.31025362e+04 6.93076087e+02 
58 219.46 1.69439700e+04 5.08319099e+02 
59 220.26 1.20752354e+04 3.62257063e+02 
60 221.06 8.66967931e+03 2.60090379e+02 
61 221.86 6.15551305e+03 1.84665392e+02 
62 222.66 4.40151779e+03 1.32045534e+02 
63 223.47 3.19152298e+03 9.57456895e+01 
64 224.27 2.26475692e+03 6.79427076e+01 
65 225.07 1.65489318e+03 4.96467953e+01 
66 225.87 1.16967920e+03 3.50903761e+01 
67 226.68 8.34459985e+02 2.50337996e+01 
68 227.48 6.09762090e+02 1.82928627e+01 
69 228.28 4.44595965e+02 1.33378789e+01 
70 229.09 3.54298407e+02 1.06289522e+01 
71 229.89 3.01730596e+02 9.05191788e+00 
72 230.69 3.00958386e+02 9.02875159e+00 
73 231.49 3.47518325e+02 1.04255497e+01 
74 232.30 4.50885070e+02 1.35265521e+01 
75 233.10 6.43380240e+02 1.93014072e+01 
76 233.91 9.19559237e+02 2.75867771e+01 
77 234.71 1.40387895e+03 4.21163686e+01 
78 235.51 2.03313450e+03 6.09940350e+01 
79 236.32 2.96606316e+03 8.89818948e+01 
80 237.12 4.43515595e+03 1.33054679e+02 
81 237.92 6.77741815e+03 2.03322545e+02 
82 238.73 9.89834489e+03 2.96950347e+02 
83 239.53 1.46160792e+04 4.38482377e+02 
84 240.34 2.22389125e+04 6.67167374e+02 
85 241.14 3.30231361e+04 9.90694082e+02 
86 241.94 4.73269718e+04 1.41980915e+03 
87 242.75 6.66887924e+04 2.00066377e+03 
88 243.55 9.41615623e+04 2.82484687e+03 
89 244.36 1.30127236e+05 3.90381708e+03 
90 245.16 1.83483400e+05 5.50450199e+03 
