% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from 4STAR_20161111starsun.mat and recorded on 2016-11-11 19:03:49.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
511 949.79 3.41314877e+00 1.02394463e-01 
510 949.79 4.77798791e+00 1.43339637e-01 
509 951.68 5.19049701e+00 1.55714910e-01 
508 953.57 5.22662684e+00 1.56798805e-01 
507 955.46 5.69172464e+00 1.70751739e-01 
506 957.34 5.84062380e+00 1.75218714e-01 
505 959.22 6.39042595e+00 1.91712778e-01 
504 961.10 6.55153546e+00 1.96546064e-01 
503 962.98 7.08955240e+00 2.12686572e-01 
502 964.85 7.18531638e+00 2.15559491e-01 
501 966.72 7.82660875e+00 2.34798263e-01 
500 968.59 7.96041454e+00 2.38812436e-01 
499 970.45 8.37949818e+00 2.51384945e-01 
498 972.32 8.30492723e+00 2.49147817e-01 
497 974.18 8.63886179e+00 2.59165854e-01 
496 976.04 8.60046852e+00 2.58014056e-01 
495 977.89 8.97941058e+00 2.69382317e-01 
494 979.74 8.94974092e+00 2.68492228e-01 
493 981.59 9.27425050e+00 2.78227515e-01 
492 983.44 9.21937724e+00 2.76581317e-01 
491 985.29 9.48189033e+00 2.84456710e-01 
490 987.13 9.32168484e+00 2.79650545e-01 
489 988.97 9.60178532e+00 2.88053559e-01 
488 990.81 9.38776624e+00 2.81632987e-01 
487 992.65 9.57405023e+00 2.87221507e-01 
486 994.48 9.35827907e+00 2.80748372e-01 
485 996.31 9.49598686e+00 2.84879606e-01 
484 998.14 9.23563121e+00 2.77068936e-01 
483 999.97 9.41581192e+00 2.82474358e-01 
482 1001.79 9.13110012e+00 2.73933004e-01 
481 1003.62 9.26567316e+00 2.77970195e-01 
480 1005.44 9.06254205e+00 2.71876261e-01 
479 1007.25 9.33096032e+00 2.79928810e-01 
478 1009.07 9.10941602e+00 2.73282481e-01 
477 1010.88 9.25509846e+00 2.77652954e-01 
476 1012.69 8.97061009e+00 2.69118303e-01 
475 1014.50 9.07454856e+00 2.72236457e-01 
474 1016.31 8.81843428e+00 2.64553029e-01 
473 1018.11 8.97660736e+00 2.69298221e-01 
472 1019.91 8.72991853e+00 2.61897556e-01 
471 1021.71 8.90518958e+00 2.67155687e-01 
470 1023.51 8.67284148e+00 2.60185244e-01 
469 1025.30 8.80848665e+00 2.64254600e-01 
468 1027.09 8.67093102e+00 2.60127931e-01 
467 1028.88 8.78438780e+00 2.63531634e-01 
466 1030.67 8.60202224e+00 2.58060667e-01 
465 1032.46 8.75424241e+00 2.62627272e-01 
464 1034.24 8.60339461e+00 2.58101838e-01 
463 1036.02 8.78772907e+00 2.63631872e-01 
462 1037.80 8.67466480e+00 2.60239944e-01 
461 1039.58 8.86292634e+00 2.65887790e-01 
460 1041.35 8.71674309e+00 2.61502293e-01 
459 1043.12 8.88406495e+00 2.66521948e-01 
458 1044.89 8.82961521e+00 2.64888456e-01 
