% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from 4STAR_20161111starsun.mat and recorded on 2016-11-11 18:23:45.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
511 949.79 4.06084845e+00 1.21825453e-01 
510 949.79 5.01059423e+00 1.50317827e-01 
509 951.68 5.41027360e+00 1.62308208e-01 
508 953.57 5.47037712e+00 1.64111314e-01 
507 955.46 5.93031413e+00 1.77909424e-01 
506 957.34 6.05880788e+00 1.81764236e-01 
505 959.22 6.59234607e+00 1.97770382e-01 
504 961.10 6.74299526e+00 2.02289858e-01 
503 962.98 7.24461159e+00 2.17338348e-01 
502 964.85 7.31848483e+00 2.19554545e-01 
501 966.72 7.91622217e+00 2.37486665e-01 
500 968.59 8.02293756e+00 2.40688127e-01 
499 970.45 8.44093070e+00 2.53227921e-01 
498 972.32 8.38685978e+00 2.51605793e-01 
497 974.18 8.69945278e+00 2.60983584e-01 
496 976.04 8.64145383e+00 2.59243615e-01 
495 977.89 9.02125133e+00 2.70637540e-01 
494 979.74 8.97012169e+00 2.69103651e-01 
493 981.59 9.29469504e+00 2.78840851e-01 
492 983.44 9.20434356e+00 2.76130307e-01 
491 985.29 9.46148215e+00 2.83844464e-01 
490 987.13 9.27672435e+00 2.78301730e-01 
489 988.97 9.53856311e+00 2.86156893e-01 
488 990.81 9.33227716e+00 2.79968315e-01 
487 992.65 9.51476321e+00 2.85442896e-01 
486 994.48 9.31793703e+00 2.79538111e-01 
485 996.31 9.44302122e+00 2.83290637e-01 
484 998.14 9.19649397e+00 2.75894819e-01 
483 999.97 9.36231783e+00 2.80869535e-01 
482 1001.79 9.07653334e+00 2.72296000e-01 
481 1003.62 9.18737224e+00 2.75621167e-01 
480 1005.44 8.98407467e+00 2.69522240e-01 
479 1007.25 9.24261026e+00 2.77278308e-01 
478 1009.07 9.03381482e+00 2.71014445e-01 
477 1010.88 9.18225661e+00 2.75467698e-01 
476 1012.69 8.90291430e+00 2.67087429e-01 
475 1014.50 9.00699048e+00 2.70209714e-01 
474 1016.31 8.77256294e+00 2.63176888e-01 
473 1018.11 8.93086015e+00 2.67925805e-01 
472 1019.91 8.68033077e+00 2.60409923e-01 
471 1021.71 8.84405510e+00 2.65321653e-01 
470 1023.51 8.60862755e+00 2.58258826e-01 
469 1025.30 8.76162630e+00 2.62848789e-01 
468 1027.09 8.63280290e+00 2.58984087e-01 
467 1028.88 8.75778952e+00 2.62733686e-01 
466 1030.67 8.58360672e+00 2.57508202e-01 
465 1032.46 8.73720859e+00 2.62116258e-01 
464 1034.24 8.57676118e+00 2.57302835e-01 
463 1036.02 8.77051824e+00 2.63115547e-01 
462 1037.80 8.65025008e+00 2.59507502e-01 
461 1039.58 8.84748344e+00 2.65424503e-01 
460 1041.35 8.70086010e+00 2.61025803e-01 
459 1043.12 8.87202010e+00 2.66160603e-01 
458 1044.89 8.80125775e+00 2.64037732e-01 
457 1046.66 9.02720254e+00 2.70816076e-01 
456 1048.43 8.98069399e+00 2.69420820e-01 
455 1050.19 9.22673094e+00 2.76801928e-01 
454 1051.95 9.10181997e+00 2.73054599e-01 
453 1053.71 9.35581826e+00 2.80674548e-01 
452 1055.47 9.16871569e+00 2.75061471e-01 
451 1057.23 9.30088655e+00 2.79026596e-01 
450 1058.98 9.13600488e+00 2.74080146e-01 
449 1060.73 9.32460224e+00 2.79738067e-01 
448 1062.48 9.14623846e+00 2.74387154e-01 
447 1064.23 9.28693274e+00 2.78607982e-01 
446 1065.97 9.02855896e+00 2.70856769e-01 
445 1067.71 9.06086965e+00 2.71826090e-01 
444 1069.46 8.84899853e+00 2.65469956e-01 
443 1071.19 8.92501223e+00 2.67750367e-01 
442 1072.93 8.75520627e+00 2.62656188e-01 
441 1074.67 8.85749551e+00 2.65724865e-01 
440 1076.40 8.64372323e+00 2.59311697e-01 
439 1078.13 8.68219117e+00 2.60465735e-01 
438 1079.86 8.45302751e+00 2.53590825e-01 
437 1081.58 8.50734056e+00 2.55220217e-01 
436 1083.31 8.36291523e+00 2.50887457e-01 
435 1085.03 8.54380540e+00 2.56314162e-01 
434 1086.75 8.45784045e+00 2.53735214e-01 
433 1088.47 8.60382245e+00 2.58114674e-01 
432 1090.19 8.50307284e+00 2.55092185e-01 
431 1091.90 8.61390320e+00 2.58417096e-01 
430 1093.61 8.50573034e+00 2.55171910e-01 
429 1095.33 8.74780140e+00 2.62434042e-01 
428 1097.03 8.75971990e+00 2.62791597e-01 
427 1098.74 9.02149539e+00 2.70644862e-01 
426 1100.45 9.05493600e+00 2.71648080e-01 
425 1102.15 9.34145529e+00 2.80243659e-01 
424 1103.85 9.31431839e+00 2.79429552e-01 
423 1105.55 9.49877550e+00 2.84963265e-01 
422 1107.25 9.33124079e+00 2.79937224e-01 
421 1108.94 9.34593025e+00 2.80377908e-01 
420 1110.64 8.94684673e+00 2.68405402e-01 
419 1112.33 8.64627226e+00 2.59388168e-01 
418 1114.02 7.92965415e+00 2.37889625e-01 
417 1115.70 7.70930786e+00 2.31279236e-01 
416 1117.39 7.41789883e+00 2.22536965e-01 
415 1119.07 7.31343193e+00 2.19402958e-01 
414 1120.76 7.16404393e+00 2.14921318e-01 
413 1122.44 7.09633222e+00 2.12889967e-01 
412 1124.12 7.10990262e+00 2.13297079e-01 
411 1125.79 7.49635977e+00 2.24890793e-01 
410 1127.47 7.65623785e+00 2.29687136e-01 
