% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 4STAR_20161112starsun.mat and recorded on 2017-02-09 13:13:19.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.97 1.26967170e+04 3.80901509e+02 
2 174.77 8.94158277e+03 2.68247483e+02 
3 175.56 3.69150140e+03 1.10745042e+02 
4 176.36 2.28179754e+05 6.84539263e+03 
5 177.15 1.89474850e+05 5.68424551e+03 
6 177.94 1.74831159e+05 5.24493478e+03 
7 178.74 1.51199383e+05 4.53598150e+03 
8 179.53 1.25906609e+05 3.77719828e+03 
9 180.33 1.34744343e+05 4.04233030e+03 
10 181.12 1.09792851e+05 3.29378554e+03 
11 181.92 1.60201272e+05 4.80603817e+03 
12 182.71 4.51568709e+05 1.35470613e+04 
13 183.51 9.01849007e+05 2.70554702e+04 
14 184.30 2.73428085e+06 8.20284255e+04 
15 185.10 8.87269125e+06 2.66180738e+05 
16 185.89 6.02777330e+07 1.80833199e+06 
17 186.69 1.74978752e+08 5.24936256e+06 
18 187.49 1.24899144e+09 3.74697433e+07 
19 188.28 5.66583987e+09 1.69975196e+08 
20 189.08 2.15356402e+10 6.46069205e+08 
21 189.88 4.27481902e+10 1.28244571e+09 
22 190.67 7.40539412e+10 2.22161824e+09 
23 191.47 1.15227843e+11 3.45683528e+09 
24 192.27 1.76914449e+11 5.30743348e+09 
25 193.07 2.65481564e+11 7.96444691e+09 
26 193.86 3.44689418e+11 1.03406825e+10 
27 194.66 4.46552470e+11 1.33965741e+10 
28 195.46 5.41259570e+11 1.62377871e+10 
29 196.26 6.81800679e+11 2.04540204e+10 
30 197.05 8.14186317e+11 2.44255895e+10 
31 197.85 1.03558019e+12 3.10674058e+10 
32 198.65 1.22225293e+12 3.66675879e+10 
33 199.45 1.30316578e+12 3.90949734e+10 
34 200.25 1.66271535e+12 4.98814606e+10 
35 201.05 2.02846898e+12 6.08540695e+10 
36 201.85 2.46267715e+12 7.38803144e+10 
37 202.64 3.53709312e+12 1.06112794e+11 
38 203.44 4.14556979e+12 1.24367094e+11 
39 204.24 5.12040899e+12 1.53612270e+11 
40 205.04 6.81569443e+12 2.04470833e+11 
41 205.84 9.43805347e+12 2.83141604e+11 
42 206.64 1.47205450e+13 4.41616350e+11 
