% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from MLONov2016 and recorded on 2017-01-23 18:47:50.
% Based on mean of the c0s (1.8-12 airmass) from 20161110, 20161111, 20161112, and 20161113, which was before the weird drop and spectro issues we saw.  C0err=2*stdev the variability within these 4 langleys.
Pix Wavelength C0 C0err
511 949.79 4.13091206e+00 2.22027153e+00 
510 949.79 4.90876481e+00 1.07539114e+00 
509 951.68 5.30536114e+00 1.08850188e+00 
508 953.57 5.36703282e+00 1.06860103e+00 
507 955.46 5.83166494e+00 1.11509084e+00 
506 957.34 5.96934721e+00 1.10473562e+00 
505 959.22 6.50042482e+00 1.08181134e+00 
504 961.10 6.65551546e+00 9.91090728e-01 
503 962.98 7.16305432e+00 8.96228556e-01 
502 964.85 7.24363464e+00 7.76672484e-01 
501 966.72 7.84456366e+00 6.19138264e-01 
500 968.59 7.96124272e+00 4.84752379e-01 
499 970.45 8.36974489e+00 4.24927575e-01 
498 972.32 8.31551542e+00 4.51056551e-01 
497 974.18 8.64066711e+00 4.89747971e-01 
496 976.04 8.59589461e+00 4.67445160e-01 
495 977.89 8.96872285e+00 3.95924577e-01 
494 979.74 8.91758184e+00 2.77515349e-01 
493 981.59 9.23366356e+00 1.94214693e-01 
492 983.44 9.15199478e+00 1.35854003e-01 
491 985.29 9.41424025e+00 1.03692304e-01 
490 987.13 9.25088991e+00 1.03355130e-01 
489 988.97 9.52014158e+00 1.16785756e-01 
488 990.81 9.32341063e+00 1.01311311e-01 
487 992.65 9.50334892e+00 1.12232843e-01 
486 994.48 9.30695824e+00 8.12645634e-02 
485 996.31 9.43695567e+00 8.98905631e-02 
484 998.14 9.19026954e+00 7.84427243e-02 
483 999.97 9.36242064e+00 9.13757503e-02 
482 1001.79 9.09254538e+00 9.41225143e-02 
481 1003.62 9.21565578e+00 1.09122961e-01 
480 1005.44 9.01704952e+00 1.08516626e-01 
479 1007.25 9.27423424e+00 1.13011912e-01 
478 1009.07 9.06410920e+00 1.01409037e-01 
477 1010.88 9.20482916e+00 9.97412639e-02 
476 1012.69 8.92137683e+00 9.68481674e-02 
475 1014.50 9.02081864e+00 9.46602837e-02 
474 1016.31 8.77650776e+00 8.00930164e-02 
473 1018.11 8.92719108e+00 8.64463820e-02 
472 1019.91 8.68367347e+00 9.32098865e-02 
471 1021.71 8.84832777e+00 1.03286912e-01 
470 1023.51 8.61193185e+00 1.03270517e-01 
469 1025.30 8.74773066e+00 9.36962696e-02 
468 1027.09 8.61550214e+00 8.13538637e-02 
467 1028.88 8.73389057e+00 7.17416131e-02 
466 1030.67 8.55929157e+00 6.20856106e-02 
465 1032.46 8.70988400e+00 6.01086010e-02 
464 1034.24 8.56350623e+00 5.74658335e-02 
463 1036.02 8.75917483e+00 4.35316265e-02 
462 1037.80 8.64237316e+00 4.86590142e-02 
461 1039.58 8.84022005e+00 3.47092275e-02 
460 1041.35 8.69496818e+00 3.09484223e-02 
459 1043.12 8.87525072e+00 2.67562097e-02 
458 1044.89 8.81445433e+00 5.11116301e-02 
457 1046.66 9.04551464e+00 5.87742899e-02 
456 1048.43 8.99892085e+00 6.63367610e-02 
455 1050.19 9.25079563e+00 8.28354436e-02 
454 1051.95 9.13298419e+00 1.03332355e-01 
453 1053.71 9.37290273e+00 9.72937781e-02 
452 1055.47 9.17674636e+00 7.98918976e-02 
451 1057.23 9.30161680e+00 6.65755148e-02 
450 1058.98 9.11779619e+00 4.91777966e-02 
449 1060.73 9.31456451e+00 6.50012903e-02 
448 1062.48 9.13261533e+00 7.78270269e-02 
447 1064.23 9.28012243e+00 9.90519973e-02 
446 1065.97 9.01898556e+00 1.07443976e-01 
445 1067.71 9.05130796e+00 9.71085720e-02 
444 1069.46 8.84479852e+00 1.05631830e-01 
443 1071.19 8.90661746e+00 8.99830877e-02 
442 1072.93 8.73425131e+00 9.39948284e-02 
441 1074.67 8.83827085e+00 8.93160612e-02 
440 1076.40 8.63043523e+00 1.01284238e-01 
439 1078.13 8.67255529e+00 1.21145485e-01 
438 1079.86 8.43879037e+00 1.11816977e-01 
437 1081.58 8.49146251e+00 1.15745547e-01 
436 1083.31 8.35356424e+00 1.44957382e-01 
435 1085.03 8.51813125e+00 1.50244357e-01 
434 1086.75 8.45192117e+00 1.79480437e-01 
433 1088.47 8.58990306e+00 1.98863556e-01 
432 1090.19 8.48567131e+00 2.26222878e-01 
431 1091.90 8.58304326e+00 2.46791065e-01 
430 1093.61 8.46003898e+00 2.40074630e-01 
429 1095.33 8.67223346e+00 2.75611008e-01 
428 1097.03 8.67751921e+00 3.35263062e-01 
427 1098.74 8.93565332e+00 4.39828366e-01 
426 1100.45 8.96042478e+00 5.29439046e-01 
425 1102.15 9.22560495e+00 6.04838773e-01 
424 1103.85 9.18349297e+00 6.71461137e-01 
423 1105.55 9.33769914e+00 7.43519012e-01 
422 1107.25 9.16203948e+00 7.90158271e-01 
421 1108.94 9.17789089e+00 9.31355380e-01 
420 1110.64 8.78103490e+00 1.18057478e+00 
419 1112.33 8.47604777e+00 1.58782088e+00 
418 1114.02 7.77589118e+00 2.04190847e+00 
417 1115.70 7.53144803e+00 2.34506046e+00 
416 1117.39 7.19704882e+00 2.46136251e+00 
415 1119.07 7.07533753e+00 2.56115334e+00 
414 1120.76 6.92314354e+00 2.48656970e+00 
413 1122.44 6.85766890e+00 2.59625909e+00 
412 1124.12 6.85301218e+00 2.58049642e+00 
411 1125.79 7.14979698e+00 2.62230581e+00 
410 1127.47 7.35908126e+00 2.64068999e+00 
409 1129.14 7.83785328e+00 2.44521975e+00 
408 1130.81 7.26154627e+00 2.54707760e+00 
407 1132.48 7.03680270e+00 2.54828294e+00 
406 1134.15 6.95034432e+00 2.44481492e+00 
405 1135.81 7.50569981e+00 2.16295000e+00 
404 1137.48 8.37647595e+00 1.73583984e+00 
403 1139.14 8.75628645e+00 1.59474860e+00 
402 1140.80 8.36854531e+00 1.82634995e+00 
401 1142.46 8.10253690e+00 2.12547339e+00 
400 1144.12 7.62404852e+00 2.40114426e+00 
399 1145.77 7.56663095e+00 2.51800597e+00 
398 1147.43 7.61828608e+00 2.36674475e+00 
