% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from MLONov2016 and recorded on 2017-04-07 10:21:05.
% Based on mean of the c0s from 20161110, 20161111, 20161112, and 20161113, ***and now adding BOTH langleys on 20161115 (AM and PM)***, which (except for these last two) were before the weird drop and spectro issues we saw.  1115 was a straight fit, but exhibited a drop in magnitude relative to the first four.  C0err=2*stdev the variability within these 6 langleys.
Pix Wavelength C0 C0err
511 949.79 4.51009035e+00 2.08279740e+00 
510 949.79 5.08593512e+00 9.97610155e-01 
509 951.68 5.47995314e+00 1.00176949e+00 
508 953.57 5.54524381e+00 9.95010356e-01 
507 955.46 6.01718900e+00 1.03753886e+00 
506 957.34 6.14500712e+00 1.01417639e+00 
505 959.22 6.66451602e+00 9.80282826e-01 
504 961.10 6.80290897e+00 8.93593455e-01 
503 962.98 7.29049662e+00 7.99338474e-01 
502 964.85 7.34523975e+00 6.79749864e-01 
501 966.72 7.91790125e+00 5.32014685e-01 
500 968.59 8.00525361e+00 4.01158248e-01 
499 970.45 8.40510552e+00 3.48054507e-01 
498 972.32 8.35576807e+00 3.71650422e-01 
497 974.18 8.68306225e+00 4.02601880e-01 
496 976.04 8.62415901e+00 3.74317135e-01 
495 977.89 8.98768336e+00 3.14115191e-01 
494 979.74 8.92104063e+00 2.17890455e-01 
493 981.59 9.23051272e+00 1.53399587e-01 
492 983.44 9.13833218e+00 1.16303406e-01 
491 985.29 9.39718549e+00 9.82539455e-02 
490 987.13 9.22291005e+00 1.21341570e-01 
489 988.97 9.48900048e+00 1.37728012e-01 
488 990.81 9.29022048e+00 1.35156552e-01 
487 992.65 9.47195651e+00 1.37027439e-01 
486 994.48 9.27826606e+00 1.17565594e-01 
485 996.31 9.40636588e+00 1.25647774e-01 
484 998.14 9.16010587e+00 1.18507740e-01 
483 999.97 9.32949961e+00 1.33428023e-01 
482 1001.79 9.05369265e+00 1.51296402e-01 
481 1003.62 9.16574798e+00 1.88751248e-01 
480 1005.44 8.95851304e+00 2.13427689e-01 
479 1007.25 9.20985572e+00 2.30920408e-01 
478 1009.07 8.99666301e+00 2.36026411e-01 
477 1010.88 9.14109942e+00 2.26537215e-01 
476 1012.69 8.86065170e+00 2.14715067e-01 
475 1014.50 8.96346378e+00 2.01855648e-01 
474 1016.31 8.72762654e+00 1.73610064e-01 
473 1018.11 8.87774230e+00 1.78255343e-01 
472 1019.91 8.63460761e+00 1.78718506e-01 
471 1021.71 8.79390134e+00 1.94481231e-01 
470 1023.51 8.56149501e+00 1.82555720e-01 
469 1025.30 8.70662064e+00 1.53357537e-01 
468 1027.09 8.58286339e+00 1.21829854e-01 
467 1028.88 8.71061985e+00 9.49193295e-02 
466 1030.67 8.54279705e+00 7.58957591e-02 
465 1032.46 8.70231037e+00 5.85451135e-02 
464 1034.24 8.55711448e+00 5.81382266e-02 
463 1036.02 8.75497583e+00 4.50111573e-02 
462 1037.80 8.63829177e+00 5.31816390e-02 
461 1039.58 8.83941718e+00 3.65626065e-02 
460 1041.35 8.69080189e+00 4.04874050e-02 
459 1043.12 8.86460945e+00 4.80027486e-02 
458 1044.89 8.79674440e+00 7.77318481e-02 
457 1046.66 9.02399218e+00 9.08486367e-02 
456 1048.43 8.97190074e+00 1.16858152e-01 
455 1050.19 9.21603867e+00 1.44915169e-01 
454 1051.95 9.08720423e+00 1.81901893e-01 
453 1053.71 9.32737001e+00 1.77035211e-01 
452 1055.47 9.13979608e+00 1.42749645e-01 
451 1057.23 9.26896404e+00 1.22712156e-01 
450 1058.98 9.08903946e+00 1.02085515e-01 
449 1060.73 9.27946632e+00 1.25796586e-01 
448 1062.48 9.09254956e+00 1.45508936e-01 
447 1064.23 9.23214554e+00 1.74972940e-01 
446 1065.97 8.96613239e+00 1.95610347e-01 
445 1067.71 9.00033340e+00 1.85128696e-01 
444 1069.46 8.79763401e+00 1.79316875e-01 
443 1071.19 8.87323251e+00 1.34525727e-01 
442 1072.93 8.70914918e+00 1.12634408e-01 
441 1074.67 8.81961343e+00 9.46432782e-02 
440 1076.40 8.61194799e+00 1.01495752e-01 
439 1078.13 8.65443546e+00 1.13243035e-01 
438 1079.86 8.42587162e+00 1.01060539e-01 
437 1081.58 8.48392119e+00 1.01271116e-01 
436 1083.31 8.35070402e+00 1.21255717e-01 
435 1085.03 8.52076213e+00 1.25433938e-01 
434 1086.75 8.45635603e+00 1.45998038e-01 
433 1088.47 8.60622327e+00 1.65633319e-01 
432 1090.19 8.50654328e+00 1.89565082e-01 
431 1091.90 8.61170332e+00 2.13138047e-01 
430 1093.61 8.49146087e+00 2.11134578e-01 
429 1095.33 8.70986490e+00 2.44130320e-01 
428 1097.03 8.72076241e+00 2.92773036e-01 
427 1098.74 8.98142421e+00 3.70207458e-01 
426 1100.45 9.00902262e+00 4.38452846e-01 
425 1102.15 9.28217169e+00 5.01227489e-01 
424 1103.85 9.25440507e+00 5.65133028e-01 
423 1105.55 9.43776145e+00 6.54115701e-01 
422 1107.25 9.28230301e+00 7.16560374e-01 
421 1108.94 9.33149020e+00 8.64263710e-01 
420 1110.64 8.98078125e+00 1.10422602e+00 
419 1112.33 8.75224455e+00 1.49842095e+00 
418 1114.02 8.13341042e+00 1.93122226e+00 
417 1115.70 7.94220106e+00 2.21869806e+00 
416 1117.39 7.62648429e+00 2.32594664e+00 
415 1119.07 7.52399185e+00 2.42336104e+00 
414 1120.76 7.35558572e+00 2.34730340e+00 
