% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from 4STAR_20170526starsun.mat and recorded on 2017-05-26 16:16:50.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
511 949.79 5.01439333e+00 1.50431797e-01 
510 949.79 5.21739101e+00 1.56521738e-01 
509 951.68 5.60043001e+00 1.68012902e-01 
508 953.57 5.65654469e+00 1.69696346e-01 
507 955.46 6.11618042e+00 1.83485419e-01 
506 957.34 6.23370171e+00 1.87011048e-01 
505 959.22 6.72729969e+00 2.01818988e-01 
504 961.10 6.83035851e+00 2.04910755e-01 
503 962.98 7.28741217e+00 2.18622372e-01 
502 964.85 7.29291296e+00 2.18787387e-01 
501 966.72 7.81743097e+00 2.34522924e-01 
500 968.59 7.84967232e+00 2.35490173e-01 
499 970.45 8.24225044e+00 2.47267514e-01 
498 972.32 8.18447208e+00 2.45534167e-01 
497 974.18 8.52463341e+00 2.55739003e-01 
496 976.04 8.45243263e+00 2.53572971e-01 
495 977.89 8.79302311e+00 2.63790697e-01 
494 979.74 8.70988846e+00 2.61296660e-01 
493 981.59 9.00474834e+00 2.70142436e-01 
492 983.44 8.88738823e+00 2.66621649e-01 
491 985.29 9.13895798e+00 2.74168730e-01 
490 987.13 8.92410278e+00 2.67723083e-01 
489 988.97 9.16400528e+00 2.74920166e-01 
488 990.81 8.98199368e+00 2.69459814e-01 
487 992.65 9.15949059e+00 2.74784714e-01 
486 994.48 8.95098591e+00 2.68529564e-01 
485 996.31 9.07984257e+00 2.72395283e-01 
484 998.14 8.82823086e+00 2.64846921e-01 
483 999.97 8.98616219e+00 2.69584864e-01 
482 1001.79 8.70091152e+00 2.61027336e-01 
481 1003.62 8.78727245e+00 2.63618171e-01 
480 1005.44 8.55931854e+00 2.56779552e-01 
479 1007.25 8.81439877e+00 2.64431953e-01 
478 1009.07 8.62164688e+00 2.58649409e-01 
477 1010.88 8.78634167e+00 2.63590246e-01 
476 1012.69 8.51815510e+00 2.55544662e-01 
475 1014.50 8.63293743e+00 2.58988112e-01 
474 1016.31 8.42603588e+00 2.52781063e-01 
473 1018.11 8.56939983e+00 2.57081985e-01 
472 1019.91 8.33627510e+00 2.50088245e-01 
471 1021.71 8.48601627e+00 2.54580498e-01 
470 1023.51 8.26347160e+00 2.47904152e-01 
469 1025.30 8.45580006e+00 2.53674001e-01 
468 1027.09 8.35467911e+00 2.50640363e-01 
467 1028.88 8.52804089e+00 2.55841225e-01 
466 1030.67 8.36130142e+00 2.50839055e-01 
465 1032.46 8.54006195e+00 2.56201863e-01 
464 1034.24 8.38264084e+00 2.51479238e-01 
463 1036.02 8.55286598e+00 2.56585985e-01 
462 1037.80 8.42379475e+00 2.52713829e-01 
461 1039.58 8.63097572e+00 2.58929282e-01 
460 1041.35 8.48447037e+00 2.54534125e-01 
459 1043.12 8.65977573e+00 2.59793282e-01 
458 1044.89 8.56559181e+00 2.56967753e-01 
457 1046.66 8.76270866e+00 2.62881249e-01 
456 1048.43 8.69060612e+00 2.60718197e-01 
455 1050.19 8.91199303e+00 2.67359793e-01 
454 1051.95 8.73817635e+00 2.62145281e-01 
453 1053.71 8.98000431e+00 2.69400120e-01 
452 1055.47 8.82455730e+00 2.64736712e-01 
451 1057.23 8.95817184e+00 2.68745154e-01 
450 1058.98 8.82139301e+00 2.64641792e-01 
449 1060.73 9.03186131e+00 2.70955831e-01 
448 1062.48 8.83851719e+00 2.65155524e-01 
447 1064.23 8.96634102e+00 2.68990219e-01 
446 1065.97 8.66182137e+00 2.59854645e-01 
445 1067.71 8.68174648e+00 2.60452390e-01 
444 1069.46 8.47992229e+00 2.54397660e-01 
443 1071.19 8.61251259e+00 2.58375376e-01 
442 1072.93 8.45272064e+00 2.53581613e-01 
441 1074.67 8.55733299e+00 2.56719977e-01 
440 1076.40 8.37062836e+00 2.51118839e-01 
439 1078.13 8.41581726e+00 2.52474517e-01 
438 1079.86 8.18532848e+00 2.45559856e-01 
437 1081.58 8.26661491e+00 2.47998446e-01 
436 1083.31 8.13564873e+00 2.44069457e-01 
435 1085.03 8.31458569e+00 2.49437571e-01 
434 1086.75 8.26104832e+00 2.47831449e-01 
