% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 4STAR_20170526starsun.mat and recorded on 2017-05-26 16:16:50.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out.
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.98 -1.00000000e+00 -1.00000000e+00 
2 174.77 -1.00000000e+00 -1.00000000e+00 
3 175.56 -1.00000000e+00 -1.00000000e+00 
4 176.36 -1.00000000e+00 -1.00000000e+00 
5 177.15 -1.00000000e+00 -1.00000000e+00 
6 177.94 -1.00000000e+00 -1.00000000e+00 
7 178.74 -1.00000000e+00 -1.00000000e+00 
8 179.53 -1.00000000e+00 -1.00000000e+00 
9 180.33 -1.00000000e+00 -1.00000000e+00 
10 181.12 -1.00000000e+00 -1.00000000e+00 
11 181.92 -1.00000000e+00 -1.00000000e+00 
12 182.71 -1.00000000e+00 -1.00000000e+00 
13 183.51 -1.00000000e+00 -1.00000000e+00 
14 184.30 -1.00000000e+00 -1.00000000e+00 
15 185.10 -1.00000000e+00 -1.00000000e+00 
16 185.89 -1.00000000e+00 -1.00000000e+00 
17 186.69 -1.00000000e+00 -1.00000000e+00 
18 187.49 -1.00000000e+00 -1.00000000e+00 
19 188.28 -1.00000000e+00 -1.00000000e+00 
20 189.08 -1.00000000e+00 -1.00000000e+00 
21 189.88 -1.00000000e+00 -1.00000000e+00 
22 190.67 -1.00000000e+00 -1.00000000e+00 
23 191.47 -1.00000000e+00 -1.00000000e+00 
24 192.27 -1.00000000e+00 -1.00000000e+00 
25 193.07 -1.00000000e+00 -1.00000000e+00 
26 193.86 -1.00000000e+00 -1.00000000e+00 
27 194.66 -1.00000000e+00 -1.00000000e+00 
28 195.46 -1.00000000e+00 -1.00000000e+00 
29 196.26 -1.00000000e+00 -1.00000000e+00 
30 197.05 -1.00000000e+00 -1.00000000e+00 
31 197.85 -1.00000000e+00 -1.00000000e+00 
32 198.65 -1.00000000e+00 -1.00000000e+00 
33 199.45 -1.00000000e+00 -1.00000000e+00 
34 200.25 -1.00000000e+00 -1.00000000e+00 
35 201.05 -1.00000000e+00 -1.00000000e+00 
36 201.85 -1.00000000e+00 -1.00000000e+00 
37 202.65 -1.00000000e+00 -1.00000000e+00 
38 203.44 -1.00000000e+00 -1.00000000e+00 
39 204.24 -1.00000000e+00 -1.00000000e+00 
40 205.04 -1.00000000e+00 -1.00000000e+00 
41 205.84 -1.00000000e+00 -1.00000000e+00 
42 206.64 -1.00000000e+00 -1.00000000e+00 
43 207.44 -1.00000000e+00 -1.00000000e+00 
44 208.24 -1.00000000e+00 -1.00000000e+00 
45 209.04 -1.00000000e+00 -1.00000000e+00 
46 209.84 -1.00000000e+00 -1.00000000e+00 
47 210.64 -1.00000000e+00 -1.00000000e+00 
48 211.44 -1.00000000e+00 -1.00000000e+00 
49 212.24 -1.00000000e+00 -1.00000000e+00 
50 213.04 -1.00000000e+00 -1.00000000e+00 
51 213.85 -1.00000000e+00 -1.00000000e+00 
52 214.65 -1.00000000e+00 -1.00000000e+00 
53 215.45 -1.00000000e+00 -1.00000000e+00 
54 216.25 -1.00000000e+00 -1.00000000e+00 
55 217.05 -1.00000000e+00 -1.00000000e+00 
56 217.85 -1.00000000e+00 -1.00000000e+00 
57 218.65 -1.00000000e+00 -1.00000000e+00 
58 219.46 -1.00000000e+00 -1.00000000e+00 
59 220.26 1.48209972e+01 4.44629908e-01 
60 221.06 2.39986372e+00 7.19959140e-02 
61 221.86 2.27622271e+00 6.82866797e-02 
62 222.66 1.88910043e+00 5.66730127e-02 
63 223.47 1.69903398e+00 5.09710200e-02 
64 224.27 1.60792589e+00 4.82377782e-02 
65 225.07 1.53606224e+00 4.60818671e-02 
66 225.87 1.86724854e+00 5.60174547e-02 
67 226.68 1.78834605e+00 5.36503829e-02 
68 227.48 1.85741627e+00 5.57224900e-02 
69 228.28 1.65887833e+00 4.97663505e-02 
70 229.08 1.71339202e+00 5.14017604e-02 
71 229.89 1.72539485e+00 5.17618470e-02 
72 230.69 1.79601669e+00 5.38805015e-02 
73 231.49 1.73558724e+00 5.20676188e-02 
74 232.30 1.90679514e+00 5.72038554e-02 
75 233.10 1.74536037e+00 5.23608103e-02 
76 233.90 1.69492972e+00 5.08478917e-02 
77 234.71 1.62762451e+00 4.88287359e-02 
78 235.51 1.55599594e+00 4.66798767e-02 
79 236.32 1.55611467e+00 4.66834418e-02 
80 237.12 1.82301986e+00 5.46905957e-02 
81 237.92 1.70865345e+00 5.12596034e-02 
82 238.73 2.12199664e+00 6.36598989e-02 
83 239.53 2.11987686e+00 6.35963082e-02 
84 240.34 -1.00000000e+00 -1.00000000e+00 
85 241.14 -1.00000000e+00 -1.00000000e+00 
86 241.94 -1.00000000e+00 -1.00000000e+00 
87 242.75 -1.00000000e+00 -1.00000000e+00 
88 243.55 -1.00000000e+00 -1.00000000e+00 
89 244.36 -1.00000000e+00 -1.00000000e+00 
90 245.16 -1.00000000e+00 -1.00000000e+00 
91 245.97 -1.00000000e+00 -1.00000000e+00 
92 246.77 -1.00000000e+00 -1.00000000e+00 
93 247.58 -1.00000000e+00 -1.00000000e+00 
94 248.38 -1.00000000e+00 -1.00000000e+00 
95 249.19 -1.00000000e+00 -1.00000000e+00 
96 249.99 -1.00000000e+00 -1.00000000e+00 
97 250.80 -1.00000000e+00 -1.00000000e+00 
98 251.60 -1.00000000e+00 -1.00000000e+00 
99 252.41 -1.00000000e+00 -1.00000000e+00 
100 253.21 -1.00000000e+00 -1.00000000e+00 
101 254.02 -1.00000000e+00 -1.00000000e+00 
102 254.82 -1.00000000e+00 -1.00000000e+00 
103 255.63 -1.00000000e+00 -1.00000000e+00 
104 256.44 -1.00000000e+00 -1.00000000e+00 
105 257.24 -1.00000000e+00 -1.00000000e+00 
106 258.05 -1.00000000e+00 -1.00000000e+00 
107 258.85 -1.00000000e+00 -1.00000000e+00 
108 259.66 -1.00000000e+00 -1.00000000e+00 
109 260.46 -1.00000000e+00 -1.00000000e+00 
110 261.27 -1.00000000e+00 -1.00000000e+00 
111 262.08 -1.00000000e+00 -1.00000000e+00 
112 262.88 -1.00000000e+00 -1.00000000e+00 
113 263.69 -1.00000000e+00 -1.00000000e+00 
114 264.49 -1.00000000e+00 -1.00000000e+00 
115 265.30 -1.00000000e+00 -1.00000000e+00 
116 266.11 -1.00000000e+00 -1.00000000e+00 
117 266.91 -1.00000000e+00 -1.00000000e+00 
118 267.72 -1.00000000e+00 -1.00000000e+00 
119 268.53 -1.00000000e+00 -1.00000000e+00 
120 269.33 5.18435335e+00 1.55530602e-01 
121 270.14 2.28828955e+00 6.86486885e-02 
122 270.95 1.61362815e+00 4.84088436e-02 
123 271.75 1.69446433e+00 5.08339293e-02 
124 272.56 1.52591181e+00 4.57773544e-02 
125 273.37 1.65782821e+00 4.97348458e-02 
126 274.17 1.60107076e+00 4.80321236e-02 
127 274.98 1.69357252e+00 5.08071743e-02 
128 275.79 1.94713473e+00 5.84140420e-02 
129 276.59 1.85539091e+00 5.56617267e-02 
130 277.40 1.80934370e+00 5.42803109e-02 
131 278.21 1.82523966e+00 5.47571890e-02 
132 279.01 2.15231562e+00 6.45694658e-02 
133 279.82 2.28066421e+00 6.84199259e-02 
134 280.63 2.22322273e+00 6.66966811e-02 
135 281.43 2.38255072e+00 7.14765191e-02 
136 282.24 2.67294550e+00 8.01883638e-02 
137 283.05 2.94382000e+00 8.83146003e-02 
138 283.86 3.39723349e+00 1.01917006e-01 
139 284.66 3.64635444e+00 1.09390631e-01 
140 285.47 3.97501206e+00 1.19250365e-01 
141 286.28 4.37388134e+00 1.31216437e-01 
142 287.09 5.21460104e+00 1.56438038e-01 
143 287.89 6.39669561e+00 1.91900864e-01 
144 288.70 7.07930851e+00 2.12379262e-01 
145 289.51 7.67095613e+00 2.30128691e-01 
146 290.32 6.02096796e+00 1.80629045e-01 
147 291.12 4.86338043e+00 1.45901412e-01 
148 291.93 3.96777058e+00 1.19033121e-01 
149 292.74 3.29340887e+00 9.88022685e-02 
150 293.55 2.78087640e+00 8.34262893e-02 
151 294.35 2.36063027e+00 7.08189085e-02 
152 295.16 2.07268643e+00 6.21805936e-02 
153 295.97 1.81591952e+00 5.44775873e-02 
154 296.78 1.60868204e+00 4.82604615e-02 
155 297.58 1.45556736e+00 4.36670221e-02 
156 298.39 1.31657410e+00 3.94972228e-02 
157 299.20 1.20157576e+00 3.60472724e-02 
158 300.01 1.12296069e+00 3.36888209e-02 
159 300.81 1.03358901e+00 3.10076699e-02 
160 301.62 9.81211126e-01 2.94363331e-02 
161 302.43 9.35843468e-01 2.80753039e-02 
162 303.24 8.75405490e-01 2.62621641e-02 
163 304.04 8.63115072e-01 2.58934516e-02 
164 304.85 8.13211381e-01 2.43963413e-02 
165 305.66 7.89655209e-01 2.36896556e-02 
166 306.47 7.74735332e-01 2.32420601e-02 
167 307.28 7.44434237e-01 2.23330278e-02 
168 308.08 7.50346303e-01 2.25103889e-02 
169 308.89 7.17547357e-01 2.15264205e-02 
170 309.70 7.13417888e-01 2.14025360e-02 
171 310.51 7.02682972e-01 2.10804883e-02 
172 311.32 6.93427265e-01 2.08028182e-02 
173 312.12 6.89524055e-01 2.06857212e-02 
174 312.93 6.85009658e-01 2.05502901e-02 
175 313.74 6.90137029e-01 2.07041111e-02 
176 314.55 6.86767578e-01 2.06030272e-02 
177 315.36 6.81439996e-01 2.04431992e-02 
178 316.16 6.96780205e-01 2.09034067e-02 
179 316.97 6.95578039e-01 2.08673403e-02 
180 317.78 7.06327677e-01 2.11898312e-02 
181 318.59 7.22623587e-01 2.16787085e-02 
182 319.40 7.23230004e-01 2.16969009e-02 
183 320.20 7.41363168e-01 2.22408958e-02 
184 321.01 7.54557252e-01 2.26367172e-02 
185 321.82 7.72132516e-01 2.31639761e-02 
186 322.63 7.85214424e-01 2.35564336e-02 
187 323.43 8.01959693e-01 2.40587909e-02 
188 324.24 8.25470269e-01 2.47641075e-02 
189 325.05 8.47460449e-01 2.54238136e-02 
190 325.86 8.70788693e-01 2.61236615e-02 
191 326.67 8.84613574e-01 2.65384074e-02 
192 327.48 9.14176464e-01 2.74252947e-02 
193 328.28 9.47173357e-01 2.84152012e-02 
194 329.09 9.77368057e-01 2.93210410e-02 
195 329.90 1.01311994e+00 3.03935986e-02 
196 330.71 1.06360054e+00 3.19080167e-02 
197 331.52 1.16522241e+00 3.49566713e-02 
198 332.32 1.29989600e+00 3.89968790e-02 
199 333.13 1.54997969e+00 4.64993902e-02 
200 333.94 2.01251578e+00 6.03754744e-02 
201 334.75 2.80372286e+00 8.41116831e-02 
202 335.55 3.91214204e+00 1.17364258e-01 
203 336.36 5.57260513e+00 1.67178154e-01 
204 337.17 8.26049328e+00 2.47814804e-01 
205 337.98 1.21259117e+01 3.63777339e-01 
206 338.79 1.68657265e+01 5.05971789e-01 
207 339.60 2.21316814e+01 6.63950443e-01 
208 340.40 2.69161949e+01 8.07485819e-01 
209 341.21 3.10137043e+01 9.30411100e-01 
210 342.02 3.57879333e+01 1.07363796e+00 
211 342.83 4.00516090e+01 1.20154822e+00 
212 343.63 4.12709656e+01 1.23812902e+00 
213 344.44 4.28734741e+01 1.28620422e+00 
214 345.25 4.78975601e+01 1.43692684e+00 
215 346.06 5.25563354e+01 1.57669008e+00 
216 346.87 5.57668266e+01 1.67300475e+00 
217 347.67 5.79650497e+01 1.73895144e+00 
218 348.48 6.00682220e+01 1.80204666e+00 
219 349.29 6.37494850e+01 1.91248453e+00 
220 350.10 7.01866226e+01 2.10559869e+00 
221 350.90 7.45906067e+01 2.23771811e+00 
222 351.71 7.48292923e+01 2.24487877e+00 
223 352.52 7.62933044e+01 2.28879905e+00 
224 353.33 8.31143188e+01 2.49342966e+00 
225 354.14 9.16886215e+01 2.75065875e+00 
226 354.94 9.55985184e+01 2.86795545e+00 
227 355.75 9.39909134e+01 2.81972742e+00 
228 356.56 8.84927521e+01 2.65478253e+00 
229 357.37 8.31053619e+01 2.49316096e+00 
230 358.18 8.19986267e+01 2.45995879e+00 
231 358.98 9.20504608e+01 2.76151371e+00 
232 359.79 1.06276756e+02 3.18830276e+00 
233 360.60 1.08401253e+02 3.25203753e+00 
234 361.41 1.06695358e+02 3.20086074e+00 
235 362.21 1.12399529e+02 3.37198591e+00 
236 363.02 1.19112724e+02 3.57338166e+00 
237 363.83 1.23140251e+02 3.69420743e+00 
238 364.64 1.29098129e+02 3.87294388e+00 
239 365.44 1.40602631e+02 4.21807909e+00 
240 366.25 1.50734161e+02 4.52202463e+00 
241 367.06 1.52143280e+02 4.56429863e+00 
242 367.87 1.49653732e+02 4.48961210e+00 
243 368.67 1.51515656e+02 4.54546976e+00 
244 369.48 1.57897018e+02 4.73691034e+00 
245 370.29 1.59339066e+02 4.78017187e+00 
246 371.10 1.57358551e+02 4.72075653e+00 
247 371.90 1.53168915e+02 4.59506750e+00 
248 372.71 1.44575882e+02 4.33727646e+00 
249 373.52 1.36385559e+02 4.09156656e+00 
250 374.33 1.35463577e+02 4.06390715e+00 
251 375.13 1.44678909e+02 4.34036732e+00 
252 375.94 1.57548660e+02 4.72645998e+00 
253 376.75 1.71261368e+02 5.13784122e+00 
254 377.56 1.87343811e+02 5.62031412e+00 
255 378.36 1.91913330e+02 5.75740004e+00 
256 379.17 1.82058075e+02 5.46174240e+00 
257 379.98 1.77553879e+02 5.32661629e+00 
258 380.78 1.77201508e+02 5.31604528e+00 
259 381.59 1.61854156e+02 4.85562468e+00 
260 382.40 1.37710770e+02 4.13132286e+00 
261 383.20 1.26172356e+02 3.78517056e+00 
262 384.01 1.36426208e+02 4.09278631e+00 
263 384.82 1.54312027e+02 4.62936068e+00 
264 385.63 1.61818588e+02 4.85455751e+00 
265 386.43 1.63043579e+02 4.89130735e+00 
266 387.24 1.63895004e+02 4.91685009e+00 
267 388.05 1.66230469e+02 4.98691416e+00 
268 388.85 1.75932220e+02 5.27796650e+00 
269 389.66 1.92012543e+02 5.76037645e+00 
270 390.47 2.05027374e+02 6.15082121e+00 
271 391.27 2.06057358e+02 6.18172073e+00 
272 392.08 1.84041870e+02 5.52125597e+00 
273 392.89 1.49152267e+02 4.47456789e+00 
274 393.69 1.40150604e+02 4.20451832e+00 
275 394.50 1.66688385e+02 5.00065136e+00 
276 395.31 1.86765732e+02 5.60297203e+00 
277 396.11 1.74484207e+02 5.23452616e+00 
278 396.92 1.64690323e+02 4.94070959e+00 
279 397.73 1.93644241e+02 5.80932713e+00 
280 398.53 2.38981934e+02 7.16945791e+00 
281 399.34 2.68118408e+02 8.04355240e+00 
282 400.15 2.82106018e+02 8.46318054e+00 
283 400.95 2.91771942e+02 8.75315857e+00 
284 401.76 2.99481903e+02 8.98445702e+00 
285 402.57 3.01746307e+02 9.05238914e+00 
286 403.37 2.99979126e+02 8.99937344e+00 
287 404.18 2.98593689e+02 8.95781040e+00 
288 404.99 2.97202057e+02 8.91606140e+00 
289 405.79 2.95627808e+02 8.86883450e+00 
290 406.60 2.96411194e+02 8.89233589e+00 
291 407.40 3.03528656e+02 9.10585976e+00 
292 408.21 3.14918884e+02 9.44756699e+00 
293 409.02 3.19315918e+02 9.57947731e+00 
294 409.82 3.15442322e+02 9.46326923e+00 
295 410.63 3.18504486e+02 9.55513477e+00 
296 411.43 3.31538635e+02 9.94615936e+00 
297 412.24 3.40102966e+02 1.02030888e+01 
298 413.05 3.40389160e+02 1.02116747e+01 
299 413.85 3.39248108e+02 1.01774435e+01 
300 414.66 3.38716461e+02 1.01614943e+01 
301 415.46 3.38964172e+02 1.01689253e+01 
302 416.27 3.38179688e+02 1.01453905e+01 
303 417.08 3.32932434e+02 9.98797321e+00 
304 417.88 3.26182800e+02 9.78548431e+00 
305 418.69 3.22634399e+02 9.67903233e+00 
306 419.49 3.22592255e+02 9.67776775e+00 
307 420.30 3.25939789e+02 9.77819347e+00 
308 421.11 3.29089905e+02 9.87269688e+00 
309 421.91 3.26349579e+02 9.79048729e+00 
310 422.72 3.20726685e+02 9.62180042e+00 
311 423.52 3.20333130e+02 9.60999393e+00 
312 424.33 3.24070496e+02 9.72211456e+00 
313 425.13 3.26787292e+02 9.80361843e+00 
314 425.94 3.27429443e+02 9.82288361e+00 
315 426.74 3.27524567e+02 9.82573700e+00 
316 427.55 3.27727478e+02 9.83182430e+00 
317 428.36 3.24650787e+02 9.73952389e+00 
318 429.16 3.13051422e+02 9.39154243e+00 
319 429.96 3.00549713e+02 9.01649094e+00 
320 430.77 3.09339935e+02 9.28019810e+00 
321 431.58 3.42791840e+02 1.02837553e+01 
322 432.38 3.78076385e+02 1.13422918e+01 
323 433.19 3.96305664e+02 1.18891697e+01 
324 433.99 4.06686401e+02 1.22005920e+01 
325 434.80 4.24331573e+02 1.27299471e+01 
326 435.60 4.48709290e+02 1.34612789e+01 
327 436.41 4.65903320e+02 1.39770994e+01 
328 437.21 4.67887421e+02 1.40366230e+01 
329 438.02 4.63525177e+02 1.39057550e+01 
330 438.82 4.66778564e+02 1.40033569e+01 
331 439.63 4.81561707e+02 1.44468508e+01 
332 440.43 5.03016510e+02 1.50904951e+01 
333 441.24 5.25564026e+02 1.57669210e+01 
334 442.04 5.45747498e+02 1.63724251e+01 
335 442.85 5.60054138e+02 1.68016243e+01 
336 443.65 5.68540161e+02 1.70562057e+01 
337 444.45 5.72244019e+02 1.71673203e+01 
338 445.26 5.72790283e+02 1.71837082e+01 
339 446.06 5.78087341e+02 1.73426208e+01 
340 446.87 5.91726868e+02 1.77518063e+01 
341 447.67 6.09169739e+02 1.82750931e+01 
342 448.48 6.22970825e+02 1.86891251e+01 
343 449.28 6.35874573e+02 1.90762367e+01 
344 450.09 6.49799316e+02 1.94939804e+01 
345 450.89 6.57981445e+02 1.97394428e+01 
346 451.70 6.52946655e+02 1.95883999e+01 
347 452.50 6.40876770e+02 1.92263031e+01 
348 453.30 6.34643860e+02 1.90393162e+01 
349 454.11 6.38027039e+02 1.91408119e+01 
350 454.91 6.48232788e+02 1.94469833e+01 
351 455.72 6.59409912e+02 1.97822971e+01 
352 456.52 6.68777039e+02 2.00633106e+01 
353 457.32 6.72767456e+02 2.01830235e+01 
354 458.13 6.71614197e+02 2.01484261e+01 
355 458.93 6.70501953e+02 2.01150589e+01 
356 459.74 6.74614929e+02 2.02384472e+01 
357 460.54 6.83580383e+02 2.05074120e+01 
358 461.34 6.93397949e+02 2.08019390e+01 
359 462.15 6.99974243e+02 2.09992275e+01 
360 462.95 7.00352844e+02 2.10105858e+01 
361 463.76 6.96182861e+02 2.08854866e+01 
362 464.56 6.91877991e+02 2.07563400e+01 
363 465.36 6.88647461e+02 2.06594238e+01 
364 466.17 6.86913879e+02 2.06074162e+01 
365 466.97 6.87600464e+02 2.06280136e+01 
366 467.77 6.90775330e+02 2.07232590e+01 
367 468.58 6.94400513e+02 2.08320160e+01 
368 469.38 6.95324585e+02 2.08597374e+01 
369 470.18 6.96402649e+02 2.08920803e+01 
370 470.99 7.03477234e+02 2.11043167e+01 
371 471.79 7.14114258e+02 2.14234276e+01 
372 472.59 7.23466309e+02 2.17039890e+01 
373 473.40 7.30020020e+02 2.19006004e+01 
374 474.20 7.34210205e+02 2.20263062e+01 
375 475.00 7.36746155e+02 2.21023846e+01 
376 475.81 7.39020508e+02 2.21706161e+01 
377 476.61 7.43059692e+02 2.22917900e+01 
378 477.41 7.50008301e+02 2.25002499e+01 
379 478.21 7.57240662e+02 2.27172203e+01 
380 479.02 7.62056091e+02 2.28616829e+01 
381 479.82 7.64917603e+02 2.29475288e+01 
382 480.62 7.68081665e+02 2.30424500e+01 
383 481.43 7.69485352e+02 2.30845604e+01 
384 482.23 7.68134399e+02 2.30440311e+01 
385 483.03 7.62446106e+02 2.28733826e+01 
386 483.84 7.49895630e+02 2.24968681e+01 
387 484.64 7.25816284e+02 2.17744884e+01 
388 485.44 6.96028809e+02 2.08808651e+01 
389 486.24 6.78723694e+02 2.03617115e+01 
390 487.04 6.81250854e+02 2.04375248e+01 
391 487.85 7.00069336e+02 2.10020809e+01 
392 488.65 7.23753052e+02 2.17125912e+01 
393 489.45 7.39825806e+02 2.21947746e+01 
394 490.26 7.45669922e+02 2.23700981e+01 
395 491.06 7.43288635e+02 2.22986584e+01 
396 491.86 7.38336853e+02 2.21501064e+01 
397 492.66 7.38071045e+02 2.21421318e+01 
398 493.46 7.44785828e+02 2.23435745e+01 
399 494.27 7.53138733e+02 2.25941620e+01 
400 495.07 7.57415405e+02 2.27224617e+01 
401 495.87 7.59499329e+02 2.27849808e+01 
402 496.67 7.56443481e+02 2.26933041e+01 
403 497.48 7.50675964e+02 2.25202789e+01 
404 498.28 7.44912292e+02 2.23473682e+01 
405 499.08 7.37675598e+02 2.21302681e+01 
406 499.88 7.29382202e+02 2.18814659e+01 
407 500.68 7.22365295e+02 2.16709595e+01 
408 501.48 7.19070251e+02 2.15721073e+01 
409 502.29 7.20837219e+02 2.16251163e+01 
410 503.09 7.25695557e+02 2.17708664e+01 
411 503.89 7.32113647e+02 2.19634094e+01 
412 504.69 7.39998352e+02 2.21999512e+01 
413 505.49 7.45973633e+02 2.23792095e+01 
414 506.29 7.47194702e+02 2.24158401e+01 
415 507.09 7.43963074e+02 2.23188915e+01 
416 507.90 7.39806763e+02 2.21942024e+01 
417 508.70 7.37960571e+02 2.21388168e+01 
418 509.50 7.38500610e+02 2.21550179e+01 
419 510.30 7.40075317e+02 2.22022591e+01 
420 511.10 7.39198120e+02 2.21759434e+01 
421 511.90 7.34270813e+02 2.20281239e+01 
422 512.71 7.26500122e+02 2.17950039e+01 
423 513.51 7.17943420e+02 2.15383034e+01 
424 514.31 7.10573914e+02 2.13172169e+01 
425 515.11 6.99538452e+02 2.09861526e+01 
426 515.91 6.81534485e+02 2.04460354e+01 
427 516.71 6.63405823e+02 1.99021740e+01 
428 517.51 6.52872192e+02 1.95861664e+01 
429 518.31 6.56456543e+02 1.96936970e+01 
430 519.11 6.72204346e+02 2.01661301e+01 
431 519.91 6.89074463e+02 2.06722336e+01 
432 520.71 7.01939575e+02 2.10581875e+01 
433 521.52 7.07647705e+02 2.12294312e+01 
434 522.32 7.10652527e+02 2.13195763e+01 
435 523.12 7.15764282e+02 2.14729290e+01 
436 523.92 7.20557129e+02 2.16167145e+01 
437 524.72 7.20317688e+02 2.16095314e+01 
438 525.52 7.10557312e+02 2.13167191e+01 
439 526.32 6.98041382e+02 2.09412422e+01 
440 527.12 6.95440308e+02 2.08632088e+01 
441 527.92 7.04261292e+02 2.11278381e+01 
442 528.72 7.20245605e+02 2.16073685e+01 
443 529.52 7.34216919e+02 2.20265083e+01 
444 530.32 7.40840393e+02 2.22252121e+01 
445 531.12 7.38406921e+02 2.21522083e+01 
446 531.92 7.30940613e+02 2.19282188e+01 
447 532.72 7.25006226e+02 2.17501869e+01 
448 533.52 7.23481812e+02 2.17044544e+01 
449 534.32 7.29156189e+02 2.18746853e+01 
450 535.12 7.34878540e+02 2.20463562e+01 
451 535.92 7.35435547e+02 2.20630665e+01 
452 536.72 7.33632446e+02 2.20089741e+01 
453 537.52 7.30226074e+02 2.19067822e+01 
454 538.32 7.25548828e+02 2.17664642e+01 
455 539.12 7.19107300e+02 2.15732193e+01 
456 539.92 7.13531921e+02 2.14059582e+01 
457 540.72 7.11356689e+02 2.13407001e+01 
458 541.52 7.13799744e+02 2.14139919e+01 
459 542.32 7.19559021e+02 2.15867710e+01 
460 543.12 7.25275879e+02 2.17582760e+01 
461 543.92 7.29163818e+02 2.18749142e+01 
462 544.72 7.31424561e+02 2.19427376e+01 
463 545.52 7.30497437e+02 2.19149227e+01 
464 546.32 7.26980103e+02 2.18094025e+01 
465 547.12 7.21997559e+02 2.16599274e+01 
466 547.91 7.18993774e+02 2.15698128e+01 
467 548.71 7.18452637e+02 2.15535793e+01 
468 549.51 7.18639709e+02 2.15591908e+01 
469 550.31 7.18796326e+02 2.15638905e+01 
470 551.11 7.18593811e+02 2.15578136e+01 
471 551.91 7.18329346e+02 2.15498810e+01 
472 552.71 7.18419067e+02 2.15525723e+01 
473 553.51 7.20149780e+02 2.16044941e+01 
474 554.31 7.21878418e+02 2.16563530e+01 
475 555.10 7.19931396e+02 2.15979424e+01 
476 555.90 7.15470154e+02 2.14641037e+01 
477 556.70 7.09818054e+02 2.12945423e+01 
478 557.50 7.01546753e+02 2.10464020e+01 
479 558.30 6.94553833e+02 2.08366146e+01 
480 559.10 6.92886963e+02 2.07866096e+01 
481 559.90 6.93139099e+02 2.07941723e+01 
482 560.70 6.95795227e+02 2.08738575e+01 
483 561.49 7.01633362e+02 2.10490017e+01 
484 562.29 7.06412476e+02 2.11923752e+01 
485 563.09 7.08076721e+02 2.12423019e+01 
486 563.89 7.09341309e+02 2.12802391e+01 
487 564.69 7.08723938e+02 2.12617188e+01 
