% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from 4STAR_20170530starsun.mat and recorded on 2017-05-30 16:27:13.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
511 949.79 4.77325678e+00 1.43197700e-01 
510 949.79 4.98394823e+00 1.49518445e-01 
509 951.68 5.36893272e+00 1.61067978e-01 
508 953.57 5.43899727e+00 1.63169920e-01 
507 955.46 5.89425564e+00 1.76827669e-01 
506 957.34 6.02454185e+00 1.80736259e-01 
505 959.22 6.52034426e+00 1.95610330e-01 
504 961.10 6.64691305e+00 1.99407399e-01 
503 962.98 7.11030149e+00 2.13309050e-01 
502 964.85 7.14989758e+00 2.14496925e-01 
501 966.72 7.69216204e+00 2.30764866e-01 
500 968.59 7.73377132e+00 2.32013136e-01 
499 970.45 8.14166451e+00 2.44249940e-01 
498 972.32 8.07657623e+00 2.42297292e-01 
497 974.18 8.39772606e+00 2.51931787e-01 
496 976.04 8.33112240e+00 2.49933675e-01 
495 977.89 8.69288921e+00 2.60786682e-01 
494 979.74 8.61659431e+00 2.58497834e-01 
493 981.59 8.92700100e+00 2.67810017e-01 
492 983.44 8.82761192e+00 2.64828354e-01 
491 985.29 9.08889961e+00 2.72666991e-01 
490 987.13 8.87578869e+00 2.66273648e-01 
489 988.97 9.12188053e+00 2.73656428e-01 
488 990.81 8.93236160e+00 2.67970860e-01 
487 992.65 9.10881424e+00 2.73264438e-01 
486 994.48 8.91415882e+00 2.67424762e-01 
485 996.31 9.03739262e+00 2.71121770e-01 
484 998.14 8.78561974e+00 2.63568580e-01 
483 999.97 8.94864082e+00 2.68459231e-01 
482 1001.79 8.66673565e+00 2.60002077e-01 
481 1003.62 8.75213909e+00 2.62564182e-01 
480 1005.44 8.53862667e+00 2.56158799e-01 
479 1007.25 8.77671528e+00 2.63301462e-01 
478 1009.07 8.58827209e+00 2.57648170e-01 
477 1010.88 8.73748016e+00 2.62124419e-01 
476 1012.69 8.48418522e+00 2.54525542e-01 
475 1014.50 8.59265327e+00 2.57779598e-01 
474 1016.31 8.39866447e+00 2.51959920e-01 
473 1018.11 8.53732967e+00 2.56119877e-01 
472 1019.91 8.30302429e+00 2.49090731e-01 
471 1021.71 8.44795609e+00 2.53438681e-01 
470 1023.51 8.23517323e+00 2.47055203e-01 
469 1025.30 8.40997028e+00 2.52299100e-01 
468 1027.09 8.32298279e+00 2.49689490e-01 
467 1028.88 8.50234890e+00 2.55070478e-01 
