% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 4STAR_20170530starsun.mat and recorded on 2017-05-30 15:42:50.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.98 -1.00000000e+00 -1.00000000e+00 
2 174.77 -1.00000000e+00 -1.00000000e+00 
3 175.56 -1.00000000e+00 -1.00000000e+00 
4 176.36 -1.00000000e+00 -1.00000000e+00 
5 177.15 -1.00000000e+00 -1.00000000e+00 
6 177.94 -1.00000000e+00 -1.00000000e+00 
7 178.74 -1.00000000e+00 -1.00000000e+00 
8 179.53 -1.00000000e+00 -1.00000000e+00 
9 180.33 -1.00000000e+00 -1.00000000e+00 
10 181.12 -1.00000000e+00 -1.00000000e+00 
11 181.92 -1.00000000e+00 -1.00000000e+00 
12 182.71 -1.00000000e+00 -1.00000000e+00 
13 183.51 -1.00000000e+00 -1.00000000e+00 
14 184.30 -1.00000000e+00 -1.00000000e+00 
15 185.10 -1.00000000e+00 -1.00000000e+00 
16 185.89 -1.00000000e+00 -1.00000000e+00 
17 186.69 -1.00000000e+00 -1.00000000e+00 
18 187.49 -1.00000000e+00 -1.00000000e+00 
19 188.28 -1.00000000e+00 -1.00000000e+00 
20 189.08 -1.00000000e+00 -1.00000000e+00 
21 189.88 -1.00000000e+00 -1.00000000e+00 
22 190.67 -1.00000000e+00 -1.00000000e+00 
23 191.47 -1.00000000e+00 -1.00000000e+00 
24 192.27 -1.00000000e+00 -1.00000000e+00 
25 193.07 -1.00000000e+00 -1.00000000e+00 
26 193.86 -1.00000000e+00 -1.00000000e+00 
27 194.66 -1.00000000e+00 -1.00000000e+00 
28 195.46 -1.00000000e+00 -1.00000000e+00 
29 196.26 -1.00000000e+00 -1.00000000e+00 
30 197.05 -1.00000000e+00 -1.00000000e+00 
31 197.85 -1.00000000e+00 -1.00000000e+00 
32 198.65 -1.00000000e+00 -1.00000000e+00 
33 199.45 -1.00000000e+00 -1.00000000e+00 
34 200.25 -1.00000000e+00 -1.00000000e+00 
35 201.05 -1.00000000e+00 -1.00000000e+00 
36 201.85 -1.00000000e+00 -1.00000000e+00 
37 202.65 -1.00000000e+00 -1.00000000e+00 
38 203.44 -1.00000000e+00 -1.00000000e+00 
39 204.24 -1.00000000e+00 -1.00000000e+00 
40 205.04 -1.00000000e+00 -1.00000000e+00 
41 205.84 -1.00000000e+00 -1.00000000e+00 
42 206.64 -1.00000000e+00 -1.00000000e+00 
43 207.44 -1.00000000e+00 -1.00000000e+00 
44 208.24 -1.00000000e+00 -1.00000000e+00 
45 209.04 -1.00000000e+00 -1.00000000e+00 
46 209.84 -1.00000000e+00 -1.00000000e+00 
47 210.64 -1.00000000e+00 -1.00000000e+00 
48 211.44 -1.00000000e+00 -1.00000000e+00 
49 212.24 -1.00000000e+00 -1.00000000e+00 
50 213.04 7.71380626e-13 2.31414195e-14 
51 213.85 1.51719379e+00 4.55158129e-02 
52 214.65 1.16523600e+00 3.49570811e-02 
53 215.45 1.33827543e+00 4.01482619e-02 
54 216.25 1.22066307e+00 3.66198905e-02 
55 217.05 9.14653003e-01 2.74395905e-02 
56 217.85 1.00738180e+00 3.02214548e-02 
57 218.65 1.05934167e+00 3.17802504e-02 
58 219.46 1.16224384e+00 3.48673165e-02 
59 220.26 1.12748277e+00 3.38244848e-02 
60 221.06 1.09125245e+00 3.27375717e-02 
61 221.86 1.15239882e+00 3.45719643e-02 
62 222.66 1.24703884e+00 3.74111645e-02 
63 223.47 1.16580498e+00 3.49741504e-02 
64 224.27 1.23368633e+00 3.70105915e-02 
65 225.07 1.24915278e+00 3.74745838e-02 
66 225.87 1.26546943e+00 3.79640833e-02 
67 226.68 1.27903903e+00 3.83711718e-02 
68 227.48 1.33945012e+00 4.01835032e-02 
69 228.28 1.29900253e+00 3.89700755e-02 
70 229.08 1.27951717e+00 3.83855142e-02 
71 229.89 1.26466835e+00 3.79400514e-02 
72 230.69 1.25524783e+00 3.76574360e-02 
73 231.49 1.26611161e+00 3.79833467e-02 
74 232.30 1.34453869e+00 4.03361619e-02 
75 233.10 1.32448161e+00 3.97344492e-02 
76 233.90 1.29072392e+00 3.87217179e-02 
77 234.71 1.29408622e+00 3.88225876e-02 
78 235.51 1.20342660e+00 3.61027978e-02 
79 236.32 1.13386619e+00 3.40159871e-02 
80 237.12 1.11390519e+00 3.34171541e-02 
81 237.92 1.08628511e+00 3.25885527e-02 
82 238.73 1.02908623e+00 3.08725871e-02 
83 239.53 9.92157400e-01 2.97647212e-02 
84 240.34 9.83910739e-01 2.95173228e-02 
85 241.14 9.78274465e-01 2.93482337e-02 
86 241.94 9.89473820e-01 2.96842139e-02 
87 242.75 1.07379329e+00 3.22137997e-02 
88 243.55 1.17161858e+00 3.51485573e-02 
89 244.36 9.30439889e-01 2.79131960e-02 
90 245.16 8.67834568e-01 2.60350369e-02 
91 245.97 2.71546268e+00 8.14638808e-02 
92 246.77 -1.00000000e+00 -1.00000000e+00 
93 247.58 -1.00000000e+00 -1.00000000e+00 
94 248.38 -1.00000000e+00 -1.00000000e+00 
95 249.19 -1.00000000e+00 -1.00000000e+00 
96 249.99 -1.00000000e+00 -1.00000000e+00 
97 250.80 -1.00000000e+00 -1.00000000e+00 
98 251.60 -1.00000000e+00 -1.00000000e+00 
99 252.41 -1.00000000e+00 -1.00000000e+00 
100 253.21 -1.00000000e+00 -1.00000000e+00 
101 254.02 -1.00000000e+00 -1.00000000e+00 
102 254.82 -1.00000000e+00 -1.00000000e+00 
103 255.63 -1.00000000e+00 -1.00000000e+00 
104 256.44 -1.00000000e+00 -1.00000000e+00 
105 257.24 -1.00000000e+00 -1.00000000e+00 
106 258.05 -1.00000000e+00 -1.00000000e+00 
107 258.85 -1.00000000e+00 -1.00000000e+00 
108 259.66 -1.00000000e+00 -1.00000000e+00 
109 260.46 -1.00000000e+00 -1.00000000e+00 
110 261.27 -1.00000000e+00 -1.00000000e+00 
111 262.08 -1.00000000e+00 -1.00000000e+00 
112 262.88 1.29136680e+04 3.87410034e+02 
113 263.69 1.74032658e-01 5.22097992e-03 
114 264.49 9.38131034e-01 2.81439312e-02 
115 265.30 1.53281939e+00 4.59845811e-02 
116 266.11 1.11029077e+00 3.33087221e-02 
117 266.91 1.04700804e+00 3.14102396e-02 
118 267.72 9.15833116e-01 2.74749938e-02 
119 268.53 9.21601713e-01 2.76480522e-02 
120 269.33 1.07946098e+00 3.23838294e-02 
121 270.14 1.05891347e+00 3.17674056e-02 
122 270.95 1.04794300e+00 3.14382911e-02 
123 271.75 1.14993966e+00 3.44981886e-02 
124 272.56 1.15801299e+00 3.47403884e-02 
125 273.37 1.19896364e+00 3.59689109e-02 
126 274.17 1.28356504e+00 3.85069512e-02 
127 274.98 1.29254699e+00 3.87764089e-02 
128 275.79 1.32627130e+00 3.97881381e-02 
129 276.59 1.25733256e+00 3.77199762e-02 
130 277.40 1.17623568e+00 3.52870710e-02 
131 278.21 1.17423165e+00 3.52269486e-02 
132 279.01 1.03483367e+00 3.10450103e-02 
133 279.82 1.05464435e+00 3.16393301e-02 
134 280.63 1.03313756e+00 3.09941266e-02 
135 281.43 1.01002145e+00 3.03006433e-02 
136 282.24 9.22495127e-01 2.76748538e-02 
137 283.05 9.24256325e-01 2.77276896e-02 
138 283.86 8.28516960e-01 2.48555094e-02 
139 284.66 8.25256944e-01 2.47577075e-02 
140 285.47 7.94790149e-01 2.38437038e-02 
141 286.28 7.51420796e-01 2.25426238e-02 
142 287.09 7.69288659e-01 2.30786595e-02 
143 287.89 7.32583284e-01 2.19774991e-02 
144 288.70 7.11122930e-01 2.13336870e-02 
145 289.51 7.11026669e-01 2.13307999e-02 
146 290.32 6.84595466e-01 2.05378644e-02 
147 291.12 6.91571474e-01 2.07471438e-02 
148 291.93 6.77364707e-01 2.03209408e-02 
149 292.74 6.51791871e-01 1.95537563e-02 
150 293.55 6.50425136e-01 1.95127539e-02 
151 294.35 6.26166105e-01 1.87849831e-02 
152 295.16 6.36400521e-01 1.90920159e-02 
153 295.97 6.58843815e-01 1.97653137e-02 
154 296.78 6.05288327e-01 1.81586500e-02 
155 297.58 6.21220648e-01 1.86366197e-02 
156 298.39 6.17744446e-01 1.85323339e-02 
157 299.20 5.95860124e-01 1.78758036e-02 
158 300.01 5.97758889e-01 1.79327670e-02 
159 300.81 5.98557770e-01 1.79567337e-02 
160 301.62 6.01362109e-01 1.80408638e-02 
161 302.43 5.77618361e-01 1.73285510e-02 
162 303.24 5.92107713e-01 1.77632309e-02 
163 304.04 6.02759480e-01 1.80827845e-02 
164 304.85 6.04532123e-01 1.81359630e-02 
165 305.66 5.85323453e-01 1.75597034e-02 
166 306.47 5.99392891e-01 1.79817863e-02 
167 307.28 6.24571741e-01 1.87371522e-02 
168 308.08 5.89979529e-01 1.76993851e-02 
169 308.89 6.15247488e-01 1.84574239e-02 
170 309.70 6.08346999e-01 1.82504095e-02 
171 310.51 6.07459962e-01 1.82237998e-02 
172 311.32 6.43044889e-01 1.92913469e-02 
173 312.12 6.29287004e-01 1.88786108e-02 
174 312.93 6.40017569e-01 1.92005262e-02 
175 313.74 6.50777817e-01 1.95233338e-02 
176 314.55 6.40377700e-01 1.92113314e-02 
177 315.36 6.70980394e-01 2.01294124e-02 
178 316.16 6.99016690e-01 2.09705010e-02 
179 316.97 6.95907533e-01 2.08772253e-02 
180 317.78 7.11161256e-01 2.13348381e-02 
181 318.59 7.19070733e-01 2.15721224e-02 
182 319.40 7.44936407e-01 2.23480929e-02 
183 320.20 7.61693120e-01 2.28507929e-02 
184 321.01 8.09533358e-01 2.42860001e-02 
185 321.82 7.95541108e-01 2.38662325e-02 
186 322.63 8.27534914e-01 2.48260479e-02 
187 323.43 8.72923553e-01 2.61877067e-02 
188 324.24 8.63415599e-01 2.59024687e-02 
189 325.05 8.88926029e-01 2.66677812e-02 
190 325.86 9.46369171e-01 2.83910744e-02 
191 326.67 9.45180178e-01 2.83554047e-02 
192 327.48 9.84645128e-01 2.95393541e-02 
193 328.28 1.00596619e+00 3.01789865e-02 
194 329.09 1.07957900e+00 3.23873684e-02 
195 329.90 1.11208522e+00 3.33625562e-02 
196 330.71 1.15514076e+00 3.46542224e-02 
197 331.52 1.29224014e+00 3.87672037e-02 
198 332.32 1.45923376e+00 4.37770113e-02 
199 333.13 1.68520379e+00 5.05561121e-02 
200 333.94 2.23762608e+00 6.71287850e-02 
201 334.75 3.09498119e+00 9.28494334e-02 
202 335.55 4.22628689e+00 1.26788601e-01 
203 336.36 5.98823738e+00 1.79647118e-01 
204 337.17 8.55186749e+00 2.56556034e-01 
205 337.98 1.21257877e+01 3.63773644e-01 
206 338.79 1.65342312e+01 4.96026933e-01 
207 339.60 2.15044250e+01 6.45132780e-01 
208 340.40 2.59676476e+01 7.79029429e-01 
209 341.21 2.98148098e+01 8.94444287e-01 
210 342.02 3.44286957e+01 1.03286088e+00 
211 342.83 3.84669113e+01 1.15400732e+00 
212 343.63 3.96474457e+01 1.18942332e+00 
213 344.44 4.11874542e+01 1.23562360e+00 
214 345.25 4.58530884e+01 1.37559271e+00 
215 346.06 5.02756805e+01 1.50827038e+00 
216 346.87 5.33156738e+01 1.59947026e+00 
217 347.67 5.54613571e+01 1.66384077e+00 
218 348.48 5.75528603e+01 1.72658587e+00 
219 349.29 6.10719070e+01 1.83215725e+00 
220 350.10 6.71815948e+01 2.01544785e+00 
221 350.90 7.13414154e+01 2.14024258e+00 
222 351.71 7.16711655e+01 2.15013504e+00 
223 352.52 7.31761475e+01 2.19528437e+00 
224 353.33 7.95839539e+01 2.38751864e+00 
225 354.14 8.78484039e+01 2.63545203e+00 
226 354.94 9.16088715e+01 2.74826622e+00 
227 355.75 9.01248932e+01 2.70374680e+00 
228 356.56 8.49912872e+01 2.54973865e+00 
229 357.37 7.99757462e+01 2.39927244e+00 
230 358.18 7.91809769e+01 2.37542939e+00 
231 358.98 8.90056152e+01 2.67016840e+00 
232 359.79 1.02767059e+02 3.08301187e+00 
233 360.60 1.04880341e+02 3.14641023e+00 
234 361.41 1.03455299e+02 3.10365891e+00 
235 362.21 1.09072754e+02 3.27218270e+00 
236 363.02 1.15602806e+02 3.46808410e+00 
237 363.83 1.19730286e+02 3.59190845e+00 
238 364.64 1.25659302e+02 3.76977897e+00 
239 365.44 1.37068100e+02 4.11204290e+00 
240 366.25 1.47028198e+02 4.41084576e+00 
241 367.06 1.48620651e+02 4.45861959e+00 
242 367.87 1.46452133e+02 4.39356422e+00 
243 368.67 1.48675873e+02 4.46027613e+00 
244 369.48 1.55051453e+02 4.65154362e+00 
245 370.29 1.56624115e+02 4.69872332e+00 
246 371.10 1.55128204e+02 4.65384626e+00 
247 371.90 1.51160614e+02 4.53481865e+00 
248 372.71 1.43002762e+02 4.29008293e+00 
249 373.52 1.35128891e+02 4.05386686e+00 
250 374.33 1.34737183e+02 4.04211569e+00 
251 375.13 1.44231934e+02 4.32695818e+00 
252 375.94 1.57294266e+02 4.71882820e+00 
253 376.75 1.71308899e+02 5.13926697e+00 
254 377.56 1.87406433e+02 5.62219286e+00 
255 378.36 1.91888245e+02 5.75664711e+00 
256 379.17 1.82785004e+02 5.48355007e+00 
257 379.98 1.78696686e+02 5.36090040e+00 
258 380.78 1.78219391e+02 5.34658194e+00 
259 381.59 1.62999817e+02 4.88999462e+00 
260 382.40 1.39380844e+02 4.18142509e+00 
261 383.20 1.28244003e+02 3.84732008e+00 
262 384.01 1.39146561e+02 4.17439699e+00 
263 384.82 1.57053833e+02 4.71161509e+00 
264 385.63 1.65203842e+02 4.95611525e+00 
265 386.43 1.67046600e+02 5.01139784e+00 
266 387.24 1.68486938e+02 5.05460835e+00 
267 388.05 1.71760742e+02 5.15282249e+00 
268 388.85 1.82571838e+02 5.47715521e+00 
269 389.66 1.99708786e+02 5.99126339e+00 
270 390.47 2.14063660e+02 6.42190981e+00 
271 391.27 2.15397812e+02 6.46193457e+00 
272 392.08 1.92907501e+02 5.78722525e+00 
273 392.89 1.57792923e+02 4.73378754e+00 
274 393.69 1.50026413e+02 4.50079250e+00 
275 394.50 1.78605042e+02 5.35815144e+00 
276 395.31 1.99820038e+02 5.99460125e+00 
277 396.11 1.87622986e+02 5.62868977e+00 
278 396.92 1.78972900e+02 5.36918688e+00 
279 397.73 2.10956238e+02 6.32868719e+00 
280 398.53 2.60408997e+02 7.81226969e+00 
281 399.34 2.92786133e+02 8.78358364e+00 
282 400.15 3.08723694e+02 9.26171112e+00 
283 400.95 3.20121033e+02 9.60363102e+00 
284 401.76 3.28607086e+02 9.85821247e+00 
285 402.57 3.30959106e+02 9.92877293e+00 
286 403.37 3.29549530e+02 9.88648605e+00 
287 404.18 3.28235779e+02 9.84707355e+00 
288 404.99 3.26733551e+02 9.80200672e+00 
289 405.79 3.25091522e+02 9.75274563e+00 
290 406.60 3.26220276e+02 9.78660870e+00 
291 407.40 3.34016907e+02 1.00205069e+01 
292 408.21 3.46125793e+02 1.03837738e+01 
293 409.02 3.51160797e+02 1.05348244e+01 
294 409.82 3.47328247e+02 1.04198475e+01 
295 410.63 3.51720337e+02 1.05516100e+01 
296 411.43 3.66418335e+02 1.09925499e+01 
297 412.24 3.76778076e+02 1.13033419e+01 
298 413.05 3.78598114e+02 1.13579435e+01 
299 413.85 3.78587463e+02 1.13576241e+01 
300 414.66 3.79841309e+02 1.13952389e+01 
301 415.46 3.81679596e+02 1.14503880e+01 
302 416.27 3.82417419e+02 1.14725227e+01 
303 417.08 3.78149963e+02 1.13444986e+01 
304 417.88 3.72789642e+02 1.11836891e+01 
305 418.69 3.70612610e+02 1.11183786e+01 
306 419.49 3.72442444e+02 1.11732731e+01 
307 420.30 3.78061951e+02 1.13418589e+01 
308 421.11 3.82491638e+02 1.14747496e+01 
309 421.91 3.80048370e+02 1.14014511e+01 
310 422.72 3.74389343e+02 1.12316799e+01 
311 423.52 3.73857727e+02 1.12157316e+01 
312 424.33 3.77942993e+02 1.13382902e+01 
313 425.13 3.80448181e+02 1.14134455e+01 
314 425.94 3.79842560e+02 1.13952770e+01 
315 426.74 3.78190521e+02 1.13457155e+01 
316 427.55 3.76039307e+02 1.12811794e+01 
317 428.36 3.69673828e+02 1.10902147e+01 
318 429.16 3.53278656e+02 1.05983601e+01 
319 429.96 3.36906403e+02 1.01071920e+01 
320 430.77 3.43510651e+02 1.03053198e+01 
321 431.58 3.76062073e+02 1.12818623e+01 
322 432.38 4.10076447e+02 1.23022938e+01 
323 433.19 4.26117096e+02 1.27835131e+01 
324 433.99 4.33925201e+02 1.30177565e+01 
325 434.80 4.48679993e+02 1.34603996e+01 
326 435.60 4.69931061e+02 1.40979319e+01 
327 436.41 4.83892975e+02 1.45167894e+01 
328 437.21 4.82092651e+02 1.44627800e+01 
329 438.02 4.74247955e+02 1.42274389e+01 
330 438.82 4.74865936e+02 1.42459784e+01 
331 439.63 4.86959473e+02 1.46087837e+01 
332 440.43 5.06563019e+02 1.51968908e+01 
333 441.24 5.26227539e+02 1.57868261e+01 
334 442.04 5.43232483e+02 1.62969742e+01 
335 442.85 5.55398560e+02 1.66619568e+01 
336 443.65 5.61433838e+02 1.68430157e+01 
337 444.45 5.62916504e+02 1.68874950e+01 
338 445.26 5.62891541e+02 1.68867455e+01 
339 446.06 5.66927246e+02 1.70078182e+01 
340 446.87 5.78972351e+02 1.73691711e+01 
341 447.67 5.94784058e+02 1.78435211e+01 
342 448.48 6.06793701e+02 1.82038116e+01 
343 449.28 6.19414917e+02 1.85824471e+01 
344 450.09 6.31666382e+02 1.89499912e+01 
345 450.89 6.38812134e+02 1.91643639e+01 
346 451.70 6.33086975e+02 1.89926090e+01 
347 452.50 6.21453003e+02 1.86435909e+01 
348 453.30 6.15577698e+02 1.84673309e+01 
349 454.11 6.19069397e+02 1.85720825e+01 
350 454.91 6.28566833e+02 1.88570042e+01 
351 455.72 6.39685181e+02 1.91905556e+01 
352 456.52 6.48507629e+02 1.94552288e+01 
353 457.32 6.52290955e+02 1.95687294e+01 
354 458.13 6.51406982e+02 1.95422096e+01 
355 458.93 6.50684570e+02 1.95205364e+01 
356 459.74 6.54894531e+02 1.96468353e+01 
357 460.54 6.62990295e+02 1.98897095e+01 
358 461.34 6.73816650e+02 2.02145004e+01 
359 462.15 6.80051575e+02 2.04015465e+01 
360 462.95 6.80483337e+02 2.04144993e+01 
361 463.76 6.77042847e+02 2.03112850e+01 
362 464.56 6.72628540e+02 2.01788559e+01 
363 465.36 6.69442871e+02 2.00832863e+01 
364 466.17 6.68149109e+02 2.00444736e+01 
365 466.97 6.69139404e+02 2.00741825e+01 
366 467.77 6.71900879e+02 2.01570263e+01 
367 468.58 6.75008789e+02 2.02502632e+01 
368 469.38 6.76466797e+02 2.02940044e+01 
369 470.18 6.77803528e+02 2.03341064e+01 
370 470.99 6.85581726e+02 2.05674515e+01 
371 471.79 6.95359070e+02 2.08607712e+01 
372 472.59 7.04810547e+02 2.11443157e+01 
373 473.40 7.11529053e+02 2.13458710e+01 
374 474.20 7.14976990e+02 2.14493103e+01 
375 475.00 7.17538513e+02 2.15261555e+01 
376 475.81 7.19416626e+02 2.15824986e+01 
377 476.61 7.23602600e+02 2.17080784e+01 
378 477.41 7.29819519e+02 2.18945847e+01 
379 478.21 7.37116577e+02 2.21134968e+01 
380 479.02 7.42021606e+02 2.22606487e+01 
381 479.82 7.45166260e+02 2.23549881e+01 
382 480.62 7.49487427e+02 2.24846230e+01 
383 481.43 7.50086304e+02 2.25025883e+01 
384 482.23 7.48724060e+02 2.24617214e+01 
385 483.03 7.43270569e+02 2.22981167e+01 
386 483.84 7.30239014e+02 2.19071712e+01 
387 484.64 7.06490967e+02 2.11947289e+01 
388 485.44 6.78775146e+02 2.03632545e+01 
389 486.24 6.62214661e+02 1.98664398e+01 
390 487.04 6.64539307e+02 1.99361801e+01 
391 487.85 6.82471680e+02 2.04741497e+01 
392 488.65 7.05503235e+02 2.11650963e+01 
393 489.45 7.20604919e+02 2.16181469e+01 
394 490.26 7.26262573e+02 2.17878780e+01 
395 491.06 7.23513245e+02 2.17053967e+01 
396 491.86 7.19496582e+02 2.15848980e+01 
397 492.66 7.18597229e+02 2.15579166e+01 
398 493.46 7.25824585e+02 2.17747383e+01 
399 494.27 7.33957886e+02 2.20187359e+01 
400 495.07 7.38601318e+02 2.21580391e+01 
401 495.87 7.40855957e+02 2.22256794e+01 
402 496.67 7.37771973e+02 2.21331596e+01 
403 497.48 7.32270813e+02 2.19681244e+01 
404 498.28 7.26637329e+02 2.17991199e+01 
405 499.08 7.19300720e+02 2.15790215e+01 
406 499.88 7.11157959e+02 2.13347397e+01 
407 500.68 7.05157471e+02 2.11547241e+01 
408 501.48 7.02170898e+02 2.10651264e+01 
409 502.29 7.02656250e+02 2.10796871e+01 
410 503.09 7.07635559e+02 2.12290668e+01 
411 503.89 7.13719055e+02 2.14115715e+01 
412 504.69 7.21913208e+02 2.16573963e+01 
413 505.49 7.28116333e+02 2.18434906e+01 
414 506.29 7.29013977e+02 2.18704185e+01 
415 507.09 7.26335938e+02 2.17900772e+01 
416 507.90 7.22247192e+02 2.16674156e+01 
417 508.70 7.21110168e+02 2.16333046e+01 
418 509.50 7.21919739e+02 2.16575928e+01 
419 510.30 7.22908386e+02 2.16872520e+01 
420 511.10 7.21448242e+02 2.16434479e+01 
421 511.90 7.16855957e+02 2.15056782e+01 
422 512.71 7.09910095e+02 2.12973022e+01 
423 513.51 7.02179932e+02 2.10653973e+01 
424 514.31 6.94750244e+02 2.08425064e+01 
425 515.11 6.83431396e+02 2.05029411e+01 
426 515.91 6.67018738e+02 2.00105629e+01 
427 516.71 6.49116455e+02 1.94734936e+01 
428 517.51 6.39059875e+02 1.91717968e+01 
429 518.31 6.43302856e+02 1.92990856e+01 
430 519.11 6.58549316e+02 1.97564793e+01 
431 519.91 6.75374207e+02 2.02612267e+01 
432 520.71 6.86908936e+02 2.06072674e+01 
433 521.52 6.92558289e+02 2.07767487e+01 
434 522.32 6.96353149e+02 2.08905945e+01 
435 523.12 7.01354370e+02 2.10406303e+01 
436 523.92 7.05849487e+02 2.11754837e+01 
437 524.72 7.05872314e+02 2.11761703e+01 
438 525.52 6.96060364e+02 2.08818111e+01 
439 526.32 6.84200928e+02 2.05260277e+01 
440 527.12 6.82966858e+02 2.04890060e+01 
441 527.92 6.91697571e+02 2.07509270e+01 
442 528.72 7.05703369e+02 2.11711006e+01 
443 529.52 7.19611511e+02 2.15883446e+01 
444 530.32 7.26213379e+02 2.17864017e+01 
445 531.12 7.23929810e+02 2.17178936e+01 
446 531.92 7.17136963e+02 2.15141087e+01 
447 532.72 7.11999390e+02 2.13599815e+01 
448 533.52 7.11729248e+02 2.13518772e+01 
449 534.32 7.16242615e+02 2.14872780e+01 
450 535.12 7.21127380e+02 2.16338215e+01 
451 535.92 7.23457031e+02 2.17037106e+01 
452 536.72 7.20571899e+02 2.16171570e+01 
453 537.52 7.17291870e+02 2.15187569e+01 
454 538.32 7.12193298e+02 2.13657990e+01 
455 539.12 7.05617615e+02 2.11685276e+01 
456 539.92 7.00890686e+02 2.10267200e+01 
457 540.72 6.99907104e+02 2.09972134e+01 
458 541.52 7.01047485e+02 2.10314255e+01 
459 542.32 7.06528320e+02 2.11958504e+01 
460 543.12 7.12371582e+02 2.13711472e+01 
461 543.92 7.18593811e+02 2.15578136e+01 
462 544.72 7.20028931e+02 2.16008682e+01 
463 545.52 7.19150818e+02 2.15745239e+01 
464 546.32 7.15710022e+02 2.14713001e+01 
465 547.12 7.11216248e+02 2.13364868e+01 
466 547.91 7.08758423e+02 2.12627525e+01 
467 548.71 7.06780701e+02 2.12034206e+01 
468 549.51 7.07534363e+02 2.12260303e+01 
469 550.31 7.07996704e+02 2.12399006e+01 
470 551.11 7.07073975e+02 2.12122192e+01 
471 551.91 7.06609863e+02 2.11982956e+01 
472 552.71 7.06494995e+02 2.11948490e+01 
473 553.51 7.09952759e+02 2.12985821e+01 
474 554.31 7.10171143e+02 2.13051338e+01 
475 555.10 7.09352112e+02 2.12805634e+01 
476 555.90 7.03708740e+02 2.11112614e+01 
477 556.70 6.98653748e+02 2.09596119e+01 
478 557.50 6.90374268e+02 2.07112274e+01 
479 558.30 6.83897949e+02 2.05169392e+01 
480 559.10 6.83171387e+02 2.04951420e+01 
481 559.90 6.83453247e+02 2.05035973e+01 
482 560.70 6.86131165e+02 2.05839348e+01 
483 561.49 6.90943665e+02 2.07283096e+01 
484 562.29 6.96163940e+02 2.08849182e+01 
485 563.09 6.98728027e+02 2.09618416e+01 
486 563.89 6.98715027e+02 2.09614506e+01 
487 564.69 6.99350708e+02 2.09805222e+01 
488 565.49 6.98453552e+02 2.09536057e+01 
489 566.29 6.97851624e+02 2.09355488e+01 
