% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\sleblan2\Research\MLO\2017_May\20170531_MLO_day6am\4STAR_20170531starsun.mat and recorded on 2017-05-31 15:15:42.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
511 949.79 4.27276754e+00 1.28183022e-01 
510 949.79 4.74039555e+00 1.42211869e-01 
509 951.68 5.11824036e+00 1.53547212e-01 
508 953.57 5.18901443e+00 1.55670434e-01 
507 955.46 5.64266491e+00 1.69279948e-01 
506 957.34 5.77010536e+00 1.73103154e-01 
505 959.22 6.26777124e+00 1.88033134e-01 
504 961.10 6.41979408e+00 1.92593828e-01 
503 962.98 6.90703726e+00 2.07211122e-01 
502 964.85 6.97919416e+00 2.09375829e-01 
501 966.72 7.55840540e+00 2.26752162e-01 
500 968.59 7.64300823e+00 2.29290247e-01 
499 970.45 8.05479431e+00 2.41643831e-01 
498 972.32 7.97395945e+00 2.39218786e-01 
497 974.18 8.29640484e+00 2.48892143e-01 
496 976.04 8.22336578e+00 2.46700972e-01 
495 977.89 8.59462166e+00 2.57838637e-01 
494 979.74 8.54092693e+00 2.56227821e-01 
493 981.59 8.86927795e+00 2.66078353e-01 
492 983.44 8.78246689e+00 2.63474017e-01 
491 985.29 9.04864693e+00 2.71459401e-01 
490 987.13 8.85460377e+00 2.65638113e-01 
489 988.97 9.09301853e+00 2.72790551e-01 
488 990.81 8.92326164e+00 2.67697841e-01 
487 992.65 9.10828495e+00 2.73248553e-01 
486 994.48 8.91097546e+00 2.67329276e-01 
485 996.31 9.04613400e+00 2.71384031e-01 
484 998.14 8.79306507e+00 2.63791949e-01 
483 999.97 8.94751167e+00 2.68425345e-01 
482 1001.79 8.66473579e+00 2.59942085e-01 
481 1003.62 8.74626160e+00 2.62387842e-01 
480 1005.44 8.53542519e+00 2.56062746e-01 
479 1007.25 8.78102016e+00 2.63430595e-01 
478 1009.07 8.59334755e+00 2.57800430e-01 
477 1010.88 8.76344013e+00 2.62903214e-01 
476 1012.69 8.50085735e+00 2.55025715e-01 
475 1014.50 8.61581326e+00 2.58474410e-01 
