% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\sleblan2\Research\MLO\2017_May\20170531_MLO_day6pm\4STAR_20170531starsun.mat and recorded on 2017-05-31 21:29:00.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
511 949.79 3.12487411e+00 9.37462226e-02 
510 949.79 3.61690784e+00 1.08507238e-01 
509 951.68 3.96659327e+00 1.18997797e-01 
508 953.57 4.06338501e+00 1.21901549e-01 
507 955.46 4.48643970e+00 1.34593189e-01 
506 957.34 4.64473200e+00 1.39341965e-01 
505 959.22 5.16275358e+00 1.54882610e-01 
504 961.10 5.37531757e+00 1.61259532e-01 
503 962.98 5.94072247e+00 1.78221673e-01 
502 964.85 6.12630558e+00 1.83789164e-01 
501 966.72 6.82779741e+00 2.04833925e-01 
500 968.59 7.05966473e+00 2.11789936e-01 
499 970.45 7.52091503e+00 2.25627452e-01 
498 972.32 7.41925812e+00 2.22577751e-01 
497 974.18 7.69519615e+00 2.30855882e-01 
496 976.04 7.66464520e+00 2.29939356e-01 
495 977.89 8.10114002e+00 2.43034199e-01 
494 979.74 8.16319847e+00 2.44895950e-01 
493 981.59 8.56854916e+00 2.57056475e-01 
492 983.44 8.58025742e+00 2.57407725e-01 
491 985.29 8.91569328e+00 2.67470807e-01 
490 987.13 8.78635693e+00 2.63590693e-01 
489 988.97 9.05440044e+00 2.71632016e-01 
488 990.81 8.88892078e+00 2.66667634e-01 
487 992.65 9.08168888e+00 2.72450656e-01 
486 994.48 8.89218903e+00 2.66765684e-01 
485 996.31 9.04104137e+00 2.71231234e-01 
484 998.14 8.79532242e+00 2.63859659e-01 
483 999.97 8.94042969e+00 2.68212885e-01 
482 1001.79 8.66187286e+00 2.59856194e-01 
481 1003.62 8.73994541e+00 2.62198359e-01 
480 1005.44 8.53744602e+00 2.56123394e-01 
479 1007.25 8.78268909e+00 2.63480663e-01 
478 1009.07 8.59141541e+00 2.57742465e-01 
477 1010.88 8.76164722e+00 2.62849420e-01 
476 1012.69 8.51088524e+00 2.55326569e-01 
475 1014.50 8.63375854e+00 2.59012759e-01 
474 1016.31 8.42728996e+00 2.52818704e-01 
473 1018.11 8.58254242e+00 2.57476270e-01 
472 1019.91 8.34008980e+00 2.50202686e-01 
471 1021.71 8.49878788e+00 2.54963636e-01 
470 1023.51 8.27358627e+00 2.48207584e-01 
469 1025.30 8.45885944e+00 2.53765792e-01 
468 1027.09 8.35124588e+00 2.50537366e-01 
467 1028.88 8.51681900e+00 2.55504578e-01 
466 1030.67 8.35452843e+00 2.50635862e-01 
465 1032.46 8.53474903e+00 2.56042480e-01 
464 1034.24 8.39472866e+00 2.51841873e-01 
463 1036.02 8.57072926e+00 2.57121891e-01 
462 1037.80 8.44795132e+00 2.53438532e-01 
461 1039.58 8.65876770e+00 2.59763032e-01 
460 1041.35 8.52156162e+00 2.55646855e-01 
459 1043.12 8.69693375e+00 2.60908008e-01 
458 1044.89 8.61518288e+00 2.58455485e-01 
457 1046.66 8.81792355e+00 2.64537692e-01 
456 1048.43 8.75387192e+00 2.62616158e-01 
455 1050.19 8.97649002e+00 2.69294709e-01 
454 1051.95 8.81924820e+00 2.64577448e-01 
453 1053.71 9.05870628e+00 2.71761179e-01 
452 1055.47 8.88411713e+00 2.66523510e-01 
451 1057.23 9.01221180e+00 2.70366341e-01 
450 1058.98 8.87138557e+00 2.66141564e-01 
449 1060.73 9.06495667e+00 2.71948695e-01 
448 1062.48 8.87420559e+00 2.66226172e-01 
447 1064.23 9.00756264e+00 2.70226866e-01 
446 1065.97 8.69299698e+00 2.60789901e-01 
445 1067.71 8.70955658e+00 2.61286706e-01 
444 1069.46 8.49797916e+00 2.54939377e-01 
443 1071.19 8.60831642e+00 2.58249491e-01 
442 1072.93 8.43602657e+00 2.53080785e-01 
441 1074.67 8.51394176e+00 2.55418241e-01 
440 1076.40 8.29931927e+00 2.48979583e-01 
439 1078.13 8.31146526e+00 2.49343961e-01 
438 1079.86 8.07098961e+00 2.42129683e-01 
437 1081.58 8.12984562e+00 2.43895367e-01 
436 1083.31 7.96371126e+00 2.38911331e-01 
435 1085.03 8.12071419e+00 2.43621424e-01 
434 1086.75 8.02885437e+00 2.40865633e-01 
433 1088.47 8.17678738e+00 2.45303616e-01 
432 1090.19 8.02581978e+00 2.40774587e-01 
431 1091.90 8.07411957e+00 2.42223591e-01 
430 1093.61 7.87089205e+00 2.36126766e-01 
429 1095.33 7.98131084e+00 2.39439324e-01 
428 1097.03 7.90277529e+00 2.37083256e-01 
427 1098.74 7.99790812e+00 2.39937246e-01 
426 1100.45 7.87223387e+00 2.36167014e-01 
425 1102.15 8.05026913e+00 2.41508067e-01 
424 1103.85 7.93285084e+00 2.37985522e-01 
423 1105.55 8.02947140e+00 2.40884140e-01 
422 1107.25 7.84349680e+00 2.35304907e-01 
421 1108.94 7.78059006e+00 2.33417705e-01 
420 1110.64 7.19160461e+00 2.15748131e-01 
419 1112.33 6.61595821e+00 1.98478743e-01 
418 1114.02 5.61985493e+00 1.68595642e-01 
417 1115.70 5.08722210e+00 1.52616665e-01 
416 1117.39 4.54132652e+00 1.36239797e-01 
415 1119.07 4.30146980e+00 1.29044101e-01 
414 1120.76 4.09247684e+00 1.22774303e-01 
413 1122.44 3.99638963e+00 1.19891688e-01 
412 1124.12 3.89482951e+00 1.16844885e-01 
411 1125.79 4.02876520e+00 1.20862953e-01 
410 1127.47 4.31483269e+00 1.29444987e-01 
409 1129.14 4.88978958e+00 1.46693692e-01 
408 1130.81 4.50737381e+00 1.35221213e-01 
407 1132.48 4.33188772e+00 1.29956633e-01 
406 1134.15 4.28457355e+00 1.28537208e-01 
405 1135.81 5.00010300e+00 1.50003091e-01 
404 1137.48 5.92150450e+00 1.77645132e-01 
403 1139.14 6.36789465e+00 1.91036835e-01 
402 1140.80 5.89296484e+00 1.76788941e-01 
401 1142.46 5.36290503e+00 1.60887152e-01 
400 1144.12 4.81703568e+00 1.44511074e-01 
399 1145.77 4.73742104e+00 1.42122626e-01 
398 1147.43 4.95951319e+00 1.48785397e-01 
397 1149.08 5.46949100e+00 1.64084733e-01 
396 1150.73 5.53550529e+00 1.66065156e-01 
395 1152.38 5.98307800e+00 1.79492339e-01 
394 1154.02 6.24662018e+00 1.87398612e-01 
393 1155.67 6.79292345e+00 2.03787699e-01 
392 1157.31 6.99548817e+00 2.09864646e-01 
391 1158.95 7.36533260e+00 2.20959976e-01 
390 1160.59 7.57709599e+00 2.27312878e-01 
389 1162.23 7.90038300e+00 2.37011492e-01 
388 1163.87 7.96569967e+00 2.38970995e-01 
387 1165.50 8.10023975e+00 2.43007198e-01 
386 1167.13 8.10305023e+00 2.43091509e-01 
385 1168.76 8.36550903e+00 2.50965267e-01 
384 1170.39 8.21401119e+00 2.46420339e-01 
383 1172.02 8.20274830e+00 2.46082455e-01 
382 1173.65 8.01565552e+00 2.40469664e-01 
381 1175.27 8.03654003e+00 2.41096199e-01 
380 1176.90 8.03831100e+00 2.41149336e-01 
379 1178.52 7.86508608e+00 2.35952586e-01 
378 1180.14 7.68321037e+00 2.30496317e-01 
