% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from C:\Users\sleblan2\Research\MLO\2017_May\20170531_MLO_day6am\4STAR_20170531starsun.mat and recorded on 2017-05-31 15:15:42.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.98 -1.00000000e+00 -1.00000000e+00 
2 174.77 -1.00000000e+00 -1.00000000e+00 
3 175.56 -1.00000000e+00 -1.00000000e+00 
4 176.36 -1.00000000e+00 -1.00000000e+00 
5 177.15 -1.00000000e+00 -1.00000000e+00 
6 177.94 -1.00000000e+00 -1.00000000e+00 
7 178.74 -1.00000000e+00 -1.00000000e+00 
8 179.53 -1.00000000e+00 -1.00000000e+00 
9 180.33 -1.00000000e+00 -1.00000000e+00 
10 181.12 -1.00000000e+00 -1.00000000e+00 
11 181.92 -1.00000000e+00 -1.00000000e+00 
12 182.71 -1.00000000e+00 -1.00000000e+00 
13 183.51 -1.00000000e+00 -1.00000000e+00 
14 184.30 -1.00000000e+00 -1.00000000e+00 
15 185.10 -1.00000000e+00 -1.00000000e+00 
16 185.89 -1.00000000e+00 -1.00000000e+00 
17 186.69 -1.00000000e+00 -1.00000000e+00 
18 187.49 -1.00000000e+00 -1.00000000e+00 
19 188.28 -1.00000000e+00 -1.00000000e+00 
20 189.08 -1.00000000e+00 -1.00000000e+00 
21 189.88 -1.00000000e+00 -1.00000000e+00 
22 190.67 -1.00000000e+00 -1.00000000e+00 
23 191.47 -1.00000000e+00 -1.00000000e+00 
24 192.27 -1.00000000e+00 -1.00000000e+00 
25 193.07 -1.00000000e+00 -1.00000000e+00 
26 193.86 -1.00000000e+00 -1.00000000e+00 
27 194.66 -1.00000000e+00 -1.00000000e+00 
28 195.46 -1.00000000e+00 -1.00000000e+00 
29 196.26 -1.00000000e+00 -1.00000000e+00 
30 197.05 -1.00000000e+00 -1.00000000e+00 
31 197.85 -1.00000000e+00 -1.00000000e+00 
32 198.65 -1.00000000e+00 -1.00000000e+00 
33 199.45 -1.00000000e+00 -1.00000000e+00 
34 200.25 -1.00000000e+00 -1.00000000e+00 
35 201.05 -1.00000000e+00 -1.00000000e+00 
36 201.85 -1.00000000e+00 -1.00000000e+00 
37 202.65 -1.00000000e+00 -1.00000000e+00 
38 203.44 -1.00000000e+00 -1.00000000e+00 
39 204.24 -1.00000000e+00 -1.00000000e+00 
40 205.04 -1.00000000e+00 -1.00000000e+00 
41 205.84 -1.00000000e+00 -1.00000000e+00 
42 206.64 -1.00000000e+00 -1.00000000e+00 
43 207.44 -1.00000000e+00 -1.00000000e+00 
44 208.24 -1.00000000e+00 -1.00000000e+00 
45 209.04 -1.00000000e+00 -1.00000000e+00 
46 209.84 -1.00000000e+00 -1.00000000e+00 
47 210.64 2.95451903e+00 8.86355713e-02 
48 211.44 2.33075309e+00 6.99225962e-02 
49 212.24 9.80875254e-01 2.94262581e-02 
50 213.04 8.31848502e-01 2.49554552e-02 
51 213.85 8.45799565e-01 2.53739879e-02 
52 214.65 9.93695199e-01 2.98108552e-02 
53 215.45 9.97158289e-01 2.99147479e-02 
54 216.25 9.64181125e-01 2.89254338e-02 
55 217.05 1.03630328e+00 3.10890991e-02 
56 217.85 1.03980374e+00 3.11941132e-02 
57 218.65 1.09263539e+00 3.27790603e-02 
58 219.46 1.05529225e+00 3.16587687e-02 
59 220.26 1.01893783e+00 3.05681340e-02 
60 221.06 1.09538972e+00 3.28616910e-02 
61 221.86 1.10968101e+00 3.32904309e-02 
62 222.66 1.04777515e+00 3.14332545e-02 
63 223.47 1.04851079e+00 3.14553231e-02 
64 224.27 1.06840801e+00 3.20522413e-02 
65 225.07 1.10973179e+00 3.32919545e-02 
66 225.87 1.09360695e+00 3.28082070e-02 
67 226.68 1.16809309e+00 3.50427926e-02 
68 227.48 1.17698514e+00 3.53095531e-02 
69 228.28 1.16463602e+00 3.49390805e-02 
70 229.08 1.18897533e+00 3.56692597e-02 
71 229.89 1.21066952e+00 3.63200866e-02 
72 230.69 1.21518540e+00 3.64555605e-02 
73 231.49 1.17044818e+00 3.51134464e-02 
74 232.30 1.14813375e+00 3.44440117e-02 
75 233.10 1.12015200e+00 3.36045586e-02 
76 233.90 1.09971893e+00 3.29915695e-02 
77 234.71 1.08957195e+00 3.26871574e-02 
78 235.51 1.06002080e+00 3.18006240e-02 
79 236.32 9.90999937e-01 2.97299977e-02 
80 237.12 1.00015259e+00 3.00045777e-02 
81 237.92 1.03642976e+00 3.10928933e-02 
82 238.73 1.00901258e+00 3.02703772e-02 
83 239.53 1.08703947e+00 3.26111838e-02 
84 240.34 1.03483367e+00 3.10450103e-02 
85 241.14 9.63085651e-01 2.88925692e-02 
86 241.94 9.44306612e-01 2.83291992e-02 
87 242.75 9.70661461e-01 2.91198436e-02 
88 243.55 8.08731794e-01 2.42619533e-02 
89 244.36 9.32422578e-01 2.79726777e-02 
90 245.16 9.04500604e-01 2.71350183e-02 
91 245.97 1.00846612e+00 3.02539840e-02 
92 246.77 9.85714018e-01 2.95714214e-02 
93 247.58 6.85859263e-01 2.05757786e-02 
94 248.38 2.80163956e+00 8.40491876e-02 
95 249.19 1.32866144e+00 3.98598425e-02 
96 249.99 1.22226596e+00 3.66679803e-02 
97 250.80 9.30056691e-01 2.79017016e-02 
98 251.60 5.39911887e+12 1.61973567e+11 
99 252.41 -1.00000000e+00 -1.00000000e+00 
100 253.21 -1.00000000e+00 -1.00000000e+00 
101 254.02 -1.00000000e+00 -1.00000000e+00 
102 254.82 -1.00000000e+00 -1.00000000e+00 
103 255.63 -1.00000000e+00 -1.00000000e+00 
104 256.44 -1.00000000e+00 -1.00000000e+00 
105 257.24 -1.00000000e+00 -1.00000000e+00 
106 258.05 3.67224760e+07 1.10167425e+06 
107 258.85 8.87788391e+00 2.66336530e-01 
108 259.66 5.64699695e-02 1.69409905e-03 
109 260.46 9.13753271e-01 2.74125990e-02 
110 261.27 1.48493421e+00 4.45480272e-02 
111 262.08 1.09361112e+00 3.28083336e-02 
112 262.88 9.81436670e-01 2.94431001e-02 
113 263.69 8.86349797e-01 2.65904944e-02 
114 264.49 1.03503895e+00 3.10511682e-02 
115 265.30 9.79947746e-01 2.93984320e-02 
116 266.11 9.40589190e-01 2.82176752e-02 
117 266.91 9.06379580e-01 2.71913875e-02 
118 267.72 9.55343008e-01 2.86602899e-02 
119 268.53 9.71750677e-01 2.91525200e-02 
120 269.33 1.04608178e+00 3.13824527e-02 
121 270.14 9.79708493e-01 2.93912552e-02 
122 270.95 1.03920889e+00 3.11762672e-02 
123 271.75 1.06670582e+00 3.20011750e-02 
124 272.56 1.09341085e+00 3.28023247e-02 
125 273.37 1.09009576e+00 3.27028744e-02 
126 274.17 1.14069915e+00 3.42209749e-02 
127 274.98 1.16068423e+00 3.48205268e-02 
128 275.79 1.17542374e+00 3.52627113e-02 
129 276.59 1.16357911e+00 3.49073745e-02 
130 277.40 1.24243295e+00 3.72729897e-02 
131 278.21 1.30090177e+00 3.90270539e-02 
132 279.01 1.40301442e+00 4.20904309e-02 
133 279.82 1.42183971e+00 4.26551923e-02 
134 280.63 1.49175298e+00 4.47525904e-02 
135 281.43 1.59271300e+00 4.77813892e-02 
136 282.24 1.71653223e+00 5.14959656e-02 
137 283.05 1.80958533e+00 5.42875603e-02 
138 283.86 1.95606852e+00 5.86820543e-02 
139 284.66 2.22217989e+00 6.66653961e-02 
140 285.47 2.27887273e+00 6.83661848e-02 
141 286.28 2.06545258e+00 6.19635768e-02 
142 287.09 1.94979572e+00 5.84938712e-02 
143 287.89 1.90528643e+00 5.71585931e-02 
144 288.70 2.74930143e+00 8.24790448e-02 
145 289.51 3.63954496e+00 1.09186351e-01 
146 290.32 3.37812042e+00 1.01343609e-01 
147 291.12 2.89216137e+00 8.67648423e-02 
148 291.93 2.45417094e+00 7.36251250e-02 
149 292.74 2.14760184e+00 6.44280538e-02 
150 293.55 1.88588023e+00 5.65764084e-02 
151 294.35 1.67710948e+00 5.03132828e-02 
152 295.16 1.50491047e+00 4.51473147e-02 
153 295.97 1.34826636e+00 4.04479913e-02 
154 296.78 1.25018477e+00 3.75055447e-02 
155 297.58 1.14047837e+00 3.42143513e-02 
156 298.39 1.06995583e+00 3.20986733e-02 
157 299.20 9.84141588e-01 2.95242481e-02 
158 300.01 9.39832866e-01 2.81949863e-02 
159 300.81 8.88670206e-01 2.66601071e-02 
160 301.62 8.52804065e-01 2.55841222e-02 
161 302.43 8.23986530e-01 2.47195959e-02 
162 303.24 7.92511523e-01 2.37753466e-02 
163 304.04 7.72323132e-01 2.31696945e-02 
164 304.85 7.49605298e-01 2.24881582e-02 
165 305.66 7.30785251e-01 2.19235569e-02 
166 306.47 7.13943005e-01 2.14182902e-02 
167 307.28 7.03287482e-01 2.10986249e-02 
168 308.08 6.95031166e-01 2.08509341e-02 
169 308.89 6.87422037e-01 2.06226613e-02 
170 309.70 6.76073194e-01 2.02821959e-02 
171 310.51 6.72952354e-01 2.01885700e-02 
172 311.32 6.72944486e-01 2.01883353e-02 
173 312.12 6.69923067e-01 2.00976916e-02 
174 312.93 6.67915463e-01 2.00374648e-02 
175 313.74 6.87057614e-01 2.06117276e-02 
176 314.55 6.73634648e-01 2.02090386e-02 
177 315.36 6.78902030e-01 2.03670617e-02 
178 316.16 6.86509371e-01 2.05952805e-02 
179 316.97 6.96109414e-01 2.08832826e-02 
180 317.78 7.00875342e-01 2.10262612e-02 
181 318.59 7.13670254e-01 2.14101076e-02 
182 319.40 7.28651404e-01 2.18595415e-02 
183 320.20 7.45176971e-01 2.23553088e-02 
184 321.01 7.61963487e-01 2.28589047e-02 
185 321.82 7.84886599e-01 2.35465989e-02 
186 322.63 8.03862095e-01 2.41158623e-02 
187 323.43 8.19881678e-01 2.45964509e-02 
188 324.24 8.43354225e-01 2.53006276e-02 
189 325.05 8.62831831e-01 2.58849543e-02 
190 325.86 8.84023428e-01 2.65207030e-02 
191 326.67 9.08140361e-01 2.72442102e-02 
192 327.48 9.41163838e-01 2.82349158e-02 
193 328.28 9.69164371e-01 2.90749315e-02 
194 329.09 1.00796402e+00 3.02389208e-02 
195 329.90 1.04747379e+00 3.14242132e-02 
196 330.71 1.10596097e+00 3.31788287e-02 
197 331.52 1.19297278e+00 3.57891843e-02 
198 332.32 1.33660507e+00 4.00981531e-02 
199 333.13 1.58395517e+00 4.75186557e-02 
200 333.94 2.05127048e+00 6.15381151e-02 
201 334.75 2.80994058e+00 8.42982158e-02 
202 335.55 3.91177702e+00 1.17353313e-01 
203 336.36 5.49925089e+00 1.64977521e-01 
204 337.17 8.06177044e+00 2.41853118e-01 
205 337.98 1.16958580e+01 3.50875735e-01 
206 338.79 1.61346931e+01 4.84040797e-01 
207 339.60 2.12018623e+01 6.36055887e-01 
208 340.40 2.57776031e+01 7.73328066e-01 
209 341.21 2.98113613e+01 8.94340813e-01 
210 342.02 3.44276772e+01 1.03283036e+00 
211 342.83 3.85542107e+01 1.15662634e+00 
212 343.63 3.98025284e+01 1.19407582e+00 
213 344.44 4.14740562e+01 1.24422169e+00 
214 345.25 4.63568268e+01 1.39070475e+00 
215 346.06 5.09844284e+01 1.52953291e+00 
216 346.87 5.41719971e+01 1.62515986e+00 
217 347.67 5.63582039e+01 1.69074607e+00 
218 348.48 5.85118408e+01 1.75535524e+00 
219 349.29 6.22391548e+01 1.86717463e+00 
220 350.10 6.85164719e+01 2.05549407e+00 
221 350.90 7.28481293e+01 2.18544388e+00 
222 351.71 7.32040405e+01 2.19612122e+00 
223 352.52 7.47901230e+01 2.24370360e+00 
224 353.33 8.15665054e+01 2.44699526e+00 
225 354.14 9.00440521e+01 2.70132160e+00 
226 354.94 9.38625488e+01 2.81587648e+00 
227 355.75 9.22844086e+01 2.76853228e+00 
228 356.56 8.69704590e+01 2.60911369e+00 
229 357.37 8.17367249e+01 2.45210171e+00 
230 358.18 8.09673386e+01 2.42902017e+00 
231 358.98 9.10970764e+01 2.73291230e+00 
232 359.79 1.05157417e+02 3.15472245e+00 
233 360.60 1.07253601e+02 3.21760798e+00 
234 361.41 1.05843292e+02 3.17529869e+00 
235 362.21 1.11622665e+02 3.34868002e+00 
236 363.02 1.18377884e+02 3.55133653e+00 
237 363.83 1.22544830e+02 3.67634487e+00 
238 364.64 1.28690826e+02 3.86072469e+00 
239 365.44 1.40393860e+02 4.21181583e+00 
240 366.25 1.50514297e+02 4.51542902e+00 
241 367.06 1.51989700e+02 4.55969095e+00 
242 367.87 1.49775238e+02 4.49325705e+00 
243 368.67 1.51986084e+02 4.55958271e+00 
244 369.48 1.58537842e+02 4.75613546e+00 
245 370.29 1.60114792e+02 4.80344391e+00 
246 371.10 1.58391556e+02 4.75174665e+00 
247 371.90 1.54323792e+02 4.62971354e+00 
248 372.71 1.45863220e+02 4.37589645e+00 
249 373.52 1.37893250e+02 4.13679743e+00 
250 374.33 1.37453674e+02 4.12361002e+00 
251 375.13 1.47116501e+02 4.41349506e+00 
252 375.94 1.60402039e+02 4.81206131e+00 
253 376.75 1.74844086e+02 5.24532270e+00 
254 377.56 1.91187286e+02 5.73561859e+00 
255 378.36 1.95679993e+02 5.87039995e+00 
256 379.17 1.86079742e+02 5.58239222e+00 
257 379.98 1.81927277e+02 5.45781851e+00 
258 380.78 1.81330658e+02 5.43991995e+00 
259 381.59 1.65651886e+02 4.96955681e+00 
260 382.40 1.41473602e+02 4.24420786e+00 
261 383.20 1.30399902e+02 3.91199708e+00 
262 384.01 1.41384308e+02 4.24152946e+00 
263 384.82 1.59734421e+02 4.79203272e+00 
264 385.63 1.67760864e+02 5.03282595e+00 
265 386.43 1.69485138e+02 5.08455420e+00 
266 387.24 1.70839035e+02 5.12517118e+00 
267 388.05 1.74064880e+02 5.22194624e+00 
268 388.85 1.84958130e+02 5.54874372e+00 
269 389.66 2.02387177e+02 6.07161522e+00 
270 390.47 2.16455841e+02 6.49367523e+00 
271 391.27 2.17673676e+02 6.53021049e+00 
272 392.08 1.94533173e+02 5.83599520e+00 
273 392.89 1.58998520e+02 4.76995564e+00 
274 393.69 1.51287094e+02 4.53861284e+00 
275 394.50 1.80063705e+02 5.40191126e+00 
276 395.31 2.01152206e+02 6.03456640e+00 
277 396.11 1.88613480e+02 5.65840435e+00 
278 396.92 1.80021729e+02 5.40065193e+00 
279 397.73 2.12304642e+02 6.36913919e+00 
280 398.53 2.61652435e+02 7.84957314e+00 
281 399.34 2.93886505e+02 8.81659508e+00 
282 400.15 3.09962158e+02 9.29886436e+00 
283 400.95 3.21115082e+02 9.63345242e+00 
284 401.76 3.29697571e+02 9.89092731e+00 
285 402.57 3.32342072e+02 9.97026253e+00 
286 403.37 3.30526672e+02 9.91580009e+00 
287 404.18 3.28959503e+02 9.86878490e+00 
288 404.99 3.27538300e+02 9.82614899e+00 
289 405.79 3.25943970e+02 9.77831936e+00 
290 406.60 3.27064636e+02 9.81193924e+00 
291 407.40 3.35162262e+02 1.00548677e+01 
292 408.21 3.47394653e+02 1.04218397e+01 
293 409.02 3.51881531e+02 1.05564461e+01 
294 409.82 3.48263763e+02 1.04479132e+01 
295 410.63 3.52434509e+02 1.05730352e+01 
296 411.43 3.66828125e+02 1.10048437e+01 
297 412.24 3.76953827e+02 1.13086147e+01 
298 413.05 3.78384064e+02 1.13515215e+01 
299 413.85 3.78238861e+02 1.13471661e+01 
300 414.66 3.79095459e+02 1.13728638e+01 
301 415.46 3.80739990e+02 1.14221992e+01 
302 416.27 3.80904907e+02 1.14271469e+01 
303 417.08 3.76468811e+02 1.12940645e+01 
304 417.88 3.70520355e+02 1.11156111e+01 
305 418.69 3.68022461e+02 1.10406742e+01 
306 419.49 3.69609833e+02 1.10882950e+01 
307 420.30 3.74888306e+02 1.12466488e+01 
308 421.11 3.79272827e+02 1.13781853e+01 
309 421.91 3.76574219e+02 1.12972269e+01 
310 422.72 3.70827209e+02 1.11248159e+01 
311 423.52 3.70561523e+02 1.11168461e+01 
312 424.33 3.74265656e+02 1.12279701e+01 
313 425.13 3.76877808e+02 1.13063345e+01 
314 425.94 3.76546387e+02 1.12963915e+01 
315 426.74 3.75356049e+02 1.12606812e+01 
316 427.55 3.73702515e+02 1.12110758e+01 
317 428.36 3.67579987e+02 1.10274000e+01 
318 429.16 3.51949158e+02 1.05584745e+01 
319 429.96 3.36274689e+02 1.00882406e+01 
320 430.77 3.43793640e+02 1.03138094e+01 
321 431.58 3.77172455e+02 1.13151741e+01 
322 432.38 4.12002533e+02 1.23600760e+01 
323 433.19 4.28961029e+02 1.28688307e+01 
324 433.99 4.37406311e+02 1.31221895e+01 
325 434.80 4.53052185e+02 1.35915651e+01 
326 435.60 4.75183044e+02 1.42554913e+01 
327 436.41 4.89755737e+02 1.46926718e+01 
328 437.21 4.88616943e+02 1.46585083e+01 
329 438.02 4.81573425e+02 1.44472027e+01 
330 438.82 4.82704987e+02 1.44811497e+01 
331 439.63 4.95444489e+02 1.48633347e+01 
332 440.43 5.15402161e+02 1.54620647e+01 
333 441.24 5.36184937e+02 1.60855484e+01 
334 442.04 5.54410522e+02 1.66323166e+01 
335 442.85 5.66932617e+02 1.70079784e+01 
336 443.65 5.74299133e+02 1.72289734e+01 
337 444.45 5.75703735e+02 1.72711124e+01 
338 445.26 5.74999207e+02 1.72499771e+01 
339 446.06 5.79438843e+02 1.73831654e+01 
340 446.87 5.92319458e+02 1.77695847e+01 
341 447.67 6.08189636e+02 1.82456894e+01 
342 448.48 6.21724487e+02 1.86517353e+01 
343 449.28 6.34843323e+02 1.90452995e+01 
344 450.09 6.47528687e+02 1.94258614e+01 
345 450.89 6.55099121e+02 1.96529732e+01 
346 451.70 6.49469727e+02 1.94840927e+01 
347 452.50 6.36815552e+02 1.91044674e+01 
348 453.30 6.30785706e+02 1.89235706e+01 
349 454.11 6.34248718e+02 1.90274620e+01 
350 454.91 6.44286499e+02 1.93285942e+01 
351 455.72 6.55102844e+02 1.96530857e+01 
352 456.52 6.64556763e+02 1.99367027e+01 
353 457.32 6.68270813e+02 2.00481243e+01 
354 458.13 6.67021912e+02 2.00106583e+01 
355 458.93 6.66320007e+02 1.99896011e+01 
356 459.74 6.70673950e+02 2.01202183e+01 
357 460.54 6.80071045e+02 2.04021320e+01 
358 461.34 6.89239746e+02 2.06771927e+01 
359 462.15 6.96237610e+02 2.08871288e+01 
360 462.95 6.96599243e+02 2.08979778e+01 
361 463.76 6.92068054e+02 2.07620411e+01 
362 464.56 6.87886414e+02 2.06365929e+01 
363 465.36 6.85594482e+02 2.05678349e+01 
364 466.17 6.83456543e+02 2.05036964e+01 
365 466.97 6.85050720e+02 2.05515213e+01 
366 467.77 6.87432556e+02 2.06229763e+01 
367 468.58 6.91391846e+02 2.07417545e+01 
368 469.38 6.91735840e+02 2.07520752e+01 
369 470.18 6.92804688e+02 2.07841415e+01 
370 470.99 7.00694214e+02 2.10208263e+01 
371 471.79 7.10237854e+02 2.13071365e+01 
372 472.59 7.19907715e+02 2.15972309e+01 
373 473.40 7.26645020e+02 2.17993507e+01 
374 474.20 7.30960815e+02 2.19288254e+01 
375 475.00 7.33547119e+02 2.20064144e+01 
376 475.81 7.36226074e+02 2.20867825e+01 
377 476.61 7.40732666e+02 2.22219791e+01 
378 477.41 7.47333374e+02 2.24200020e+01 
379 478.21 7.53789429e+02 2.26136837e+01 
380 479.02 7.59147400e+02 2.27744217e+01 
381 479.82 7.61106812e+02 2.28332043e+01 
382 480.62 7.65333862e+02 2.29600163e+01 
383 481.43 7.66201111e+02 2.29860325e+01 
384 482.23 7.65223694e+02 2.29567108e+01 
385 483.03 7.59273743e+02 2.27782116e+01 
386 483.84 7.46448364e+02 2.23934517e+01 
387 484.64 7.21074768e+02 2.16322422e+01 
388 485.44 6.92443359e+02 2.07733002e+01 
389 486.24 6.76166565e+02 2.02849960e+01 
390 487.04 6.79472656e+02 2.03841801e+01 
391 487.85 6.97188416e+02 2.09156532e+01 
392 488.65 7.20018921e+02 2.16005669e+01 
393 489.45 7.36106018e+02 2.20831814e+01 
394 490.26 7.41508728e+02 2.22452621e+01 
395 491.06 7.38712280e+02 2.21613693e+01 
396 491.86 7.35011719e+02 2.20503521e+01 
397 492.66 7.34601440e+02 2.20380440e+01 
398 493.46 7.41469116e+02 2.22440739e+01 
399 494.27 7.48724426e+02 2.24617329e+01 
400 495.07 7.53711792e+02 2.26113529e+01 
401 495.87 7.55201843e+02 2.26560555e+01 
402 496.67 7.52885620e+02 2.25865688e+01 
403 497.48 7.47003052e+02 2.24100914e+01 
404 498.28 7.41264771e+02 2.22379436e+01 
405 499.08 7.33944580e+02 2.20183372e+01 
406 499.88 7.25094360e+02 2.17528305e+01 
407 500.68 7.18899902e+02 2.15669975e+01 
408 501.48 7.15433655e+02 2.14630089e+01 
409 502.29 7.17853394e+02 2.15356026e+01 
410 503.09 7.21602051e+02 2.16480618e+01 
411 503.89 7.28814453e+02 2.18644333e+01 
412 504.69 7.36970703e+02 2.21091213e+01 
413 505.49 7.42620850e+02 2.22786255e+01 
414 506.29 7.43201477e+02 2.22960434e+01 
415 507.09 7.40825928e+02 2.22247772e+01 
416 507.90 7.36713135e+02 2.21013947e+01 
417 508.70 7.35164185e+02 2.20549259e+01 
418 509.50 7.35687378e+02 2.20706215e+01 
419 510.30 7.36431458e+02 2.20929432e+01 
420 511.10 7.35704224e+02 2.20711269e+01 
421 511.90 7.30394653e+02 2.19118404e+01 
422 512.71 7.23727539e+02 2.17118263e+01 
423 513.51 7.14709106e+02 2.14412727e+01 
424 514.31 7.07690552e+02 2.12307167e+01 
425 515.11 6.96495605e+02 2.08948689e+01 
426 515.91 6.78927917e+02 2.03678379e+01 
427 516.71 6.61121094e+02 1.98336334e+01 
428 517.51 6.51184875e+02 1.95355453e+01 
429 518.31 6.54555481e+02 1.96366653e+01 
430 519.11 6.70082275e+02 2.01024685e+01 
431 519.91 6.86296753e+02 2.05889034e+01 
432 520.71 6.99060913e+02 2.09718266e+01 
433 521.52 7.04856567e+02 2.11456966e+01 
434 522.32 7.07950439e+02 2.12385139e+01 
435 523.12 7.13550598e+02 2.14065170e+01 
436 523.92 7.18830933e+02 2.15649281e+01 
437 524.72 7.18387207e+02 2.15516167e+01 
438 525.52 7.08087524e+02 2.12426262e+01 
439 526.32 6.96869995e+02 2.09060993e+01 
440 527.12 6.95294434e+02 2.08588333e+01 
441 527.92 7.03212646e+02 2.10963802e+01 
442 528.72 7.19010620e+02 2.15703182e+01 
443 529.52 7.32719604e+02 2.19815884e+01 
444 530.32 7.39614868e+02 2.21884460e+01 
445 531.12 7.36289612e+02 2.20886879e+01 
446 531.92 7.30072876e+02 2.19021854e+01 
447 532.72 7.24221558e+02 2.17266464e+01 
448 533.52 7.23626404e+02 2.17087917e+01 
449 534.32 7.28859985e+02 2.18657990e+01 
450 535.12 7.34341553e+02 2.20302467e+01 
451 535.92 7.35409912e+02 2.20622978e+01 
452 536.72 7.33840576e+02 2.20152168e+01 
453 537.52 7.30376221e+02 2.19112873e+01 
454 538.32 7.24964355e+02 2.17489300e+01 
455 539.12 7.19076050e+02 2.15722809e+01 
456 539.92 7.13661194e+02 2.14098358e+01 
457 540.72 7.12044922e+02 2.13613472e+01 
458 541.52 7.13737061e+02 2.14121113e+01 
459 542.32 7.19297241e+02 2.15789165e+01 
460 543.12 7.25090576e+02 2.17527180e+01 
461 543.92 7.29581909e+02 2.18874569e+01 
462 544.72 7.31371887e+02 2.19411564e+01 
463 545.52 7.31167542e+02 2.19350262e+01 
464 546.32 7.27357727e+02 2.18207321e+01 
465 547.12 7.23540161e+02 2.17062054e+01 
466 547.91 7.19824646e+02 2.15947399e+01 
467 548.71 7.19235901e+02 2.15770779e+01 
468 549.51 7.19332947e+02 2.15799885e+01 
469 550.31 7.19349731e+02 2.15804920e+01 
470 551.11 7.19023315e+02 2.15706997e+01 
471 551.91 7.18615356e+02 2.15584602e+01 
472 552.71 7.18588989e+02 2.15576706e+01 
473 553.51 7.19850037e+02 2.15955009e+01 
474 554.31 7.21324463e+02 2.16397343e+01 
475 555.10 7.19136108e+02 2.15740833e+01 
476 555.90 7.14909485e+02 2.14472847e+01 
477 556.70 7.09341614e+02 2.12802486e+01 
478 557.50 7.01756836e+02 2.10527058e+01 
479 558.30 6.94936096e+02 2.08480835e+01 
480 559.10 6.92902466e+02 2.07870731e+01 
481 559.90 6.93562927e+02 2.08068886e+01 
482 560.70 6.96471680e+02 2.08941498e+01 
483 561.49 7.02170532e+02 2.10651169e+01 
484 562.29 7.06954285e+02 2.12086277e+01 
485 563.09 7.08072021e+02 2.12421608e+01 
486 563.89 7.09254700e+02 2.12776413e+01 
487 564.69 7.08850342e+02 2.12655106e+01 
488 565.49 7.07831970e+02 2.12349586e+01 
489 566.29 7.07810730e+02 2.12343216e+01 
