% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from C:\Users\sleblan2\Research\MLO\2017_May\20170604_MLO_day10pm\4STAR_20170604starsun.mat and recorded on 2017-06-04 22:42:05.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.98 -1.00000000e+00 -1.00000000e+00 
2 174.77 -1.00000000e+00 -1.00000000e+00 
3 175.56 -1.00000000e+00 -1.00000000e+00 
4 176.36 -1.00000000e+00 -1.00000000e+00 
5 177.15 -1.00000000e+00 -1.00000000e+00 
6 177.94 -1.00000000e+00 -1.00000000e+00 
7 178.74 -1.00000000e+00 -1.00000000e+00 
8 179.53 -1.00000000e+00 -1.00000000e+00 
9 180.33 -1.00000000e+00 -1.00000000e+00 
10 181.12 -1.00000000e+00 -1.00000000e+00 
11 181.92 -1.00000000e+00 -1.00000000e+00 
12 182.71 -1.00000000e+00 -1.00000000e+00 
13 183.51 -1.00000000e+00 -1.00000000e+00 
14 184.30 -1.00000000e+00 -1.00000000e+00 
15 185.10 -1.00000000e+00 -1.00000000e+00 
16 185.89 -1.00000000e+00 -1.00000000e+00 
17 186.69 -1.00000000e+00 -1.00000000e+00 
18 187.49 -1.00000000e+00 -1.00000000e+00 
19 188.28 -1.00000000e+00 -1.00000000e+00 
20 189.08 -1.00000000e+00 -1.00000000e+00 
21 189.88 -1.00000000e+00 -1.00000000e+00 
22 190.67 -1.00000000e+00 -1.00000000e+00 
23 191.47 -1.00000000e+00 -1.00000000e+00 
24 192.27 -1.00000000e+00 -1.00000000e+00 
25 193.07 -1.00000000e+00 -1.00000000e+00 
26 193.86 -1.00000000e+00 -1.00000000e+00 
27 194.66 -1.00000000e+00 -1.00000000e+00 
28 195.46 -1.00000000e+00 -1.00000000e+00 
29 196.26 -1.00000000e+00 -1.00000000e+00 
30 197.05 -1.00000000e+00 -1.00000000e+00 
31 197.85 -1.00000000e+00 -1.00000000e+00 
32 198.65 -1.00000000e+00 -1.00000000e+00 
33 199.45 -1.00000000e+00 -1.00000000e+00 
34 200.25 -1.00000000e+00 -1.00000000e+00 
35 201.05 -1.00000000e+00 -1.00000000e+00 
36 201.85 -1.00000000e+00 -1.00000000e+00 
37 202.65 -1.00000000e+00 -1.00000000e+00 
38 203.44 -1.00000000e+00 -1.00000000e+00 
39 204.24 -1.00000000e+00 -1.00000000e+00 
40 205.04 -1.00000000e+00 -1.00000000e+00 
41 205.84 -1.00000000e+00 -1.00000000e+00 
42 206.64 -1.00000000e+00 -1.00000000e+00 
43 207.44 -1.00000000e+00 -1.00000000e+00 
44 208.24 -1.00000000e+00 -1.00000000e+00 
45 209.04 -1.00000000e+00 -1.00000000e+00 
46 209.84 -1.00000000e+00 -1.00000000e+00 
47 210.64 -1.00000000e+00 -1.00000000e+00 
48 211.44 -1.00000000e+00 -1.00000000e+00 
49 212.24 -1.00000000e+00 -1.00000000e+00 
50 213.04 6.22377586e+00 1.86713278e-01 
51 213.85 1.12709570e+00 3.38128693e-02 
52 214.65 1.13011801e+00 3.39035392e-02 
53 215.45 9.98955309e-01 2.99686585e-02 
54 216.25 1.00441957e+00 3.01325861e-02 
55 217.05 8.81225288e-01 2.64367592e-02 
56 217.85 9.74929035e-01 2.92478707e-02 
57 218.65 8.17335248e-01 2.45200582e-02 
58 219.46 1.01745403e+00 3.05236205e-02 
59 220.26 9.99298811e-01 2.99789645e-02 
60 221.06 1.11622512e+00 3.34867537e-02 
61 221.86 1.12824857e+00 3.38474587e-02 
62 222.66 1.13761818e+00 3.41285467e-02 
63 223.47 1.15021169e+00 3.45063508e-02 
64 224.27 1.17531610e+00 3.52594815e-02 
65 225.07 1.18003321e+00 3.54009978e-02 
66 225.87 1.19404328e+00 3.58213000e-02 
67 226.68 1.19898188e+00 3.59694548e-02 
68 227.48 1.24983430e+00 3.74950282e-02 
69 228.28 1.26489985e+00 3.79469953e-02 
70 229.08 1.27036417e+00 3.81109267e-02 
71 229.89 1.23664069e+00 3.70992199e-02 
72 230.69 1.24854290e+00 3.74562889e-02 
73 231.49 1.25498688e+00 3.76496054e-02 
74 232.30 1.23726344e+00 3.71179022e-02 
75 233.10 1.20403278e+00 3.61209847e-02 
76 233.90 1.17554033e+00 3.52662094e-02 
77 234.71 1.18379343e+00 3.55138034e-02 
78 235.51 1.13496542e+00 3.40489633e-02 
79 236.32 1.07998812e+00 3.23996432e-02 
80 237.12 1.18114936e+00 3.54344808e-02 
81 237.92 1.11090922e+00 3.33272777e-02 
82 238.73 1.04723167e+00 3.14169489e-02 
83 239.53 8.70792627e-01 2.61237789e-02 
84 240.34 9.57226872e-01 2.87168063e-02 
85 241.14 1.02686667e+00 3.08059994e-02 
86 241.94 7.29258358e-01 2.18777508e-02 
87 242.75 9.53922808e-01 2.86176838e-02 
88 243.55 8.26452553e-01 2.47935764e-02 
89 244.36 8.24292660e-01 2.47287806e-02 
90 245.16 1.35425735e+00 4.06277217e-02 
91 245.97 8.86667669e-01 2.66000293e-02 
92 246.77 -1.00000000e+00 -1.00000000e+00 
93 247.58 -1.00000000e+00 -1.00000000e+00 
94 248.38 -1.00000000e+00 -1.00000000e+00 
95 249.19 -1.00000000e+00 -1.00000000e+00 
96 249.99 -1.00000000e+00 -1.00000000e+00 
97 250.80 -1.00000000e+00 -1.00000000e+00 
98 251.60 -1.00000000e+00 -1.00000000e+00 
99 252.41 -1.00000000e+00 -1.00000000e+00 
100 253.21 -1.00000000e+00 -1.00000000e+00 
101 254.02 -1.00000000e+00 -1.00000000e+00 
102 254.82 -1.00000000e+00 -1.00000000e+00 
103 255.63 -1.00000000e+00 -1.00000000e+00 
104 256.44 -1.00000000e+00 -1.00000000e+00 
105 257.24 -1.00000000e+00 -1.00000000e+00 
106 258.05 -1.00000000e+00 -1.00000000e+00 
107 258.85 -1.00000000e+00 -1.00000000e+00 
108 259.66 -1.00000000e+00 -1.00000000e+00 
109 260.46 -1.00000000e+00 -1.00000000e+00 
110 261.27 -1.00000000e+00 -1.00000000e+00 
111 262.08 -1.00000000e+00 -1.00000000e+00 
112 262.88 2.68777870e-02 8.06333614e-04 
113 263.69 1.11524022e+00 3.34572047e-02 
114 264.49 1.06506312e+00 3.19518931e-02 
115 265.30 8.59735370e-01 2.57920604e-02 
116 266.11 1.33748960e+00 4.01246883e-02 
117 266.91 1.08410764e+00 3.25232297e-02 
118 267.72 9.24143493e-01 2.77243052e-02 
119 268.53 1.02969885e+00 3.08909658e-02 
120 269.33 9.07514334e-01 2.72254292e-02 
121 270.14 1.14087760e+00 3.42263281e-02 
122 270.95 1.10332417e+00 3.30997258e-02 
123 271.75 1.08026004e+00 3.24078016e-02 
124 272.56 1.13613498e+00 3.40840481e-02 
125 273.37 1.14367509e+00 3.43102515e-02 
126 274.17 1.10234821e+00 3.30704451e-02 
127 274.98 1.24735761e+00 3.74207273e-02 
128 275.79 1.24073267e+00 3.72219793e-02 
129 276.59 1.30181503e+00 3.90544496e-02 
130 277.40 1.30289102e+00 3.90867293e-02 
131 278.21 1.35235238e+00 4.05705720e-02 
132 279.01 1.38255954e+00 4.14767861e-02 
133 279.82 1.47235441e+00 4.41706330e-02 
134 280.63 1.58951426e+00 4.76854295e-02 
135 281.43 1.68433356e+00 5.05300052e-02 
136 282.24 1.78346694e+00 5.35040088e-02 
137 283.05 1.95021975e+00 5.85065931e-02 
138 283.86 2.05081034e+00 6.15243092e-02 
139 284.66 2.23815680e+00 6.71447068e-02 
140 285.47 2.57550311e+00 7.72650912e-02 
141 286.28 2.70590830e+00 8.11772496e-02 
142 287.09 3.02252364e+00 9.06757116e-02 
143 287.89 3.48214412e+00 1.04464322e-01 
144 288.70 4.12397957e+00 1.23719387e-01 
145 289.51 3.82404423e+00 1.14721328e-01 
146 290.32 3.21869445e+00 9.65608358e-02 
147 291.12 2.80097151e+00 8.40291455e-02 
148 291.93 2.39959836e+00 7.19879493e-02 
149 292.74 2.06955004e+00 6.20865002e-02 
150 293.55 1.83544886e+00 5.50634675e-02 
151 294.35 1.66828156e+00 5.00484481e-02 
152 295.16 1.49271321e+00 4.47813980e-02 
153 295.97 1.36702299e+00 4.10106890e-02 
154 296.78 1.25019550e+00 3.75058651e-02 
155 297.58 1.15836096e+00 3.47508304e-02 
156 298.39 1.08678341e+00 3.26035023e-02 
157 299.20 1.01243901e+00 3.03731710e-02 
158 300.01 9.56156731e-01 2.86847018e-02 
159 300.81 9.12466407e-01 2.73739919e-02 
160 301.62 8.70972812e-01 2.61291843e-02 
161 302.43 8.35989952e-01 2.50796992e-02 
162 303.24 8.13711762e-01 2.44113524e-02 
163 304.04 7.91804016e-01 2.37541199e-02 
164 304.85 7.69117713e-01 2.30735317e-02 
165 305.66 7.45788693e-01 2.23736614e-02 
166 306.47 7.35045075e-01 2.20513530e-02 
167 307.28 7.28214145e-01 2.18464248e-02 
168 308.08 7.21100509e-01 2.16330159e-02 
169 308.89 7.06596315e-01 2.11978890e-02 
170 309.70 7.05631018e-01 2.11689305e-02 
171 310.51 6.94618464e-01 2.08385531e-02 
172 311.32 6.91711009e-01 2.07513310e-02 
173 312.12 6.91470146e-01 2.07441039e-02 
174 312.93 6.88278317e-01 2.06483491e-02 
175 313.74 6.91518843e-01 2.07455661e-02 
176 314.55 6.99293613e-01 2.09788084e-02 
177 315.36 6.99099422e-01 2.09729820e-02 
178 316.16 7.01740563e-01 2.10522171e-02 
179 316.97 7.07326412e-01 2.12197918e-02 
180 317.78 7.27942050e-01 2.18382608e-02 
181 318.59 7.29307473e-01 2.18792241e-02 
182 319.40 7.37597585e-01 2.21279282e-02 
183 320.20 7.51533568e-01 2.25460064e-02 
184 321.01 7.81845689e-01 2.34553702e-02 
185 321.82 8.00524950e-01 2.40157489e-02 
186 322.63 8.14058304e-01 2.44217496e-02 
187 323.43 8.40564251e-01 2.52169278e-02 
188 324.24 8.50125909e-01 2.55037770e-02 
189 325.05 8.83197069e-01 2.64959112e-02 
190 325.86 9.02612388e-01 2.70783715e-02 
191 326.67 9.36302900e-01 2.80890875e-02 
192 327.48 9.67263460e-01 2.90179029e-02 
193 328.28 9.97897506e-01 2.99369246e-02 
194 329.09 1.03416252e+00 3.10248751e-02 
195 329.90 1.07623923e+00 3.22871767e-02 
196 330.71 1.11257100e+00 3.33771296e-02 
197 331.52 1.19474614e+00 3.58423851e-02 
198 332.32 1.34395194e+00 4.03185599e-02 
199 333.13 1.58456719e+00 4.75370139e-02 
200 333.94 2.02703071e+00 6.08109199e-02 
201 334.75 2.75403476e+00 8.26210454e-02 
202 335.55 3.80602980e+00 1.14180893e-01 
203 336.36 5.36372471e+00 1.60911739e-01 
204 337.17 7.89156866e+00 2.36747056e-01 
205 337.98 1.14859543e+01 3.44578624e-01 
206 338.79 1.57982416e+01 4.73947257e-01 
207 339.60 2.07849617e+01 6.23548865e-01 
208 340.40 2.52557774e+01 7.57673323e-01 
209 341.21 2.91445656e+01 8.74336958e-01 
210 342.02 3.37086029e+01 1.01125813e+00 
211 342.83 3.77881012e+01 1.13364303e+00 
212 343.63 3.90156326e+01 1.17046893e+00 
213 344.44 4.06943283e+01 1.22082984e+00 
214 345.25 4.54358368e+01 1.36307514e+00 
215 346.06 4.99717941e+01 1.49915385e+00 
216 346.87 5.31136551e+01 1.59340966e+00 
217 347.67 5.52905159e+01 1.65871549e+00 
218 348.48 5.73864136e+01 1.72159243e+00 
219 349.29 6.10563278e+01 1.83168983e+00 
220 350.10 6.71703262e+01 2.01510978e+00 
221 350.90 7.14632721e+01 2.14389825e+00 
222 351.71 7.17948151e+01 2.15384436e+00 
223 352.52 7.33982315e+01 2.20194697e+00 
224 353.33 7.99684601e+01 2.39905381e+00 
225 354.14 8.81906357e+01 2.64571905e+00 
226 354.94 9.20127258e+01 2.76038170e+00 
227 355.75 9.05019226e+01 2.71505761e+00 
228 356.56 8.53393097e+01 2.56017923e+00 
229 357.37 8.03219223e+01 2.40965772e+00 
230 358.18 7.94663239e+01 2.38398981e+00 
231 358.98 8.93275604e+01 2.67982674e+00 
232 359.79 1.03053299e+02 3.09159899e+00 
233 360.60 1.05241043e+02 3.15723133e+00 
234 361.41 1.03908363e+02 3.11725092e+00 
235 362.21 1.09562538e+02 3.28687620e+00 
236 363.02 1.16153641e+02 3.48460913e+00 
237 363.83 1.20269875e+02 3.60809612e+00 
238 364.64 1.26361412e+02 3.79084229e+00 
239 365.44 1.37709915e+02 4.13129759e+00 
240 366.25 1.47669907e+02 4.43009710e+00 
241 367.06 1.49190170e+02 4.47570515e+00 
242 367.87 1.47061295e+02 4.41183901e+00 
243 368.67 1.49208389e+02 4.47625160e+00 
244 369.48 1.55538849e+02 4.66616535e+00 
245 370.29 1.57211929e+02 4.71635771e+00 
246 371.10 1.55498505e+02 4.66495514e+00 
247 371.90 1.51520645e+02 4.54561949e+00 
248 372.71 1.43285812e+02 4.29857445e+00 
249 373.52 1.35445175e+02 4.06335545e+00 
250 374.33 1.34939072e+02 4.04817200e+00 
251 375.13 1.44325226e+02 4.32975674e+00 
252 375.94 1.57273117e+02 4.71819353e+00 
253 376.75 1.71363724e+02 5.14091158e+00 
254 377.56 1.87347198e+02 5.62041616e+00 
255 378.36 1.91813416e+02 5.75440264e+00 
256 379.17 1.82642380e+02 5.47927141e+00 
257 379.98 1.78491974e+02 5.35475922e+00 
258 380.78 1.77841629e+02 5.33524895e+00 
259 381.59 1.62638947e+02 4.87916851e+00 
260 382.40 1.38963959e+02 4.16891861e+00 
261 383.20 1.27965462e+02 3.83896375e+00 
262 384.01 1.38479828e+02 4.15439463e+00 
263 384.82 1.56343246e+02 4.69029760e+00 
264 385.63 1.64330566e+02 4.92991686e+00 
265 386.43 1.65964752e+02 4.97894239e+00 
266 387.24 1.67208771e+02 5.01626301e+00 
267 388.05 1.70225662e+02 5.10677004e+00 
268 388.85 1.80703125e+02 5.42109394e+00 
269 389.66 1.97476898e+02 5.92430687e+00 
270 390.47 2.11139587e+02 6.33418751e+00 
271 391.27 2.12217087e+02 6.36651278e+00 
272 392.08 1.89859802e+02 5.69579411e+00 
273 392.89 1.55385025e+02 4.66155052e+00 
274 393.69 1.47355560e+02 4.42066669e+00 
275 394.50 1.74608551e+02 5.23825645e+00 
276 395.31 1.94980331e+02 5.84941006e+00 
277 396.11 1.83282745e+02 5.49848223e+00 
278 396.92 1.74964767e+02 5.24894285e+00 
279 397.73 2.05454071e+02 6.16362190e+00 
280 398.53 2.52852402e+02 7.58557224e+00 
281 399.34 2.84075073e+02 8.52225208e+00 
282 400.15 2.99514771e+02 8.98544312e+00 
283 400.95 3.10161316e+02 9.30483913e+00 
284 401.76 3.18329132e+02 9.54987431e+00 
285 402.57 3.20966888e+02 9.62900639e+00 
286 403.37 3.19322784e+02 9.57968330e+00 
287 404.18 3.17796936e+02 9.53390789e+00 
288 404.99 3.16237976e+02 9.48713970e+00 
289 405.79 3.14574280e+02 9.43722820e+00 
290 406.60 3.15598053e+02 9.46794128e+00 
291 407.40 3.23330048e+02 9.69990158e+00 
292 408.21 3.35109528e+02 1.00532856e+01 
293 409.02 3.39563202e+02 1.01868963e+01 
294 409.82 3.36241486e+02 1.00872450e+01 
295 410.63 3.40081085e+02 1.02024326e+01 
296 411.43 3.53678101e+02 1.06103430e+01 
297 412.24 3.63285248e+02 1.08985577e+01 
298 413.05 3.64627991e+02 1.09388399e+01 
299 413.85 3.64224487e+02 1.09267349e+01 
300 414.66 3.64750061e+02 1.09425020e+01 
301 415.46 3.66167877e+02 1.09850359e+01 
302 416.27 3.66187073e+02 1.09856119e+01 
303 417.08 3.61719727e+02 1.08515921e+01 
304 417.88 3.55761963e+02 1.06728592e+01 
305 418.69 3.52991699e+02 1.05897512e+01 
306 419.49 3.54204163e+02 1.06261253e+01 
307 420.30 3.58916260e+02 1.07674875e+01 
308 421.11 3.62673065e+02 1.08801918e+01 
309 421.91 3.60193542e+02 1.08058062e+01 
310 422.72 3.54851807e+02 1.06455545e+01 
311 423.52 3.54340179e+02 1.06302052e+01 
312 424.33 3.58033203e+02 1.07409964e+01 
313 425.13 3.60488739e+02 1.08146620e+01 
314 425.94 3.60276001e+02 1.08082800e+01 
315 426.74 3.59351379e+02 1.07805414e+01 
316 427.55 3.58174927e+02 1.07452478e+01 
317 428.36 3.52710907e+02 1.05813274e+01 
318 429.16 3.38365845e+02 1.01509752e+01 
319 429.96 3.24097382e+02 9.72292137e+00 
320 430.77 3.31901001e+02 9.95703030e+00 
321 431.58 3.64030548e+02 1.09209166e+01 
322 432.38 3.98180939e+02 1.19454279e+01 
323 433.19 4.15373322e+02 1.24611998e+01 
324 433.99 4.24400391e+02 1.27320118e+01 
325 434.80 4.40368835e+02 1.32110653e+01 
326 435.60 4.62454224e+02 1.38736267e+01 
327 436.41 4.77509186e+02 1.43252754e+01 
328 437.21 4.77504852e+02 1.43251457e+01 
329 438.02 4.71550812e+02 1.41465244e+01 
330 438.82 4.73208405e+02 1.41962519e+01 
331 439.63 4.85795685e+02 1.45738707e+01 
332 440.43 5.05876282e+02 1.51762886e+01 
333 441.24 5.26877075e+02 1.58063126e+01 
334 442.04 5.45570557e+02 1.63671169e+01 
335 442.85 5.58730042e+02 1.67619019e+01 
336 443.65 5.66265564e+02 1.69879665e+01 
337 444.45 5.68659729e+02 1.70597916e+01 
338 445.26 5.68535278e+02 1.70560589e+01 
339 446.06 5.73366577e+02 1.72009964e+01 
340 446.87 5.85872498e+02 1.75761757e+01 
341 447.67 6.02185242e+02 1.80655575e+01 
342 448.48 6.16041382e+02 1.84812412e+01 
343 449.28 6.28733521e+02 1.88620052e+01 
344 450.09 6.41961060e+02 1.92588310e+01 
345 450.89 6.49344604e+02 1.94803391e+01 
346 451.70 6.44186646e+02 1.93255997e+01 
347 452.50 6.32848816e+02 1.89854641e+01 
348 453.30 6.27081970e+02 1.88124599e+01 
349 454.11 6.29908325e+02 1.88972492e+01 
350 454.91 6.39854187e+02 1.91956253e+01 
351 455.72 6.51073730e+02 1.95322113e+01 
352 456.52 6.59939636e+02 1.97981892e+01 
353 457.32 6.64397949e+02 1.99319382e+01 
354 458.13 6.64029663e+02 1.99208908e+01 
355 458.93 6.63585205e+02 1.99075565e+01 
356 459.74 6.68015930e+02 2.00404778e+01 
357 460.54 6.77045105e+02 2.03113537e+01 
358 461.34 6.86667603e+02 2.06000290e+01 
359 462.15 6.93190002e+02 2.07957001e+01 
360 462.95 6.93648254e+02 2.08094482e+01 
361 463.76 6.89802368e+02 2.06940708e+01 
362 464.56 6.85778564e+02 2.05733566e+01 
363 465.36 6.82630554e+02 2.04789162e+01 
364 466.17 6.81205322e+02 2.04361591e+01 
365 466.97 6.82566406e+02 2.04769917e+01 
366 467.77 6.85877319e+02 2.05763187e+01 
367 468.58 6.89270325e+02 2.06781101e+01 
368 469.38 6.90276794e+02 2.07083035e+01 
369 470.18 6.91822571e+02 2.07546768e+01 
370 470.99 6.98892944e+02 2.09667892e+01 
371 471.79 7.08749634e+02 2.12624893e+01 
372 472.59 7.18169373e+02 2.15450821e+01 
373 473.40 7.25387939e+02 2.17616386e+01 
374 474.20 7.29471558e+02 2.18841476e+01 
375 475.00 7.32075989e+02 2.19622803e+01 
376 475.81 7.34862793e+02 2.20458832e+01 
377 476.61 7.39090637e+02 2.21727200e+01 
378 477.41 7.45820740e+02 2.23746223e+01 
379 478.21 7.52815247e+02 2.25844574e+01 
380 479.02 7.57893433e+02 2.27368031e+01 
381 479.82 7.60854614e+02 2.28256378e+01 
382 480.62 7.64012451e+02 2.29203739e+01 
383 481.43 7.65367798e+02 2.29610348e+01 
384 482.23 7.63701416e+02 2.29110432e+01 
385 483.03 7.57927368e+02 2.27378216e+01 
386 483.84 7.45119019e+02 2.23535709e+01 
387 484.64 7.20825195e+02 2.16247559e+01 
388 485.44 6.92707886e+02 2.07812366e+01 
389 486.24 6.76872681e+02 2.03061810e+01 
390 487.04 6.79243958e+02 2.03773193e+01 
391 487.85 6.97059448e+02 2.09117832e+01 
392 488.65 7.20081787e+02 2.16024532e+01 
393 489.45 7.35670166e+02 2.20701046e+01 
394 490.26 7.40621094e+02 2.22186337e+01 
395 491.06 7.38307983e+02 2.21492386e+01 
396 491.86 7.34224976e+02 2.20267487e+01 
397 492.66 7.33836060e+02 2.20150814e+01 
398 493.46 7.40481567e+02 2.22144470e+01 
399 494.27 7.48853333e+02 2.24655991e+01 
400 495.07 7.53556519e+02 2.26066952e+01 
401 495.87 7.55607422e+02 2.26682224e+01 
402 496.67 7.52416504e+02 2.25724945e+01 
403 497.48 7.46581116e+02 2.23974342e+01 
404 498.28 7.40914917e+02 2.22274475e+01 
405 499.08 7.33593262e+02 2.20077972e+01 
406 499.88 7.25205017e+02 2.17561512e+01 
407 500.68 7.18909119e+02 2.15672741e+01 
408 501.48 7.15839050e+02 2.14751720e+01 
409 502.29 7.17554260e+02 2.15266285e+01 
410 503.09 7.22059509e+02 2.16617851e+01 
411 503.89 7.29213562e+02 2.18764076e+01 
412 504.69 7.37079651e+02 2.21123886e+01 
413 505.49 7.42688110e+02 2.22806435e+01 
414 506.29 7.43891418e+02 2.23167419e+01 
415 507.09 7.40927307e+02 2.22278194e+01 
416 507.90 7.37093384e+02 2.21128006e+01 
417 508.70 7.34921265e+02 2.20476379e+01 
418 509.50 7.35280212e+02 2.20584068e+01 
419 510.30 7.36947876e+02 2.21084366e+01 
420 511.10 7.35519043e+02 2.20655708e+01 
421 511.90 7.30687256e+02 2.19206181e+01 
422 512.71 7.23247986e+02 2.16974392e+01 
423 513.51 7.15237854e+02 2.14571362e+01 
424 514.31 7.08041931e+02 2.12412586e+01 
425 515.11 6.96628174e+02 2.08988457e+01 
426 515.91 6.78840210e+02 2.03652058e+01 
427 516.71 6.61976318e+02 1.98592892e+01 
428 517.51 6.51986816e+02 1.95596046e+01 
429 518.31 6.55318115e+02 1.96595440e+01 
430 519.11 6.70524963e+02 2.01157494e+01 
431 519.91 6.86824097e+02 2.06047230e+01 
432 520.71 6.99400696e+02 2.09820213e+01 
433 521.52 7.05152466e+02 2.11545734e+01 
434 522.32 7.08619507e+02 2.12585850e+01 
435 523.12 7.14079895e+02 2.14223976e+01 
436 523.92 7.18820007e+02 2.15646000e+01 
437 524.72 7.18028320e+02 2.15408497e+01 
438 525.52 7.08639771e+02 2.12591934e+01 
439 526.32 6.97526245e+02 2.09257870e+01 
440 527.12 6.95511597e+02 2.08653488e+01 
441 527.92 7.03977905e+02 2.11193371e+01 
442 528.72 7.19030823e+02 2.15709248e+01 
443 529.52 7.33230591e+02 2.19969177e+01 
444 530.32 7.39553528e+02 2.21866055e+01 
445 531.12 7.36819214e+02 2.21045761e+01 
446 531.92 7.30207642e+02 2.19062290e+01 
447 532.72 7.24466064e+02 2.17339821e+01 
448 533.52 7.23392151e+02 2.17017651e+01 
449 534.32 7.28424683e+02 2.18527412e+01 
450 535.12 7.33797607e+02 2.20139275e+01 
451 535.92 7.34954224e+02 2.20486259e+01 
452 536.72 7.33652039e+02 2.20095615e+01 
453 537.52 7.30472290e+02 2.19141693e+01 
454 538.32 7.25259277e+02 2.17577782e+01 
455 539.12 7.19291809e+02 2.15787544e+01 
456 539.92 7.14117371e+02 2.14235210e+01 
457 540.72 7.11946777e+02 2.13584042e+01 
458 541.52 7.13919861e+02 2.14175949e+01 
459 542.32 7.19383057e+02 2.15814915e+01 
460 543.12 7.25198120e+02 2.17559433e+01 
461 543.92 7.29165894e+02 2.18749771e+01 
462 544.72 7.31649170e+02 2.19494743e+01 
463 545.52 7.31362427e+02 2.19408722e+01 
464 546.32 7.27900696e+02 2.18370209e+01 
465 547.12 7.23463562e+02 2.17039070e+01 
466 547.91 7.20658203e+02 2.16197453e+01 
467 548.71 7.19680847e+02 2.15904255e+01 
468 549.51 7.19985291e+02 2.15995579e+01 
469 550.31 7.20152832e+02 2.16045856e+01 
470 551.11 7.19676392e+02 2.15902920e+01 
471 551.91 7.19254028e+02 2.15776215e+01 
472 552.71 7.19320251e+02 2.15796070e+01 
473 553.51 7.21355408e+02 2.16406631e+01 
474 554.31 7.22353638e+02 2.16706085e+01 
475 555.10 7.20307739e+02 2.16092319e+01 
476 555.90 7.16356689e+02 2.14906998e+01 
477 556.70 7.10809753e+02 2.13242931e+01 
478 557.50 7.02625732e+02 2.10787716e+01 
479 558.30 6.95779663e+02 2.08733902e+01 
480 559.10 6.94538940e+02 2.08361683e+01 
481 559.90 6.94955322e+02 2.08486595e+01 
482 560.70 6.97376282e+02 2.09212875e+01 
483 561.49 7.03293091e+02 2.10987930e+01 
484 562.29 7.07888000e+02 2.12366409e+01 
485 563.09 7.09637329e+02 2.12891197e+01 
486 563.89 7.10725708e+02 2.13217716e+01 
487 564.69 7.10448181e+02 2.13134460e+01 
