% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\sleblan2\Research\MLO\2017_May\20170605_MLO_day11pm\4STAR_20170605starsun.mat and recorded on 2017-06-05 21:47:21.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
511 949.79 3.85705829e+00 1.15711749e-01 
510 949.79 4.21526384e+00 1.26457915e-01 
509 951.68 4.58525372e+00 1.37557611e-01 
508 953.57 4.67061186e+00 1.40118361e-01 
507 955.46 5.11520767e+00 1.53456226e-01 
506 957.34 5.25743198e+00 1.57722965e-01 
505 959.22 5.77980852e+00 1.73394263e-01 
504 961.10 5.95889664e+00 1.78766906e-01 
503 962.98 6.48440695e+00 1.94532216e-01 
502 964.85 6.60627556e+00 1.98188260e-01 
501 966.72 7.23742199e+00 2.17122659e-01 
500 968.59 7.38096809e+00 2.21429050e-01 
499 970.45 7.81752205e+00 2.34525666e-01 
498 972.32 7.71850777e+00 2.31555238e-01 
497 974.18 8.03034401e+00 2.40910321e-01 
496 976.04 7.96564245e+00 2.38969266e-01 
495 977.89 8.37121487e+00 2.51136452e-01 
494 979.74 8.35812473e+00 2.50743747e-01 
493 981.59 8.71642208e+00 2.61492670e-01 
492 983.44 8.66679001e+00 2.60003686e-01 
491 985.29 8.96885872e+00 2.69065768e-01 
490 987.13 8.80403137e+00 2.64120936e-01 
489 988.97 9.06333160e+00 2.71899939e-01 
488 990.81 8.88243389e+00 2.66473025e-01 
487 992.65 9.07439041e+00 2.72231698e-01 
486 994.48 8.86956978e+00 2.66087085e-01 
485 996.31 9.02360439e+00 2.70708144e-01 
484 998.14 8.75952339e+00 2.62785703e-01 
483 999.97 8.92670250e+00 2.67801076e-01 
482 1001.79 8.64084435e+00 2.59225339e-01 
481 1003.62 8.72859955e+00 2.61857986e-01 
480 1005.44 8.50860882e+00 2.55258262e-01 
479 1007.25 8.76140308e+00 2.62842089e-01 
478 1009.07 8.57032490e+00 2.57109761e-01 
477 1010.88 8.74433422e+00 2.62330025e-01 
476 1012.69 8.48097324e+00 2.54429191e-01 
475 1014.50 8.61158085e+00 2.58347422e-01 
474 1016.31 8.39668846e+00 2.51900643e-01 
473 1018.11 8.55220127e+00 2.56566048e-01 
472 1019.91 8.32041931e+00 2.49612585e-01 
471 1021.71 8.47239399e+00 2.54171818e-01 
470 1023.51 8.24955463e+00 2.47486636e-01 
469 1025.30 8.42720509e+00 2.52816141e-01 
468 1027.09 8.32185936e+00 2.49655783e-01 
467 1028.88 8.49054718e+00 2.54716426e-01 
466 1030.67 8.32465363e+00 2.49739602e-01 
465 1032.46 8.50780392e+00 2.55234122e-01 
464 1034.24 8.35392857e+00 2.50617862e-01 
463 1036.02 8.54382515e+00 2.56314754e-01 
462 1037.80 8.41529751e+00 2.52458930e-01 
461 1039.58 8.63323593e+00 2.58997083e-01 
460 1041.35 8.47812748e+00 2.54343837e-01 
459 1043.12 8.65780354e+00 2.59734094e-01 
458 1044.89 8.57303905e+00 2.57191181e-01 
457 1046.66 8.77537823e+00 2.63261348e-01 
456 1048.43 8.70348644e+00 2.61104584e-01 
455 1050.19 8.92567730e+00 2.67770320e-01 
454 1051.95 8.75658512e+00 2.62697548e-01 
453 1053.71 9.01679802e+00 2.70503938e-01 
452 1055.47 8.84180260e+00 2.65254080e-01 
451 1057.23 8.98715210e+00 2.69614577e-01 
450 1058.98 8.83025837e+00 2.64907748e-01 
449 1060.73 9.03686714e+00 2.71106005e-01 
448 1062.48 8.84437943e+00 2.65331388e-01 
447 1064.23 8.98625183e+00 2.69587547e-01 
446 1065.97 8.66575909e+00 2.59972781e-01 
445 1067.71 8.69269276e+00 2.60780782e-01 
444 1069.46 8.48350716e+00 2.54505217e-01 
443 1071.19 8.60498047e+00 2.58149415e-01 
442 1072.93 8.43242264e+00 2.52972692e-01 
441 1074.67 8.52348804e+00 2.55704641e-01 
440 1076.40 8.30932140e+00 2.49279648e-01 
439 1078.13 8.33596420e+00 2.50078917e-01 
438 1079.86 8.10090828e+00 2.43027255e-01 
437 1081.58 8.16995525e+00 2.45098650e-01 
436 1083.31 8.01862049e+00 2.40558609e-01 
435 1085.03 8.18087387e+00 2.45426223e-01 
434 1086.75 8.11117077e+00 2.43335128e-01 
433 1088.47 8.25335693e+00 2.47600704e-01 
432 1090.19 8.12067890e+00 2.43620366e-01 
431 1091.90 8.19909382e+00 2.45972812e-01 
430 1093.61 8.02096462e+00 2.40628943e-01 
429 1095.33 8.18326378e+00 2.45497912e-01 
428 1097.03 8.15866470e+00 2.44759947e-01 
427 1098.74 8.32716274e+00 2.49814883e-01 
426 1100.45 8.24845695e+00 2.47453704e-01 
425 1102.15 8.49155712e+00 2.54746705e-01 
424 1103.85 8.42017555e+00 2.52605259e-01 
423 1105.55 8.56393814e+00 2.56918132e-01 
422 1107.25 8.39981651e+00 2.51994491e-01 
421 1108.94 8.37406158e+00 2.51221836e-01 
420 1110.64 7.88585472e+00 2.36575648e-01 
419 1112.33 7.47905302e+00 2.24371597e-01 
418 1114.02 6.64306927e+00 1.99292079e-01 
417 1115.70 6.23189640e+00 1.86956897e-01 
416 1117.39 5.74973202e+00 1.72491968e-01 
415 1119.07 5.55457211e+00 1.66637167e-01 
414 1120.76 5.32655621e+00 1.59796685e-01 
413 1122.44 5.23027468e+00 1.56908244e-01 
412 1124.12 5.15836048e+00 1.54750809e-01 
411 1125.79 5.35815334e+00 1.60744607e-01 
410 1127.47 5.65230083e+00 1.69569030e-01 
409 1129.14 6.18828917e+00 1.85648680e-01 
408 1130.81 5.72854567e+00 1.71856374e-01 
407 1132.48 5.50018644e+00 1.65005594e-01 
406 1134.15 5.41684389e+00 1.62505314e-01 
405 1135.81 6.06552362e+00 1.81965709e-01 
404 1137.48 6.95217037e+00 2.08565116e-01 
403 1139.14 7.36544609e+00 2.20963389e-01 
402 1140.80 6.96413708e+00 2.08924115e-01 
401 1142.46 6.55456257e+00 1.96636871e-01 
400 1144.12 6.08236551e+00 1.82470962e-01 
399 1145.77 6.02976608e+00 1.80892989e-01 
398 1147.43 6.16075039e+00 1.84822515e-01 
397 1149.08 6.57557392e+00 1.97267219e-01 
396 1150.73 6.61744404e+00 1.98523328e-01 
395 1152.38 7.02210283e+00 2.10663080e-01 
394 1154.02 7.19591475e+00 2.15877444e-01 
393 1155.67 7.64544153e+00 2.29363248e-01 
392 1157.31 7.74718952e+00 2.32415691e-01 
391 1158.95 8.03400993e+00 2.41020292e-01 
390 1160.59 8.15979099e+00 2.44793728e-01 
389 1162.23 8.42650604e+00 2.52795190e-01 
388 1163.87 8.45256138e+00 2.53576845e-01 
387 1165.50 8.56561661e+00 2.56968498e-01 
386 1167.13 8.52892303e+00 2.55867690e-01 
385 1168.76 8.72570801e+00 2.61771232e-01 
384 1170.39 8.57299232e+00 2.57189780e-01 
383 1172.02 8.56437874e+00 2.56931365e-01 
382 1173.65 8.35779381e+00 2.50733823e-01 
381 1175.27 8.37511349e+00 2.51253396e-01 
380 1176.90 8.32044125e+00 2.49613240e-01 
379 1178.52 8.19994259e+00 2.45998278e-01 
378 1180.14 8.00008202e+00 2.40002453e-01 
377 1181.75 7.97856712e+00 2.39357010e-01 
376 1183.37 7.81581688e+00 2.34474510e-01 
375 1184.99 7.83552122e+00 2.35065639e-01 
374 1186.60 7.74768066e+00 2.32430413e-01 
373 1188.21 7.77050686e+00 2.33115211e-01 
372 1189.82 7.75990772e+00 2.32797235e-01 
371 1191.43 8.00016785e+00 2.40005031e-01 
370 1193.04 7.88120270e+00 2.36436084e-01 
369 1194.64 7.85238838e+00 2.35571653e-01 
368 1196.24 7.63131142e+00 2.28939340e-01 
367 1197.85 7.65582228e+00 2.29674667e-01 
366 1199.45 7.50847197e+00 2.25254163e-01 
365 1201.05 7.59254694e+00 2.27776408e-01 
364 1202.64 7.56345463e+00 2.26903632e-01 
363 1204.24 7.63433027e+00 2.29029909e-01 
362 1205.83 7.61284256e+00 2.28385270e-01 
361 1207.43 7.63141155e+00 2.28942350e-01 
360 1209.02 7.56293726e+00 2.26888120e-01 
359 1210.61 7.69964266e+00 2.30989277e-01 
358 1212.19 7.70394135e+00 2.31118247e-01 
357 1213.78 7.89049053e+00 2.36714721e-01 
356 1215.37 7.84850073e+00 2.35455021e-01 
355 1216.95 7.92822027e+00 2.37846613e-01 
354 1218.53 7.89447069e+00 2.36834124e-01 
353 1220.11 7.96913004e+00 2.39073902e-01 
352 1221.69 7.93771124e+00 2.38131344e-01 
351 1223.27 7.97660446e+00 2.39298135e-01 
350 1224.84 7.96756458e+00 2.39026934e-01 
349 1226.42 8.04575253e+00 2.41372570e-01 
348 1227.99 8.04320908e+00 2.41296276e-01 
347 1229.56 8.19170284e+00 2.45751083e-01 
346 1231.13 8.11894989e+00 2.43568495e-01 
345 1232.70 8.18759823e+00 2.45627940e-01 
344 1234.27 8.13531780e+00 2.44059533e-01 
343 1235.84 8.17414379e+00 2.45224312e-01 
342 1237.40 8.10130405e+00 2.43039116e-01 
341 1238.96 8.09462929e+00 2.42838874e-01 
340 1240.52 7.92985773e+00 2.37895727e-01 
339 1242.08 8.06589603e+00 2.41976887e-01 
338 1243.64 8.03247356e+00 2.40974203e-01 
337 1245.20 8.08161736e+00 2.42448524e-01 
336 1246.75 8.04721832e+00 2.41416544e-01 
335 1248.31 8.11493492e+00 2.43448049e-01 
334 1249.86 8.03688335e+00 2.41106495e-01 
333 1251.41 8.07427883e+00 2.42228359e-01 
332 1252.96 8.00554848e+00 2.40166456e-01 
331 1254.51 8.02573109e+00 2.40771934e-01 
330 1256.06 7.92792940e+00 2.37837881e-01 
329 1257.61 7.88986254e+00 2.36695871e-01 
328 1259.15 7.77562189e+00 2.33268663e-01 
327 1260.69 7.72882748e+00 2.31864825e-01 
326 1262.23 7.59689617e+00 2.27906883e-01 
325 1263.77 7.57644749e+00 2.27293432e-01 
324 1265.31 7.37770271e+00 2.21331075e-01 
323 1266.85 7.40096569e+00 2.22028971e-01 
322 1268.39 7.45286703e+00 2.23586008e-01 
321 1269.92 7.57075071e+00 2.27122515e-01 
320 1271.46 7.74219322e+00 2.32265800e-01 
319 1272.99 7.80685902e+00 2.34205768e-01 
318 1274.52 7.78413963e+00 2.33524188e-01 
317 1276.05 7.85855961e+00 2.35756785e-01 
316 1277.58 7.72461987e+00 2.31738597e-01 
315 1279.10 7.57834816e+00 2.27350444e-01 
314 1280.63 7.53974104e+00 2.26192236e-01 
313 1282.15 7.55302811e+00 2.26590842e-01 
312 1283.68 7.62954664e+00 2.28886396e-01 
311 1285.20 7.78564835e+00 2.33569443e-01 
310 1286.72 7.71786737e+00 2.31536016e-01 
309 1288.24 7.71388674e+00 2.31416598e-01 
308 1289.75 7.60358095e+00 2.28107423e-01 
307 1291.27 7.62942123e+00 2.28882641e-01 
306 1292.78 7.61834240e+00 2.28550270e-01 
305 1294.30 7.60545731e+00 2.28163719e-01 
304 1295.81 7.49276543e+00 2.24782959e-01 
303 1297.32 7.43844366e+00 2.23153308e-01 
302 1298.83 7.37169743e+00 2.21150920e-01 
301 1300.34 7.27192020e+00 2.18157604e-01 
300 1301.85 7.17648935e+00 2.15294674e-01 
299 1303.35 7.08250141e+00 2.12475047e-01 
298 1304.86 6.94586897e+00 2.08376065e-01 
297 1306.36 6.90434456e+00 2.07130343e-01 
296 1307.86 6.81797409e+00 2.04539225e-01 
295 1309.36 6.73167801e+00 2.01950341e-01 
294 1310.86 6.57576323e+00 1.97272897e-01 
293 1312.36 6.50331497e+00 1.95099443e-01 
292 1313.86 6.43866205e+00 1.93159863e-01 
291 1315.36 6.41723585e+00 1.92517072e-01 
290 1316.85 6.32609653e+00 1.89782903e-01 
289 1318.34 6.27945375e+00 1.88383609e-01 
288 1319.84 6.12461472e+00 1.83738440e-01 
287 1321.33 6.14323139e+00 1.84296936e-01 
286 1322.82 6.12137604e+00 1.83641285e-01 
285 1324.30 6.05277443e+00 1.81583226e-01 
284 1325.79 5.84677982e+00 1.75403401e-01 
283 1327.28 5.57875824e+00 1.67362750e-01 
282 1328.76 5.18574238e+00 1.55572265e-01 
281 1330.25 5.01994801e+00 1.50598437e-01 
280 1331.73 4.98504400e+00 1.49551317e-01 
279 1333.21 5.02971697e+00 1.50891513e-01 
278 1334.69 5.08660507e+00 1.52598158e-01 
277 1336.17 5.09614801e+00 1.52884439e-01 
276 1337.65 4.95546722e+00 1.48664013e-01 
275 1339.12 4.89646673e+00 1.46894008e-01 
274 1340.60 4.65456629e+00 1.39636993e-01 
273 1342.07 4.33718395e+00 1.30115524e-01 
272 1343.55 3.98549533e+00 1.19564861e-01 
271 1345.02 3.27994680e+00 9.83984023e-02 
270 1346.49 2.81463861e+00 8.44391584e-02 
269 1347.96 2.29846168e+00 6.89538494e-02 
268 1349.43 1.74592328e+00 5.23776971e-02 
267 1350.89 1.36400223e+00 4.09200676e-02 
266 1352.36 8.88473690e-01 2.66542099e-02 
265 1353.82 6.14944875e-01 1.84483454e-02 
264 1355.29 2.60989964e-01 7.82969873e-03 
263 1356.75 2.66080856e-01 7.98242539e-03 
262 1358.21 1.98539317e-01 5.95617946e-03 
261 1359.67 2.27742374e-01 6.83227135e-03 
260 1361.13 1.52464315e-01 4.57392959e-03 
259 1362.59 1.48199245e-01 4.44597751e-03 
258 1364.04 1.43332005e-01 4.29996010e-03 
257 1365.50 1.33631319e-01 4.00893949e-03 
256 1366.95 2.86283314e-01 8.58849939e-03 
255 1368.41 1.79809064e-01 5.39427204e-03 
254 1369.86 1.05717234e-01 3.17151705e-03 
253 1371.31 1.78837776e-01 5.36513329e-03 
252 1372.76 3.92819643e-01 1.17845889e-02 
251 1374.21 3.82525623e-01 1.14757689e-02 
250 1375.65 3.85441512e-01 1.15632452e-02 
249 1377.10 3.50124300e-01 1.05037289e-02 
248 1378.55 2.13140845e-01 6.39422517e-03 
247 1379.99 1.99638695e-01 5.98916085e-03 
246 1381.43 1.98427305e-01 5.95281925e-03 
245 1382.87 6.63922727e-02 1.99176813e-03 
244 1384.32 1.33074403e-01 3.99223203e-03 
243 1385.75 2.35549316e-01 7.06647942e-03 
242 1387.19 4.03408825e-01 1.21022649e-02 
241 1388.63 3.54803205e-01 1.06440959e-02 
240 1390.07 5.22662640e-01 1.56798791e-02 
239 1391.50 4.82298642e-01 1.44689595e-02 
238 1392.94 3.97045374e-01 1.19113615e-02 
237 1394.37 3.46056521e-01 1.03816958e-02 
236 1395.80 4.53003526e-01 1.35901058e-02 
235 1397.23 4.43482071e-01 1.33044617e-02 
234 1398.66 4.59487051e-01 1.37846116e-02 
233 1400.09 5.73615491e-01 1.72084644e-02 
232 1401.52 4.84576017e-01 1.45372804e-02 
231 1402.94 5.70950449e-01 1.71285141e-02 
230 1404.37 5.82877159e-01 1.74863152e-02 
229 1405.79 5.90871334e-01 1.77261401e-02 
228 1407.22 5.72063208e-01 1.71618965e-02 
227 1408.64 6.89017057e-01 2.06705108e-02 
226 1410.06 8.22856069e-01 2.46856827e-02 
225 1411.48 8.46513152e-01 2.53953952e-02 
224 1412.90 9.79456425e-01 2.93836929e-02 
223 1414.32 1.13720751e+00 3.41162235e-02 
222 1415.73 1.08022642e+00 3.24067920e-02 
221 1417.15 1.10593522e+00 3.31780575e-02 
220 1418.56 1.22556460e+00 3.67669389e-02 
219 1419.98 1.22986436e+00 3.68959308e-02 
218 1421.39 1.36600196e+00 4.09800597e-02 
217 1422.80 1.58303642e+00 4.74910922e-02 
216 1424.21 1.63314974e+00 4.89944927e-02 
215 1425.62 1.59508586e+00 4.78525758e-02 
214 1427.03 1.73757315e+00 5.21271937e-02 
213 1428.44 1.69385028e+00 5.08155078e-02 
212 1429.84 1.61072516e+00 4.83217537e-02 
211 1431.25 1.67578995e+00 5.02736978e-02 
210 1432.65 1.63860905e+00 4.91582714e-02 
209 1434.06 1.62035441e+00 4.86106314e-02 
208 1435.46 1.70502377e+00 5.11507131e-02 
207 1436.86 1.78098118e+00 5.34294359e-02 
206 1438.26 1.79716837e+00 5.39150499e-02 
205 1439.66 1.86575937e+00 5.59727810e-02 
204 1441.05 2.02124596e+00 6.06373772e-02 
203 1442.45 1.95850050e+00 5.87550141e-02 
202 1443.85 1.97145009e+00 5.91435023e-02 
201 1445.24 2.12849712e+00 6.38549104e-02 
200 1446.64 2.16804409e+00 6.50413260e-02 
199 1448.03 2.09325242e+00 6.27975762e-02 
198 1449.42 2.17235613e+00 6.51706830e-02 
197 1450.81 2.25613499e+00 6.76840469e-02 
196 1452.20 2.35328102e+00 7.05984309e-02 
195 1453.59 2.66897655e+00 8.00692961e-02 
194 1454.97 2.94513321e+00 8.83539990e-02 
193 1456.36 3.01978278e+00 9.05934870e-02 
192 1457.75 3.04601240e+00 9.13803726e-02 
191 1459.13 3.00312567e+00 9.00937691e-02 
190 1460.51 2.92270637e+00 8.76811892e-02 
189 1461.90 2.79492283e+00 8.38476866e-02 
188 1463.28 2.68152785e+00 8.04458335e-02 
187 1464.66 2.53970313e+00 7.61910975e-02 
186 1466.04 2.51856899e+00 7.55570680e-02 
185 1467.41 2.29162955e+00 6.87488839e-02 
184 1468.79 2.17175913e+00 6.51527718e-02 
183 1470.17 2.16851854e+00 6.50555566e-02 
182 1471.54 2.27541876e+00 6.82625622e-02 
181 1472.92 2.45966578e+00 7.37899765e-02 
180 1474.29 2.61301327e+00 7.83903971e-02 
179 1475.66 2.66170955e+00 7.98512846e-02 
178 1477.03 2.56654787e+00 7.69964382e-02 
177 1478.40 2.48793530e+00 7.46380612e-02 
176 1479.77 2.60857749e+00 7.82573223e-02 
175 1481.14 2.70068121e+00 8.10204372e-02 
174 1482.51 2.84691334e+00 8.54073986e-02 
173 1483.87 2.84621668e+00 8.53864998e-02 
172 1485.24 2.83930063e+00 8.51790160e-02 
171 1486.60 2.85196257e+00 8.55588764e-02 
170 1487.96 2.99363470e+00 8.98090377e-02 
169 1489.32 3.11130548e+00 9.33391675e-02 
168 1490.68 3.33201790e+00 9.99605358e-02 
167 1492.04 3.36764002e+00 1.01029202e-01 
166 1493.40 3.40981197e+00 1.02294356e-01 
165 1494.76 3.42896199e+00 1.02868862e-01 
164 1496.12 3.50207114e+00 1.05062135e-01 
163 1497.47 3.53969669e+00 1.06190898e-01 
162 1498.83 3.65785670e+00 1.09735698e-01 
161 1500.18 3.53778410e+00 1.06133521e-01 
160 1501.53 3.44456935e+00 1.03337079e-01 
159 1502.89 3.34658527e+00 1.00397557e-01 
158 1504.24 3.37868357e+00 1.01360507e-01 
157 1505.59 3.42437100e+00 1.02731131e-01 
156 1506.93 3.59028053e+00 1.07708417e-01 
155 1508.28 3.65710950e+00 1.09713286e-01 
154 1509.63 3.69481659e+00 1.10844500e-01 
153 1510.97 3.67540216e+00 1.10262066e-01 
152 1512.32 3.73704123e+00 1.12111241e-01 
151 1513.66 3.66123414e+00 1.09837025e-01 
150 1515.00 3.69183064e+00 1.10754922e-01 
149 1516.34 3.65891743e+00 1.09767526e-01 
148 1517.69 3.67400002e+00 1.10220000e-01 
147 1519.02 3.62035847e+00 1.08610757e-01 
146 1520.36 3.65577602e+00 1.09673284e-01 
145 1521.70 3.62624216e+00 1.08787268e-01 
144 1523.04 3.67379665e+00 1.10213898e-01 
143 1524.37 3.62380886e+00 1.08714268e-01 
142 1525.71 3.65981126e+00 1.09794341e-01 
141 1527.04 3.61015773e+00 1.08304732e-01 
140 1528.37 3.63420844e+00 1.09026253e-01 
139 1529.70 3.57069254e+00 1.07120775e-01 
138 1531.03 3.60371232e+00 1.08111367e-01 
137 1532.36 3.55435324e+00 1.06630594e-01 
136 1533.69 3.58527422e+00 1.07558228e-01 
135 1535.02 3.52618814e+00 1.05785646e-01 
134 1536.34 3.55655336e+00 1.06696598e-01 
133 1537.67 3.50787592e+00 1.05236277e-01 
132 1538.99 3.54351926e+00 1.06305577e-01 
131 1540.31 3.49925089e+00 1.04977526e-01 
130 1541.64 3.52421379e+00 1.05726413e-01 
129 1542.96 3.48868513e+00 1.04660556e-01 
128 1544.28 3.51831102e+00 1.05549328e-01 
127 1545.60 3.44576693e+00 1.03373006e-01 
126 1546.91 3.47591686e+00 1.04277506e-01 
125 1548.23 3.39524317e+00 1.01857297e-01 
124 1549.55 3.43013740e+00 1.02904119e-01 
123 1550.86 3.35564089e+00 1.00669228e-01 
122 1552.18 3.37758923e+00 1.01327680e-01 
121 1553.49 3.30560827e+00 9.91682485e-02 
120 1554.80 3.34506655e+00 1.00351997e-01 
119 1556.11 3.28200197e+00 9.84600559e-02 
118 1557.42 3.31987286e+00 9.95961875e-02 
117 1558.73 3.24921608e+00 9.74764824e-02 
116 1560.04 3.26720428e+00 9.80161279e-02 
115 1561.34 3.19235301e+00 9.57705900e-02 
114 1562.65 3.23188567e+00 9.69565734e-02 
113 1563.95 3.15946198e+00 9.47838575e-02 
112 1565.26 3.21892118e+00 9.65676382e-02 
111 1566.56 3.12659097e+00 9.37977284e-02 
110 1567.86 3.14166737e+00 9.42500234e-02 
109 1569.16 3.04676723e+00 9.14030150e-02 
108 1570.46 3.02819347e+00 9.08458009e-02 
107 1571.76 2.94090819e+00 8.82272422e-02 
106 1573.05 2.92322493e+00 8.76967460e-02 
105 1574.35 2.83503151e+00 8.50509480e-02 
