% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (256 channels) derived from (SEE Original files for sources) and recorded on 2017-06-06 12:31:12.
% Langley at MLO, Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Averages of c0 from multiple days including: , good--2-01, good- a-m-, good- p-m-, good- p-m-, good- a-m-, good- p-m-. See the list of files below
% 20170527_VIS_C0_refined_Langley_2STAR_MLO_May2017.dat
% 20170531_VIS_C0_refined_Langley_2STAR_MLO_May2017am.dat
% 20170531_VIS_C0_refined_Langley_2STAR_MLO_May2017pm.dat
% 20170604_VIS_C0_refined_Langley_2STAR_MLO_May2017pm.dat
% 20170605_VIS_C0_refined_Langley_2STAR_MLO_May2017am.dat
% 20170605_VIS_C0_refined_Langley_2STAR_MLO_May2017pm.dat
Pix Wavelength C0 C0err
0 301.71 2.67401083e+01 2.01129121e+01 
1 305.04 2.33986025e+01 7.91694739e+00 
2 308.37 2.78557838e+01 3.52298354e+00 
3 311.70 3.94800816e+01 7.42681498e+00 
4 315.04 5.83607903e+01 1.32213046e+01 
5 318.37 8.35882358e+01 1.77649171e+01 
6 321.70 1.14857339e+02 2.10810100e+01 
7 325.04 1.49349904e+02 2.23812432e+01 
8 328.37 1.77496887e+02 2.21580239e+01 
9 331.71 1.93625356e+02 2.02918670e+01 
10 335.04 2.05447156e+02 1.79727229e+01 
11 338.38 2.20749629e+02 1.58463279e+01 
12 341.72 2.38077072e+02 1.45428648e+01 
13 345.06 2.58588888e+02 1.32053409e+01 
14 348.39 2.88441218e+02 1.18882971e+01 
15 351.73 3.22319076e+02 1.08942315e+01 
16 355.07 3.50268509e+02 1.05683941e+01 
17 358.41 3.85225418e+02 9.56859550e+00 
18 361.75 4.44612793e+02 8.72725203e+00 
19 365.10 5.09990718e+02 8.75395966e+00 
20 368.44 5.44084147e+02 8.77039968e+00 
21 371.78 5.44523224e+02 7.98406135e+00 
22 375.12 5.46541239e+02 7.58848681e+00 
23 378.47 5.33830577e+02 6.96749388e+00 
24 381.81 4.94308090e+02 6.41317137e+00 
