% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (256 channels) derived from C:\Users\sleblan2\Research\MLO\2017_May\20170605_MLO_day11am\2STAR_20170605starsun.mat and recorded on 2017-06-05 16:20:03.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out. For instrument:2STAR
Pix Wavelength C0 C0err
0 301.71 1.50448065e+01 4.51344192e-01 
1 305.04 2.01662788e+01 6.04988337e-01 
2 308.37 3.13042984e+01 9.39128935e-01 
3 311.70 5.01743279e+01 1.50522983e+00 
4 315.04 7.57330170e+01 2.27199054e+00 
5 318.37 1.05218414e+02 3.15655231e+00 
6 321.70 1.38634293e+02 4.15902901e+00 
7 325.04 1.73119507e+02 5.19358540e+00 
8 328.37 2.00107147e+02 6.00321436e+00 
9 331.71 2.13625488e+02 6.40876484e+00 
10 335.04 2.22785294e+02 6.68355894e+00 
11 338.38 2.36068787e+02 7.08206367e+00 
12 341.72 2.52082413e+02 7.56247234e+00 
13 345.06 2.71439636e+02 8.14318943e+00 
14 348.39 2.99219269e+02 8.97657776e+00 
15 351.73 3.32159729e+02 9.96479225e+00 
16 355.07 3.61072784e+02 1.08321838e+01 
17 358.41 3.94498871e+02 1.18349657e+01 
18 361.75 4.52131531e+02 1.35639458e+01 
19 365.10 5.18930542e+02 1.55679159e+01 
20 368.44 5.54026245e+02 1.66207867e+01 
21 371.78 5.53496582e+02 1.66048965e+01 
22 375.12 5.55237305e+02 1.66571198e+01 
23 378.47 5.41838806e+02 1.62551651e+01 
24 381.81 5.01762665e+02 1.50528803e+01 
25 385.15 4.80372559e+02 1.44111767e+01 
26 388.50 4.97602325e+02 1.49280701e+01 
27 391.85 5.00921204e+02 1.50276365e+01 
28 395.19 5.44330811e+02 1.63299236e+01 
29 398.54 6.58989075e+02 1.97696724e+01 
30 401.88 7.59121338e+02 2.27736397e+01 
31 405.23 7.99436035e+02 2.39830818e+01 
32 408.58 8.48849731e+02 2.54654922e+01 
33 411.93 9.01084778e+02 2.70325432e+01 
34 415.27 9.50442688e+02 2.85132809e+01 
35 418.62 9.95882996e+02 2.98764896e+01 
36 421.97 1.04240967e+03 3.12722893e+01 
37 425.32 1.06782849e+03 3.20348549e+01 
38 428.67 1.10600391e+03 3.31801186e+01 
39 432.02 1.20179187e+03 3.60537567e+01 
40 435.37 1.33439941e+03 4.00319824e+01 
41 438.72 1.45270105e+03 4.35810318e+01 
42 442.07 1.55560132e+03 4.66680412e+01 
43 445.43 1.64667712e+03 4.94003143e+01 
44 448.78 1.70552124e+03 5.11656380e+01 
45 452.13 1.72918127e+03 5.18754387e+01 
46 455.48 1.70866492e+03 5.12599487e+01 
47 458.83 1.69701636e+03 5.09104919e+01 
48 462.19 1.67273047e+03 5.01819153e+01 
49 465.54 1.61623645e+03 4.84870949e+01 
50 468.89 1.57853882e+03 4.73561630e+01 
51 472.24 1.56191248e+03 4.68573761e+01 
52 475.60 1.54854614e+03 4.64563828e+01 
53 478.95 1.49157739e+03 4.47473221e+01 
54 482.30 1.41571729e+03 4.24715195e+01 
55 485.66 1.34576660e+03 4.03729973e+01 
56 489.01 1.31226965e+03 3.93680878e+01 
57 492.37 1.29975793e+03 3.89927368e+01 
58 495.72 1.29396851e+03 3.88190536e+01 
59 499.08 1.27560693e+03 3.82682076e+01 
60 502.43 1.26479443e+03 3.79438324e+01 
61 505.78 1.28245544e+03 3.84736633e+01 
62 509.14 1.29472827e+03 3.88418465e+01 
63 512.49 1.28546521e+03 3.85639572e+01 
64 515.85 1.27077930e+03 3.81233788e+01 
65 519.20 1.30275928e+03 3.90827789e+01 
66 522.56 1.34902588e+03 4.04707756e+01 
67 525.91 1.39335791e+03 4.18007355e+01 
68 529.27 1.41459375e+03 4.24378128e+01 
69 532.62 1.44059143e+03 4.32177429e+01 
70 535.98 1.43532825e+03 4.30598488e+01 
71 539.33 1.42517065e+03 4.27551193e+01 
72 542.69 1.44341260e+03 4.33023796e+01 
73 546.04 1.45650342e+03 4.36951027e+01 
74 549.40 1.44636499e+03 4.33909492e+01 
75 552.75 1.44732397e+03 4.34197197e+01 
76 556.11 1.43694434e+03 4.31083298e+01 
77 559.46 1.42426709e+03 4.27280121e+01 
78 562.81 1.43548560e+03 4.30645676e+01 
79 566.17 1.41568555e+03 4.24705658e+01 
80 569.52 1.40425134e+03 4.21275406e+01 
81 572.88 1.39669189e+03 4.19007568e+01 
82 576.23 1.38751147e+03 4.16253433e+01 
83 579.58 1.35142419e+03 4.05427246e+01 
84 582.94 1.32214063e+03 3.96642189e+01 
85 586.29 1.27678577e+03 3.83035736e+01 
86 589.64 1.24067358e+03 3.72202072e+01 
87 593.00 1.21750269e+03 3.65250816e+01 
88 596.35 1.17546533e+03 3.52639618e+01 
89 599.70 1.13949353e+03 3.41848068e+01 
90 603.05 1.12380286e+03 3.37140846e+01 
91 606.41 1.09204480e+03 3.27613449e+01 
92 609.76 1.07333057e+03 3.21999168e+01 
93 613.11 1.03411267e+03 3.10233803e+01 
94 616.46 1.01429535e+03 3.04288597e+01 
95 619.81 9.86024353e+02 2.95807304e+01 
96 623.16 9.49152405e+02 2.84745712e+01 
97 626.51 9.01400208e+02 2.70420055e+01 
98 629.86 8.72674011e+02 2.61802197e+01 
99 633.21 8.36505249e+02 2.50951576e+01 
100 636.56 8.04447754e+02 2.41334324e+01 
101 639.91 7.70856262e+02 2.31256886e+01 
102 643.26 7.50159241e+02 2.25047779e+01 
103 646.61 7.27081360e+02 2.18124409e+01 
104 649.96 7.05016602e+02 2.11504974e+01 
105 653.30 6.68290894e+02 2.00487270e+01 
106 656.65 6.43335083e+02 1.93000526e+01 
107 660.00 6.35096130e+02 1.90528831e+01 
108 663.35 6.24939880e+02 1.87481956e+01 
109 666.69 6.09098572e+02 1.82729568e+01 
110 670.04 5.95254761e+02 1.78576431e+01 
111 673.38 5.82009399e+02 1.74602814e+01 
112 676.73 5.68972717e+02 1.70691814e+01 
113 680.07 5.51964233e+02 1.65589275e+01 
114 683.41 5.25469055e+02 1.57640715e+01 
115 686.76 5.08878693e+02 1.52663612e+01 
116 690.10 4.95762085e+02 1.48728628e+01 
117 693.44 4.90663635e+02 1.47199087e+01 
118 696.78 4.85275452e+02 1.45582638e+01 
119 700.12 4.76127045e+02 1.42838116e+01 
120 703.46 4.70456818e+02 1.41137047e+01 
121 706.80 4.63653168e+02 1.39095955e+01 
122 710.14 4.59438171e+02 1.37831450e+01 
123 713.48 4.49002930e+02 1.34700880e+01 
124 716.82 4.38561646e+02 1.31568489e+01 
125 720.16 4.30336548e+02 1.29100962e+01 
126 723.49 4.24785065e+02 1.27435522e+01 
127 726.83 4.20941681e+02 1.26282501e+01 
128 730.17 4.16649628e+02 1.24994888e+01 
129 733.50 4.13404846e+02 1.24021454e+01 
130 736.84 4.07511200e+02 1.22253361e+01 
131 740.17 4.00674469e+02 1.20202341e+01 
132 743.50 3.93639954e+02 1.18091984e+01 
133 746.83 3.87401337e+02 1.16220398e+01 
134 750.17 3.77418579e+02 1.13225574e+01 
135 753.50 3.61420929e+02 1.08426275e+01 
136 756.83 3.27418365e+02 9.82255077e+00 
137 760.16 2.94734711e+02 8.84204102e+00 
138 763.48 2.90369843e+02 8.71109486e+00 
139 766.81 3.03451660e+02 9.10354996e+00 
140 770.14 3.07091187e+02 9.21273518e+00 
141 773.47 3.02546631e+02 9.07639885e+00 
142 776.79 2.94176605e+02 8.82529831e+00 
143 780.12 2.82383942e+02 8.47151852e+00 
144 783.44 2.72108459e+02 8.16325378e+00 
145 786.76 2.61274567e+02 7.83823681e+00 
146 790.09 2.48801270e+02 7.46403790e+00 
147 793.41 2.38882813e+02 7.16648436e+00 
148 796.73 2.30062317e+02 6.90186930e+00 
149 800.05 2.21324310e+02 6.63972950e+00 
150 803.37 2.11289658e+02 6.33868980e+00 
151 806.68 2.01942474e+02 6.05827427e+00 
152 810.00 1.92898132e+02 5.78694391e+00 
153 813.32 1.82640015e+02 5.47920036e+00 
154 816.63 1.71638412e+02 5.14915228e+00 
155 819.95 1.62590485e+02 4.87771463e+00 
156 823.26 1.55415482e+02 4.66246462e+00 
157 826.57 1.48231323e+02 4.44693947e+00 
158 829.88 1.40180069e+02 4.20540190e+00 
159 833.19 1.32153610e+02 3.96460819e+00 
160 836.50 1.25386726e+02 3.76160169e+00 
161 839.81 1.18641052e+02 3.55923152e+00 
162 843.12 1.11966980e+02 3.35900950e+00 
163 846.42 1.04493622e+02 3.13480854e+00 
164 849.73 9.69977722e+01 2.90993309e+00 
165 853.03 9.08779755e+01 2.72633934e+00 
166 856.34 8.73607483e+01 2.62082243e+00 
167 859.64 8.44495544e+01 2.53348660e+00 
168 862.94 7.93995438e+01 2.38198638e+00 
169 866.24 7.50883560e+01 2.25265074e+00 
170 869.54 7.17605209e+01 2.15281558e+00 
171 872.83 6.86091537e+01 2.05827451e+00 
172 876.13 6.52264786e+01 1.95679438e+00 
173 879.43 6.22767105e+01 1.86830127e+00 
174 882.72 5.95297585e+01 1.78589272e+00 
175 886.01 5.68231697e+01 1.70469511e+00 
176 889.31 5.41366577e+01 1.62409973e+00 
177 892.60 5.11026077e+01 1.53307819e+00 
178 895.89 4.75718765e+01 1.42715633e+00 
179 899.17 4.45242462e+01 1.33572733e+00 
180 902.46 4.20383644e+01 1.26115096e+00 
181 905.75 3.97445221e+01 1.19233561e+00 
182 909.03 3.74250488e+01 1.12275147e+00 
183 912.32 3.54126396e+01 1.06237924e+00 
184 915.60 3.34676361e+01 1.00402904e+00 
185 918.88 3.14908428e+01 9.44725275e-01 
186 922.16 2.94932728e+01 8.84798169e-01 
187 925.44 2.71957893e+01 8.15873682e-01 
188 928.71 2.41492424e+01 7.24477291e-01 
189 931.99 2.06827736e+01 6.20483220e-01 
190 935.26 1.78434601e+01 5.35303831e-01 
191 938.54 1.56744881e+01 4.70234632e-01 
192 941.81 1.41799402e+01 4.25398201e-01 
193 945.08 1.33060703e+01 3.99182111e-01 
194 948.35 1.30705967e+01 3.92117888e-01 
195 951.62 1.30511312e+01 3.91533941e-01 
196 954.88 1.30626125e+01 3.91878366e-01 
197 958.15 1.30573378e+01 3.91720146e-01 
198 961.41 1.29207563e+01 3.87622684e-01 
199 964.67 1.26229277e+01 3.78687829e-01 
200 967.93 1.23114891e+01 3.69344682e-01 
201 971.19 1.18582287e+01 3.55746865e-01 
202 974.45 1.13066845e+01 3.39200526e-01 
203 977.71 1.07966690e+01 3.23900074e-01 
204 980.96 1.03092270e+01 3.09276819e-01 
205 984.22 9.79970932e+00 2.93991268e-01 
206 987.47 9.30026531e+00 2.79007971e-01 
207 990.72 8.74010372e+00 2.62203097e-01 
208 993.97 8.18330288e+00 2.45499089e-01 
209 997.21 7.64150333e+00 2.29245096e-01 
210 1000.46 7.11067438e+00 2.13320225e-01 
211 1003.70 6.58270216e+00 1.97481066e-01 
212 1006.95 6.15368128e+00 1.84610441e-01 
213 1010.19 5.72802162e+00 1.71840653e-01 
214 1013.43 5.41213226e+00 1.62363961e-01 
215 1016.67 5.01705456e+00 1.50511637e-01 
216 1019.90 4.60674334e+00 1.38202295e-01 
217 1023.14 4.27124786e+00 1.28137439e-01 
218 1026.37 3.97360921e+00 1.19208276e-01 
219 1029.60 3.65215898e+00 1.09564766e-01 
220 1032.83 3.38860750e+00 1.01658225e-01 
221 1036.06 3.18543553e+00 9.55630690e-02 
222 1039.29 2.89934397e+00 8.69803205e-02 
223 1042.51 2.69844007e+00 8.09532031e-02 
224 1045.73 2.49229884e+00 7.47689679e-02 
225 1048.96 2.36282659e+00 7.08847940e-02 
226 1052.17 2.14577675e+00 6.43732995e-02 
227 1055.39 1.98585463e+00 5.95756397e-02 
228 1058.61 1.88759565e+00 5.66278696e-02 
229 1061.82 1.75616133e+00 5.26848398e-02 
230 1065.04 1.67728603e+00 5.03185801e-02 
231 1068.25 1.63336980e+00 4.90010940e-02 
