% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from C:\Users\sleblan2\Research\MLO\2017_May\20170605_MLO_day11am\4STAR_20170605starsun.mat and recorded on 2017-06-05 17:11:53.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.98 -1.00000000e+00 -1.00000000e+00 
2 174.77 -1.00000000e+00 -1.00000000e+00 
3 175.56 -1.00000000e+00 -1.00000000e+00 
4 176.36 -1.00000000e+00 -1.00000000e+00 
5 177.15 -1.00000000e+00 -1.00000000e+00 
6 177.94 -1.00000000e+00 -1.00000000e+00 
7 178.74 -1.00000000e+00 -1.00000000e+00 
8 179.53 -1.00000000e+00 -1.00000000e+00 
9 180.33 -1.00000000e+00 -1.00000000e+00 
10 181.12 -1.00000000e+00 -1.00000000e+00 
11 181.92 -1.00000000e+00 -1.00000000e+00 
12 182.71 -1.00000000e+00 -1.00000000e+00 
13 183.51 -1.00000000e+00 -1.00000000e+00 
14 184.30 -1.00000000e+00 -1.00000000e+00 
15 185.10 -1.00000000e+00 -1.00000000e+00 
16 185.89 -1.00000000e+00 -1.00000000e+00 
17 186.69 -1.00000000e+00 -1.00000000e+00 
18 187.49 -1.00000000e+00 -1.00000000e+00 
19 188.28 -1.00000000e+00 -1.00000000e+00 
20 189.08 -1.00000000e+00 -1.00000000e+00 
21 189.88 -1.00000000e+00 -1.00000000e+00 
22 190.67 -1.00000000e+00 -1.00000000e+00 
23 191.47 -1.00000000e+00 -1.00000000e+00 
24 192.27 -1.00000000e+00 -1.00000000e+00 
25 193.07 -1.00000000e+00 -1.00000000e+00 
26 193.86 -1.00000000e+00 -1.00000000e+00 
27 194.66 -1.00000000e+00 -1.00000000e+00 
28 195.46 -1.00000000e+00 -1.00000000e+00 
29 196.26 -1.00000000e+00 -1.00000000e+00 
30 197.05 -1.00000000e+00 -1.00000000e+00 
31 197.85 -1.00000000e+00 -1.00000000e+00 
32 198.65 -1.00000000e+00 -1.00000000e+00 
33 199.45 -1.00000000e+00 -1.00000000e+00 
34 200.25 -1.00000000e+00 -1.00000000e+00 
35 201.05 -1.00000000e+00 -1.00000000e+00 
36 201.85 -1.00000000e+00 -1.00000000e+00 
37 202.65 -1.00000000e+00 -1.00000000e+00 
38 203.44 -1.00000000e+00 -1.00000000e+00 
39 204.24 -1.00000000e+00 -1.00000000e+00 
40 205.04 -1.00000000e+00 -1.00000000e+00 
41 205.84 -1.00000000e+00 -1.00000000e+00 
42 206.64 -1.00000000e+00 -1.00000000e+00 
43 207.44 -1.00000000e+00 -1.00000000e+00 
44 208.24 2.61744767e-01 7.85234291e-03 
45 209.04 3.01528513e-01 9.04585514e-03 
46 209.84 9.03755605e-01 2.71126684e-02 
47 210.64 9.31647480e-01 2.79494245e-02 
48 211.44 9.36950803e-01 2.81085242e-02 
49 212.24 1.02476144e+00 3.07428427e-02 
50 213.04 9.60429430e-01 2.88128834e-02 
51 213.85 8.82012248e-01 2.64603682e-02 
52 214.65 9.58994329e-01 2.87698302e-02 
53 215.45 8.79156947e-01 2.63747089e-02 
54 216.25 9.58848000e-01 2.87654400e-02 
55 217.05 1.00682867e+00 3.02048605e-02 
56 217.85 9.71328199e-01 2.91398466e-02 
57 218.65 9.63431060e-01 2.89029311e-02 
58 219.46 1.01002920e+00 3.03008761e-02 
59 220.26 9.77252483e-01 2.93175746e-02 
60 221.06 9.92702544e-01 2.97810771e-02 
61 221.86 9.69617844e-01 2.90885344e-02 
62 222.66 9.73219752e-01 2.91965920e-02 
63 223.47 1.00664425e+00 3.01993266e-02 
64 224.27 1.01456654e+00 3.04369964e-02 
65 225.07 1.02487087e+00 3.07461265e-02 
66 225.87 1.02317166e+00 3.06951497e-02 
67 226.68 1.06785798e+00 3.20357382e-02 
68 227.48 1.05809379e+00 3.17428149e-02 
69 228.28 1.05393648e+00 3.16180959e-02 
70 229.08 1.06009364e+00 3.18028107e-02 
71 229.89 1.06356907e+00 3.19070704e-02 
72 230.69 1.08226883e+00 3.24680656e-02 
73 231.49 1.06059921e+00 3.18179764e-02 
74 232.30 1.02815235e+00 3.08445711e-02 
75 233.10 1.00729728e+00 3.02189179e-02 
76 233.90 1.00031281e+00 3.00093833e-02 
77 234.71 1.00431228e+00 3.01293675e-02 
78 235.51 9.96082366e-01 2.98824701e-02 
79 236.32 9.57451761e-01 2.87235528e-02 
80 237.12 9.30638671e-01 2.79191602e-02 
81 237.92 9.13913608e-01 2.74174083e-02 
82 238.73 9.23516154e-01 2.77054850e-02 
83 239.53 9.25900757e-01 2.77770236e-02 
84 240.34 9.14248347e-01 2.74274498e-02 
85 241.14 8.90219510e-01 2.67065857e-02 
86 241.94 8.89927506e-01 2.66978256e-02 
87 242.75 9.69321966e-01 2.90796589e-02 
88 243.55 8.93942356e-01 2.68182699e-02 
89 244.36 8.44174981e-01 2.53252499e-02 
90 245.16 9.52330291e-01 2.85699088e-02 
91 245.97 8.75342011e-01 2.62602605e-02 
92 246.77 9.06566262e-01 2.71969885e-02 
93 247.58 8.35359156e-01 2.50607748e-02 
94 248.38 9.99443233e-01 2.99832970e-02 
95 249.19 6.27988875e-01 1.88396666e-02 
96 249.99 8.83150220e-01 2.64945067e-02 
97 250.80 1.12227345e+00 3.36682051e-02 
98 251.60 7.17295229e-01 2.15188563e-02 
99 252.41 3.82840663e-01 1.14852199e-02 
100 253.21 8.81931543e-01 2.64579467e-02 
101 254.02 1.25668526e+00 3.77005562e-02 
102 254.82 3.95726293e-01 1.18717887e-02 
103 255.63 8.56128812e-01 2.56838650e-02 
104 256.44 8.23720574e-01 2.47116163e-02 
105 257.24 1.24269843e+00 3.72809544e-02 
106 258.05 5.69278777e-01 1.70783624e-02 
107 258.85 7.70168066e-01 2.31050421e-02 
108 259.66 1.04147899e+00 3.12443692e-02 
109 260.46 1.21328175e+00 3.63984518e-02 
110 261.27 8.54725599e-01 2.56417673e-02 
111 262.08 1.07742047e+00 3.23226154e-02 
112 262.88 8.65091205e-01 2.59527359e-02 
113 263.69 8.44812870e-01 2.53443867e-02 
114 264.49 9.04355705e-01 2.71306708e-02 
115 265.30 1.05903471e+00 3.17710415e-02 
116 266.11 9.32764053e-01 2.79829223e-02 
117 266.91 9.04038370e-01 2.71211509e-02 
118 267.72 9.20660019e-01 2.76198015e-02 
119 268.53 9.17728603e-01 2.75318585e-02 
120 269.33 9.03073251e-01 2.70921979e-02 
121 270.14 9.77990866e-01 2.93397252e-02 
122 270.95 9.29241002e-01 2.78772302e-02 
123 271.75 9.74612951e-01 2.92383879e-02 
124 272.56 9.73754466e-01 2.92126331e-02 
125 273.37 9.81799901e-01 2.94539966e-02 
126 274.17 9.92009759e-01 2.97602937e-02 
127 274.98 1.01904666e+00 3.05713993e-02 
128 275.79 1.00880468e+00 3.02641410e-02 
129 276.59 1.05210471e+00 3.15631405e-02 
130 277.40 1.07434642e+00 3.22303921e-02 
131 278.21 1.09803379e+00 3.29410136e-02 
132 279.01 1.14567494e+00 3.43702473e-02 
133 279.82 1.18166387e+00 3.54499146e-02 
134 280.63 1.20321548e+00 3.60964648e-02 
135 281.43 1.27366853e+00 3.82100567e-02 
136 282.24 1.33117783e+00 3.99353355e-02 
137 283.05 1.41601563e+00 4.24804688e-02 
138 283.86 1.50335550e+00 4.51006666e-02 
139 284.66 1.64991045e+00 4.94973138e-02 
140 285.47 1.79800808e+00 5.39402440e-02 
141 286.28 1.93698168e+00 5.81094511e-02 
142 287.09 1.99251151e+00 5.97753450e-02 
143 287.89 1.86666799e+00 5.60000390e-02 
144 288.70 1.69687057e+00 5.09061180e-02 
145 289.51 1.50991035e+00 4.52973098e-02 
146 290.32 1.40146577e+00 4.20439728e-02 
147 291.12 1.28489017e+00 3.85467038e-02 
148 291.93 1.20607150e+00 3.61821465e-02 
149 292.74 1.11357486e+00 3.34072448e-02 
150 293.55 1.04741144e+00 3.14223431e-02 
151 294.35 9.75563288e-01 2.92668995e-02 
152 295.16 9.28148985e-01 2.78444700e-02 
153 295.97 8.88003886e-01 2.66401172e-02 
154 296.78 8.44467282e-01 2.53340192e-02 
155 297.58 8.19459736e-01 2.45837923e-02 
156 298.39 7.84105062e-01 2.35231519e-02 
157 299.20 7.58353531e-01 2.27506068e-02 
158 300.01 7.40915239e-01 2.22274568e-02 
159 300.81 7.22270191e-01 2.16681063e-02 
160 301.62 7.05743074e-01 2.11722925e-02 
161 302.43 6.91799402e-01 2.07539815e-02 
162 303.24 6.85961962e-01 2.05788594e-02 
163 304.04 6.68639839e-01 2.00591944e-02 
164 304.85 6.67934835e-01 2.00380459e-02 
165 305.66 6.57048941e-01 1.97114684e-02 
166 306.47 6.52841926e-01 1.95852574e-02 
167 307.28 6.46481872e-01 1.93944555e-02 
168 308.08 6.46476626e-01 1.93942990e-02 
169 308.89 6.51184380e-01 1.95355322e-02 
170 309.70 6.43044114e-01 1.92913227e-02 
171 310.51 6.43206239e-01 1.92961879e-02 
172 311.32 6.46775782e-01 1.94032732e-02 
173 312.12 6.50736213e-01 1.95220858e-02 
174 312.93 6.56192660e-01 1.96857806e-02 
175 313.74 6.78067803e-01 2.03420334e-02 
176 314.55 6.67954087e-01 2.00386234e-02 
177 315.36 6.68513536e-01 2.00554058e-02 
178 316.16 6.84801459e-01 2.05440447e-02 
179 316.97 6.95062995e-01 2.08518896e-02 
180 317.78 7.03480542e-01 2.11044159e-02 
181 318.59 7.24270523e-01 2.17281152e-02 
182 319.40 7.33264804e-01 2.19979435e-02 
183 320.20 7.54345417e-01 2.26303618e-02 
184 321.01 7.71982312e-01 2.31594685e-02 
185 321.82 7.89951861e-01 2.36985553e-02 
186 322.63 8.14300120e-01 2.44290028e-02 
187 323.43 8.32425416e-01 2.49727629e-02 
188 324.24 8.54015887e-01 2.56204773e-02 
189 325.05 8.74897122e-01 2.62469128e-02 
190 325.86 9.06675220e-01 2.72002574e-02 
191 326.67 9.39196587e-01 2.81758979e-02 
192 327.48 9.68659759e-01 2.90597919e-02 
193 328.28 1.00092375e+00 3.00277118e-02 
194 329.09 1.03410840e+00 3.10232528e-02 
195 329.90 1.09039271e+00 3.27117816e-02 
196 330.71 1.14817905e+00 3.44453715e-02 
197 331.52 1.24046302e+00 3.72138917e-02 
198 332.32 1.39469361e+00 4.18408066e-02 
199 333.13 1.66802931e+00 5.00408784e-02 
200 333.94 2.17130375e+00 6.51391149e-02 
201 334.75 2.98970318e+00 8.96910951e-02 
202 335.55 4.13825512e+00 1.24147654e-01 
203 336.36 5.82857800e+00 1.74857333e-01 
204 337.17 8.46545696e+00 2.53963709e-01 
205 337.98 1.21522894e+01 3.64568681e-01 
206 338.79 1.65808563e+01 4.97425675e-01 
207 339.60 2.15757217e+01 6.47271633e-01 
208 340.40 2.60849876e+01 7.82549620e-01 
209 341.21 3.00024700e+01 9.00074124e-01 
210 342.02 3.45223503e+01 1.03567052e+00 
211 342.83 3.85036583e+01 1.15510976e+00 
212 343.63 3.96893806e+01 1.19068146e+00 
213 344.44 4.13373489e+01 1.24012041e+00 
214 345.25 4.60865822e+01 1.38259745e+00 
215 346.06 5.06030655e+01 1.51809192e+00 
216 346.87 5.36075134e+01 1.60822535e+00 
217 347.67 5.57850990e+01 1.67355299e+00 
218 348.48 5.78430901e+01 1.73529267e+00 
219 349.29 6.14842529e+01 1.84452760e+00 
220 350.10 6.76341019e+01 2.02902317e+00 
221 350.90 7.17576141e+01 2.15272832e+00 
222 351.71 7.20555420e+01 2.16166615e+00 
223 352.52 7.36242523e+01 2.20872760e+00 
224 353.33 8.03199310e+01 2.40959787e+00 
225 354.14 8.85420914e+01 2.65626264e+00 
226 354.94 9.22370682e+01 2.76711202e+00 
227 355.75 9.06158752e+01 2.71847630e+00 
228 356.56 8.54560623e+01 2.56368184e+00 
229 357.37 8.04110565e+01 2.41233158e+00 
230 358.18 7.96855316e+01 2.39056587e+00 
231 358.98 8.97025375e+01 2.69107604e+00 
232 359.79 1.03376549e+02 3.10129642e+00 
233 360.60 1.05271507e+02 3.15814519e+00 
234 361.41 1.03964371e+02 3.11893106e+00 
235 362.21 1.09660019e+02 3.28980064e+00 
236 363.02 1.16254929e+02 3.48764777e+00 
237 363.83 1.20304230e+02 3.60912681e+00 
238 364.64 1.26352913e+02 3.79058743e+00 
239 365.44 1.37765610e+02 4.13296843e+00 
240 366.25 1.47618011e+02 4.42854023e+00 
241 367.06 1.48922073e+02 4.46766233e+00 
242 367.87 1.46762589e+02 4.40287781e+00 
243 368.67 1.49015991e+02 4.47047997e+00 
244 369.48 1.55363831e+02 4.66091490e+00 
245 370.29 1.56919983e+02 4.70759964e+00 
246 371.10 1.55046783e+02 4.65140343e+00 
247 371.90 1.51069687e+02 4.53209066e+00 
248 372.71 1.42804535e+02 4.28413582e+00 
249 373.52 1.35068390e+02 4.05205154e+00 
250 374.33 1.34619461e+02 4.03858376e+00 
251 375.13 1.44073563e+02 4.32220697e+00 
252 375.94 1.56966385e+02 4.70899153e+00 
253 376.75 1.71010834e+02 5.13032484e+00 
254 377.56 1.86866119e+02 5.60598373e+00 
255 378.36 1.91100327e+02 5.73300982e+00 
256 379.17 1.81722931e+02 5.45168781e+00 
257 379.98 1.77749481e+02 5.33248425e+00 
258 380.78 1.76878693e+02 5.30636072e+00 
259 381.59 1.61464645e+02 4.84393930e+00 
260 382.40 1.37865967e+02 4.13597918e+00 
261 383.20 1.27244370e+02 3.81733108e+00 
262 384.01 1.38035278e+02 4.14105844e+00 
263 384.82 1.55783569e+02 4.67350721e+00 
264 385.63 1.63449677e+02 4.90349007e+00 
265 386.43 1.64933228e+02 4.94799662e+00 
266 387.24 1.66151382e+02 4.98454142e+00 
267 388.05 1.69244080e+02 5.07732248e+00 
268 388.85 1.79711761e+02 5.39135265e+00 
269 389.66 1.96572372e+02 5.89717102e+00 
270 390.47 2.09934601e+02 6.29803801e+00 
271 391.27 2.10815552e+02 6.32446671e+00 
272 392.08 1.87923569e+02 5.63770723e+00 
273 392.89 1.53598679e+02 4.60796022e+00 
274 393.69 1.46218582e+02 4.38655758e+00 
275 394.50 1.73740982e+02 5.21222925e+00 
276 395.31 1.93615906e+02 5.80847740e+00 
277 396.11 1.81332809e+02 5.43998432e+00 
278 396.92 1.73221237e+02 5.19663715e+00 
279 397.73 2.03924133e+02 6.11772394e+00 
280 398.53 2.50919266e+02 7.52757788e+00 
281 399.34 2.81188904e+02 8.43566704e+00 
282 400.15 2.96190643e+02 8.88571930e+00 
283 400.95 3.06643585e+02 9.19930744e+00 
284 401.76 3.14875183e+02 9.44625568e+00 
285 402.57 3.17333740e+02 9.52001190e+00 
286 403.37 3.15367432e+02 9.46102333e+00 
287 404.18 3.13684845e+02 9.41054535e+00 
288 404.99 3.12322327e+02 9.36966991e+00 
289 405.79 3.10505066e+02 9.31515217e+00 
290 406.60 3.11740417e+02 9.35221291e+00 
291 407.40 3.19604431e+02 9.58813286e+00 
292 408.21 3.31036133e+02 9.93108368e+00 
293 409.02 3.35373444e+02 1.00612030e+01 
294 409.82 3.31936615e+02 9.95809841e+00 
295 410.63 3.35694092e+02 1.00708227e+01 
296 411.43 3.49258240e+02 1.04777470e+01 
297 412.24 3.58645264e+02 1.07593575e+01 
298 413.05 3.59709351e+02 1.07912807e+01 
299 413.85 3.59398010e+02 1.07819405e+01 
300 414.66 3.59665436e+02 1.07899628e+01 
301 415.46 3.60913574e+02 1.08274069e+01 
302 416.27 3.60619934e+02 1.08185978e+01 
303 417.08 3.56201599e+02 1.06860476e+01 
304 417.88 3.49926880e+02 1.04978065e+01 
305 418.69 3.47045319e+02 1.04113598e+01 
306 419.49 3.48194336e+02 1.04458303e+01 
307 420.30 3.52634216e+02 1.05790262e+01 
308 421.11 3.56343811e+02 1.06903143e+01 
309 421.91 3.53584015e+02 1.06075201e+01 
310 422.72 3.48039642e+02 1.04411888e+01 
311 423.52 3.47410400e+02 1.04223118e+01 
312 424.33 3.51092468e+02 1.05327740e+01 
313 425.13 3.53280151e+02 1.05984049e+01 
314 425.94 3.53073364e+02 1.05922012e+01 
315 426.74 3.52371002e+02 1.05711298e+01 
316 427.55 3.51420105e+02 1.05426035e+01 
317 428.36 3.46239685e+02 1.03871908e+01 
318 429.16 3.32013855e+02 9.96041584e+00 
319 429.96 3.18211517e+02 9.54634571e+00 
320 430.77 3.26454010e+02 9.79362011e+00 
321 431.58 3.58942078e+02 1.07682619e+01 
322 432.38 3.93156006e+02 1.17946806e+01 
323 433.19 4.09751404e+02 1.22925425e+01 
324 433.99 4.19118896e+02 1.25735664e+01 
325 434.80 4.35743408e+02 1.30723019e+01 
326 435.60 4.57962463e+02 1.37388735e+01 
327 436.41 4.73545868e+02 1.42063761e+01 
328 437.21 4.73804474e+02 1.42141342e+01 
329 438.02 4.67374115e+02 1.40212231e+01 
330 438.82 4.70430359e+02 1.41129112e+01 
331 439.63 4.82559082e+02 1.44767723e+01 
332 440.43 5.03578583e+02 1.51073570e+01 
333 441.24 5.25302673e+02 1.57590799e+01 
334 442.04 5.43091064e+02 1.62927322e+01 
335 442.85 5.56939880e+02 1.67081966e+01 
336 443.65 5.64046326e+02 1.69213905e+01 
337 444.45 5.67859558e+02 1.70357876e+01 
338 445.26 5.67822754e+02 1.70346832e+01 
339 446.06 5.72377197e+02 1.71713161e+01 
340 446.87 5.85849304e+02 1.75754795e+01 
341 447.67 6.00889343e+02 1.80266800e+01 
342 448.48 6.14770996e+02 1.84431305e+01 
343 449.28 6.28668457e+02 1.88600540e+01 
344 450.09 6.43356873e+02 1.93007069e+01 
345 450.89 6.48727539e+02 1.94618263e+01 
346 451.70 6.43525330e+02 1.93057594e+01 
347 452.50 6.33293152e+02 1.89987946e+01 
348 453.30 6.28235107e+02 1.88470535e+01 
349 454.11 6.29933533e+02 1.88980064e+01 
350 454.91 6.41087036e+02 1.92326107e+01 
351 455.72 6.53268616e+02 1.95980587e+01 
352 456.52 6.61876526e+02 1.98562965e+01 
353 457.32 6.64395752e+02 1.99318733e+01 
354 458.13 6.63749512e+02 1.99124851e+01 
355 458.93 6.63800110e+02 1.99140034e+01 
356 459.74 6.69123169e+02 2.00736942e+01 
357 460.54 6.79452576e+02 2.03835773e+01 
358 461.34 6.89244019e+02 2.06773205e+01 
359 462.15 6.95543762e+02 2.08663120e+01 
360 462.95 6.95538818e+02 2.08661652e+01 
361 463.76 6.90297852e+02 2.07089348e+01 
362 464.56 6.86904724e+02 2.06071415e+01 
363 465.36 6.84781921e+02 2.05434570e+01 
364 466.17 6.84493652e+02 2.05348091e+01 
365 466.97 6.84713013e+02 2.05413895e+01 
366 467.77 6.87601074e+02 2.06280327e+01 
367 468.58 6.90456909e+02 2.07137070e+01 
368 469.38 6.90223145e+02 2.07066936e+01 
369 470.18 6.94918213e+02 2.08475456e+01 
370 470.99 7.01040771e+02 2.10312233e+01 
371 471.79 7.12319946e+02 2.13695984e+01 
372 472.59 7.19636902e+02 2.15891075e+01 
373 473.40 7.29246582e+02 2.18773975e+01 
374 474.20 7.30452148e+02 2.19135647e+01 
375 475.00 7.34645874e+02 2.20393753e+01 
376 475.81 7.35183105e+02 2.20554924e+01 
377 476.61 7.40689575e+02 2.22206879e+01 
378 477.41 7.46550171e+02 2.23965054e+01 
379 478.21 7.54253540e+02 2.26276054e+01 
380 479.02 7.58346375e+02 2.27503910e+01 
381 479.82 7.64177551e+02 2.29253273e+01 
382 480.62 7.64481140e+02 2.29344349e+01 
383 481.43 7.68520935e+02 2.30556278e+01 
384 482.23 7.64294556e+02 2.29288368e+01 
385 483.03 7.58422668e+02 2.27526798e+01 
386 483.84 7.46314514e+02 2.23894348e+01 
387 484.64 7.23124207e+02 2.16937256e+01 
388 485.44 6.95560669e+02 2.08668194e+01 
389 486.24 6.79422791e+02 2.03826828e+01 
390 487.04 6.79646667e+02 2.03894005e+01 
391 487.85 7.00558594e+02 2.10167580e+01 
392 488.65 7.23569153e+02 2.17070751e+01 
393 489.45 7.38536133e+02 2.21560841e+01 
394 490.26 7.41436951e+02 2.22431087e+01 
395 491.06 7.40330078e+02 2.22099018e+01 
396 491.86 7.34901306e+02 2.20470390e+01 
397 492.66 7.34927612e+02 2.20478287e+01 
398 493.46 7.41628601e+02 2.22488575e+01 
399 494.27 7.52487549e+02 2.25746269e+01 
400 495.07 7.56899902e+02 2.27069969e+01 
401 495.87 7.58010864e+02 2.27403259e+01 
402 496.67 7.52884521e+02 2.25865364e+01 
403 497.48 7.46997375e+02 2.24099216e+01 
404 498.28 7.41539490e+02 2.22461853e+01 
405 499.08 7.34472839e+02 2.20341854e+01 
406 499.88 7.28570923e+02 2.18571281e+01 
407 500.68 7.21589661e+02 2.16476898e+01 
408 501.48 7.17494385e+02 2.15248318e+01 
409 502.29 7.18287537e+02 2.15486259e+01 
410 503.09 7.23590210e+02 2.17077065e+01 
411 503.89 7.29757568e+02 2.18927269e+01 
412 504.69 7.40540894e+02 2.22162266e+01 
413 505.49 7.45804382e+02 2.23741322e+01 
414 506.29 7.46846375e+02 2.24053917e+01 
415 507.09 7.41171875e+02 2.22351570e+01 
416 507.90 7.40331909e+02 2.22099571e+01 
417 508.70 7.35386841e+02 2.20616055e+01 
418 509.50 7.36522461e+02 2.20956745e+01 
419 510.30 7.40414490e+02 2.22124348e+01 
420 511.10 7.37813477e+02 2.21344051e+01 
421 511.90 7.34240723e+02 2.20272217e+01 
422 512.71 7.24181152e+02 2.17254353e+01 
423 513.51 7.17280945e+02 2.15184288e+01 
424 514.31 7.10870422e+02 2.13261127e+01 
425 515.11 6.98196167e+02 2.09458847e+01 
426 515.91 6.78958374e+02 2.03687515e+01 
427 516.71 6.62929932e+02 1.98878975e+01 
428 517.51 6.52581177e+02 1.95774345e+01 
429 518.31 6.57992126e+02 1.97397633e+01 
430 519.11 6.73635803e+02 2.02090740e+01 
431 519.91 6.89896423e+02 2.06968918e+01 
432 520.71 7.00536194e+02 2.10160866e+01 
433 521.52 7.06202271e+02 2.11860676e+01 
434 522.32 7.11891479e+02 2.13567448e+01 
435 523.12 7.17563171e+02 2.15268955e+01 
436 523.92 7.21507813e+02 2.16452351e+01 
437 524.72 7.18980408e+02 2.15694122e+01 
438 525.52 7.11429260e+02 2.13428783e+01 
439 526.32 6.99765991e+02 2.09929790e+01 
440 527.12 6.95487732e+02 2.08646317e+01 
441 527.92 7.06332275e+02 2.11899681e+01 
442 528.72 7.22160767e+02 2.16648235e+01 
443 529.52 7.34343628e+02 2.20303097e+01 
444 530.32 7.40304321e+02 2.22091293e+01 
445 531.12 7.40195313e+02 2.22058601e+01 
446 531.92 7.33768188e+02 2.20130463e+01 
447 532.72 7.27794189e+02 2.18338261e+01 
448 533.52 7.25169067e+02 2.17550716e+01 
449 534.32 7.29319580e+02 2.18795872e+01 
450 535.12 7.34541504e+02 2.20362453e+01 
451 535.92 7.36141479e+02 2.20842438e+01 
452 536.72 7.34281616e+02 2.20284481e+01 
453 537.52 7.33623352e+02 2.20087013e+01 
454 538.32 7.28676880e+02 2.18603058e+01 
455 539.12 7.22690918e+02 2.16807270e+01 
456 539.92 7.17346252e+02 2.15203876e+01 
457 540.72 7.13443481e+02 2.14033051e+01 
458 541.52 7.17533752e+02 2.15260124e+01 
459 542.32 7.23198669e+02 2.16959610e+01 
460 543.12 7.29094299e+02 2.18728294e+01 
461 543.92 7.31663818e+02 2.19499149e+01 
462 544.72 7.34699097e+02 2.20409737e+01 
463 545.52 7.34762207e+02 2.20428658e+01 
464 546.32 7.28781799e+02 2.18634548e+01 
465 547.12 7.24058533e+02 2.17217560e+01 
466 547.91 7.22793945e+02 2.16838188e+01 
467 548.71 7.22613708e+02 2.16784115e+01 
468 549.51 7.22739136e+02 2.16821747e+01 
469 550.31 7.22551025e+02 2.16765308e+01 
470 551.11 7.22648499e+02 2.16794548e+01 
471 551.91 7.22573059e+02 2.16771927e+01 
472 552.71 7.22692932e+02 2.16807880e+01 
473 553.51 7.22423828e+02 2.16727142e+01 
474 554.31 7.22979736e+02 2.16893921e+01 
475 555.10 7.22720886e+02 2.16816273e+01 
476 555.90 7.16909241e+02 2.15072765e+01 
477 556.70 7.11112488e+02 2.13333740e+01 
478 557.50 7.04653259e+02 2.11395969e+01 
479 558.30 6.95615417e+02 2.08684616e+01 
480 559.10 6.94596863e+02 2.08379059e+01 
481 559.90 6.94827087e+02 2.08448124e+01 
482 560.70 6.99836731e+02 2.09951019e+01 
483 561.49 7.05849487e+02 2.11754837e+01 
484 562.29 7.10661316e+02 2.13198395e+01 
485 563.09 7.10912476e+02 2.13273735e+01 
486 563.89 7.11421814e+02 2.13426552e+01 
487 564.69 7.11373657e+02 2.13412094e+01 
488 565.49 7.11269836e+02 2.13380947e+01 
489 566.29 7.11439087e+02 2.13431721e+01 
