% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (256 channels) derived from C:\Users\sleblan2\Research\MLO\2017_May\20170607_MLO_day13pm\2STAR_20170607starsun.mat and recorded on 2017-06-09 14:08:40.
% Data outside 2.0x the STD of 501 nm Langley residuals were screened out. For instrument:2STAR
Pix Wavelength C0 C0err
0 301.71 1.53916512e+01 4.61749524e-01 
1 305.04 1.81645470e+01 5.44936419e-01 
2 308.37 2.58803196e+01 7.76409566e-01 
3 311.70 4.14668388e+01 1.24400520e+00 
4 315.04 6.55001907e+01 1.96500576e+00 
5 318.37 9.52586975e+01 2.85776091e+00 
6 321.70 1.30004990e+02 3.90014958e+00 
7 325.04 1.66242035e+02 4.98726082e+00 
8 328.37 1.94691483e+02 5.84074450e+00 
9 331.71 2.09515182e+02 6.28545570e+00 
10 335.04 2.19795654e+02 6.59386969e+00 
11 338.38 2.33705551e+02 7.01116657e+00 
12 341.72 2.49976181e+02 7.49928522e+00 
13 345.06 2.69535400e+02 8.08606243e+00 
14 348.39 2.98952423e+02 8.96857262e+00 
15 351.73 3.32463806e+02 9.97391415e+00 
16 355.07 3.59804047e+02 1.07941217e+01 
17 358.41 3.94524292e+02 1.18357286e+01 
18 361.75 4.54305176e+02 1.36291552e+01 
19 365.10 5.19662476e+02 1.55898743e+01 
20 368.44 5.53350891e+02 1.66005268e+01 
21 371.78 5.53322693e+02 1.65996799e+01 
22 375.12 5.55006714e+02 1.66502018e+01 
23 378.47 5.41826172e+02 1.62547855e+01 
24 381.81 5.01341980e+02 1.50402594e+01 
25 385.15 4.83701294e+02 1.45110388e+01 
26 388.50 4.97396637e+02 1.49218988e+01 
27 391.85 5.03649414e+02 1.51094828e+01 
28 395.19 5.47940491e+02 1.64382153e+01 
29 398.54 6.60287476e+02 1.98086243e+01 
30 401.88 7.59307739e+02 2.27792320e+01 
31 405.23 8.05367676e+02 2.41610298e+01 
32 408.58 8.49142822e+02 2.54742851e+01 
33 411.93 9.04887207e+02 2.71466160e+01 
34 415.27 9.56395996e+02 2.86918793e+01 
35 418.62 1.00268304e+03 3.00804920e+01 
36 421.97 1.04582251e+03 3.13746758e+01 
37 425.32 1.07117603e+03 3.21352806e+01 
38 428.67 1.10655249e+03 3.31965752e+01 
39 432.02 1.20515759e+03 3.61547279e+01 
40 435.37 1.33775439e+03 4.01326332e+01 
41 438.72 1.45490552e+03 4.36471672e+01 
42 442.07 1.55999365e+03 4.67998085e+01 
43 445.43 1.65347119e+03 4.96041374e+01 
44 448.78 1.71220789e+03 5.13662376e+01 
45 452.13 1.72881274e+03 5.18643837e+01 
46 455.48 1.72073804e+03 5.16221428e+01 
47 458.83 1.70967395e+03 5.12902184e+01 
48 462.19 1.67779028e+03 5.03337097e+01 
49 465.54 1.63043506e+03 4.89130516e+01 
50 468.89 1.59248608e+03 4.77745819e+01 
51 472.24 1.57144031e+03 4.71432076e+01 
52 475.60 1.54972876e+03 4.64918633e+01 
53 478.95 1.50679175e+03 4.52037506e+01 
54 482.30 1.42550098e+03 4.27650299e+01 
55 485.66 1.34607471e+03 4.03822403e+01 
56 489.01 1.31425037e+03 3.94275093e+01 
57 492.37 1.31121875e+03 3.93365631e+01 
58 495.72 1.29764746e+03 3.89294243e+01 
59 499.08 1.27667798e+03 3.83003387e+01 
60 502.43 1.27116833e+03 3.81350517e+01 
61 505.78 1.28601392e+03 3.85804176e+01 
62 509.14 1.29456531e+03 3.88369598e+01 
63 512.49 1.28614880e+03 3.85844650e+01 
64 515.85 1.28094214e+03 3.84282646e+01 
65 519.20 1.31157275e+03 3.93471832e+01 
66 522.56 1.36091736e+03 4.08275223e+01 
67 525.91 1.39705835e+03 4.19117508e+01 
68 529.27 1.42420190e+03 4.27260590e+01 
69 532.62 1.44141455e+03 4.32424355e+01 
70 535.98 1.44027136e+03 4.32081413e+01 
71 539.33 1.43652368e+03 4.30957108e+01 
72 542.69 1.44275073e+03 4.32825203e+01 
73 546.04 1.45528296e+03 4.36584892e+01 
74 549.40 1.46012842e+03 4.38038521e+01 
75 552.75 1.45966138e+03 4.37898407e+01 
76 556.11 1.44835181e+03 4.34505539e+01 
77 559.46 1.43714856e+03 4.31144562e+01 
78 562.81 1.43264722e+03 4.29794159e+01 
79 566.17 1.42650317e+03 4.27950935e+01 
80 569.52 1.41674854e+03 4.25024567e+01 
81 572.88 1.40538611e+03 4.21615829e+01 
82 576.23 1.38521301e+03 4.15563889e+01 
83 579.58 1.35985803e+03 4.07957420e+01 
84 582.94 1.32691992e+03 3.98075981e+01 
85 586.29 1.28256982e+03 3.84770966e+01 
86 589.64 1.24506030e+03 3.73518105e+01 
87 593.00 1.21793579e+03 3.65380745e+01 
88 596.35 1.18324219e+03 3.54972649e+01 
89 599.70 1.14714722e+03 3.44144173e+01 
90 603.05 1.12193799e+03 3.36581383e+01 
91 606.41 1.10004053e+03 3.30012169e+01 
92 609.76 1.07196912e+03 3.21590729e+01 
93 613.11 1.04185803e+03 3.12557411e+01 
94 616.46 1.01399017e+03 3.04197044e+01 
95 619.81 9.83877075e+02 2.95163116e+01 
96 623.16 9.47937073e+02 2.84381123e+01 
97 626.51 9.07516174e+02 2.72254848e+01 
98 629.86 8.69655701e+02 2.60896702e+01 
99 633.21 8.35170471e+02 2.50551147e+01 
100 636.56 8.03184387e+02 2.40955315e+01 
101 639.91 7.74240601e+02 2.32272186e+01 
102 643.26 7.49704041e+02 2.24911213e+01 
103 646.61 7.27350769e+02 2.18205223e+01 
104 649.96 7.04795776e+02 2.11438732e+01 
105 653.30 6.74688904e+02 2.02406673e+01 
106 656.65 6.47514832e+02 1.94254456e+01 
107 660.00 6.35007690e+02 1.90502300e+01 
108 663.35 6.25698120e+02 1.87709427e+01 
109 666.69 6.11232422e+02 1.83369732e+01 
110 670.04 5.96985840e+02 1.79095745e+01 
111 673.38 5.82480225e+02 1.74744072e+01 
112 676.73 5.68785828e+02 1.70635757e+01 
113 680.07 5.51100586e+02 1.65330181e+01 
114 683.41 5.26175842e+02 1.57852755e+01 
115 686.76 5.02888702e+02 1.50866613e+01 
116 690.10 4.93915497e+02 1.48174648e+01 
117 693.44 4.91967377e+02 1.47590218e+01 
118 696.78 4.86354523e+02 1.45906353e+01 
