% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2017-08-10 17:05:29.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , MLO -av-g-, WFF--20-17, infl-ig-ht. See the list of files below
% 20170605_NIR_C0_refined_Langley_MLO_May2017_averages.dat
% 20170801_NIR_C0_refined_langley_4STAR_WFF_ground.dat
% 20170807_NIR_C0_refined_langley_4STARpm.dat
Pix Wavelength C0 C0err
511 949.79 4.14306109e+00 8.94397511e-01 
510 949.79 3.45121738e+00 2.46183124e+00 
509 951.68 4.10959302e+00 1.96261980e+00 
508 953.57 4.22175696e+00 1.87897589e+00 
507 955.46 4.63648513e+00 1.93495105e+00 
506 957.34 4.79253922e+00 1.86884601e+00 
505 959.22 5.28579789e+00 1.84311440e+00 
504 961.10 5.45230836e+00 1.76286089e+00 
503 962.98 5.95884705e+00 1.68119886e+00 
502 964.85 6.11567865e+00 1.47657624e+00 
501 966.72 6.75798305e+00 1.29989687e+00 
500 968.59 6.96900537e+00 1.06486212e+00 
499 970.45 7.42145311e+00 9.91422565e-01 
498 972.32 7.32980010e+00 1.04801733e+00 
497 974.18 7.61510219e+00 1.12243941e+00 
496 976.04 7.58316318e+00 1.07469546e+00 
495 977.89 8.01595587e+00 9.41380520e-01 
494 979.74 8.05780305e+00 7.67909434e-01 
493 981.59 8.46842967e+00 5.97644605e-01 
492 983.44 8.47495996e+00 4.18974704e-01 
491 985.29 8.83611674e+00 2.73120389e-01 
490 987.13 8.70928351e+00 1.69682123e-01 
489 988.97 8.99708605e+00 1.11137105e-01 
488 990.81 8.82794735e+00 9.52707669e-02 
487 992.65 9.03555928e+00 7.72750300e-02 
486 994.48 8.84902409e+00 6.44063849e-02 
485 996.31 9.00159656e+00 6.94033503e-02 
484 998.14 8.73634794e+00 6.70662087e-02 
483 999.97 8.88636367e+00 6.82119855e-02 
482 1001.79 8.60454951e+00 6.94519715e-02 
481 1003.62 8.69287560e+00 6.78260199e-02 
480 1005.44 8.47628360e+00 6.54554654e-02 
479 1007.25 8.72714069e+00 6.75286428e-02 
478 1009.07 8.53596226e+00 6.28432302e-02 
477 1010.88 8.70707750e+00 7.12753075e-02 
476 1012.69 8.45250469e+00 6.80973012e-02 
475 1014.50 8.57404185e+00 6.84496502e-02 
474 1016.31 8.36090469e+00 6.52493559e-02 
473 1018.11 8.51424668e+00 7.22168097e-02 
472 1019.91 8.26324765e+00 7.23596460e-02 
471 1021.71 8.41538949e+00 7.37898634e-02 
470 1023.51 8.18863794e+00 7.21721408e-02 
469 1025.30 8.36025259e+00 8.25724375e-02 
468 1027.09 8.25689930e+00 8.73082970e-02 
467 1028.88 8.42132844e+00 8.92624062e-02 
466 1030.67 8.26126994e+00 8.99140383e-02 
465 1032.46 8.43251345e+00 9.82142111e-02 
464 1034.24 8.27433470e+00 9.98418839e-02 
463 1036.02 8.45784781e+00 1.01670583e-01 
462 1037.80 8.34133450e+00 8.72748499e-02 
461 1039.58 8.54080046e+00 1.01925720e-01 
460 1041.35 8.40776978e+00 9.28637716e-02 
459 1043.12 8.57580466e+00 1.07206923e-01 
458 1044.89 8.48031871e+00 1.08194777e-01 
457 1046.66 8.69724020e+00 1.08174721e-01 
456 1048.43 8.62371932e+00 1.09387490e-01 
455 1050.19 8.84475115e+00 1.09063844e-01 
454 1051.95 8.67786079e+00 9.38016782e-02 
453 1053.71 8.92869589e+00 1.00316845e-01 
452 1055.47 8.75127125e+00 1.03885170e-01 
451 1057.23 8.88516606e+00 1.04229561e-01 
450 1058.98 8.74269962e+00 1.00401694e-01 
449 1060.73 8.93785848e+00 1.08696357e-01 
448 1062.48 8.73700809e+00 1.14991627e-01 
447 1064.23 8.87739659e+00 1.14118726e-01 
446 1065.97 8.55547571e+00 1.16787365e-01 
445 1067.71 8.58569240e+00 1.09038147e-01 
444 1069.46 8.37947543e+00 1.05581988e-01 
443 1071.19 8.48084524e+00 1.25329422e-01 
442 1072.93 8.30524127e+00 1.34810256e-01 
441 1074.67 8.37965123e+00 1.63961682e-01 
440 1076.40 8.16818025e+00 1.81718080e-01 
439 1078.13 8.19021840e+00 2.11706147e-01 
438 1079.86 7.95566946e+00 2.19391986e-01 
437 1081.58 8.00399833e+00 2.71224976e-01 
436 1083.31 7.84003742e+00 3.20803073e-01 
435 1085.03 7.98991643e+00 3.47510822e-01 
434 1086.75 7.90250656e+00 3.86974255e-01 
433 1088.47 8.05488820e+00 3.67213241e-01 
432 1090.19 7.88218080e+00 4.63925126e-01 
431 1091.90 7.93192212e+00 5.52044773e-01 
430 1093.61 7.73324026e+00 6.36252578e-01 
429 1095.33 7.83740849e+00 7.77641432e-01 
428 1097.03 7.75393224e+00 9.58324529e-01 
427 1098.74 7.86001293e+00 1.14053348e+00 
426 1100.45 7.76688886e+00 1.25705331e+00 
