% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\sleblan2\Research\ORACLES\data_2017\20170801_ORACLES_transit1\4STAR_20170801starsun.mat and recorded on 2017-08-01 12:47:40.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
511 949.79 3.20944643e+00 9.62833911e-02 
510 949.79 6.27296627e-01 1.88188981e-02 
509 951.68 1.86551261e+00 5.59653789e-02 
508 953.57 2.07381034e+00 6.22143112e-02 
507 955.46 2.42255020e+00 7.26765096e-02 
506 957.34 2.65331411e+00 7.95994252e-02 
505 959.22 3.17261267e+00 9.51783806e-02 
504 961.10 3.42815280e+00 1.02844581e-01 
503 962.98 4.02498150e+00 1.20749444e-01 
502 964.85 4.41487741e+00 1.32446319e-01 
501 966.72 5.25805664e+00 1.57741696e-01 
500 968.59 5.73960876e+00 1.72188267e-01 
499 970.45 6.27666998e+00 1.88300103e-01 
498 972.32 6.12016916e+00 1.83605075e-01 
497 974.18 6.32002163e+00 1.89600646e-01 
496 976.04 6.34363031e+00 1.90308914e-01 
495 977.89 6.92930174e+00 2.07879052e-01 
494 979.74 7.17109919e+00 2.15132982e-01 
493 981.59 7.77900028e+00 2.33370006e-01 
492 983.44 7.99467278e+00 2.39840180e-01 
491 985.29 8.52815437e+00 2.55844623e-01 
490 987.13 8.52811432e+00 2.55843431e-01 
489 988.97 8.89379215e+00 2.66813755e-01 
488 990.81 8.75004482e+00 2.62501359e-01 
487 992.65 9.01057625e+00 2.70317286e-01 
486 994.48 8.83482361e+00 2.65044719e-01 
485 996.31 9.01998901e+00 2.70599663e-01 
484 998.14 8.73596764e+00 2.62079030e-01 
483 999.97 8.87071991e+00 2.66121596e-01 
482 1001.79 8.59616089e+00 2.57884830e-01 
481 1003.62 8.68751717e+00 2.60625511e-01 
480 1005.44 8.46669388e+00 2.54000813e-01 
479 1007.25 8.72101974e+00 2.61630595e-01 
478 1009.07 8.52877903e+00 2.55863369e-01 
477 1010.88 8.70844555e+00 2.61253357e-01 
476 1012.69 8.46406841e+00 2.53922045e-01 
475 1014.50 8.58357430e+00 2.57507235e-01 
474 1016.31 8.36610889e+00 2.50983268e-01 
473 1018.11 8.52344131e+00 2.55703241e-01 
472 1019.91 8.25242805e+00 2.47572839e-01 
471 1021.71 8.40174103e+00 2.52052218e-01 
470 1023.51 8.16601753e+00 2.44980529e-01 
469 1025.30 8.33882332e+00 2.50164688e-01 
468 1027.09 8.24649620e+00 2.47394890e-01 
467 1028.88 8.41096210e+00 2.52328873e-01 
466 1030.67 8.25738239e+00 2.47721478e-01 
465 1032.46 8.42997837e+00 2.52899349e-01 
464 1034.24 8.26951218e+00 2.48085365e-01 
463 1036.02 8.45351887e+00 2.53605574e-01 
