% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from (SEE Original files for sources) and recorded on 2017-08-01 13:01:33.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , MLO -av-g-, WFF--20-16. See the list of files below
% 20170605_VIS_C0_refined_Langley_MLO_May2017_averages.dat
% 20160918_VIS_C0_refined_high_alt_low_m_fromBonanza.dat
Pix Wavelength C0 C0err
0 173.18 -5.00000000e-01 7.07106781e-01 
1 173.98 -1.00000000e+00 0.00000000e+00 
2 174.77 -1.00000000e+00 0.00000000e+00 
3 175.56 -1.00000000e+00 0.00000000e+00 
4 176.36 -1.00000000e+00 0.00000000e+00 
5 177.15 -1.00000000e+00 0.00000000e+00 
6 177.94 -1.00000000e+00 0.00000000e+00 
7 178.74 -1.00000000e+00 0.00000000e+00 
8 179.53 -1.00000000e+00 0.00000000e+00 
9 180.33 -1.00000000e+00 0.00000000e+00 
10 181.12 -1.00000000e+00 0.00000000e+00 
11 181.92 -1.00000000e+00 0.00000000e+00 
12 182.71 -1.00000000e+00 0.00000000e+00 
13 183.51 -1.00000000e+00 0.00000000e+00 
14 184.30 -1.00000000e+00 0.00000000e+00 
15 185.10 -1.00000000e+00 0.00000000e+00 
16 185.89 -1.00000000e+00 0.00000000e+00 
17 186.69 -1.00000000e+00 0.00000000e+00 
18 187.49 -1.00000000e+00 0.00000000e+00 
19 188.28 -1.00000000e+00 0.00000000e+00 
20 189.08 -1.00000000e+00 0.00000000e+00 
21 189.88 -1.00000000e+00 0.00000000e+00 
22 190.67 -1.00000000e+00 0.00000000e+00 
23 191.47 -1.00000000e+00 0.00000000e+00 
24 192.27 -1.00000000e+00 0.00000000e+00 
25 193.07 -1.00000000e+00 0.00000000e+00 
26 193.86 -1.00000000e+00 0.00000000e+00 
27 194.66 -1.00000000e+00 0.00000000e+00 
28 195.46 -1.00000000e+00 0.00000000e+00 
29 196.26 -1.00000000e+00 0.00000000e+00 
30 197.05 -1.00000000e+00 0.00000000e+00 
31 197.85 -1.00000000e+00 0.00000000e+00 
32 198.65 -1.00000000e+00 0.00000000e+00 
33 199.45 -1.00000000e+00 0.00000000e+00 
34 200.25 -1.00000000e+00 0.00000000e+00 
35 201.05 -1.00000000e+00 0.00000000e+00 
36 201.85 -1.00000000e+00 0.00000000e+00 
37 202.65 -1.00000000e+00 0.00000000e+00 
38 203.44 -1.00000000e+00 0.00000000e+00 
39 204.24 -1.00000000e+00 0.00000000e+00 
40 205.04 -1.00000000e+00 0.00000000e+00 
41 205.84 -1.00000000e+00 0.00000000e+00 
42 206.64 -1.00000000e+00 0.00000000e+00 
43 207.44 -1.00000000e+00 0.00000000e+00 
44 208.24 -8.94854603e-01 1.48698046e-01 
45 209.04 -8.91539291e-01 1.53386606e-01 
46 209.84 -8.41353699e-01 2.24359750e-01 
47 210.64 -5.09486124e-01 6.93691376e-01 
48 211.44 -5.61024676e-01 6.20804857e-01 
49 212.24 -6.66196942e-01 4.72068812e-01 
50 213.04 -8.19955175e-02 1.29825439e+00 
51 213.85 -5.12091041e-01 6.90007468e-01 
52 214.65 -4.93099372e-01 7.16865743e-01 
53 215.45 -5.10394121e-01 6.92407274e-01 
54 216.25 -5.06045942e-01 6.98556528e-01 
55 217.05 -5.06303564e-01 6.98192196e-01 
56 217.85 -5.01161586e-01 7.05464051e-01 
57 218.65 5.54530195e+03 7.84365544e+03 
58 219.46 1.23347965e-01 1.58865393e+00 
59 220.26 8.03888550e-02 1.52790057e+00 
60 221.06 -1.91828070e-02 1.38708498e+00 
61 221.86 2.52119091e+34 3.56550238e+34 
62 222.66 1.54236899e+33 2.18123915e+33 
63 223.47 9.50932540e+31 1.34482169e+32 
64 224.27 5.81375025e+30 8.22188445e+30 
65 225.07 3.54422181e+29 5.01228654e+29 
66 225.87 2.20644829e+28 3.12038910e+28 
67 226.68 1.42504640e+27 2.01531994e+27 
68 227.48 9.39440010e+25 1.32856880e+26 
69 228.28 7.71160200e+24 1.09058521e+25 
70 229.08 9.94528175e+23 1.40647523e+24 
71 229.89 2.89873686e+23 4.09943297e+23 
72 230.69 2.73583662e+23 3.86905725e+23 
73 231.49 9.11680390e+23 1.28931077e+24 
74 232.30 8.21187135e+24 1.16133398e+25 
75 233.10 1.38120863e+26 1.95332398e+26 
76 233.90 2.92173434e+27 4.13195633e+27 
77 234.71 7.16341155e+28 1.01305938e+29 
78 235.51 1.82265847e+30 2.57762833e+30 
79 236.32 4.72059517e+31 6.67592970e+31 
80 237.12 1.26016254e+33 1.78213895e+33 
81 237.92 3.48558112e+34 4.92935609e+34 
82 238.73 -9.24622915e-02 1.28345214e+00 
83 239.53 1.44640440e-01 1.61876603e+00 
84 240.34 -2.91731974e-01 1.00164225e+00 
85 241.14 -5.09985681e-01 6.92984896e-01 
86 241.94 -5.36375627e-01 6.55663876e-01 
87 242.75 -5.08841147e-01 6.94603511e-01 
88 243.55 -5.39239441e-01 6.51613831e-01 
89 244.36 -5.33259148e-01 6.60071242e-01 
90 245.16 -4.82409313e-01 7.31983769e-01 
91 245.97 -5.19127017e-01 6.80057095e-01 
92 246.77 -6.75643310e-01 4.58709630e-01 
93 247.58 -7.06565132e-01 4.14979571e-01 
94 248.38 -5.16576434e-01 6.83664164e-01 
95 249.19 -6.70279141e-01 4.66295711e-01 
96 249.99 -6.57881985e-01 4.83827937e-01 
97 250.80 -6.62305821e-01 4.77571687e-01 
98 251.60 4.49926572e+11 6.36292261e+11 
99 252.41 -8.84763278e-01 1.62969335e-01 
100 253.21 -8.43172372e-01 2.21787759e-01 
101 254.02 -8.11942895e-01 2.65952908e-01 
102 254.82 -8.83689475e-01 1.64487921e-01 
103 255.63 -8.45322599e-01 2.18746878e-01 
104 256.44 -8.48023286e-01 2.14927531e-01 
105 257.24 -8.13108464e-01 2.64304545e-01 
106 258.05 3.06020554e+06 4.32778560e+06 
107 258.85 -2.93290020e-02 1.37273609e+00 
108 259.66 -7.41837586e-01 3.65096786e-01 
109 260.46 -6.56080415e-01 4.86375741e-01 
110 261.27 -6.38361683e-01 5.11433813e-01 
111 262.08 -6.52414034e-01 4.91560787e-01 
112 262.88 -5.93882862e-01 5.74336365e-01 
113 263.69 -5.12799759e-01 6.89005188e-01 
114 264.49 -4.99628519e-01 7.07632135e-01 
115 265.30 -5.08440181e-01 6.95170563e-01 
116 266.11 -4.82429763e-01 7.31954849e-01 
117 266.91 -5.08789534e-01 6.94676503e-01 
118 267.72 -5.16654457e-01 6.83553823e-01 
119 268.53 -2.73525794e-01 1.02738967e+00 
120 269.33 -1.62677220e-02 1.39120753e+00 
121 270.14 -6.79307635e-02 1.31814496e+00 
122 270.95 5.49619975e+34 7.77280023e+34 
123 271.75 1.72222095e+33 2.43558822e+33 
124 272.56 4.98148039e+31 7.04487713e+31 
125 273.37 1.18210603e+30 1.67175037e+30 
126 274.17 2.65481126e+28 3.75447008e+28 
127 274.98 7.86815245e+26 1.11272479e+27 
128 275.79 2.68695666e+25 3.79993055e+25 
129 276.59 1.05184437e+24 1.48753257e+24 
130 277.40 4.24563434e+22 6.00423366e+22 
131 278.21 1.66352823e+21 2.35258418e+21 
132 279.01 7.07960410e+19 1.00120721e+20 
133 279.82 3.27160730e+18 4.62675141e+18 
134 280.63 1.52898757e+17 2.16231496e+17 
135 281.43 7.41033740e+15 1.04797997e+16 
136 282.24 4.83230059e+14 6.83390503e+14 
137 283.05 3.96709436e+13 5.61031865e+13 
138 283.86 3.56003794e+12 5.03465394e+12 
139 284.66 3.35950971e+11 4.75106419e+11 
140 285.47 3.51458673e+10 4.97037621e+10 
141 286.28 5.02755020e+09 7.11002967e+09 
142 287.09 7.64321603e+08 1.08091397e+09 
143 287.89 1.15546451e+08 1.63407350e+08 
144 288.70 2.10709366e+07 2.97987913e+07 
145 289.51 4.47685799e+06 6.33121210e+06 
146 290.32 1.08489052e+06 1.53423395e+06 
147 291.12 2.90716275e+05 4.11082680e+05 
148 291.93 8.02768564e+04 1.13439090e+05 
149 292.74 2.60097734e+04 3.67152271e+04 
150 293.55 9.00266540e+03 1.26938962e+04 
151 294.35 3.55398639e+03 5.00235225e+03 
152 295.16 1.47789662e+03 2.07487794e+03 
153 295.97 6.55924387e+02 9.17358906e+02 
154 296.78 3.15108881e+02 4.38413205e+02 
155 297.58 1.61918599e+02 2.23686020e+02 
156 298.39 8.83791243e+01 1.20931568e+02 
157 299.20 5.19190777e+01 7.01700827e+01 
158 300.01 3.29104944e+01 4.37868362e+01 
159 300.81 2.15450620e+01 2.81619511e+01 
160 301.62 1.46219620e+01 1.86217503e+01 
161 302.43 1.06548007e+01 1.32449616e+01 
162 303.24 7.93822650e+00 9.56656077e+00 
163 304.04 6.13344446e+00 7.14557048e+00 
164 304.85 4.87605577e+00 5.46222746e+00 
165 305.66 3.87469288e+00 4.14002497e+00 
166 306.47 3.29768899e+00 3.38724775e+00 
167 307.28 2.78020493e+00 2.70521582e+00 
168 308.08 2.43184144e+00 2.26340504e+00 
169 308.89 2.18965430e+00 1.95006562e+00 
170 309.70 1.94613299e+00 1.63802062e+00 
171 310.51 1.78222317e+00 1.42695616e+00 
172 311.32 1.61559923e+00 1.21345621e+00 
173 312.12 1.49750063e+00 1.06369984e+00 
174 312.93 1.40112161e+00 9.38909057e-01 
175 313.74 1.35723826e+00 8.70180234e-01 
176 314.55 1.26349446e+00 7.58881877e-01 
177 315.36 1.22283519e+00 6.98633062e-01 
178 316.16 1.18095329e+00 6.37419791e-01 
179 316.97 1.15165623e+00 5.85824730e-01 
180 317.78 1.13672385e+00 5.61370270e-01 
181 318.59 1.10989337e+00 5.14559170e-01 
182 319.40 1.09828111e+00 4.84385522e-01 
183 320.20 1.10311484e+00 4.71733657e-01 
184 321.01 1.08783752e+00 4.33080188e-01 
185 321.82 1.10107215e+00 4.27608164e-01 
186 322.63 1.10389005e+00 4.10405624e-01 
187 323.43 1.10652183e+00 3.86051151e-01 
188 324.24 1.11319441e+00 3.71500093e-01 
189 325.05 1.12691003e+00 3.60400979e-01 
190 325.86 1.13718124e+00 3.42500173e-01 
191 326.67 1.15651669e+00 3.40660986e-01 
192 327.48 1.18494488e+00 3.34301530e-01 
193 328.28 1.20439689e+00 3.31477317e-01 
194 329.09 1.23625770e+00 3.24511143e-01 
195 329.90 1.27758657e+00 3.28961553e-01 
196 330.71 1.33358585e+00 3.27560421e-01 
197 331.52 1.42059484e+00 3.48271840e-01 
