% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\sleblan2\Research\ORACLES\data_2017\4STAR_20170807starsun.mat and recorded on 2017-08-10 12:26:37.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
511 949.79 4.99225521e+00 1.49767652e-01 
510 949.79 5.14551926e+00 1.54365584e-01 
509 951.68 5.50541019e+00 1.65162310e-01 
508 953.57 5.56086111e+00 1.66825831e-01 
507 955.46 6.00403786e+00 1.80121139e-01 
506 957.34 6.10785961e+00 1.83235794e-01 
505 959.22 6.56126690e+00 1.96838006e-01 
504 961.10 6.65086460e+00 1.99525937e-01 
503 962.98 7.07258797e+00 2.12177634e-01 
502 964.85 7.06968307e+00 2.12090492e-01 
501 966.72 7.55691004e+00 2.26707295e-01 
500 968.59 7.60292101e+00 2.28087634e-01 
499 970.45 7.99857712e+00 2.39957318e-01 
498 972.32 7.96519423e+00 2.38955826e-01 
497 974.18 8.30674458e+00 2.49202341e-01 
496 976.04 8.25430107e+00 2.47629032e-01 
495 977.89 8.58345699e+00 2.57503718e-01 
494 979.74 8.50260448e+00 2.55078137e-01 
493 981.59 8.78679276e+00 2.63603777e-01 
492 983.44 8.66477489e+00 2.59943247e-01 
491 985.29 8.93124104e+00 2.67937243e-01 
490 987.13 8.73525143e+00 2.62057543e-01 
489 988.97 8.98278427e+00 2.69483536e-01 
488 990.81 8.79963112e+00 2.63988942e-01 
487 992.65 8.97386646e+00 2.69216001e-01 
486 994.48 8.79290295e+00 2.63787091e-01 
485 996.31 8.92484951e+00 2.67745495e-01 
484 998.14 8.66947269e+00 2.60084182e-01 
483 999.97 8.82733250e+00 2.64819980e-01 
482 1001.79 8.53967285e+00 2.56190181e-01 
481 1003.62 8.62788773e+00 2.58836627e-01 
480 1005.44 8.41615200e+00 2.52484560e-01 
479 1007.25 8.66288090e+00 2.59886414e-01 
478 1009.07 8.47701931e+00 2.54310578e-01 
