% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from (SEE Original files for sources) and recorded on 2017-08-11 09:20:30.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , MLO -av-g-, WFF--20-17, infl-ig-ht. See the list of files below
% 20170605_VIS_C0_refined_Langley_MLO_May2017_averages.dat
% 20170801_VIS_C0_refined_langley_4STAR_WFF_ground.dat
% 20170807_VIS_C0_refined_langley_4STARpm.dat
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 0.00000000e+00 
1 173.98 -1.00000000e+00 0.00000000e+00 
2 174.77 -1.00000000e+00 0.00000000e+00 
3 175.56 -1.00000000e+00 0.00000000e+00 
4 176.36 -1.00000000e+00 0.00000000e+00 
5 177.15 -1.00000000e+00 0.00000000e+00 
6 177.94 -1.00000000e+00 0.00000000e+00 
7 178.74 -1.00000000e+00 0.00000000e+00 
8 179.53 -1.00000000e+00 0.00000000e+00 
9 180.33 -1.00000000e+00 0.00000000e+00 
10 181.12 -1.00000000e+00 0.00000000e+00 
11 181.92 -1.00000000e+00 0.00000000e+00 
12 182.71 -1.00000000e+00 0.00000000e+00 
13 183.51 -1.00000000e+00 0.00000000e+00 
14 184.30 -1.00000000e+00 0.00000000e+00 
15 185.10 -1.00000000e+00 0.00000000e+00 
16 185.89 -1.00000000e+00 0.00000000e+00 
17 186.69 -1.00000000e+00 0.00000000e+00 
18 187.49 -1.00000000e+00 0.00000000e+00 
19 188.28 -1.00000000e+00 0.00000000e+00 
20 189.08 -1.00000000e+00 0.00000000e+00 
21 189.88 -1.00000000e+00 0.00000000e+00 
22 190.67 -1.00000000e+00 0.00000000e+00 
23 191.47 -1.00000000e+00 0.00000000e+00 
24 192.27 -1.00000000e+00 0.00000000e+00 
25 193.07 -1.00000000e+00 0.00000000e+00 
26 193.86 -1.00000000e+00 0.00000000e+00 
27 194.66 -1.00000000e+00 0.00000000e+00 
28 195.46 -1.00000000e+00 0.00000000e+00 
29 196.26 -1.00000000e+00 0.00000000e+00 
30 197.05 -1.00000000e+00 0.00000000e+00 
31 197.85 -1.00000000e+00 0.00000000e+00 
32 198.65 -1.00000000e+00 0.00000000e+00 
33 199.45 -1.00000000e+00 0.00000000e+00 
34 200.25 -1.00000000e+00 0.00000000e+00 
35 201.05 -1.00000000e+00 0.00000000e+00 
36 201.85 -1.00000000e+00 0.00000000e+00 
37 202.65 -1.00000000e+00 0.00000000e+00 
38 203.44 -1.00000000e+00 0.00000000e+00 
39 204.24 -1.00000000e+00 0.00000000e+00 
40 205.04 -1.00000000e+00 0.00000000e+00 
41 205.84 -1.00000000e+00 0.00000000e+00 
42 206.64 1.00938386e+38 1.74830413e+38 
43 207.44 1.26566474e+00 3.92424644e+00 
44 208.24 -1.23186887e-02 1.53220902e+00 
45 209.04 -1.71337494e-01 1.25213243e+00 
46 209.84 -2.16705297e-02 1.42856927e+00 
47 210.64 1.62119121e-01 1.26244393e+00 
48 211.44 1.49802680e-01 1.30710593e+00 
49 212.24 6.67773087e-02 1.31269884e+00 
50 213.04 1.66396107e+00 3.16035211e+00 
51 213.85 3.30891807e+00 6.63614249e+00 
52 214.65 4.82811282e+00 9.23053876e+00 
53 215.45 5.24217222e+00 9.97575924e+00 
54 216.25 5.01991804e+00 9.58398792e+00 
55 217.05 4.23923539e+00 8.23432791e+00 
56 217.85 3.82698981e+00 7.51315668e+00 
57 218.65 3.70043568e+03 6.40094212e+03 
58 219.46 3.03109151e+00 5.16011901e+00 
59 220.26 2.66438394e+00 4.60416462e+00 
60 221.06 2.20306277e+00 3.97204337e+00 
61 221.86 1.94111531e+00 3.57966954e+00 
62 222.66 1.70195238e+00 3.17631750e+00 
63 223.47 1.55013552e+00 2.95014436e+00 
64 224.27 1.39158411e+00 2.65413437e+00 
65 225.07 1.29016561e+00 2.48693368e+00 
66 225.87 1.20115358e+00 2.33508381e+00 
67 226.68 1.94889336e+00 2.55386267e+00 
68 227.48 1.40628044e+00 2.17132385e+00 
69 228.28 1.25955890e+00 2.05343171e+00 
70 229.08 1.21539649e+00 2.00455951e+00 
71 229.89 1.22252503e+00 1.99009047e+00 
72 230.69 1.20391157e+00 1.97670962e+00 
73 231.49 1.24789462e+00 2.00485791e+00 
74 232.30 1.23067279e+00 2.02872962e+00 
75 233.10 1.18222478e+00 2.02818667e+00 
76 233.90 5.09090587e+00 7.20522197e+00 
77 234.71 1.10810373e+00 2.21289690e+00 
78 235.51 1.19306565e+00 2.36361228e+00 
79 236.32 1.27772139e+00 2.53430893e+00 
80 237.12 1.44556642e+00 2.77156809e+00 
81 237.92 1.58675298e+00 3.04282134e+00 
82 238.73 1.75875410e+00 3.33236119e+00 
83 239.53 2.18810383e+00 3.71986957e+00 
84 240.34 2.15199636e+00 4.29151117e+00 
85 241.14 2.36003415e+00 4.99511316e+00 
86 241.94 2.61923751e+00 5.48531042e+00 
87 242.75 2.93067003e+00 5.97762063e+00 
88 243.55 2.83076093e+00 5.85516933e+00 
89 244.36 2.76801030e+00 5.73698413e+00 
90 245.16 2.09986221e+00 4.50247474e+00 
91 245.97 1.03801242e+00 2.73957817e+00 
92 246.77 3.70649200e-02 1.27634883e+00 
93 247.58 -3.78971843e-02 1.19476127e+00 
94 248.38 8.41273707e-02 1.14727221e+00 
95 249.19 5.35971363e-02 1.29642063e+00 
96 249.99 1.04130033e-02 1.20702084e+00 
97 250.80 -6.67576310e-02 1.08538947e+00 
98 251.60 2.99951048e+11 5.19530455e+11 
99 252.41 -7.97476220e-02 1.39908189e+00 
100 253.21 -1.06926164e-01 1.28482308e+00 
101 254.02 6.78587633e-02 1.53542123e+00 
102 254.82 -2.67214870e-02 1.48886216e+00 
103 255.63 -1.80953933e-01 1.16106945e+00 
104 256.44 -1.92186984e-01 1.14606312e+00 
105 257.24 -6.45251393e-02 1.30998451e+00 
106 258.05 2.04013742e+06 3.53362151e+06 
107 258.85 4.96613819e-01 1.33118359e+00 
108 259.66 -7.74810077e-02 1.17930353e+00 
109 260.46 1.65637000e-02 1.21475553e+00 
110 261.27 5.59128183e-02 1.25572032e+00 
111 262.08 -1.46518627e-02 1.15803185e+00 
112 262.88 3.38936606e-01 1.66594946e+00 
113 263.69 1.56360084e+00 3.62928126e+00 
114 264.49 1.95954960e+00 4.28871108e+00 
115 265.30 2.33882671e+00 4.95604855e+00 
116 266.11 2.43199395e+00 5.07439412e+00 
117 266.91 2.18822432e+00 4.69712028e+00 
118 267.72 1.94970372e+00 4.29911512e+00 
119 268.53 1.75141138e+00 3.58174210e+00 
120 269.33 1.72811782e+00 3.17747887e+00 
121 270.14 1.42984243e+00 2.75657880e+00 
122 270.95 1.30613699e+00 2.56689241e+00 
123 271.75 1.14075320e+00 2.29418346e+00 
