% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from C:\Users\sleblan2\Research\ORACLES\data_2017\4STAR_20170807starsun.mat and recorded on 2017-08-10 12:26:37.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.98 -1.00000000e+00 -1.00000000e+00 
2 174.77 -1.00000000e+00 -1.00000000e+00 
3 175.56 -1.00000000e+00 -1.00000000e+00 
4 176.36 -1.00000000e+00 -1.00000000e+00 
5 177.15 -1.00000000e+00 -1.00000000e+00 
6 177.94 -1.00000000e+00 -1.00000000e+00 
7 178.74 -1.00000000e+00 -1.00000000e+00 
8 179.53 -1.00000000e+00 -1.00000000e+00 
9 180.33 -1.00000000e+00 -1.00000000e+00 
10 181.12 -1.00000000e+00 -1.00000000e+00 
11 181.92 -1.00000000e+00 -1.00000000e+00 
12 182.71 -1.00000000e+00 -1.00000000e+00 
13 183.51 -1.00000000e+00 -1.00000000e+00 
14 184.30 -1.00000000e+00 -1.00000000e+00 
15 185.10 -1.00000000e+00 -1.00000000e+00 
16 185.89 -1.00000000e+00 -1.00000000e+00 
17 186.69 -1.00000000e+00 -1.00000000e+00 
18 187.49 -1.00000000e+00 -1.00000000e+00 
19 188.28 -1.00000000e+00 -1.00000000e+00 
20 189.08 -1.00000000e+00 -1.00000000e+00 
21 189.88 -1.00000000e+00 -1.00000000e+00 
22 190.67 -1.00000000e+00 -1.00000000e+00 
23 191.47 -1.00000000e+00 -1.00000000e+00 
24 192.27 -1.00000000e+00 -1.00000000e+00 
25 193.07 -1.00000000e+00 -1.00000000e+00 
26 193.86 -1.00000000e+00 -1.00000000e+00 
27 194.66 -1.00000000e+00 -1.00000000e+00 
28 195.46 -1.00000000e+00 -1.00000000e+00 
29 196.26 -1.00000000e+00 -1.00000000e+00 
30 197.05 -1.00000000e+00 -1.00000000e+00 
31 197.85 -1.00000000e+00 -1.00000000e+00 
32 198.65 -1.00000000e+00 -1.00000000e+00 
33 199.45 -1.00000000e+00 -1.00000000e+00 
34 200.25 -1.00000000e+00 -1.00000000e+00 
35 201.05 -1.00000000e+00 -1.00000000e+00 
36 201.85 -1.00000000e+00 -1.00000000e+00 
37 202.65 -1.00000000e+00 -1.00000000e+00 
38 203.44 -1.00000000e+00 -1.00000000e+00 
39 204.24 -1.00000000e+00 -1.00000000e+00 
40 205.04 -1.00000000e+00 -1.00000000e+00 
41 205.84 -1.00000000e+00 -1.00000000e+00 
42 206.64 3.02815158e+38 9.08445450e+36 
43 207.44 5.79699421e+00 1.73909828e-01 
44 208.24 1.75275314e+00 5.25825955e-02 
45 209.04 1.26906610e+00 3.80719826e-02 
46 209.84 1.61769581e+00 4.85308729e-02 
47 210.64 1.50532961e+00 4.51598875e-02 
48 211.44 1.57145739e+00 4.71437201e-02 
49 212.24 1.53272581e+00 4.59817760e-02 
50 213.04 5.15587425e+00 1.54676229e-01 
51 213.85 1.09509363e+01 3.28528076e-01 
52 214.65 1.54705372e+01 4.64116126e-01 
53 215.45 1.67473049e+01 5.02419174e-01 
54 216.25 1.60718460e+01 4.82155383e-01 
55 217.05 1.37303133e+01 4.11909401e-01 
56 217.85 1.24832926e+01 3.74498785e-01 
57 218.65 1.07031364e+01 3.21094096e-01 
58 219.46 8.84657860e+00 2.65397370e-01 
59 220.26 7.83237410e+00 2.34971225e-01 
60 221.06 6.64755392e+00 1.99426621e-01 
61 221.86 5.92690945e+00 1.77807286e-01 
62 222.66 5.20085382e+00 1.56025618e-01 
63 223.47 4.78120899e+00 1.43436268e-01 
64 224.27 4.24709702e+00 1.27412915e-01 
65 225.07 3.93564677e+00 1.18069403e-01 
66 225.87 3.65036249e+00 1.09510876e-01 
67 226.68 3.40799379e+00 1.02239817e-01 
68 227.48 3.21934533e+00 9.65803564e-02 
69 228.28 3.01173449e+00 9.03520361e-02 
70 229.08 2.90384650e+00 8.71153921e-02 
71 229.89 2.83950186e+00 8.51850584e-02 
72 230.69 2.82012534e+00 8.46037567e-02 
73 231.49 2.85109401e+00 8.55328217e-02 
74 232.30 2.96553969e+00 8.89661908e-02 
75 233.10 3.00951815e+00 9.02855471e-02 
76 233.90 3.22811341e+00 9.68433991e-02 
77 234.71 3.41269016e+00 1.02380708e-01 
78 235.51 3.69654918e+00 1.10896476e-01 
79 236.32 4.00771713e+00 1.20231517e-01 
80 237.12 4.45608377e+00 1.33682519e-01 
81 237.92 4.93932676e+00 1.48179799e-01 
82 238.73 5.46118689e+00 1.63835600e-01 
83 239.53 6.27503061e+00 1.88250914e-01 
84 240.34 7.03945303e+00 2.11183593e-01 
85 241.14 8.10007381e+00 2.43002221e-01 
86 241.94 8.93046379e+00 2.67913908e-01 
87 242.75 9.80969238e+00 2.94290781e-01 
88 243.55 9.57076168e+00 2.87122846e-01 
89 244.36 9.37054920e+00 2.81116486e-01 
90 245.16 7.26440525e+00 2.17932165e-01 
91 245.97 4.15229130e+00 1.24568738e-01 
92 246.77 1.46248138e+00 4.38744426e-02 
93 247.58 1.29943871e+00 3.89831625e-02 
94 248.38 1.28553498e+00 3.85660492e-02 
95 249.19 1.50134969e+00 4.50404920e-02 
96 249.99 1.34700298e+00 4.04100902e-02 
97 250.80 1.12433875e+00 3.37301642e-02 
98 251.60 1.61382508e+00 4.84147519e-02 
99 252.41 1.53028369e+00 4.59085107e-02 
100 253.21 1.36556625e+00 4.09669876e-02 
101 254.02 1.82746208e+00 5.48238605e-02 
102 254.82 1.68721449e+00 5.06164357e-02 
103 255.63 1.14778340e+00 3.44335027e-02 
104 256.44 1.11948562e+00 3.35845686e-02 
105 257.24 1.43264151e+00 4.29792441e-02 
106 258.05 1.18442583e+00 3.55327763e-02 
107 258.85 1.54849946e+00 4.64549847e-02 
108 259.66 1.25123215e+00 3.75369638e-02 
109 260.46 1.36185193e+00 4.08555567e-02 
110 261.27 1.44446182e+00 4.33338545e-02 
111 262.08 1.26087248e+00 3.78261730e-02 
112 262.88 2.20457554e+00 6.61372691e-02 
113 263.69 5.71640205e+00 1.71492055e-01 
114 264.49 6.87790585e+00 2.06337169e-01 
115 265.30 8.03336048e+00 2.41000816e-01 
116 266.11 8.26084137e+00 2.47825235e-01 
117 266.91 7.58225203e+00 2.27467567e-01 
118 267.72 6.88242006e+00 2.06472605e-01 
119 268.53 5.80128574e+00 1.74038574e-01 
120 269.33 5.21688890e+00 1.56506673e-01 
121 270.14 4.42538881e+00 1.32761657e-01 
122 270.95 4.07173014e+00 1.22151904e-01 
123 271.75 3.56248450e+00 1.06874533e-01 
124 272.56 3.31050777e+00 9.93152335e-02 
125 273.37 3.00908184e+00 9.02724564e-02 
126 274.17 2.79599142e+00 8.38797390e-02 
127 274.98 2.61501384e+00 7.84504116e-02 
128 275.79 2.49843526e+00 7.49530569e-02 
129 276.59 2.38270521e+00 7.14811534e-02 
130 277.40 2.34395814e+00 7.03187436e-02 
131 278.21 2.28680587e+00 6.86041787e-02 
132 279.01 2.25436878e+00 6.76310658e-02 
133 279.82 2.35222554e+00 7.05667660e-02 
134 280.63 2.47928548e+00 7.43785650e-02 
135 281.43 2.61231184e+00 7.83693567e-02 
136 282.24 2.70241117e+00 8.10723379e-02 
137 283.05 2.86404419e+00 8.59213248e-02 
138 283.86 3.01418257e+00 9.04254764e-02 
139 284.66 3.11682272e+00 9.35046822e-02 
140 285.47 3.13117075e+00 9.39351246e-02 
141 286.28 3.29790330e+00 9.89371017e-02 
142 287.09 3.52429962e+00 1.05728991e-01 
143 287.89 3.84236622e+00 1.15270987e-01 
144 288.70 4.13008785e+00 1.23902634e-01 
145 289.51 4.67159271e+00 1.40147775e-01 
146 290.32 5.24534512e+00 1.57360360e-01 
147 291.12 5.06242323e+00 1.51872694e-01 
148 291.93 4.34647083e+00 1.30394131e-01 
149 292.74 3.75253129e+00 1.12575941e-01 
150 293.55 3.29380774e+00 9.88142341e-02 
151 294.35 2.95388794e+00 8.86166394e-02 
152 295.16 2.64976287e+00 7.94928893e-02 
153 295.97 2.39559221e+00 7.18677640e-02 
154 296.78 2.19477463e+00 6.58432394e-02 
155 297.58 2.01842737e+00 6.05528206e-02 
156 298.39 1.88044655e+00 5.64133972e-02 
157 299.20 1.76031637e+00 5.28094918e-02 
158 300.01 1.65132403e+00 4.95397225e-02 
159 300.81 1.57191980e+00 4.71575931e-02 
160 301.62 1.49688983e+00 4.49066944e-02 
161 302.43 1.44389367e+00 4.33168113e-02 
162 303.24 1.39056611e+00 4.17169817e-02 
163 304.04 1.35068488e+00 4.05205451e-02 
164 304.85 1.31068480e+00 3.93205434e-02 
165 305.66 1.27221060e+00 3.81663181e-02 
166 306.47 1.24085569e+00 3.72256711e-02 
167 307.28 1.21904600e+00 3.65713798e-02 
168 308.08 1.20003152e+00 3.60009447e-02 
169 308.89 1.19286871e+00 3.57860625e-02 
170 309.70 1.17586660e+00 3.52759995e-02 
171 310.51 1.16346633e+00 3.49039882e-02 
172 311.32 1.15745556e+00 3.47236656e-02 
173 312.12 1.14447093e+00 3.43341269e-02 
174 312.93 1.14041424e+00 3.42124254e-02 
175 313.74 1.14690375e+00 3.44071127e-02 
176 314.55 1.13961351e+00 3.41884047e-02 
177 315.36 1.13953960e+00 3.41861881e-02 
178 316.16 1.14781988e+00 3.44345979e-02 
179 316.97 1.15356958e+00 3.46070863e-02 
180 317.78 1.16264832e+00 3.48794498e-02 
181 318.59 1.16812062e+00 3.50436196e-02 
182 319.40 1.18319440e+00 3.54958326e-02 
183 320.20 1.19737041e+00 3.59211117e-02 
184 321.01 1.21655071e+00 3.64965200e-02 
185 321.82 1.23762393e+00 3.71287167e-02 
186 322.63 1.25729382e+00 3.77188139e-02 
187 323.43 1.27847540e+00 3.83542627e-02 
188 324.24 1.30106163e+00 3.90318483e-02 
189 325.05 1.32492304e+00 3.97476926e-02 
190 325.86 1.35847211e+00 4.07541618e-02 
191 326.67 1.38627899e+00 4.15883698e-02 
192 327.48 1.42047334e+00 4.26141992e-02 
193 328.28 1.45331001e+00 4.35993001e-02 
194 329.09 1.49410486e+00 4.48231474e-02 
195 329.90 1.53968275e+00 4.61904816e-02 
196 330.71 1.60086596e+00 4.80259806e-02 
197 331.52 1.69684327e+00 5.09052984e-02 
198 332.32 1.86128545e+00 5.58385625e-02 
199 333.13 2.13520479e+00 6.40561432e-02 
200 333.94 2.64904070e+00 7.94712231e-02 
201 334.75 3.47978210e+00 1.04393460e-01 
202 335.55 4.60356474e+00 1.38106942e-01 
203 336.36 6.18906736e+00 1.85672015e-01 
204 337.17 8.63332844e+00 2.58999854e-01 
205 337.98 1.20748682e+01 3.62246037e-01 
206 338.79 1.62055912e+01 4.86167729e-01 
207 339.60 2.08439331e+01 6.25317991e-01 
208 340.40 2.51023254e+01 7.53069758e-01 
209 341.21 2.86480293e+01 8.59440863e-01 
210 342.02 3.27502975e+01 9.82508898e-01 
211 342.83 3.65121841e+01 1.09536552e+00 
212 343.63 3.75902977e+01 1.12770891e+00 
213 344.44 3.89266014e+01 1.16779804e+00 
214 345.25 4.32054214e+01 1.29616261e+00 
215 346.06 4.73860397e+01 1.42158115e+00 
216 346.87 5.01599617e+01 1.50479889e+00 
217 347.67 5.21504593e+01 1.56451380e+00 
218 348.48 5.39928207e+01 1.61978459e+00 
219 349.29 5.71949387e+01 1.71584821e+00 
220 350.10 6.27657509e+01 1.88297248e+00 
221 350.90 6.67472076e+01 2.00241613e+00 
222 351.71 6.70624390e+01 2.01187325e+00 
223 352.52 6.83230972e+01 2.04969287e+00 
224 353.33 7.42594299e+01 2.22778296e+00 
225 354.14 8.18656006e+01 2.45596790e+00 
226 354.94 8.54644928e+01 2.56393480e+00 
227 355.75 8.42218628e+01 2.52665591e+00 
228 356.56 7.95275803e+01 2.38582730e+00 
229 357.37 7.48273315e+01 2.24481988e+00 
230 358.18 7.36685028e+01 2.21005511e+00 
231 358.98 8.23138275e+01 2.46941471e+00 
232 359.79 9.51000290e+01 2.85300088e+00 
233 360.60 9.71996841e+01 2.91599059e+00 
234 361.41 9.56724396e+01 2.87017322e+00 
235 362.21 1.00744385e+02 3.02233148e+00 
236 363.02 1.06758873e+02 3.20276618e+00 
237 363.83 1.10354004e+02 3.31062007e+00 
238 364.64 1.15570724e+02 3.46712184e+00 
239 365.44 1.25825211e+02 3.77475643e+00 
240 366.25 1.35013214e+02 4.05039644e+00 
241 367.06 1.36344925e+02 4.09034777e+00 
242 367.87 1.34093735e+02 4.02281189e+00 
243 368.67 1.35662292e+02 4.06986856e+00 
244 369.48 1.41631882e+02 4.24895668e+00 
245 370.29 1.42962799e+02 4.28888416e+00 
246 371.10 1.41400696e+02 4.24202108e+00 
247 371.90 1.37954483e+02 4.13863468e+00 
248 372.71 1.30313507e+02 3.90940523e+00 
249 373.52 1.22971672e+02 3.68915009e+00 
250 374.33 1.21801826e+02 3.65405488e+00 
251 375.13 1.30058121e+02 3.90174365e+00 
252 375.94 1.41574966e+02 4.24724913e+00 
253 376.75 1.53616119e+02 4.60848379e+00 
254 377.56 1.68287491e+02 5.04862452e+00 
255 378.36 1.72778671e+02 5.18336010e+00 
256 379.17 1.63711838e+02 4.91135502e+00 
257 379.98 1.59686142e+02 4.79058409e+00 
258 380.78 1.60093033e+02 4.80279112e+00 
259 381.59 1.46703323e+02 4.40109968e+00 
260 382.40 1.24899918e+02 3.74699759e+00 
261 383.20 1.14123459e+02 3.42370367e+00 
262 384.01 1.23271675e+02 3.69815016e+00 
263 384.82 1.39800125e+02 4.19400358e+00 
264 385.63 1.46582428e+02 4.39747286e+00 
265 386.43 1.47712158e+02 4.43136454e+00 
266 387.24 1.48761826e+02 4.46285486e+00 
267 388.05 1.50671066e+02 4.52013206e+00 
268 388.85 1.59326691e+02 4.77980089e+00 
269 389.66 1.74126816e+02 5.22380447e+00 
270 390.47 1.86091003e+02 5.58273029e+00 
271 391.27 1.87854858e+02 5.63564587e+00 
272 392.08 1.68739883e+02 5.06219673e+00 
273 392.89 1.36183838e+02 4.08551502e+00 
274 393.69 1.26968292e+02 3.80904865e+00 
275 394.50 1.51943542e+02 4.55830622e+00 
276 395.31 1.71700867e+02 5.15102577e+00 
277 396.11 1.60085098e+02 4.80255318e+00 
278 396.92 1.49286606e+02 4.47859812e+00 
279 397.73 1.75585663e+02 5.26757002e+00 
280 398.53 2.17609024e+02 6.52827072e+00 
281 399.34 2.44020554e+02 7.32061672e+00 
282 400.15 2.56516632e+02 7.69549894e+00 
283 400.95 2.65339050e+02 7.96017170e+00 
284 401.76 2.72756805e+02 8.18270397e+00 
285 402.57 2.75097992e+02 8.25294018e+00 
286 403.37 2.73616028e+02 8.20848083e+00 
287 404.18 2.72493835e+02 8.17481518e+00 
288 404.99 2.71438843e+02 8.14316559e+00 
289 405.79 2.70179565e+02 8.10538673e+00 
290 406.60 2.70775024e+02 8.12325096e+00 
291 407.40 2.77311554e+02 8.31934643e+00 
292 408.21 2.88255829e+02 8.64767456e+00 
293 409.02 2.93197998e+02 8.79594040e+00 
294 409.82 2.89121552e+02 8.67364693e+00 
295 410.63 2.91667328e+02 8.75002003e+00 
296 411.43 3.04593872e+02 9.13781643e+00 
297 412.24 3.12817444e+02 9.38452339e+00 
298 413.05 3.12933960e+02 9.38801861e+00 
299 413.85 3.12116272e+02 9.36348820e+00 
300 414.66 3.11803131e+02 9.35409355e+00 
301 415.46 3.12126984e+02 9.36380959e+00 
302 416.27 3.11846130e+02 9.35538387e+00 
303 417.08 3.06982391e+02 9.20947170e+00 
304 417.88 3.00308167e+02 9.00924492e+00 
305 418.69 2.96987152e+02 8.90961456e+00 
306 419.49 2.96438751e+02 8.89316273e+00 
307 420.30 2.99005310e+02 8.97015953e+00 
308 421.11 3.02114288e+02 9.06342888e+00 
309 421.91 2.99115997e+02 8.97348022e+00 
310 422.72 2.92967255e+02 8.78901768e+00 
311 423.52 2.92328278e+02 8.76984787e+00 
312 424.33 2.95701385e+02 8.87104130e+00 
313 425.13 2.97816742e+02 8.93450260e+00 
314 425.94 2.98325012e+02 8.94974995e+00 
315 426.74 2.98242096e+02 8.94726276e+00 
316 427.55 2.98166718e+02 8.94500160e+00 
317 428.36 2.95892365e+02 8.87677097e+00 
318 429.16 2.85704559e+02 8.57113647e+00 
319 429.96 2.73185577e+02 8.19556713e+00 
320 430.77 2.80064850e+02 8.40194511e+00 
321 431.58 3.11952454e+02 9.35857391e+00 
322 432.38 3.45595886e+02 1.03678770e+01 
323 433.19 3.62201599e+02 1.08660479e+01 
324 433.99 3.71247406e+02 1.11374226e+01 
325 434.80 3.87536194e+02 1.16260862e+01 
326 435.60 4.11102539e+02 1.23330765e+01 
327 436.41 4.28410950e+02 1.28523283e+01 
328 437.21 4.30948669e+02 1.29284601e+01 
329 438.02 4.26448242e+02 1.27934475e+01 
330 438.82 4.29946442e+02 1.28983936e+01 
331 439.63 4.44724945e+02 1.33417482e+01 
332 440.43 4.65080719e+02 1.39524212e+01 
333 441.24 4.86391144e+02 1.45917339e+01 
334 442.04 5.06041046e+02 1.51812315e+01 
335 442.85 5.19614929e+02 1.55884476e+01 
336 443.65 5.27829651e+02 1.58348894e+01 
337 444.45 5.32220093e+02 1.59666023e+01 
338 445.26 5.32816589e+02 1.59844980e+01 
339 446.06 5.37219116e+02 1.61165733e+01 
340 446.87 5.50671326e+02 1.65201397e+01 
341 447.67 5.67921265e+02 1.70376377e+01 
342 448.48 5.81014771e+02 1.74304428e+01 
343 449.28 5.93071777e+02 1.77921524e+01 
344 450.09 6.07072388e+02 1.82121716e+01 
345 450.89 6.16090698e+02 1.84827213e+01 
346 451.70 6.11682312e+02 1.83504696e+01 
347 452.50 5.99822998e+02 1.79946899e+01 
348 453.30 5.94155029e+02 1.78246517e+01 
349 454.11 5.98258789e+02 1.79477634e+01 
350 454.91 6.08104065e+02 1.82431221e+01 
351 455.72 6.18763062e+02 1.85628910e+01 
352 456.52 6.28291443e+02 1.88487434e+01 
353 457.32 6.32917603e+02 1.89875278e+01 
354 458.13 6.32115967e+02 1.89634781e+01 
355 458.93 6.31160278e+02 1.89348087e+01 
356 459.74 6.35087036e+02 1.90526104e+01 
357 460.54 6.43667114e+02 1.93100128e+01 
358 461.34 6.53130371e+02 1.95939102e+01 
359 462.15 6.59537964e+02 1.97861385e+01 
360 462.95 6.60079712e+02 1.98023911e+01 
361 463.76 6.56061890e+02 1.96818562e+01 
362 464.56 6.51672241e+02 1.95501671e+01 
363 465.36 6.49018982e+02 1.94705696e+01 
364 466.17 6.47806030e+02 1.94341812e+01 
365 466.97 6.48402161e+02 1.94520645e+01 
366 467.77 6.51906616e+02 1.95571976e+01 
367 468.58 6.56192078e+02 1.96857624e+01 
368 469.38 6.56961609e+02 1.97088490e+01 
369 470.18 6.56953491e+02 1.97086048e+01 
370 470.99 6.63010254e+02 1.98903084e+01 
371 471.79 6.73613647e+02 2.02084103e+01 
372 472.59 6.82823914e+02 2.04847183e+01 
373 473.40 6.88946045e+02 2.06683807e+01 
374 474.20 6.93599609e+02 2.08079891e+01 
375 475.00 6.96849731e+02 2.09054928e+01 
376 475.81 6.98716675e+02 2.09615002e+01 
377 476.61 7.02434082e+02 2.10730228e+01 
378 477.41 7.09785889e+02 2.12935772e+01 
379 478.21 7.16896606e+02 2.15068989e+01 
380 479.02 7.21339233e+02 2.16401768e+01 
381 479.82 7.23914551e+02 2.17174358e+01 
382 480.62 7.26848389e+02 2.18054523e+01 
383 481.43 7.28644897e+02 2.18593464e+01 
384 482.23 7.27498169e+02 2.18249454e+01 
385 483.03 7.22275085e+02 2.16682529e+01 
386 483.84 7.11397400e+02 2.13419228e+01 
387 484.64 6.89758606e+02 2.06927586e+01 
388 485.44 6.61050781e+02 1.98315239e+01 
389 486.24 6.42809814e+02 1.92842941e+01 
390 487.04 6.45822876e+02 1.93746872e+01 
391 487.85 6.64935181e+02 1.99480553e+01 
392 488.65 6.86636841e+02 2.05991058e+01 
393 489.45 7.01642395e+02 2.10492725e+01 
394 490.26 7.07445313e+02 2.12233601e+01 
395 491.06 7.04569641e+02 2.11370888e+01 
396 491.86 6.98567749e+02 2.09570332e+01 
397 492.66 6.97988770e+02 2.09396629e+01 
398 493.46 7.05054565e+02 2.11516361e+01 
399 494.27 7.13666992e+02 2.14100094e+01 
400 495.07 7.18584900e+02 2.15575466e+01 
401 495.87 7.20473328e+02 2.16142006e+01 
402 496.67 7.17982788e+02 2.15394840e+01 
403 497.48 7.12593811e+02 2.13778152e+01 
404 498.28 7.06637512e+02 2.11991253e+01 
405 499.08 6.99814331e+02 2.09944305e+01 
406 499.88 6.92375366e+02 2.07712612e+01 
407 500.68 6.85105591e+02 2.05531673e+01 
408 501.48 6.81204712e+02 2.04361420e+01 
409 502.29 6.83407288e+02 2.05022182e+01 
410 503.09 6.88374329e+02 2.06512299e+01 
411 503.89 6.94319702e+02 2.08295918e+01 
412 504.69 7.01663818e+02 2.10499153e+01 
413 505.49 7.08300964e+02 2.12490292e+01 
414 506.29 7.09974426e+02 2.12992325e+01 
415 507.09 7.06124512e+02 2.11837349e+01 
416 507.90 7.01543030e+02 2.10462914e+01 
417 508.70 7.00216553e+02 2.10064964e+01 
418 509.50 7.01320618e+02 2.10396194e+01 
419 510.30 7.02713501e+02 2.10814056e+01 
420 511.10 7.01830139e+02 2.10549049e+01 
421 511.90 6.97514954e+02 2.09254494e+01 
422 512.71 6.89974365e+02 2.06992302e+01 
423 513.51 6.81588440e+02 2.04476528e+01 
424 514.31 6.75256653e+02 2.02577000e+01 
425 515.11 6.66398193e+02 1.99919453e+01 
426 515.91 6.50001343e+02 1.95000401e+01 
427 516.71 6.31650146e+02 1.89495049e+01 
428 517.51 6.20859680e+02 1.86257896e+01 
429 518.31 6.24968750e+02 1.87490616e+01 
430 519.11 6.40518127e+02 1.92155437e+01 
431 519.91 6.56629028e+02 1.96988716e+01 
432 520.71 6.68481812e+02 2.00544548e+01 
433 521.52 6.73371826e+02 2.02011547e+01 
434 522.32 6.75608032e+02 2.02682419e+01 
435 523.12 6.79908936e+02 2.03972683e+01 
436 523.92 6.85329712e+02 2.05598907e+01 
437 524.72 6.86248657e+02 2.05874596e+01 
438 525.52 6.77185181e+02 2.03155556e+01 
439 526.32 6.64182251e+02 1.99254684e+01 
440 527.12 6.60667908e+02 1.98200378e+01 
441 527.92 6.70227356e+02 2.01068211e+01 
442 528.72 6.86410950e+02 2.05923290e+01 
443 529.52 6.99901794e+02 2.09970531e+01 
444 530.32 7.06133240e+02 2.11839981e+01 
445 531.12 7.04446350e+02 2.11333904e+01 
446 531.92 6.97686951e+02 2.09306087e+01 
447 532.72 6.90779907e+02 2.07233963e+01 
448 533.52 6.89532349e+02 2.06859703e+01 
449 534.32 6.94893677e+02 2.08468094e+01 
450 535.12 7.01102295e+02 2.10330696e+01 
451 535.92 7.02369812e+02 2.10710945e+01 
452 536.72 7.00188232e+02 2.10056477e+01 
453 537.52 6.97062134e+02 2.09118633e+01 
454 538.32 6.93297119e+02 2.07989140e+01 
455 539.12 6.87752563e+02 2.06325760e+01 
456 539.92 6.82062439e+02 2.04618740e+01 
457 540.72 6.80052856e+02 2.04015865e+01 
458 541.52 6.82796265e+02 2.04838886e+01 
459 542.32 6.88529907e+02 2.06558971e+01 
460 543.12 6.93869263e+02 2.08160782e+01 
461 543.92 6.97922852e+02 2.09376850e+01 
462 544.72 7.00363525e+02 2.10109062e+01 
463 545.52 7.00076050e+02 2.10022812e+01 
464 546.32 6.96651428e+02 2.08995438e+01 
465 547.12 6.92256836e+02 2.07677059e+01 
466 547.91 6.89416626e+02 2.06824989e+01 
467 548.71 6.88852417e+02 2.06655731e+01 
468 549.51 6.89565552e+02 2.06869659e+01 
469 550.31 6.89738220e+02 2.06921463e+01 
470 551.11 6.89603394e+02 2.06881027e+01 
471 551.91 6.89484009e+02 2.06845207e+01 
472 552.71 6.89594177e+02 2.06878262e+01 
473 553.51 6.91601929e+02 2.07480583e+01 
474 554.31 6.92964966e+02 2.07889481e+01 
475 555.10 6.91411011e+02 2.07423306e+01 
476 555.90 6.87187439e+02 2.06156235e+01 
477 556.70 6.81517883e+02 2.04455357e+01 
478 557.50 6.73713501e+02 2.02114048e+01 
479 558.30 6.66969421e+02 2.00090828e+01 
480 559.10 6.65053772e+02 1.99516125e+01 
481 559.90 6.65415710e+02 1.99624710e+01 
482 560.70 6.68315735e+02 2.00494728e+01 
483 561.49 6.73931702e+02 2.02179508e+01 
484 562.29 6.77972595e+02 2.03391781e+01 
485 563.09 6.79699219e+02 2.03909760e+01 
486 563.89 6.81045898e+02 2.04313774e+01 
487 564.69 6.80691040e+02 2.04207306e+01 
488 565.49 6.79081726e+02 2.03724518e+01 
489 566.29 6.78623657e+02 2.03587093e+01 
490 567.08 6.82252441e+02 2.04675732e+01 
