% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2017-08-24 15:56:20.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , MLO -av-g-, WFF--20-17, infl-ig-ht, high- a-lt. See the list of files below
% 20170605_NIR_C0_refined_Langley_MLO_May2017_averages.dat
% 20170801_NIR_C0_refined_langley_4STAR_WFF_ground.dat
% 20170807_NIR_C0_refined_langley_4STARpm.dat
% 20170809_NIR_C0_refined_high_alt_low_m_frompolyfit.dat
Pix Wavelength C0 C0err
511 949.79 4.43950457e+00 9.40644930e-01 
510 949.79 3.95833985e+00 2.25146652e+00 
509 951.68 4.54236909e+00 1.82129025e+00 
508 953.57 4.63745524e+00 1.74497006e+00 
507 955.46 5.05862536e+00 1.79132164e+00 
506 957.34 5.19671889e+00 1.72679908e+00 
505 959.22 5.67623125e+00 1.69542521e+00 
504 961.10 5.81720020e+00 1.61380603e+00 
503 962.98 6.29588044e+00 1.52926532e+00 
502 964.85 6.40645446e+00 1.33855166e+00 
501 966.72 7.00313735e+00 1.16914090e+00 
500 968.59 7.16610023e+00 9.54641159e-01 
499 970.45 7.60462996e+00 8.88534842e-01 
498 972.32 7.52852307e+00 9.43498884e-01 
497 974.18 7.82881359e+00 1.01123872e+00 
496 976.04 7.78587860e+00 9.66620081e-01 
495 977.89 8.19131418e+00 8.44867053e-01 
494 979.74 8.19694225e+00 6.85975318e-01 
493 981.59 8.57349046e+00 5.31291314e-01 
492 983.44 8.54409500e+00 3.68978525e-01 
491 985.29 8.87969442e+00 2.39428255e-01 
490 987.13 8.73114252e+00 1.45278859e-01 
489 988.97 9.01016295e+00 9.44368860e-02 
488 990.81 8.83574156e+00 7.93348055e-02 
487 992.65 9.03582140e+00 6.30969756e-02 
486 994.48 8.84874197e+00 5.25906199e-02 
485 996.31 8.99733718e+00 5.73043259e-02 
484 998.14 8.73418649e+00 5.49296978e-02 
483 999.97 8.88520718e+00 5.57428607e-02 
482 1001.79 8.60201224e+00 5.69338971e-02 
481 1003.62 8.68822030e+00 5.61569206e-02 
480 1005.44 8.47326700e+00 5.37836241e-02 
479 1007.25 8.72380109e+00 5.55399854e-02 
478 1009.07 8.53504717e+00 5.13439118e-02 
477 1010.88 8.69867098e+00 6.05760514e-02 
476 1012.69 8.44621388e+00 5.70069464e-02 
475 1014.50 8.56861937e+00 5.69313854e-02 
474 1016.31 8.35479784e+00 5.46579692e-02 
473 1018.11 8.50594930e+00 6.12554562e-02 
472 1019.91 8.26068747e+00 5.93028690e-02 
471 1021.71 8.41217931e+00 6.05902921e-02 
470 1023.51 8.18884841e+00 5.89298096e-02 
469 1025.30 8.35476653e+00 6.83070955e-02 
468 1027.09 8.25030573e+00 7.24963897e-02 
467 1028.88 8.41418640e+00 7.42690133e-02 
466 1030.67 8.25537590e+00 7.43548804e-02 
465 1032.46 8.42405311e+00 8.19572862e-02 
464 1034.24 8.26799019e+00 8.25021946e-02 
463 1036.02 8.44951813e+00 8.46688021e-02 
462 1037.80 8.33783090e+00 7.16033088e-02 
461 1039.58 8.53547267e+00 8.39013893e-02 
460 1041.35 8.40295263e+00 7.64325841e-02 
459 1043.12 8.56741329e+00 8.91284259e-02 
458 1044.89 8.47390533e+00 8.92670100e-02 
457 1046.66 8.69082069e+00 8.92525642e-02 
456 1048.43 8.61566051e+00 9.07571476e-02 
455 1050.19 8.83575710e+00 9.08488838e-02 
454 1051.95 8.67216222e+00 7.74321095e-02 
453 1053.71 8.92014329e+00 8.36753715e-02 
452 1055.47 8.74427175e+00 8.59693192e-02 
451 1057.23 8.87610713e+00 8.70102910e-02 
450 1058.98 8.73189187e+00 8.47794994e-02 
449 1060.73 8.92542879e+00 9.21660855e-02 
448 1062.48 8.72852731e+00 9.54100509e-02 
447 1064.23 8.86532617e+00 9.62540169e-02 
446 1065.97 8.54694283e+00 9.68715619e-02 
445 1067.71 8.58217001e+00 8.93075625e-02 
444 1069.46 8.37933004e+00 8.62078229e-02 
443 1071.19 8.48158272e+00 1.02341674e-01 
442 1072.93 8.31030703e+00 1.10537404e-01 
441 1074.67 8.39045227e+00 1.35605821e-01 
440 1076.40 8.18416770e+00 1.51778461e-01 
439 1078.13 8.21464332e+00 1.79627306e-01 
438 1079.86 7.98340587e+00 1.87525455e-01 
437 1081.58 8.04260103e+00 2.34526469e-01 
436 1083.31 7.89203435e+00 2.81823460e-01 
435 1085.03 8.04759164e+00 3.06292186e-01 
434 1086.75 7.96507362e+00 3.39840058e-01 
433 1088.47 8.11794122e+00 3.25268780e-01 
432 1090.19 7.96202775e+00 4.11079665e-01 
431 1091.90 8.02617013e+00 4.88569041e-01 
430 1093.61 7.84395705e+00 5.64722106e-01 
429 1095.33 7.97359451e+00 6.90896030e-01 
428 1097.03 7.92348379e+00 8.52788474e-01 
427 1098.74 8.06458396e+00 1.01715697e+00 
426 1100.45 7.99530142e+00 1.12345207e+00 
425 1102.15 8.19435688e+00 1.28019302e+00 
424 1103.85 8.11147431e+00 1.40379770e+00 
423 1105.55 8.26443835e+00 1.53508345e+00 
422 1107.25 8.13156225e+00 1.65528516e+00 
421 1108.94 8.18480468e+00 1.79750932e+00 
420 1110.64 7.81363189e+00 2.07138706e+00 
419 1112.33 7.53812285e+00 2.59216401e+00 
418 1114.02 6.95343498e+00 2.96569967e+00 
417 1115.70 6.57504829e+00 3.55522237e+00 
416 1117.39 6.14332030e+00 3.86857728e+00 
415 1119.07 6.20320995e+00 3.71197192e+00 
414 1120.76 5.94534781e+00 3.91228209e+00 
413 1122.44 6.00853009e+00 3.86920167e+00 
412 1124.12 5.89433969e+00 3.92391103e+00 
411 1125.79 6.03278239e+00 4.01294102e+00 
410 1127.47 6.11655837e+00 4.04357121e+00 
409 1129.14 6.38661917e+00 4.09994338e+00 
408 1130.81 6.32277688e+00 3.57757736e+00 
407 1132.48 6.03136344e+00 3.97876405e+00 
406 1134.15 6.12667571e+00 3.53479395e+00 
405 1135.81 6.48812644e+00 3.45257999e+00 
404 1137.48 7.04134788e+00 3.18062693e+00 
403 1139.14 7.44406257e+00 2.89472410e+00 
402 1140.80 6.69392765e+00 3.86512604e+00 
401 1142.46 6.54494941e+00 4.03417856e+00 
400 1144.12 6.28982737e+00 4.02124542e+00 
