% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2017-08-24 16:33:25.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , MLO -av-g-, WFF--20-17, infl-ig-ht, high- a-lt, high- a-lt. See the list of files below
% 20170605_NIR_C0_refined_Langley_MLO_May2017_averages.dat
% 20170801_NIR_C0_refined_langley_4STAR_WFF_ground.dat
% 20170807_NIR_C0_refined_langley_4STARpm.dat
% 20170809_NIR_C0_refined_high_alt_low_m_frompolyfit.dat
% 20170815_NIR_C0_refined_high_alt_low_m_frompolyfit.dat
Pix Wavelength C0 C0err
511 949.79 4.54576145e+00 8.48564837e-01 
510 949.79 4.19177430e+00 2.01848565e+00 
509 951.68 4.73452527e+00 1.63476102e+00 
508 953.57 4.82290012e+00 1.56704798e+00 
507 955.46 5.25049841e+00 1.60956555e+00 
506 957.34 5.38252856e+00 1.55209615e+00 
505 959.22 5.86002940e+00 1.52471597e+00 
504 961.10 5.98968793e+00 1.44984051e+00 
503 962.98 6.45998993e+00 1.37428125e+00 
502 964.85 6.54976293e+00 1.20269572e+00 
501 966.72 7.12782040e+00 1.05018910e+00 
500 968.59 7.26584241e+00 8.56298616e-01 
499 970.45 7.69513985e+00 7.95663769e-01 
498 972.32 7.62377060e+00 8.44395093e-01 
497 974.18 7.93492778e+00 9.07333410e-01 
496 976.04 7.88433471e+00 8.65582932e-01 
495 977.89 8.27914788e+00 7.57577748e-01 
494 979.74 8.26553148e+00 6.13550334e-01 
493 981.59 8.62480246e+00 4.74201911e-01 
492 983.44 8.57985779e+00 3.29399076e-01 
491 985.29 8.89836937e+00 2.11514034e-01 
490 987.13 8.73971672e+00 1.27267611e-01 
489 988.97 9.01140814e+00 8.18321242e-02 
488 990.81 8.83428920e+00 6.87826667e-02 
487 992.65 9.02975346e+00 5.63029347e-02 
486 994.48 8.84125001e+00 4.85281099e-02 
