% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2017-08-26 12:56:50.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , MLO -av-g-, infl-ig-ht, infl-ig-ht, high- a-lt, high- a-lt. See the list of files below
% 20170605_NIR_C0_refined_Langley_MLO_May2017_averages.dat
% 20170807_NIR_C0_refined_langley_4STARpm.dat
% 20170807_NIR_C0_refined_langley_4STAR_subset_pm.dat
% 20170809_NIR_C0_refined_high_alt_low_m_frompolyfit.dat
% 20170815_NIR_C0_refined_high_alt_low_m_frompolyfit.dat
Pix Wavelength C0 C0err
511 949.79 4.94822164e+00 4.30580209e-01 
510 949.79 5.14229812e+00 3.48510616e-01 
509 951.68 5.50764963e+00 3.40280841e-01 
508 953.57 5.56314446e+00 3.28561141e-01 
507 955.46 6.00857622e+00 3.23417875e-01 
506 957.34 6.11405770e+00 3.05658539e-01 
505 959.22 6.57579011e+00 2.78311841e-01 
504 961.10 6.66902901e+00 2.43246613e-01 
503 962.98 7.10003052e+00 2.01613861e-01 
502 964.85 7.10626260e+00 1.57412492e-01 
501 966.72 7.60915203e+00 1.06568013e-01 
500 968.59 7.65717303e+00 7.60966095e-02 
499 970.45 8.05605685e+00 6.71677638e-02 
498 972.32 8.00903223e+00 8.32816590e-02 
497 974.18 8.34927333e+00 9.40326913e-02 
496 976.04 8.28505216e+00 9.29426912e-02 
495 977.89 8.62564570e+00 7.02202329e-02 
494 979.74 8.54330714e+00 4.71590156e-02 
493 981.59 8.83476226e+00 3.63579051e-02 
492 983.44 8.72014328e+00 4.08831084e-02 
491 985.29 8.98337151e+00 4.68223953e-02 
490 987.13 8.78483772e+00 5.00728252e-02 
489 988.97 9.03409490e+00 5.09816368e-02 
488 990.81 8.84712013e+00 5.34030433e-02 
487 992.65 9.02564847e+00 5.87459050e-02 
486 994.48 8.83491704e+00 5.15485738e-02 
485 996.31 8.97522761e+00 5.28928967e-02 
484 998.14 8.71827494e+00 5.33784477e-02 
483 999.97 8.87571106e+00 5.15146934e-02 
482 1001.79 8.58937899e+00 5.42184644e-02 
481 1003.62 8.67291225e+00 5.37621618e-02 
480 1005.44 8.46065763e+00 5.09385991e-02 
479 1007.25 8.70728909e+00 5.38739408e-02 
478 1009.07 8.52384520e+00 4.84717064e-02 
477 1010.88 8.68135481e+00 5.63989926e-02 
476 1012.69 8.42650045e+00 5.33517726e-02 
475 1014.50 8.54960451e+00 5.35890060e-02 
474 1016.31 8.33952809e+00 4.97329976e-02 
473 1018.11 8.48589500e+00 5.64339884e-02 
472 1019.91 8.24766932e+00 5.61656671e-02 
471 1021.71 8.40230986e+00 5.61097659e-02 
470 1023.51 8.18307718e+00 5.33711049e-02 
469 1025.30 8.34831002e+00 6.15829085e-02 
468 1027.09 8.23398081e+00 6.95423884e-02 
467 1028.88 8.40222181e+00 6.92656195e-02 
466 1030.67 8.23874191e+00 6.98835078e-02 
465 1032.46 8.40628789e+00 7.97360214e-02 
464 1034.24 8.25038230e+00 7.91278767e-02 
463 1036.02 8.43200086e+00 8.10832789e-02 
462 1037.80 8.32373743e+00 6.91350964e-02 
461 1039.58 8.52236389e+00 8.05064079e-02 
460 1041.35 8.38778416e+00 7.37019344e-02 
459 1043.12 8.54799992e+00 8.60982306e-02 
458 1044.89 8.46023922e+00 8.47295270e-02 
457 1046.66 8.66753216e+00 8.64229935e-02 
456 1048.43 8.59337336e+00 8.71471230e-02 
455 1050.19 8.81583983e+00 8.65981886e-02 
454 1051.95 8.66519788e+00 7.56570543e-02 
453 1053.71 8.90332235e+00 8.06768567e-02 
452 1055.47 8.73153019e+00 8.40834579e-02 
451 1057.23 8.86429037e+00 8.25211000e-02 
450 1058.98 8.71812153e+00 7.97672748e-02 
449 1060.73 8.91077398e+00 8.60751164e-02 
448 1062.48 8.71525269e+00 9.01691034e-02 
447 1064.23 8.85357742e+00 9.00868176e-02 
446 1065.97 8.54683218e+00 8.86172468e-02 
445 1067.71 8.58561878e+00 7.84271128e-02 
444 1069.46 8.39082231e+00 7.09744613e-02 
443 1071.19 8.50161063e+00 7.97472496e-02 
442 1072.93 8.33626671e+00 7.72412359e-02 
441 1074.67 8.43384828e+00 7.88246484e-02 
440 1076.40 8.24429547e+00 6.91356668e-02 
439 1078.13 8.28999554e+00 6.36681681e-02 
438 1079.86 8.06305869e+00 6.05284545e-02 
437 1081.58 8.14876445e+00 5.62646832e-02 
436 1083.31 8.02592969e+00 4.89266920e-02 
435 1085.03 8.19187542e+00 5.47273105e-02 
434 1086.75 8.12881740e+00 4.75277525e-02 
433 1088.47 8.27656514e+00 4.94575336e-02 
432 1090.19 8.16376921e+00 4.89730721e-02 
431 1091.90 8.27083139e+00 4.42962500e-02 
430 1093.61 8.13144120e+00 3.82003330e-02 
429 1095.33 8.33090750e+00 4.61204531e-02 
428 1097.03 8.35999570e+00 5.36777642e-02 
427 1098.74 8.58821874e+00 7.12388442e-02 
426 1100.45 8.57963119e+00 8.93609284e-02 
425 1102.15 8.85966946e+00 9.71168896e-02 
424 1103.85 8.83811792e+00 1.14574476e-01 
423 1105.55 9.06485650e+00 1.43411121e-01 
422 1107.25 9.00121385e+00 1.87228678e-01 
421 1108.94 9.13966007e+00 2.52343891e-01 
420 1110.64 8.92031479e+00 3.69948763e-01 
419 1112.33 8.92521650e+00 5.61775779e-01 
418 1114.02 8.54549597e+00 7.64246373e-01 
417 1115.70 8.47970268e+00 9.08356892e-01 
416 1117.39 8.21002561e+00 9.91487599e-01 
415 1119.07 8.18805109e+00 1.07501678e+00 
414 1120.76 8.03358841e+00 1.12169829e+00 
413 1122.44 8.06937937e+00 1.19355826e+00 
412 1124.12 7.98192395e+00 1.17616796e+00 
411 1125.79 8.16271545e+00 1.13713423e+00 
410 1127.47 8.26347423e+00 1.04068514e+00 
409 1129.14 8.55734288e+00 9.21159556e-01 
408 1130.81 8.22168751e+00 1.02923490e+00 
407 1132.48 8.13453107e+00 1.13186318e+00 
406 1134.15 7.99564660e+00 1.11087205e+00 
405 1135.81 8.31111940e+00 9.53417955e-01 
404 1137.48 8.72019560e+00 6.87161252e-01 
403 1139.14 8.97374486e+00 6.06951378e-01 
402 1140.80 8.72852111e+00 6.75733265e-01 
401 1142.46 8.67881866e+00 8.26303391e-01 
400 1144.12 8.42897158e+00 9.30221627e-01 
399 1145.77 8.46571020e+00 9.71870704e-01 
398 1147.43 8.43443052e+00 9.04926900e-01 
397 1149.08 8.61878096e+00 8.09969808e-01 
396 1150.73 8.57903880e+00 7.67807209e-01 
395 1152.38 8.81477656e+00 6.93800720e-01 
394 1154.02 8.78200873e+00 6.06259074e-01 
393 1155.67 9.01469917e+00 5.13754697e-01 
392 1157.31 8.90317818e+00 4.28294266e-01 
391 1158.95 9.01287591e+00 3.56694718e-01 
390 1160.59 8.95453606e+00 2.83150893e-01 
389 1162.23 9.10743049e+00 2.28175072e-01 
388 1163.87 9.02275558e+00 1.82361806e-01 
387 1165.50 9.10461108e+00 1.64959294e-01 
386 1167.13 8.99905093e+00 1.43502682e-01 
385 1168.76 9.09344711e+00 1.04872813e-01 
384 1170.39 8.96471812e+00 1.12321152e-01 
383 1172.02 8.96712999e+00 1.23483935e-01 
382 1173.65 8.79697975e+00 1.43680253e-01 
381 1175.27 8.78560575e+00 1.39263869e-01 
380 1176.90 8.67233175e+00 1.17036780e-01 
379 1178.52 8.64411851e+00 1.55088958e-01 
378 1180.14 8.43716065e+00 1.47908313e-01 
377 1181.75 8.41591543e+00 1.44672461e-01 
376 1183.37 8.21652069e+00 1.30272955e-01 
375 1184.99 8.25341137e+00 1.40574522e-01 
374 1186.60 8.13736903e+00 1.31365781e-01 
373 1188.21 8.11913107e+00 1.19040162e-01 
372 1189.82 8.03176438e+00 8.52745268e-02 
371 1191.43 8.21029059e+00 6.38340815e-02 
370 1193.04 8.09456704e+00 6.27854470e-02 
369 1194.64 8.06437100e+00 6.16900337e-02 
368 1196.24 7.87457425e+00 7.72719888e-02 
367 1197.85 7.92722707e+00 9.28851942e-02 
366 1199.45 7.79848903e+00 9.53733774e-02 
365 1201.05 7.88168872e+00 1.02404814e-01 
364 1202.64 7.82173217e+00 8.57188754e-02 
363 1204.24 7.86132868e+00 7.45573872e-02 
362 1205.83 7.78099756e+00 4.84007962e-02 
361 1207.43 7.78349222e+00 4.28647538e-02 
360 1209.02 7.73374299e+00 4.90044660e-02 
359 1210.61 7.86362492e+00 4.35898496e-02 
358 1212.19 7.84679041e+00 3.41800336e-02 
357 1213.78 7.98917901e+00 2.23892078e-02 
356 1215.37 7.91500621e+00 1.84249930e-02 
355 1216.95 7.97269217e+00 2.04067459e-02 
354 1218.53 7.93227708e+00 2.55143645e-02 
353 1220.11 8.00915334e+00 2.39027530e-02 
352 1221.69 7.97131103e+00 1.83810255e-02 
351 1223.27 8.01441277e+00 1.24946848e-02 
350 1224.84 8.00555425e+00 1.38000721e-02 
349 1226.42 8.06519049e+00 1.53273632e-02 
348 1227.99 8.04393301e+00 2.49716192e-02 
347 1229.56 8.16659514e+00 3.29478186e-02 
