% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from 4STAR_20170815starsun.mat and recorded on 2017-08-24 16:30:13.
% Using a high altitude AOD spectra, which has been polyfit to extrapolate to problematic wavelengths, calculating the c0 from the AOD at low airmass. 
Pix Wavelength C0 C0err
511 949.79 4.97078896e+00 1.14526920e-01 
510 949.79 5.12551212e+00 3.07650775e-01 
509 951.68 5.50314999e+00 3.57303619e-01 
508 953.57 5.56467962e+00 3.56837124e-01 
507 955.46 6.01799059e+00 4.00932342e-01 
506 957.34 6.12576723e+00 3.86426240e-01 
505 959.22 6.59522200e+00 4.38626647e-01 
504 961.10 6.67963886e+00 4.44625884e-01 
503 962.98 7.11642790e+00 4.71836299e-01 
502 964.85 7.12299681e+00 4.47124630e-01 
501 966.72 7.62655258e+00 4.99159575e-01 
500 968.59 7.66481113e+00 4.86059427e-01 
499 970.45 8.05717945e+00 5.25148332e-01 
498 972.32 8.00476074e+00 5.27225077e-01 
497 974.18 8.35938454e+00 5.53580642e-01 
496 976.04 8.27815914e+00 5.44568896e-01 
495 977.89 8.63048267e+00 5.55549622e-01 
494 979.74 8.53988838e+00 5.38311839e-01 
493 981.59 8.83005047e+00 5.86155057e-01 
492 983.44 8.72290897e+00 5.58530211e-01 
491 985.29 8.97306919e+00 5.95448315e-01 
490 987.13 8.77401352e+00 5.64158916e-01 
489 988.97 9.01638889e+00 5.83234906e-01 
488 990.81 8.82847977e+00 5.64494312e-01 
487 992.65 9.00548172e+00 5.81216574e-01 
486 994.48 8.81128216e+00 5.84348202e-01 
485 996.31 8.96811485e+00 5.75570464e-01 
484 998.14 8.71246910e+00 5.54892421e-01 
483 999.97 8.85834694e+00 5.76824129e-01 
482 1001.79 8.58307076e+00 5.62111020e-01 
481 1003.62 8.66163158e+00 5.73523045e-01 
480 1005.44 8.44606113e+00 5.59315801e-01 
479 1007.25 8.68764687e+00 5.76219559e-01 
478 1009.07 8.51432133e+00 5.35723984e-01 
477 1010.88 8.67368793e+00 5.75296521e-01 
476 1012.69 8.42375851e+00 5.51537097e-01 
475 1014.50 8.54566956e+00 5.60847402e-01 
474 1016.31 8.32968903e+00 5.45503676e-01 
473 1018.11 8.47821808e+00 5.62341154e-01 
472 1019.91 8.23612213e+00 5.30734777e-01 
471 1021.71 8.39622402e+00 5.35877466e-01 
470 1023.51 8.17580605e+00 5.41461468e-01 
469 1025.30 8.34601593e+00 5.32572031e-01 
468 1027.09 8.23283672e+00 5.45780241e-01 
467 1028.88 8.40894890e+00 5.40834010e-01 
466 1030.67 8.23762608e+00 5.46344459e-01 
465 1032.46 8.42417908e+00 5.58276713e-01 
464 1034.24 8.25962353e+00 5.40782809e-01 
463 1036.02 8.44546509e+00 5.59547126e-01 
462 1037.80 8.33244228e+00 5.47263563e-01 
