% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from (SEE Original files for sources) and recorded on 2017-08-24 16:31:52.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , MLO -av-g-, WFF--20-17, infl-ig-ht, high- a-lt, high- a-lt, high- a-lt, high- a-lt. See the list of files below
% 20170605_VIS_C0_refined_Langley_MLO_May2017_averages.dat
% 20170801_VIS_C0_refined_langley_4STAR_WFF_ground.dat
% 20170807_VIS_C0_refined_langley_4STARpm.dat
% 20170809_VIS_C0_refined_high_alt_low_m_frompolyfit.dat
% 20170809_VIS_C0_refined_high_alt_low_m_frompolyfit.dat
% 20170809_VIS_C0_refined_high_alt_low_m_frompolyfit.dat
% 20170815_VIS_C0_refined_high_alt_low_m_frompolyfit.dat
Pix Wavelength C0 C0err
0 173.18 -4.28571429e-01 5.34522484e-01 
1 173.98 -1.00000000e+00 0.00000000e+00 
2 174.77 -1.00000000e+00 0.00000000e+00 
3 175.56 -1.00000000e+00 0.00000000e+00 
4 176.36 -1.00000000e+00 0.00000000e+00 
5 177.15 -1.00000000e+00 0.00000000e+00 
6 177.94 -1.00000000e+00 0.00000000e+00 
7 178.74 -1.00000000e+00 0.00000000e+00 
8 179.53 -1.00000000e+00 0.00000000e+00 
9 180.33 -1.00000000e+00 0.00000000e+00 
10 181.12 -1.00000000e+00 0.00000000e+00 
11 181.92 -1.00000000e+00 0.00000000e+00 
12 182.71 -1.00000000e+00 0.00000000e+00 
13 183.51 -1.00000000e+00 0.00000000e+00 
14 184.30 -1.00000000e+00 0.00000000e+00 
15 185.10 -1.00000000e+00 0.00000000e+00 
16 185.89 -1.00000000e+00 0.00000000e+00 
17 186.69 -1.00000000e+00 0.00000000e+00 
18 187.49 -1.00000000e+00 0.00000000e+00 
19 188.28 -1.00000000e+00 0.00000000e+00 
20 189.08 -1.00000000e+00 0.00000000e+00 
21 189.88 -1.00000000e+00 0.00000000e+00 
22 190.67 -1.00000000e+00 0.00000000e+00 
23 191.47 -1.00000000e+00 0.00000000e+00 
24 192.27 -1.00000000e+00 0.00000000e+00 
25 193.07 -1.00000000e+00 0.00000000e+00 
26 193.86 -1.00000000e+00 0.00000000e+00 
27 194.66 -1.00000000e+00 0.00000000e+00 
28 195.46 -1.00000000e+00 0.00000000e+00 
29 196.26 -1.00000000e+00 0.00000000e+00 
30 197.05 -1.00000000e+00 0.00000000e+00 
31 197.85 -1.00000000e+00 0.00000000e+00 
32 198.65 -1.00000000e+00 0.00000000e+00 
33 199.45 -1.00000000e+00 0.00000000e+00 
34 200.25 -1.00000000e+00 0.00000000e+00 
35 201.05 -1.00000000e+00 0.00000000e+00 
36 201.85 -1.00000000e+00 0.00000000e+00 
37 202.65 -1.00000000e+00 0.00000000e+00 
38 203.44 -1.00000000e+00 0.00000000e+00 
39 204.24 -1.00000000e+00 0.00000000e+00 
40 205.04 -1.00000000e+00 0.00000000e+00 
41 205.84 -1.00000000e+00 0.00000000e+00 
42 206.64 4.32593083e+37 1.14453372e+38 
43 207.44 -2.90008271e-02 2.56902233e+00 
44 208.24 -5.76708009e-01 1.03018116e+00 
45 209.04 -6.44858926e-01 8.47824627e-01 
46 209.84 -5.80715941e-01 9.76593748e-01 
47 210.64 -5.01948948e-01 9.57662776e-01 
48 211.44 -5.07227423e-01 9.73260565e-01 
49 212.24 -5.42809725e-01 9.48440590e-01 
50 213.04 1.41697602e-01 2.31449789e+00 
51 213.85 8.46679174e-01 4.47037529e+00 
52 214.65 1.49776264e+00 6.17298768e+00 
53 215.45 1.52630826e+35 1.90364085e+35 
54 216.25 1.62360533e+34 2.02499163e+34 
55 217.05 1.73838495e+33 2.16814696e+33 
56 217.85 1.87273541e+32 2.33571142e+32 
57 218.65 2.00981458e+31 2.50667919e+31 
58 219.46 2.15490177e+30 2.68763470e+30 
59 220.26 2.32802376e+29 2.90355576e+29 
60 221.06 2.49773330e+28 3.11522075e+28 
61 221.86 2.73863845e+27 3.41568227e+27 
62 222.66 2.96836878e+26 3.70220633e+26 
63 223.47 3.23265757e+25 4.03183236e+25 
64 224.27 3.50073045e+24 4.36617798e+24 
65 225.07 3.80484726e+23 4.74547828e+23 
66 225.87 4.19087147e+22 5.22693507e+22 
67 226.68 4.67497526e+21 5.83071857e+21 
68 227.48 5.45636147e+20 6.80527840e+20 
69 228.28 7.44166736e+19 9.28138988e+19 
70 229.08 1.44957489e+19 1.80793754e+19 
71 229.89 5.51467959e+18 6.87801387e+18 
72 230.69 5.27037549e+18 6.57331312e+18 
73 231.49 1.36460068e+19 1.70195607e+19 
74 232.30 7.75093800e+19 9.66711814e+19 
75 233.10 7.20571076e+20 8.98710029e+20 
76 233.90 8.22622941e+21 1.02599107e+22 
77 234.71 1.03157057e+23 1.28659455e+23 
78 235.51 1.33548975e+24 1.66564837e+24 
79 236.32 1.78897005e+25 2.23123767e+25 
80 237.12 2.42122497e+26 3.01979810e+26 
81 237.92 3.32290329e+27 4.14438855e+27 
82 238.73 4.63969594e+28 5.78671753e+28 
83 239.53 6.51273381e+29 8.12280619e+29 
84 240.34 8.75613296e+30 1.09208165e+31 
85 241.14 1.10204130e+32 1.37448700e+32 
86 241.94 1.28002315e+33 1.59646936e+33 
87 242.75 1.35870236e+34 1.69459958e+34 
88 243.55 1.31898270e+35 1.64506045e+35 
89 244.36 6.14861558e-01 3.87653698e+00 
90 245.16 3.28512375e-01 3.08267683e+00 
91 245.97 -1.26566105e-01 1.92054044e+00 
92 246.77 -5.55543606e-01 9.22121936e-01 
93 247.58 -5.87670222e-01 8.60399476e-01 
94 248.38 -5.35373984e-01 8.80087323e-01 
95 249.19 -5.48458370e-01 9.36694965e-01 
96 249.99 -5.66965856e-01 8.81662439e-01 
97 250.80 -6.00038985e-01 8.00955977e-01 
98 251.60 1.28550449e+11 3.40112520e+11 
99 252.41 -6.05606124e-01 9.45747311e-01 
100 253.21 -6.17254070e-01 8.82120757e-01 
101 254.02 -5.42346244e-01 1.05434616e+00 
102 254.82 -5.82880637e-01 1.00476484e+00 
103 255.63 -6.48980257e-01 8.00642441e-01 
104 256.44 -6.53794422e-01 7.90105358e-01 
105 257.24 -5.99082203e-01 9.06670920e-01 
106 258.05 8.74344039e+05 2.31329857e+06 
107 258.85 -3.58594078e-01 1.10934270e+00 
108 259.66 -6.04634718e-01 8.40678454e-01 
109 260.46 -5.64329843e-01 8.87206089e-01 
110 261.27 -5.47465935e-01 9.18786620e-01 
111 262.08 -5.77707941e-01 8.51126147e-01 
112 262.88 -4.26170026e-01 1.19889276e+00 
113 263.69 9.86860759e-02 2.50365517e+00 
114 264.49 2.68378402e-01 2.93829317e+00 
115 265.30 4.30925731e-01 3.37232083e+00 
116 266.11 3.73521087e+34 4.65862645e+34 
117 266.91 3.01201422e+33 3.75664176e+33 
118 267.72 2.10222064e+32 2.62192980e+32 
119 268.53 1.24832033e+31 1.55692899e+31 
120 269.33 8.11818060e+29 1.01251501e+30 
121 270.14 6.23193137e+28 7.77258402e+28 
122 270.95 4.39889096e+27 5.48638095e+27 
123 271.75 2.82199514e+26 3.51964632e+26 
124 272.56 1.66724545e+25 2.07942042e+25 
125 273.37 8.43859916e+23 1.05247823e+24 
126 274.17 4.30008583e+22 5.36314930e+22 
127 274.98 2.59850421e+21 3.24090415e+21 
128 275.79 1.78441403e+20 2.22555531e+20 
129 276.59 1.33138471e+19 1.66052848e+19 
130 277.40 1.04805067e+18 1.30714885e+18 
131 278.21 8.00437200e+16 9.98320587e+16 
132 279.01 2.64709196e+33 7.00354702e+33 
133 279.82 1.54916909e+31 4.09871614e+31 
134 280.63 8.71979736e+28 2.30704153e+29 
135 281.43 5.59543423e+26 1.48041274e+27 
136 282.24 5.52218964e+24 1.46103405e+25 
137 283.05 8.21065814e+22 2.17233595e+23 
138 283.86 1.46496306e+21 3.87592793e+21 
139 284.66 2.69147780e+19 7.12098092e+19 
140 285.47 6.67641289e+17 1.76641281e+18 
141 286.28 2.45187166e+16 6.48704265e+16 
142 287.09 1.04601077e+15 2.76748432e+15 
143 287.89 4.57084783e+13 1.20933257e+14 
144 288.70 2.49357397e+12 6.59737422e+12 
145 289.51 1.90382946e+11 5.03705223e+11 
146 290.32 1.79115135e+10 4.73891777e+10 
147 291.12 1.91238486e+09 5.05961330e+09 
148 291.93 2.27727524e+08 6.02480653e+08 
149 292.74 3.31392133e+07 8.76661244e+07 
150 293.55 5.75146333e+06 1.52116506e+07 
151 294.35 1.18421452e+06 3.13063541e+06 
152 295.16 2.73706480e+05 7.22899880e+05 
153 295.97 7.08971448e+04 1.86901084e+05 
154 296.78 2.05550336e+04 5.40012044e+04 
155 297.58 6.58176100e+03 1.71902771e+04 
156 298.39 2.41409496e+03 6.24767318e+03 
157 299.20 1.00389333e+03 2.56395952e+03 
158 300.01 4.53853316e+02 1.13728323e+03 
159 300.81 2.27809017e+02 5.57030298e+02 
160 301.62 1.20311868e+02 2.84156325e+02 
161 302.43 7.02543954e+01 1.59825580e+02 
162 303.24 4.38280878e+01 9.52066049e+01 
163 304.04 2.88387069e+01 5.91483948e+01 
164 304.85 1.98553715e+01 3.82704464e+01 
165 305.66 1.43307958e+01 2.58585362e+01 
166 306.47 1.08185314e+01 1.81835464e+01 
167 307.28 8.48751020e+00 1.32776991e+01 
168 308.08 6.90250202e+00 1.00618462e+01 
169 308.89 5.79719635e+00 7.96257022e+00 
170 309.70 4.82786932e+00 6.09637108e+00 
171 310.51 4.19554147e+00 4.91964819e+00 
172 311.32 3.69671794e+00 4.03171059e+00 
173 312.12 3.26440052e+00 3.30808901e+00 
174 312.93 2.92918539e+00 2.74135515e+00 
175 313.74 2.77103384e+00 2.37808427e+00 
176 314.55 2.53456880e+00 2.10403411e+00 
177 315.36 2.37794655e+00 1.87377622e+00 
178 316.16 2.26544975e+00 1.68816769e+00 
179 316.97 2.18569213e+00 1.57617422e+00 
180 317.78 2.09291014e+00 1.43372020e+00 
181 318.59 2.04183282e+00 1.33115850e+00 
