% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from (SEE Original files for sources) and recorded on 2017-08-24 16:33:25.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , MLO -av-g-, WFF--20-17, infl-ig-ht, high- a-lt, high- a-lt. See the list of files below
% 20170605_VIS_C0_refined_Langley_MLO_May2017_averages.dat
% 20170801_VIS_C0_refined_langley_4STAR_WFF_ground.dat
% 20170807_VIS_C0_refined_langley_4STARpm.dat
% 20170809_VIS_C0_refined_high_alt_low_m_frompolyfit.dat
% 20170815_VIS_C0_refined_high_alt_low_m_frompolyfit.dat
Pix Wavelength C0 C0err
0 173.18 -6.00000000e-01 5.47722558e-01 
1 173.98 -1.00000000e+00 0.00000000e+00 
2 174.77 -1.00000000e+00 0.00000000e+00 
3 175.56 -1.00000000e+00 0.00000000e+00 
4 176.36 -1.00000000e+00 0.00000000e+00 
5 177.15 -1.00000000e+00 0.00000000e+00 
6 177.94 -1.00000000e+00 0.00000000e+00 
7 178.74 -1.00000000e+00 0.00000000e+00 
8 179.53 -1.00000000e+00 0.00000000e+00 
9 180.33 -1.00000000e+00 0.00000000e+00 
10 181.12 -1.00000000e+00 0.00000000e+00 
11 181.92 -1.00000000e+00 0.00000000e+00 
12 182.71 -1.00000000e+00 0.00000000e+00 
13 183.51 -1.00000000e+00 0.00000000e+00 
14 184.30 -1.00000000e+00 0.00000000e+00 
15 185.10 -1.00000000e+00 0.00000000e+00 
16 185.89 -1.00000000e+00 0.00000000e+00 
17 186.69 -1.00000000e+00 0.00000000e+00 
18 187.49 -1.00000000e+00 0.00000000e+00 
19 188.28 -1.00000000e+00 0.00000000e+00 
20 189.08 -1.00000000e+00 0.00000000e+00 
21 189.88 -1.00000000e+00 0.00000000e+00 
22 190.67 -1.00000000e+00 0.00000000e+00 
23 191.47 -1.00000000e+00 0.00000000e+00 
24 192.27 -1.00000000e+00 0.00000000e+00 
25 193.07 -1.00000000e+00 0.00000000e+00 
26 193.86 -1.00000000e+00 0.00000000e+00 
27 194.66 -1.00000000e+00 0.00000000e+00 
28 195.46 -1.00000000e+00 0.00000000e+00 
29 196.26 -1.00000000e+00 0.00000000e+00 
30 197.05 -1.00000000e+00 0.00000000e+00 
31 197.85 -1.00000000e+00 0.00000000e+00 
32 198.65 -1.00000000e+00 0.00000000e+00 
33 199.45 -1.00000000e+00 0.00000000e+00 
34 200.25 -1.00000000e+00 0.00000000e+00 
35 201.05 -1.00000000e+00 0.00000000e+00 
36 201.85 -1.00000000e+00 0.00000000e+00 
37 202.65 -1.00000000e+00 0.00000000e+00 
38 203.44 -1.00000000e+00 0.00000000e+00 
39 204.24 -1.00000000e+00 0.00000000e+00 
40 205.04 -1.00000000e+00 0.00000000e+00 
41 205.84 -1.00000000e+00 0.00000000e+00 
42 206.64 6.05630316e+37 1.35423056e+38 
43 207.44 3.59398842e-01 3.03970822e+00 
44 208.24 -4.07391213e-01 1.21098578e+00 
45 209.04 -5.02802496e-01 9.94948375e-01 
46 209.84 -4.13002318e-01 1.14347874e+00 
47 210.64 -3.02728528e-01 1.09637521e+00 
48 211.44 -3.10118392e-01 1.11842605e+00 
49 212.24 -3.59933615e-01 1.09681050e+00 
50 213.04 5.98376643e-01 2.66887979e+00 
51 213.85 1.58535084e+00 5.25254472e+00 
52 214.65 2.49686769e+00 7.26577543e+00 
53 215.45 7.12277186e+34 1.59270021e+35 
54 216.25 7.57682488e+33 1.69422955e+34 
55 217.05 8.11246310e+32 1.81400190e+33 
56 217.85 8.73943190e+31 1.95419638e+32 
57 218.65 9.37913472e+30 2.09723828e+31 
58 219.46 1.00562082e+30 2.24863652e+30 
59 220.26 1.08641109e+29 2.42928904e+29 
60 221.06 1.16560887e+28 2.60638068e+28 
61 221.86 1.27803128e+27 2.85776481e+27 
62 222.66 1.38523877e+26 3.09748805e+26 
63 223.47 1.50857353e+25 3.37327297e+25 
64 224.27 1.63367421e+24 3.65300658e+24 
65 225.07 1.77559539e+23 3.97035198e+23 
66 225.87 1.95574002e+22 4.37316763e+22 
67 226.68 2.18165512e+21 4.87832915e+21 
68 227.48 2.54630202e+20 5.69370441e+20 
69 228.28 3.47277810e+19 7.76536790e+19 
70 229.08 6.76468284e+18 1.51262907e+19 
71 229.89 2.57351714e+18 5.75455927e+18 
72 230.69 2.45950856e+18 5.49962833e+18 
73 231.49 6.36813650e+18 1.42395861e+19 
74 232.30 3.61710440e+19 8.08809132e+19 
75 233.10 3.36266502e+20 7.51914757e+20 
76 233.90 3.83890706e+21 8.58405715e+21 
77 234.71 4.81399600e+22 1.07644223e+23 
78 235.51 6.23228552e+23 1.39358141e+24 
79 236.32 8.34852690e+24 1.86678737e+25 
80 237.12 1.12990499e+26 2.52654436e+26 
81 237.92 1.55068820e+27 3.46744424e+27 
82 238.73 2.16519144e+28 4.84151524e+28 
83 239.53 3.03927578e+29 6.79602725e+29 
84 240.34 4.08619538e+30 9.13701064e+30 
85 241.14 5.14285942e+31 1.14997833e+32 
86 241.94 5.97344136e+32 1.33570209e+33 
87 242.75 6.34061102e+33 1.41780373e+34 
88 243.55 6.15525258e+34 1.37635632e+35 
89 244.36 1.26080618e+00 4.55146833e+00 
90 245.16 8.59917325e-01 3.60816894e+00 
91 245.97 2.22807453e-01 2.23577563e+00 
92 246.77 -3.77761048e-01 1.06638842e+00 
93 247.58 -4.22738311e-01 9.95700655e-01 
