% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 4STAR_20170818starsun.mat and recorded on 2018-04-13 16:19:33.
% Using a high altitude AOD spectra, which has been polyfit to extrapolate to problematic wavelengths, calculating the c0 from the AOD at low airmass. 
Pix Wavelength C0 C0err
0 173.18 0.00000000e+00 0.00000000e+00 
1 173.98 -1.00000000e+00 0.00000000e+00 
2 174.77 -1.00000000e+00 0.00000000e+00 
3 175.56 -1.00000000e+00 0.00000000e+00 
4 176.36 -1.00000000e+00 0.00000000e+00 
5 177.15 -1.00000000e+00 0.00000000e+00 
6 177.94 -1.00000000e+00 0.00000000e+00 
7 178.74 -1.00000000e+00 0.00000000e+00 
8 179.53 -1.00000000e+00 0.00000000e+00 
9 180.33 -1.00000000e+00 0.00000000e+00 
10 181.12 -1.00000000e+00 0.00000000e+00 
11 181.92 -1.00000000e+00 0.00000000e+00 
12 182.71 -1.00000000e+00 0.00000000e+00 
13 183.51 -1.00000000e+00 0.00000000e+00 
14 184.30 -1.00000000e+00 0.00000000e+00 
15 185.10 -1.00000000e+00 0.00000000e+00 
16 185.89 -1.00000000e+00 0.00000000e+00 
17 186.69 -1.00000000e+00 0.00000000e+00 
18 187.49 -1.00000000e+00 0.00000000e+00 
19 188.28 -1.00000000e+00 0.00000000e+00 
20 189.08 -1.00000000e+00 0.00000000e+00 
21 189.88 -1.00000000e+00 0.00000000e+00 
22 190.67 -1.00000000e+00 0.00000000e+00 
23 191.47 -1.00000000e+00 0.00000000e+00 
24 192.27 -1.00000000e+00 0.00000000e+00 
25 193.07 -1.00000000e+00 0.00000000e+00 
26 193.86 -1.00000000e+00 0.00000000e+00 
27 194.66 -1.00000000e+00 0.00000000e+00 
28 195.46 -1.00000000e+00 0.00000000e+00 
29 196.26 -1.00000000e+00 0.00000000e+00 
30 197.05 -1.00000000e+00 0.00000000e+00 
31 197.85 -1.00000000e+00 0.00000000e+00 
32 198.65 -1.00000000e+00 0.00000000e+00 
33 199.45 -1.00000000e+00 0.00000000e+00 
34 200.25 -1.00000000e+00 0.00000000e+00 
35 201.05 -1.00000000e+00 0.00000000e+00 
36 201.85 -1.00000000e+00 0.00000000e+00 
37 202.65 -1.00000000e+00 0.00000000e+00 
38 203.44 -1.00000000e+00 0.00000000e+00 
39 204.24 -1.00000000e+00 0.00000000e+00 
40 205.04 -1.00000000e+00 0.00000000e+00 
41 205.84 -1.00000000e+00 0.00000000e+00 
42 206.64 -1.00000000e+00 0.00000000e+00 
43 207.44 -1.00000000e+00 0.00000000e+00 
44 208.24 -1.00000000e+00 0.00000000e+00 
45 209.04 -1.00000000e+00 0.00000000e+00 
46 209.84 -1.00000000e+00 -1.00000000e+00 
47 210.64 -1.00000000e+00 -1.00000000e+00 
48 211.44 -1.00000000e+00 -1.00000000e+00 
49 212.24 2.10541632e+35 -1.00000000e+00 
50 213.04 2.85820820e+34 -1.00000000e+00 
51 213.85 3.90287027e+33 -1.00000000e+00 
52 214.65 5.29943949e+32 -1.00000000e+00 
53 215.45 7.19560869e+31 -1.00000000e+00 
54 216.25 9.78388562e+30 -1.00000000e+00 
55 217.05 1.33164615e+30 -1.00000000e+00 
56 217.85 1.83290514e+29 -1.00000000e+00 
57 218.65 2.49488760e+28 -1.00000000e+00 
58 219.46 3.43434014e+27 -1.00000000e+00 
59 220.26 4.67099341e+26 -1.00000000e+00 
60 221.06 6.43963200e+25 -1.00000000e+00 
61 221.86 8.81351824e+24 -1.00000000e+00 
62 222.66 1.21432582e+24 -1.00000000e+00 
63 223.47 1.68078211e+23 -1.00000000e+00 
64 224.27 2.32438636e+22 -1.00000000e+00 
65 225.07 3.19069985e+21 -1.00000000e+00 
66 225.87 4.46011948e+20 -1.00000000e+00 
67 226.68 6.22285758e+19 -1.00000000e+00 
68 227.48 9.11528949e+18 -1.00000000e+00 
69 228.28 1.52227440e+18 1.34449484e+17 
70 229.08 3.53402485e+17 3.03980970e+16 
71 229.89 1.46829917e+17 1.24001547e+16 
72 230.69 1.43267095e+17 1.20591128e+16 
73 231.49 3.33495861e+17 2.87624081e+16 
74 232.30 1.59963892e+18 1.42210293e+17 
75 233.10 1.17080077e+19 -1.00000000e+00 
76 233.90 1.04963180e+20 -1.00000000e+00 
77 234.71 1.00315106e+21 -1.00000000e+00 
78 235.51 1.00506495e+22 -1.00000000e+00 
79 236.32 1.00650327e+23 -1.00000000e+00 
80 237.12 1.04419935e+24 -1.00000000e+00 
81 237.92 1.09015012e+25 -1.00000000e+00 
82 238.73 1.15310597e+26 -1.00000000e+00 
83 239.53 1.21732993e+27 -1.00000000e+00 
84 240.34 1.24393438e+28 -1.00000000e+00 
85 241.14 1.19292427e+29 -1.00000000e+00 
86 241.94 1.06328872e+30 -1.00000000e+00 
87 242.75 8.69345206e+30 -1.00000000e+00 
88 243.55 6.70958569e+31 -1.00000000e+00 
89 244.36 4.64791822e+32 -1.00000000e+00 
90 245.16 3.01744264e+33 -1.00000000e+00 
91 245.97 1.72278928e+34 -1.00000000e+00 
92 246.77 8.63097638e+34 -1.00000000e+00 
93 247.58 3.85068598e+35 -1.00000000e+00 
94 248.38 -1.00000000e+00 -1.00000000e+00 
95 249.19 -1.00000000e+00 -1.00000000e+00 
96 249.99 -1.00000000e+00 -1.00000000e+00 
97 250.80 -1.00000000e+00 -1.00000000e+00 
98 251.60 -1.00000000e+00 -1.00000000e+00 
99 252.41 -1.00000000e+00 -1.00000000e+00 
100 253.21 -1.00000000e+00 -1.00000000e+00 
101 254.02 -1.00000000e+00 -1.00000000e+00 
102 254.82 -1.00000000e+00 -1.00000000e+00 
103 255.63 -1.00000000e+00 -1.00000000e+00 
104 256.44 -1.00000000e+00 -1.00000000e+00 
105 257.24 -1.00000000e+00 -1.00000000e+00 
106 258.05 -1.00000000e+00 -1.00000000e+00 
107 258.85 -1.00000000e+00 -1.00000000e+00 
108 259.66 -1.00000000e+00 -1.00000000e+00 
109 260.46 -1.00000000e+00 -1.00000000e+00 
110 261.27 -1.00000000e+00 -1.00000000e+00 
111 262.08 2.16836587e+35 -1.00000000e+00 
112 262.88 3.93109196e+34 -1.00000000e+00 
113 263.69 6.69570324e+33 -1.00000000e+00 
114 264.49 1.17417947e+33 -1.00000000e+00 
115 265.30 1.76306976e+32 -1.00000000e+00 
116 266.11 2.16849256e+31 -1.00000000e+00 
117 266.91 2.28706551e+30 -1.00000000e+00 
118 267.72 2.12068993e+29 -1.00000000e+00 
119 268.53 1.72116988e+28 -1.00000000e+00 
120 269.33 1.48858997e+27 -1.00000000e+00 
121 270.14 1.48912808e+26 -1.00000000e+00 
122 270.95 1.42031559e+25 -1.00000000e+00 
123 271.75 1.20770920e+24 -1.00000000e+00 
124 272.56 9.59226188e+22 -1.00000000e+00 
125 273.37 6.72164046e+21 -1.00000000e+00 
126 274.17 4.64453767e+20 -1.00000000e+00 
127 274.98 3.78768518e+19 -1.00000000e+00 
128 275.79 3.39413934e+18 3.03952087e+17 
129 276.59 3.35384650e+17 2.88742985e+16 
130 277.40 3.42622383e+16 2.77772420e+15 
131 278.21 3.45450582e+15 2.68119826e+14 
132 279.01 3.63381547e+14 3.26985025e+13 
133 279.82 4.08275732e+13 2.80418714e+12 
134 280.63 4.52877458e+12 2.83437662e+11 
135 281.43 5.34418194e+11 3.13690317e+10 
136 282.24 7.60171069e+10 4.11467853e+09 
137 283.05 1.26054922e+10 6.64091648e+08 
138 283.86 2.26970035e+09 1.07657216e+08 
139 284.66 4.19011424e+08 1.80338120e+07 
140 285.47 8.58869520e+07 3.54660775e+06 
141 286.28 2.10322260e+07 8.01221750e+05 
142 287.09 5.51941650e+06 1.94961438e+05 
143 287.89 1.45716188e+06 4.98349063e+04 
144 288.70 4.19571656e+05 1.40090107e+04 
145 289.51 1.40808219e+05 4.52247559e+03 
146 290.32 5.18213242e+04 1.58285437e+03 
147 291.12 2.00226738e+04 5.78610840e+02 
148 291.93 8.06458447e+03 2.16923965e+02 
149 292.74 3.56310181e+03 9.73367920e+01 
150 293.55 1.68429285e+03 4.25685043e+01 
151 294.35 8.53930786e+02 2.17324066e+01 
152 295.16 4.56771423e+02 1.15716810e+01 
153 295.97 2.58284271e+02 6.53034115e+00 
154 296.78 1.51690903e+02 3.86750793e+00 
155 297.58 9.35372925e+01 2.21248889e+00 
156 298.39 6.03925591e+01 1.46581125e+00 
157 299.20 4.15434647e+01 1.00333071e+00 
158 300.01 2.93963261e+01 6.79783881e-01 
159 300.81 2.18703251e+01 5.33109725e-01 
160 301.62 1.63882904e+01 3.75393063e-01 
161 302.43 1.30456381e+01 2.93412000e-01 
162 303.24 1.02993870e+01 2.47148409e-01 
163 304.04 8.50432205e+00 2.09268406e-01 
164 304.85 7.09834337e+00 1.73152342e-01 
165 305.66 6.02702379e+00 1.49878040e-01 
166 306.47 5.24246979e+00 1.21997766e-01 
167 307.28 4.62176180e+00 1.12389959e-01 
168 308.08 4.13020658e+00 9.83089879e-02 
169 308.89 3.77138281e+00 8.73662010e-02 
170 309.70 3.39912558e+00 8.26846212e-02 
171 310.51 3.15027905e+00 7.51837492e-02 
172 311.32 2.92165351e+00 6.69341907e-02 
173 312.12 2.71913266e+00 6.14330173e-02 
174 312.93 2.52785850e+00 5.75113334e-02 
175 313.74 2.42290664e+00 5.07751368e-02 
176 314.55 2.31170750e+00 4.60650846e-02 
177 315.36 2.23678207e+00 4.58742604e-02 
178 316.16 2.14657879e+00 4.16514501e-02 
179 316.97 2.11738062e+00 4.09117080e-02 
180 317.78 2.05261993e+00 3.83185968e-02 
181 318.59 2.01913619e+00 3.89335603e-02 
182 319.40 1.98483491e+00 3.87599319e-02 
183 320.20 1.96924663e+00 3.71964127e-02 
184 321.01 1.92879760e+00 3.89716625e-02 
185 321.82 1.95880818e+00 4.07162011e-02 
186 322.63 1.92495763e+00 3.86211798e-02 
187 323.43 1.93071711e+00 3.83630097e-02 
188 324.24 1.91345549e+00 3.53925787e-02 
189 325.05 1.94952190e+00 3.56923528e-02 
190 325.86 1.94250739e+00 3.43675055e-02 
191 326.67 1.95650387e+00 3.69177163e-02 
192 327.48 1.98037660e+00 3.91286425e-02 
193 328.28 2.03434110e+00 3.84308808e-02 
194 329.09 2.04546547e+00 3.42227407e-02 
195 329.90 2.10136724e+00 3.36602256e-02 
196 330.71 2.15233922e+00 3.46333496e-02 
197 331.52 2.25618124e+00 3.60896550e-02 
198 332.32 2.42048407e+00 3.99022289e-02 
199 333.13 2.72551394e+00 3.91769670e-02 
200 333.94 3.29094410e+00 4.21471521e-02 
201 334.75 4.19172144e+00 4.20554988e-02 
202 335.55 5.36212301e+00 4.99488562e-02 
203 336.36 7.05981636e+00 5.48935980e-02 
204 337.17 9.68285465e+00 6.03244714e-02 
205 337.98 1.32618685e+01 7.35609308e-02 
206 338.79 1.75078182e+01 8.46519172e-02 
207 339.60 2.22354336e+01 9.10549313e-02 
208 340.40 2.65112038e+01 1.00381136e-01 
209 341.21 3.01328316e+01 9.91788954e-02 
210 342.02 3.44246521e+01 1.11495912e-01 
211 342.83 3.80833740e+01 1.11547075e-01 
212 343.63 3.90091095e+01 1.13376416e-01 
213 344.44 4.07055855e+01 1.17979728e-01 
214 345.25 4.52810516e+01 1.17166877e-01 
215 346.06 4.94208794e+01 1.18002176e-01 
216 346.87 5.21487274e+01 1.29686013e-01 
217 347.67 5.41287117e+01 1.31631240e-01 
218 348.48 5.60790977e+01 1.30441800e-01 
219 349.29 5.96129951e+01 1.30362421e-01 
220 350.10 6.54863434e+01 1.48372889e-01 
221 350.90 6.91489639e+01 1.51820585e-01 
222 351.71 6.92489853e+01 1.51374131e-01 
223 352.52 7.09326172e+01 1.51461765e-01 
224 353.33 7.75217361e+01 1.54391304e-01 
225 354.14 8.51458282e+01 1.57670498e-01 
226 354.94 8.83214035e+01 1.59573212e-01 
227 355.75 8.65350418e+01 1.62445679e-01 
228 356.56 8.15402908e+01 1.57515556e-01 
229 357.37 7.68642731e+01 1.51819050e-01 
230 358.18 7.64369431e+01 1.48289755e-01 
231 358.98 8.64508896e+01 1.60616681e-01 
232 359.79 9.90051575e+01 1.70339063e-01 
233 360.60 1.00051033e+02 1.74527228e-01 
234 361.41 9.89322662e+01 1.66449666e-01 
235 362.21 1.04705742e+02 1.78399891e-01 
236 363.02 1.10700317e+02 1.78287208e-01 
237 363.83 1.14252953e+02 1.85910359e-01 
238 364.64 1.20088974e+02 1.92463666e-01 
239 365.44 1.31100891e+02 1.99197426e-01 
240 366.25 1.39920746e+02 2.11810261e-01 
241 367.06 1.40564941e+02 2.09657520e-01 
242 367.87 1.38269928e+02 2.04910576e-01 
243 368.67 1.40643082e+02 1.92152530e-01 
244 369.48 1.46731796e+02 2.15256318e-01 
245 370.29 1.47500717e+02 2.04050601e-01 
246 371.10 1.45802490e+02 2.13264510e-01 
247 371.90 1.41858994e+02 2.00452089e-01 
248 372.71 1.33674088e+02 1.94204241e-01 
