% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from 4STAR_20170903starsun.mat and recorded on 2018-04-13 15:49:27.
% Using a high altitude AOD spectra from Bonanza AERONET station, which has been polyfit to extrapolate, calculating the c0 from the comparison 4STARs AOD at low airmass to AERONET. 
Pix Wavelength C0 C0err
511 949.79 5.08214378e+00 1.45050604e-02 
510 949.79 5.24548578e+00 1.46102495e-02 
509 951.68 5.63233519e+00 1.49995852e-02 
508 953.57 5.69536924e+00 1.40167931e-02 
507 955.46 6.15934753e+00 1.52076120e-02 
506 957.34 6.27223921e+00 1.43707944e-02 
505 959.22 6.74181938e+00 1.46766789e-02 
504 961.10 6.83456945e+00 1.39927473e-02 
503 962.98 7.27107430e+00 1.42473271e-02 
502 964.85 7.27252102e+00 1.29145328e-02 
501 966.72 7.78104544e+00 1.30838184e-02 
500 968.59 7.82088423e+00 1.20733082e-02 
499 970.45 8.22420311e+00 1.11007253e-02 
498 972.32 8.15853691e+00 1.06284181e-02 
497 974.18 8.48443604e+00 1.21307205e-02 
496 976.04 8.40333939e+00 1.20773902e-02 
495 977.89 8.74391651e+00 1.22866919e-02 
494 979.74 8.65276051e+00 1.14900982e-02 
493 981.59 8.94419384e+00 1.18409609e-02 
492 983.44 8.83855152e+00 1.12263039e-02 
491 985.29 9.09356117e+00 1.22602619e-02 
490 987.13 8.88937855e+00 1.18236812e-02 
489 988.97 9.13367844e+00 1.17987981e-02 
488 990.81 8.93523026e+00 1.10020768e-02 
487 992.65 9.11505699e+00 1.18765160e-02 
486 994.48 8.92177105e+00 9.67294443e-03 
485 996.31 9.07320499e+00 1.09323179e-02 
484 998.14 8.80851173e+00 9.95888747e-03 
483 999.97 8.97188282e+00 1.14101563e-02 
482 1001.79 8.67357349e+00 1.02459053e-02 
481 1003.62 8.75770187e+00 1.16310921e-02 
480 1005.44 8.53664017e+00 1.07023073e-02 
479 1007.25 8.77988911e+00 1.20529011e-02 
478 1009.07 8.58733273e+00 1.02870399e-02 
477 1010.88 8.75572586e+00 1.15758060e-02 
476 1012.69 8.50170231e+00 1.16669768e-02 
475 1014.50 8.60967255e+00 1.27651626e-02 
474 1016.31 8.41169167e+00 1.13175754e-02 
473 1018.11 8.56624126e+00 1.21762585e-02 
472 1019.91 8.32105350e+00 7.76771503e-03 
471 1021.71 8.47895050e+00 1.20448256e-02 
470 1023.51 8.24994659e+00 1.07418057e-02 
469 1025.30 8.40841866e+00 9.89852473e-03 
468 1027.09 8.31807327e+00 1.18658142e-02 
467 1028.88 8.47724247e+00 1.30827073e-02 
466 1030.67 8.32107639e+00 1.18694464e-02 
465 1032.46 8.50920105e+00 1.29532954e-02 
464 1034.24 8.34784794e+00 1.18557140e-02 
463 1036.02 8.52939796e+00 1.22919297e-02 
462 1037.80 8.41653919e+00 1.17388777e-02 
461 1039.58 8.63083839e+00 1.24544417e-02 
460 1041.35 8.47605515e+00 1.09892143e-02 
459 1043.12 8.64748192e+00 1.21965911e-02 
458 1044.89 8.55856800e+00 1.08703291e-02 
457 1046.66 8.77624416e+00 1.17983799e-02 
456 1048.43 8.68966103e+00 1.07282298e-02 
455 1050.19 8.91173649e+00 1.16301207e-02 
454 1051.95 8.76066399e+00 1.05610583e-02 
453 1053.71 8.99435520e+00 1.14480779e-02 
452 1055.47 8.81342220e+00 1.10626686e-02 
451 1057.23 8.94950962e+00 1.22842332e-02 
450 1058.98 8.80476379e+00 1.13912821e-02 
449 1060.73 8.98561954e+00 1.27435895e-02 
448 1062.48 8.79863644e+00 1.07283499e-02 
447 1064.23 8.94060040e+00 1.13391867e-02 
446 1065.97 8.64822197e+00 1.08887283e-02 
445 1067.71 8.68241978e+00 1.16130011e-02 
444 1069.46 8.47743034e+00 1.06669199e-02 
443 1071.19 8.57827187e+00 1.17159430e-02 
442 1072.93 8.41754055e+00 1.09219458e-02 
441 1074.67 8.52001095e+00 1.16812605e-02 
440 1076.40 8.33149529e+00 1.00460015e-02 
439 1078.13 8.38727093e+00 1.19716199e-02 
438 1079.86 8.15869713e+00 1.12705110e-02 
437 1081.58 8.22983646e+00 1.15132602e-02 
436 1083.31 8.11585522e+00 1.12882815e-02 
435 1085.03 8.29087353e+00 1.15141729e-02 
434 1086.75 8.23219299e+00 1.06684538e-02 
433 1088.47 8.37391472e+00 1.19926715e-02 
432 1090.19 8.26500416e+00 1.12762991e-02 
431 1091.90 8.38250828e+00 1.23141063e-02 
430 1093.61 8.23438549e+00 1.12178940e-02 
429 1095.33 8.42350578e+00 1.24710808e-02 
428 1097.03 8.47796631e+00 9.29490104e-03 
427 1098.74 8.69784355e+00 1.31169921e-02 
426 1100.45 8.68867779e+00 1.18760988e-02 
425 1102.15 8.96974945e+00 1.21883396e-02 
424 1103.85 8.93010139e+00 1.09775448e-02 
423 1105.55 9.17447376e+00 1.26611106e-02 
422 1107.25 9.10006809e+00 1.32006891e-02 
421 1108.94 9.23007488e+00 1.50080435e-02 
