% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2018-04-13 16:25:31.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , MLO -av-g-, infl-ig-ht, infl-ig-ht, high- a-lt, high- a-lt, high- a-lt, high- a-lt. See the list of files below
% 20170605_NIR_C0_refined_Langley_MLO_May2017_averages.dat
% 20170807_NIR_C0_refined_langley_4STARpm.dat
% 20170807_NIR_C0_refined_langley_4STAR_subset_pm.dat
% 20170809_NIR_C0_refined_high_alt_low_m_frompolyfit.dat
% 20170815_NIR_C0_refined_high_alt_low_m_frompolyfit.dat
% 20170818_NIR_C0_refined_high_alt_low_m_frompolyfit.dat
% 20170903_NIR_C0_refined_high_alt_low_m_frompolyfitBonanza.dat
Pix Wavelength C0 C0err
511 949.79 5.02446880e+00 3.82684250e-01 
510 949.79 5.20645482e+00 3.12870290e-01 
509 951.68 5.57584934e+00 3.08371621e-01 
508 953.57 5.63158142e+00 2.99110220e-01 
507 955.46 6.07937242e+00 2.95784899e-01 
506 957.34 6.18390251e+00 2.81059204e-01 
505 959.22 6.64441448e+00 2.59242808e-01 
504 961.10 6.73422900e+00 2.30550519e-01 
503 962.98 7.16106551e+00 1.96388526e-01 
502 964.85 7.16297369e+00 1.62005626e-01 
501 966.72 7.66102566e+00 1.24300743e-01 
500 968.59 7.70340713e+00 1.00480340e-01 
499 970.45 8.10171772e+00 9.54558681e-02 
498 972.32 8.05293232e+00 1.01245591e-01 
497 974.18 8.39061944e+00 1.04456689e-01 
496 976.04 8.32078678e+00 9.74613444e-02 
495 977.89 8.65875085e+00 8.05338589e-02 
494 979.74 8.56919454e+00 5.96295510e-02 
493 981.59 8.85777138e+00 5.19980963e-02 
492 983.44 8.74051609e+00 5.53572853e-02 
491 985.29 8.99841565e+00 5.67900314e-02 
490 987.13 8.79744135e+00 5.78967051e-02 
489 988.97 9.04278639e+00 5.95617674e-02 
488 990.81 8.85479017e+00 5.76539327e-02 
487 992.65 9.03257449e+00 6.20985570e-02 
486 994.48 8.84072629e+00 5.78357720e-02 
485 996.31 8.98441701e+00 5.96259409e-02 
484 998.14 8.72728080e+00 5.73172259e-02 
483 999.97 8.88546358e+00 5.77017058e-02 
482 1001.79 8.59799662e+00 5.61208009e-02 
481 1003.62 8.68259364e+00 5.53539083e-02 
480 1005.44 8.46913647e+00 5.15196643e-02 
479 1007.25 8.71549427e+00 5.26609184e-02 
478 1009.07 8.53309679e+00 4.62442253e-02 
477 1010.88 8.69108316e+00 5.42083925e-02 
476 1012.69 8.43792543e+00 5.18813338e-02 
475 1014.50 8.55726331e+00 4.95418703e-02 
474 1016.31 8.34892818e+00 4.91986131e-02 
473 1018.11 8.49822687e+00 5.50240842e-02 
472 1019.91 8.25845861e+00 5.35308133e-02 
