% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\sleblan2\Research\ORACLES\data_2017\4STAR_20170904starsun.mat and recorded on 2017-09-20 16:36:55.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
511 949.79 4.09294271e+00 1.22788280e-01 
510 949.79 4.28319836e+00 1.28495947e-01 
509 951.68 4.65074396e+00 1.39522314e-01 
508 953.57 4.74414206e+00 1.42324269e-01 
507 955.46 5.20880556e+00 1.56264171e-01 
506 957.34 5.34268236e+00 1.60280466e-01 
505 959.22 5.81227303e+00 1.74368188e-01 
504 961.10 6.00727654e+00 1.80218294e-01 
503 962.98 6.48725462e+00 1.94617644e-01 
502 964.85 6.59150887e+00 1.97745264e-01 
501 966.72 7.17528391e+00 2.15258524e-01 
500 968.59 7.33062077e+00 2.19918624e-01 
499 970.45 7.72924566e+00 2.31877372e-01 
498 972.32 7.66911840e+00 2.30073556e-01 
497 974.18 7.95340824e+00 2.38602251e-01 
496 976.04 7.89955235e+00 2.36986578e-01 
495 977.89 8.28728962e+00 2.48618692e-01 
494 979.74 8.27486706e+00 2.48246014e-01 
493 981.59 8.62664127e+00 2.58799225e-01 
492 983.44 8.59706688e+00 2.57912010e-01 
491 985.29 8.87825012e+00 2.66347498e-01 
490 987.13 8.71518993e+00 2.61455685e-01 
489 988.97 8.96416855e+00 2.68925071e-01 
488 990.81 8.79244041e+00 2.63773203e-01 
487 992.65 8.97288895e+00 2.69186676e-01 
486 994.48 8.78951168e+00 2.63685346e-01 
485 996.31 8.93605328e+00 2.68081605e-01 
484 998.14 8.67689800e+00 2.60306954e-01 
483 999.97 8.83641434e+00 2.65092432e-01 
482 1001.79 8.53538036e+00 2.56061405e-01 
481 1003.62 8.61888027e+00 2.58566409e-01 
480 1005.44 8.39406204e+00 2.51821876e-01 
479 1007.25 8.62185097e+00 2.58655518e-01 
478 1009.07 8.44997406e+00 2.53499210e-01 
477 1010.88 8.61790466e+00 2.58537143e-01 
476 1012.69 8.38154793e+00 2.51446426e-01 
475 1014.50 8.48277950e+00 2.54483372e-01 
474 1016.31 8.27097321e+00 2.48129189e-01 
473 1018.11 8.43848038e+00 2.53154397e-01 
472 1019.91 8.18808651e+00 2.45642602e-01 
471 1021.71 8.34791183e+00 2.50437349e-01 
470 1023.51 8.13518906e+00 2.44055673e-01 
469 1025.30 8.27696991e+00 2.48309091e-01 
468 1027.09 8.21685123e+00 2.46505544e-01 
467 1028.88 8.35743523e+00 2.50723064e-01 
466 1030.67 8.21123695e+00 2.46337116e-01 
465 1032.46 8.39295959e+00 2.51788795e-01 
464 1034.24 8.22854519e+00 2.46856362e-01 
463 1036.02 8.42506409e+00 2.52751917e-01 
462 1037.80 8.31752968e+00 2.49525890e-01 
461 1039.58 8.50471306e+00 2.55141377e-01 
460 1041.35 8.37428093e+00 2.51228422e-01 
459 1043.12 8.52926731e+00 2.55878031e-01 
458 1044.89 8.46191311e+00 2.53857404e-01 
457 1046.66 8.65484428e+00 2.59645343e-01 
456 1048.43 8.59606647e+00 2.57881999e-01 
455 1050.19 8.81302452e+00 2.64390737e-01 
454 1051.95 8.66262913e+00 2.59878874e-01 
453 1053.71 8.91174030e+00 2.67352223e-01 
452 1055.47 8.71777916e+00 2.61533380e-01 
451 1057.23 8.84171200e+00 2.65251368e-01 
450 1058.98 8.71234322e+00 2.61370301e-01 
449 1060.73 8.88354397e+00 2.66506314e-01 
448 1062.48 8.69127464e+00 2.60738254e-01 
447 1064.23 8.83557129e+00 2.65067130e-01 
446 1065.97 8.54409027e+00 2.56322712e-01 
445 1067.71 8.56783676e+00 2.57035106e-01 
444 1069.46 8.35914898e+00 2.50774473e-01 
443 1071.19 8.45713520e+00 2.53714055e-01 
442 1072.93 8.29205704e+00 2.48761714e-01 
441 1074.67 8.38939095e+00 2.51681715e-01 
440 1076.40 8.18250275e+00 2.45475084e-01 
439 1078.13 8.22843361e+00 2.46853009e-01 
438 1079.86 7.99599171e+00 2.39879757e-01 
437 1081.58 8.04821777e+00 2.41446540e-01 
436 1083.31 7.91359234e+00 2.37407774e-01 
435 1085.03 8.07449722e+00 2.42234915e-01 
434 1086.75 7.99972343e+00 2.39991710e-01 
433 1088.47 8.14103317e+00 2.44231001e-01 
432 1090.19 8.04483318e+00 2.41344988e-01 
431 1091.90 8.10479736e+00 2.43143916e-01 
430 1093.61 7.95430899e+00 2.38629267e-01 
429 1095.33 8.08600521e+00 2.42580160e-01 
428 1097.03 8.09096527e+00 2.42728963e-01 
427 1098.74 8.21472263e+00 2.46441677e-01 
426 1100.45 8.14373398e+00 2.44312018e-01 
