% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\sleblan2\Research\ORACLES\data_2017\4STAR_20170904starsun.mat and recorded on 2017-09-20 16:41:27.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
511 949.79 4.14265108e+00 1.24279529e-01 
510 949.79 4.33237123e+00 1.29971132e-01 
509 951.68 4.70124674e+00 1.41037405e-01 
508 953.57 4.79338121e+00 1.43801436e-01 
507 955.46 5.25885868e+00 1.57765761e-01 
506 957.34 5.39125061e+00 1.61737517e-01 
505 959.22 5.86001778e+00 1.75800532e-01 
504 961.10 6.05225325e+00 1.81567594e-01 
503 962.98 6.53088188e+00 1.95926458e-01 
502 964.85 6.62732792e+00 1.98819831e-01 
501 966.72 7.20721960e+00 2.16216594e-01 
500 968.59 7.35803223e+00 2.20740974e-01 
499 970.45 7.75280476e+00 2.32584149e-01 
498 972.32 7.69552279e+00 2.30865687e-01 
497 974.18 7.98214817e+00 2.39464447e-01 
496 976.04 7.92629671e+00 2.37788901e-01 
495 977.89 8.31131744e+00 2.49339521e-01 
494 979.74 8.29389381e+00 2.48816818e-01 
493 981.59 8.64161968e+00 2.59248585e-01 
492 983.44 8.60849762e+00 2.58254915e-01 
491 985.29 8.88626099e+00 2.66587824e-01 
490 987.13 8.72282505e+00 2.61684746e-01 
489 988.97 8.96967220e+00 2.69090176e-01 
488 990.81 8.79703808e+00 2.63911128e-01 
487 992.65 8.97877598e+00 2.69363284e-01 
486 994.48 8.79460812e+00 2.63838232e-01 
485 996.31 8.94206524e+00 2.68261969e-01 
484 998.14 8.68234062e+00 2.60470212e-01 
483 999.97 8.84373856e+00 2.65312165e-01 
482 1001.79 8.54053211e+00 2.56215960e-01 
481 1003.62 8.62419033e+00 2.58725703e-01 
480 1005.44 8.39918518e+00 2.51975566e-01 
479 1007.25 8.62790871e+00 2.58837253e-01 
478 1009.07 8.45485687e+00 2.53645718e-01 
477 1010.88 8.62486458e+00 2.58745939e-01 
476 1012.69 8.38573933e+00 2.51572192e-01 
475 1014.50 8.48785496e+00 2.54635662e-01 
474 1016.31 8.27593613e+00 2.48278081e-01 
473 1018.11 8.44450855e+00 2.53335267e-01 
472 1019.91 8.19273186e+00 2.45781958e-01 
471 1021.71 8.35143375e+00 2.50542998e-01 
470 1023.51 8.13998795e+00 2.44199634e-01 
469 1025.30 8.28084278e+00 2.48425290e-01 
468 1027.09 8.22142696e+00 2.46642813e-01 
467 1028.88 8.36132908e+00 2.50839859e-01 
466 1030.67 8.21452808e+00 2.46435836e-01 
465 1032.46 8.39460850e+00 2.51838267e-01 
464 1034.24 8.23263931e+00 2.46979177e-01 
