% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from (SEE Original files for sources) and recorded on 2018-04-13 16:25:31.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , MLO -av-g-, infl-ig-ht, infl-ig-ht, high- a-lt, high- a-lt, high- a-lt, high- a-lt. See the list of files below
% 20170605_VIS_C0_refined_Langley_MLO_May2017_averages.dat
% 20170807_VIS_C0_refined_langley_4STARpm.dat
% 20170807_VIS_C0_refined_langley_4STAR_subset_pm.dat
% 20170809_VIS_C0_refined_high_alt_low_m_frompolyfit.dat
% 20170815_VIS_C0_refined_high_alt_low_m_frompolyfit.dat
% 20170818_VIS_C0_refined_high_alt_low_m_frompolyfit.dat
% 20170903_VIS_C0_refined_high_alt_low_m_frompolyfitBonanza.dat
Pix Wavelength C0 C0err
0 173.18 -4.28571429e-01 5.34522484e-01 
1 173.98 -1.00000000e+00 0.00000000e+00 
2 174.77 -1.00000000e+00 0.00000000e+00 
3 175.56 -1.00000000e+00 0.00000000e+00 
4 176.36 -1.00000000e+00 0.00000000e+00 
5 177.15 -1.00000000e+00 0.00000000e+00 
6 177.94 -1.00000000e+00 0.00000000e+00 
7 178.74 -1.00000000e+00 0.00000000e+00 
8 179.53 -1.00000000e+00 0.00000000e+00 
9 180.33 -1.00000000e+00 0.00000000e+00 
10 181.12 -1.00000000e+00 0.00000000e+00 
11 181.92 -1.00000000e+00 0.00000000e+00 
12 182.71 -1.00000000e+00 0.00000000e+00 
13 183.51 -1.00000000e+00 0.00000000e+00 
14 184.30 -1.00000000e+00 0.00000000e+00 
15 185.10 -1.00000000e+00 0.00000000e+00 
16 185.89 -1.00000000e+00 0.00000000e+00 
17 186.69 -1.00000000e+00 0.00000000e+00 
18 187.49 -1.00000000e+00 0.00000000e+00 
19 188.28 -1.00000000e+00 0.00000000e+00 
20 189.08 -1.00000000e+00 0.00000000e+00 
21 189.88 -1.00000000e+00 0.00000000e+00 
22 190.67 -1.00000000e+00 0.00000000e+00 
23 191.47 -1.00000000e+00 0.00000000e+00 
24 192.27 -1.00000000e+00 0.00000000e+00 
25 193.07 -1.00000000e+00 0.00000000e+00 
26 193.86 -1.00000000e+00 0.00000000e+00 
27 194.66 -1.00000000e+00 0.00000000e+00 
28 195.46 -1.00000000e+00 0.00000000e+00 
29 196.26 -1.00000000e+00 0.00000000e+00 
30 197.05 -1.00000000e+00 0.00000000e+00 
31 197.85 -1.00000000e+00 0.00000000e+00 
32 198.65 -1.00000000e+00 0.00000000e+00 
33 199.45 -1.00000000e+00 0.00000000e+00 
34 200.25 -1.00000000e+00 0.00000000e+00 
35 201.05 -1.00000000e+00 0.00000000e+00 
36 201.85 -1.00000000e+00 0.00000000e+00 
37 202.65 -1.00000000e+00 0.00000000e+00 
38 203.44 -1.00000000e+00 0.00000000e+00 
39 204.24 -1.00000000e+00 0.00000000e+00 
40 205.04 -1.00000000e+00 0.00000000e+00 
41 205.84 -1.00000000e+00 0.00000000e+00 
42 206.64 4.32593083e+37 1.14453372e+38 
43 207.44 -2.90008271e-02 2.56902233e+00 
44 208.24 -5.76708009e-01 1.03018116e+00 
45 209.04 -6.44858926e-01 8.47824627e-01 
46 209.84 -5.80715941e-01 9.76593748e-01 
47 210.64 -5.01948948e-01 9.57662776e-01 
48 211.44 -5.07227423e-01 9.73260565e-01 
49 212.24 3.00773760e+34 7.95772570e+34 
50 213.04 4.08315457e+33 1.08030116e+34 
51 213.85 1.14901982e+34 2.87160634e+34 
52 214.65 1.44656721e+33 3.59899682e+33 
53 215.45 5.10609051e+34 1.34527363e+35 
54 216.25 5.43521393e+33 1.43087351e+34 
55 217.05 5.82403864e+32 1.53183046e+33 
56 217.85 6.27989399e+31 1.64997072e+32 
57 218.65 6.74680708e+30 1.77043462e+31 
58 219.46 7.24365055e+29 1.89782472e+30 
59 220.26 7.83741584e+28 2.04979424e+29 
60 221.06 8.42465872e+27 2.19855416e+28 
61 221.86 9.25543664e+26 2.40984552e+27 
62 222.66 1.00571533e+26 2.61095136e+26 
63 223.47 1.09848714e+25 2.84210157e+25 
64 224.27 1.19396671e+24 3.07602386e+24 
65 225.07 1.30319165e+23 3.34106947e+23 
66 225.87 1.44231119e+22 3.67735402e+22 
67 226.68 1.61776818e+21 4.09876725e+21 
68 227.48 1.90045816e+20 4.77926759e+20 
69 228.28 2.60992051e+19 6.51170191e+19 
70 229.08 5.11913075e+18 1.26718567e+19 
71 229.89 1.95546192e+18 4.81808281e+18 
72 230.69 1.86955325e+18 4.60436163e+18 
73 231.49 4.81905603e+18 1.19290145e+19 
74 232.30 2.71869248e+19 6.78220055e+19 
75 233.10 2.50675376e+20 6.31262541e+20 
76 233.90 2.84219283e+21 7.21398897e+21 
77 234.71 3.54046319e+22 9.05543619e+22 
78 235.51 4.56060932e+23 1.17323573e+24 
79 236.32 6.08241312e+24 1.57269705e+25 
80 237.12 8.20281651e+25 2.12970780e+26 
81 237.92 1.12239423e+27 2.92421288e+27 
82 238.73 1.56339661e+28 4.08459130e+28 
83 239.53 2.19023639e+29 5.73534779e+29 
84 240.34 2.94007093e+30 7.71292901e+30 
85 241.14 3.69556249e+31 9.70949114e+31 
86 241.94 4.28793277e+32 1.12795134e+33 
87 242.75 4.54773481e+33 1.19744556e+34 
88 243.55 4.41175711e+34 1.16257119e+35 
89 244.36 1.15030173e+33 2.84373879e+33 
90 245.16 7.81705068e+33 1.93840515e+34 
91 245.97 4.77352943e+34 1.18872446e+35 
92 246.77 1.23299663e+34 3.26220244e+34 
93 247.58 5.50097997e+34 1.45542250e+35 
94 248.38 -5.35373984e-01 8.80087323e-01 
95 249.19 -5.48458370e-01 9.36694965e-01 
96 249.99 -5.66965856e-01 8.81662439e-01 
97 250.80 -6.00038985e-01 8.00955977e-01 
98 251.60 1.28550449e+11 3.40112520e+11 
99 252.41 -6.05606124e-01 9.45747311e-01 
100 253.21 -6.17254070e-01 8.82120757e-01 
101 254.02 -5.42346244e-01 1.05434616e+00 
102 254.82 -5.82880637e-01 1.00476484e+00 
103 255.63 -6.48980257e-01 8.00642441e-01 
104 256.44 -6.53794422e-01 7.90105358e-01 
105 257.24 -5.99082203e-01 9.06670920e-01 
106 258.05 8.74344039e+05 2.31329857e+06 
107 258.85 -3.58594078e-01 1.10934270e+00 
108 259.66 -6.04634718e-01 8.40678454e-01 
109 260.46 -5.64329843e-01 8.87206089e-01 
110 261.27 -5.47465935e-01 9.18786620e-01 
111 262.08 3.09766553e+34 8.19565263e+34 
112 262.88 5.61584566e+33 1.48581310e+34 
113 263.69 1.77535786e+34 4.40896972e+34 
114 264.49 2.87310031e+33 7.09724742e+33 
115 265.30 4.09562761e+32 1.00800091e+33 
116 266.11 1.24971981e+34 3.29211512e+34 
117 266.91 1.00854181e+33 2.65436836e+33 
118 267.72 7.04600872e+31 1.85230458e+32 
119 268.53 4.19011399e+30 1.09965548e+31 
120 269.33 2.72910356e+29 7.14960307e+29 
121 270.14 2.09874018e+28 5.48682094e+28 
122 270.95 1.48497673e+27 3.87145561e+27 
123 271.75 9.55384523e+25 2.48249834e+26 
124 272.56 5.66496825e+24 1.46582931e+25 
125 273.37 2.88226771e+23 7.41312031e+23 
126 274.17 1.47735681e+22 3.77412824e+22 
127 274.98 8.98781654e+20 2.27834529e+21 
128 275.79 6.22474628e+19 1.56259328e+20 
129 276.59 4.69258334e+18 1.16414366e+19 
130 277.40 3.73656446e+17 9.14925957e+17 
131 278.21 2.89498862e+16 6.97402418e+16 
132 279.01 2.64709196e+33 7.00354702e+33 
133 279.82 1.54916909e+31 4.09871614e+31 
134 280.63 8.71979736e+28 2.30704153e+29 
135 281.43 5.59543423e+26 1.48041274e+27 
136 282.24 5.52218964e+24 1.46103405e+25 
137 283.05 8.21065814e+22 2.17233595e+23 
138 283.86 1.46496306e+21 3.87592793e+21 
139 284.66 2.69147780e+19 7.12098092e+19 
140 285.47 6.67641289e+17 1.76641281e+18 
141 286.28 2.45187166e+16 6.48704265e+16 
142 287.09 1.04601076e+15 2.76748432e+15 
143 287.89 4.57084768e+13 1.20933258e+14 
144 288.70 2.49357361e+12 6.59737438e+12 
145 289.51 1.90382844e+11 5.03705267e+11 
146 290.32 1.79114815e+10 4.73891918e+10 
147 291.12 1.91237415e+09 5.05961802e+09 
148 291.93 2.27723842e+08 6.02482277e+08 
149 292.74 3.31377998e+07 8.76667476e+07 
150 293.55 5.75087222e+06 1.52119112e+07 
151 294.35 1.18394984e+06 3.13075207e+06 
152 295.16 2.73581341e+05 7.22955009e+05 
153 295.97 7.08334831e+04 1.86929103e+05 
154 296.78 2.05200326e+04 5.40165843e+04 
155 297.58 6.56256830e+03 1.71986886e+04 
156 298.39 2.40277346e+03 6.25261634e+03 
157 299.20 9.96927828e+02 2.56698560e+03 
158 300.01 4.49320904e+02 1.13923743e+03 
159 300.81 2.24757037e+02 5.58335329e+02 
160 301.62 1.18120123e+02 2.85082618e+02 
161 302.43 6.87554480e+01 1.60451018e+02 
162 303.24 4.26867999e+01 9.56767413e+01 
163 304.04 2.79112571e+01 5.95266163e+01 
164 304.85 1.91468005e+01 3.85535633e+01 
165 305.66 1.37656773e+01 2.60777504e+01 
166 306.47 1.03583645e+01 1.83583224e+01 
167 307.28 8.12124396e+00 1.34087312e+01 
168 308.08 6.60078534e+00 1.01660240e+01 
169 308.89 5.56750588e+00 8.03606670e+00 
170 309.70 4.64470518e+00 6.14932990e+00 
171 310.51 4.03391605e+00 4.96341458e+00 
172 311.32 3.56444454e+00 4.06419957e+00 
173 312.12 3.15964619e+00 3.32482140e+00 
174 312.93 2.84401556e+00 2.74887058e+00 
175 313.74 2.64056888e+00 2.41442058e+00 
176 314.55 2.47186767e+00 2.10250462e+00 
177 315.36 2.33552204e+00 1.86008852e+00 
178 316.16 2.22546224e+00 1.67135200e+00 
179 316.97 2.15433493e+00 1.55584509e+00 
180 317.78 2.07263561e+00 1.40406247e+00 
181 318.59 2.01891199e+00 1.30392656e+00 
