% wavelengths for 4STARB NIR spectrometer (512 channels) derived from 96228_B130251L03_771_test-cert_20141015-120501.pdf and recorded on 2017-09-10 20:15:37.
% C0 (TOA Counts) for 4STARB NIR spectrometer (512 channels) derived from the Ames Rooftop comparison and recorded on 2017-09-10 20:15:37.
% See 4STARB_20170513.ipynb for details of the rooftop comparison and c0 file generation. Yohei Shinozuka
Pix Wavelength C0 C0err
511 1700.28 0.057473911      1e+10
510 1699.11 0.074990032      1e+10
509 1697.93 0.13961863      1e+10
508 1696.75 0.080801775      1e+10
507 1695.58  0.1424737      1e+10
506 1694.40 0.066997668      1e+10
505 1693.22 0.13962771      1e+10
504 1692.03 0.055384106      1e+10
503 1690.85 0.13060239      1e+10
502 1689.67 0.12154636      1e+10
501 1688.48 0.15758047      1e+10
500 1687.29 0.085282325      1e+10
499 1686.11 0.11444059      1e+10
498 1684.92 0.27010324      1e+10
497 1683.73 0.10622524      1e+10
496 1682.53 0.097951266      1e+10
495 1681.34 0.15941756      1e+10
494 1680.15 0.10124081      1e+10
493 1678.95 0.13468241      1e+10
492 1677.75 0.19318894      1e+10
491 1676.56 0.13030466      1e+10
490 1675.36 0.23878093      1e+10
489 1674.16 0.19881151      1e+10
488 1672.95  0.2276858      1e+10
487 1671.75 0.16981075      1e+10
486 1670.55 0.21617141      1e+10
485 1669.34 0.20043922      1e+10
484 1668.14 0.21272856      1e+10
483 1666.93 0.25745696      1e+10
482 1665.72 0.20492021      1e+10
481 1664.51 0.24528267      1e+10
480 1663.30 0.21807026      1e+10
479 1662.08 0.25322527      1e+10
478 1660.87 0.27408687      1e+10
477 1659.66 0.27596344      1e+10
476 1658.44 0.25602227      1e+10
475 1657.22 0.31435333      1e+10
474 1656.00 0.28300548      1e+10
473 1654.78 0.31725492      1e+10
472 1653.56 0.28975643      1e+10
471 1652.34 0.31183197      1e+10
470 1651.12 0.31105034      1e+10
469 1649.89 0.36938483      1e+10
468 1648.67 0.30397182      1e+10
467 1647.44 0.36266504      1e+10
466 1646.21 0.33660233      1e+10
465 1644.98 0.34635453      1e+10
464 1643.75 0.33601047      1e+10
463 1642.52 0.36994562      1e+10
462 1641.29  0.3947269      1e+10
461 1640.06 0.38110826      1e+10
460 1638.82 0.37250776      1e+10
459 1637.59 0.41714286      1e+10
458 1636.35 0.38436606      1e+10
457 1635.11  0.4341339      1e+10
456 1633.87 0.42226855      1e+10
455 1632.63 0.38586128      1e+10
454 1631.39  0.4353584      1e+10
453 1630.15 0.44040755      1e+10
452 1628.90 0.43642252      1e+10
451 1627.66  0.4600261      1e+10
450 1626.41 0.44529936      1e+10
449 1625.17 0.50231859      1e+10
448 1623.92 0.45691306      1e+10
447 1622.67 0.48213189      1e+10
446 1621.42 0.49326441      1e+10
445 1620.17 0.48874554      1e+10
444 1618.92 0.52108015      1e+10
443 1617.66  0.4990651      1e+10
442 1616.41 0.49344201      1e+10
441 1615.15  0.5087293      1e+10
440 1613.89 0.48450871      1e+10
439 1612.64 0.53250261      1e+10
438 1611.38 0.51469622      1e+10
437 1610.12 0.51997481      1e+10
436 1608.86 0.50941325      1e+10
435 1607.59 0.49048088      1e+10
434 1606.33 0.56000156      1e+10
433 1605.07 0.53167673      1e+10
432 1603.80 0.55280604      1e+10
431 1602.54 0.57686424      1e+10
430 1601.27 0.54582186      1e+10
429 1600.00  0.6350343      1e+10
428 1598.73 0.52651824      1e+10
427 1597.46 0.63173175      1e+10
426 1596.19 0.58384953      1e+10
425 1594.91 0.66489321      1e+10
424 1593.64 0.62293184      1e+10
423 1592.37  0.6604636      1e+10
422 1591.09 0.64510854      1e+10
421 1589.81 0.67539118      1e+10
420 1588.54 0.60588286      1e+10
419 1587.26 0.68650271      1e+10
418 1585.98 0.69786949      1e+10
417 1584.70 0.67721253      1e+10
416 1583.41 0.68455195      1e+10
415 1582.13 0.73447241      1e+10
414 1580.85 0.67338432      1e+10
413 1579.56  0.7242167      1e+10
412 1578.27 0.72436176      1e+10
411 1576.99 0.72282667      1e+10
410 1575.70 0.66241268      1e+10
409 1574.41 0.75665038      1e+10
408 1573.12 0.70323906      1e+10
407 1571.83 0.74579133      1e+10
406 1570.54 0.75876305      1e+10
405 1569.24 0.78033404      1e+10
404 1567.95 0.83365508      1e+10
403 1566.65 0.78353192      1e+10
402 1565.36 0.86224019      1e+10
401 1564.06 0.91050341      1e+10
400 1562.76 0.88154062      1e+10
399 1561.46 0.84865281      1e+10
398 1560.16 0.94240064      1e+10
397 1558.86 0.88725516      1e+10
396 1557.56 0.95718375      1e+10
395 1556.25 0.98200236      1e+10
394 1554.95 0.91731307      1e+10
393 1553.64 0.95761203      1e+10
392 1552.34 0.99144823      1e+10
391 1551.03 0.95744114      1e+10
390 1549.72  1.0128453      1e+10
389 1548.41  1.0196396      1e+10
388 1547.10   0.985985      1e+10
387 1545.79  1.0636388      1e+10
386 1544.48  1.0386684      1e+10
385 1543.16 0.98709788      1e+10
384 1541.85  1.0830503      1e+10
383 1540.53  1.0492715      1e+10
382 1539.22  1.0017267      1e+10
381 1537.90  1.0586366      1e+10
380 1536.58  1.0091858      1e+10
379 1535.26  1.0864943      1e+10
378 1533.94  1.0518507      1e+10
377 1532.62  1.0759544      1e+10
376 1531.30  1.0802511      1e+10
375 1529.98  1.0667728      1e+10
