% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2018-04-23 13:31:00.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , MLO -av-g-, infl-ig-ht, infl-ig-ht, high- a-lt, high- a-lt, high- a-lt, high- a-lt, high- a-lt, Ames- r-oo. See the list of files below
% 20170605_NIR_C0_refined_Langley_MLO_May2017_averages.dat
% 20170807_NIR_C0_refined_langley_4STARpm.dat
% 20170807_NIR_C0_refined_langley_4STAR_subset_pm.dat
% 20170809_NIR_C0_refined_high_alt_low_m_frompolyfit.dat
% 20170815_NIR_C0_refined_high_alt_low_m_frompolyfit.dat
% 20170818_NIR_C0_refined_high_alt_low_m_frompolyfit.dat
% 20170903_NIR_C0_refined_high_alt_low_m_frompolyfitBonanza.dat
% 20170904_NIR_C0_refined_high_alt_low_m_frompolyfit.dat
% 20171106_NIR_C0_refined_langley_4STARpm.dat
Pix Wavelength C0 C0err
511 949.79 4.75658746e+00 7.46176447e-01 
510 949.79 5.00644930e+00 5.42492971e-01 
509 951.68 5.37600688e+00 5.43351780e-01 
508 953.57 5.43689371e+00 5.31676667e-01 
507 955.46 5.88141744e+00 5.41563316e-01 
506 957.34 5.99348618e+00 5.21195312e-01 
505 959.22 6.46223253e+00 4.97027387e-01 
504 961.10 6.56903970e+00 4.53976047e-01 
503 962.98 7.01853810e+00 3.93067538e-01 
502 964.85 7.04172093e+00 3.32457482e-01 
501 966.72 7.56368309e+00 2.69561706e-01 
500 968.59 7.63265121e+00 2.05118670e-01 
499 970.45 8.04034819e+00 1.81133520e-01 
498 972.32 7.98193841e+00 2.03069745e-01 
497 974.18 8.31238213e+00 2.17489099e-01 
496 976.04 8.24540745e+00 2.08359188e-01 
495 977.89 8.59431154e+00 1.78211094e-01 
494 979.74 8.52309282e+00 1.32601136e-01 
493 981.59 8.82426552e+00 1.05289426e-01 
492 983.44 8.72208350e+00 7.80592825e-02 
491 985.29 8.98568257e+00 6.97666646e-02 
490 987.13 8.79133860e+00 6.27917294e-02 
489 988.97 9.03709586e+00 6.22229136e-02 
488 990.81 8.84973761e+00 5.97835665e-02 
487 992.65 9.02780658e+00 6.48228740e-02 
486 994.48 8.83776663e+00 6.09979501e-02 
485 996.31 8.98245359e+00 6.09007888e-02 
484 998.14 8.72851555e+00 5.55280443e-02 
483 999.97 8.88625177e+00 5.77544737e-02 
482 1001.79 8.59690151e+00 5.49545824e-02 
481 1003.62 8.68007619e+00 5.43276906e-02 
480 1005.44 8.46613563e+00 5.12219688e-02 
479 1007.25 8.71440494e+00 5.05944010e-02 
478 1009.07 8.52992222e+00 4.66730497e-02 
477 1010.88 8.68858586e+00 5.46680918e-02 
476 1012.69 8.43719850e+00 5.01073010e-02 
475 1014.50 8.55479860e+00 4.88966305e-02 
474 1016.31 8.34515222e+00 4.82630704e-02 
473 1018.11 8.49848791e+00 5.15654375e-02 
472 1019.91 8.25916931e+00 4.77363129e-02 
471 1021.71 8.41460761e+00 4.91105599e-02 
470 1023.51 8.19215114e+00 4.61358610e-02 
469 1025.30 8.35597925e+00 4.96177549e-02 
468 1027.09 8.24763090e+00 5.98220147e-02 
467 1028.88 8.41216751e+00 5.92221288e-02 
466 1030.67 8.24872421e+00 6.08571121e-02 
465 1032.46 8.41978907e+00 7.17195425e-02 
464 1034.24 8.26518211e+00 6.94571330e-02 
463 1036.02 8.44549578e+00 7.06344023e-02 
462 1037.80 8.33671310e+00 6.41482532e-02 
461 1039.58 8.53909717e+00 7.24174145e-02 
460 1041.35 8.40109876e+00 6.50443182e-02 
459 1043.12 8.56436283e+00 7.25762642e-02 
458 1044.89 8.47937234e+00 7.18785442e-02 
457 1046.66 8.68969281e+00 7.35727258e-02 
456 1048.43 8.61357724e+00 7.26440797e-02 
455 1050.19 8.83812908e+00 7.21769339e-02 
454 1051.95 8.68904428e+00 6.57563030e-02 
453 1053.71 8.92622669e+00 6.93828808e-02 
452 1055.47 8.75136799e+00 6.80942317e-02 
451 1057.23 8.88735185e+00 6.70966766e-02 
450 1058.98 8.74176566e+00 6.53695240e-02 
449 1060.73 8.92880394e+00 6.68652602e-02 
