% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from (SEE Original files for sources) and recorded on 2018-04-13 17:00:39.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , MLO -av-g-, infl-ig-ht, infl-ig-ht, high- a-lt, high- a-lt, high- a-lt, high- a-lt, high- a-lt. See the list of files below
% 20170605_VIS_C0_refined_Langley_MLO_May2017_averages.dat
% 20170807_VIS_C0_refined_langley_4STARpm.dat
% 20170807_VIS_C0_refined_langley_4STAR_subset_pm.dat
% 20170809_VIS_C0_refined_high_alt_low_m_frompolyfit.dat
% 20170815_VIS_C0_refined_high_alt_low_m_frompolyfit.dat
% 20170818_VIS_C0_refined_high_alt_low_m_frompolyfit.dat
% 20170903_VIS_C0_refined_high_alt_low_m_frompolyfitBonanza.dat
% 20170904_VIS_C0_refined_high_alt_low_m_frompolyfit.dat
Pix Wavelength C0 C0err
0 173.18 -5.00000000e-01 5.77350269e-01 
1 173.98 -1.00000000e+00 0.00000000e+00 
2 174.77 -1.00000000e+00 0.00000000e+00 
3 175.56 -1.00000000e+00 0.00000000e+00 
4 176.36 -1.00000000e+00 0.00000000e+00 
5 177.15 -1.00000000e+00 0.00000000e+00 
6 177.94 -1.00000000e+00 0.00000000e+00 
7 178.74 -1.00000000e+00 0.00000000e+00 
8 179.53 -1.00000000e+00 0.00000000e+00 
9 180.33 -1.00000000e+00 0.00000000e+00 
10 181.12 -1.00000000e+00 0.00000000e+00 
11 181.92 -1.00000000e+00 0.00000000e+00 
12 182.71 -1.00000000e+00 0.00000000e+00 
13 183.51 -1.00000000e+00 0.00000000e+00 
14 184.30 -1.00000000e+00 0.00000000e+00 
15 185.10 -1.00000000e+00 0.00000000e+00 
16 185.89 -1.00000000e+00 0.00000000e+00 
17 186.69 -1.00000000e+00 0.00000000e+00 
18 187.49 -1.00000000e+00 0.00000000e+00 
19 188.28 -1.00000000e+00 0.00000000e+00 
20 189.08 -1.00000000e+00 0.00000000e+00 
21 189.88 -1.00000000e+00 0.00000000e+00 
22 190.67 -1.00000000e+00 0.00000000e+00 
23 191.47 -1.00000000e+00 0.00000000e+00 
24 192.27 -1.00000000e+00 0.00000000e+00 
25 193.07 -1.00000000e+00 0.00000000e+00 
26 193.86 -1.00000000e+00 0.00000000e+00 
27 194.66 -1.00000000e+00 0.00000000e+00 
28 195.46 -1.00000000e+00 0.00000000e+00 
29 196.26 -1.00000000e+00 0.00000000e+00 
30 197.05 -1.00000000e+00 0.00000000e+00 
31 197.85 -1.00000000e+00 0.00000000e+00 
32 198.65 -1.00000000e+00 0.00000000e+00 
33 199.45 -1.00000000e+00 0.00000000e+00 
34 200.25 -1.00000000e+00 0.00000000e+00 
35 201.05 -1.00000000e+00 0.00000000e+00 
36 201.85 -1.00000000e+00 0.00000000e+00 
37 202.65 -1.00000000e+00 0.00000000e+00 
38 203.44 -1.00000000e+00 0.00000000e+00 
39 204.24 -1.00000000e+00 0.00000000e+00 
40 205.04 -1.00000000e+00 0.00000000e+00 
41 205.84 -1.00000000e+00 0.00000000e+00 
42 206.64 7.57037895e+37 1.51407579e+38 
43 207.44 6.99248553e-01 3.39849710e+00 
44 208.24 -2.59239017e-01 1.34498634e+00 
45 209.04 -3.78503120e-01 1.10312924e+00 
46 209.84 -2.66252897e-01 1.26484079e+00 
47 210.64 -1.28410660e-01 1.18327511e+00 
48 211.44 -1.37647990e-01 1.21224124e+00 
49 212.24 -1.99917018e-01 1.19720046e+00 
50 213.04 9.97970804e-01 2.90391502e+00 
51 213.85 1.91321293e+34 3.82642586e+34 
52 214.65 2.39900663e+33 4.79801326e+33 
53 215.45 3.03946660e+32 6.07893320e+32 
54 216.25 3.81473060e+31 7.62946120e+31 
55 217.05 4.81596332e+30 9.63192665e+30 
56 217.85 6.09423435e+29 1.21884687e+30 
57 218.65 7.67567735e+28 1.53513547e+29 
58 219.46 9.75423095e+27 1.95084619e+28 
59 220.26 1.23661667e+27 2.47323334e+27 
60 221.06 1.56942759e+26 3.13885518e+26 
61 221.86 1.99589344e+25 3.99178687e+25 
62 222.66 2.54175525e+24 5.08351050e+24 
