% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\sleblanc\Research\NAAMES\c130\NAAMES_3\4STARB_20170906starsun.mat and recorded on 2018-11-02 16:32:26.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STARB
Pix Wavelength C0 C0err
511 946.05 1.35836029e+01 4.07508075e-01 
510 947.95 1.39234734e+01 4.17704195e-01 
509 949.84 1.40800133e+01 4.22400385e-01 
508 951.73 1.41422310e+01 4.24266934e-01 
507 953.62 1.42051153e+01 4.26153451e-01 
506 955.51 1.43142920e+01 4.29428756e-01 
505 957.40 1.44329176e+01 4.32987541e-01 
504 959.28 1.46289473e+01 4.38868403e-01 
503 961.16 1.48493109e+01 4.45479333e-01 
502 963.03 1.48226690e+01 4.44680065e-01 
501 964.90 1.50762043e+01 4.52286124e-01 
500 966.78 1.50017071e+01 4.50051218e-01 
499 968.64 1.52981215e+01 4.58943635e-01 
498 970.51 1.52899971e+01 4.58699912e-01 
497 972.37 1.55343275e+01 4.66029823e-01 
496 974.23 1.55621519e+01 4.66864556e-01 
495 976.09 1.58282070e+01 4.74846214e-01 
494 977.95 1.58559952e+01 4.75679845e-01 
493 979.80 1.59666834e+01 4.79000509e-01 
492 981.65 1.60143871e+01 4.80431616e-01 
491 983.50 1.61345615e+01 4.84036833e-01 
490 985.34 1.60724487e+01 4.82173473e-01 
489 987.18 1.60882168e+01 4.82646495e-01 
488 989.02 1.60451832e+01 4.81355488e-01 
487 990.86 1.61321354e+01 4.83964056e-01 
486 992.70 1.59963007e+01 4.79889035e-01 
485 994.53 1.61946564e+01 4.85839695e-01 
484 996.36 1.60436382e+01 4.81309146e-01 
483 998.19 1.61813755e+01 4.85441267e-01 
482 1000.01 1.61032104e+01 4.83096302e-01 
481 1001.83 1.59657621e+01 4.78972852e-01 
480 1003.65 1.59459648e+01 4.78378952e-01 
479 1005.47 1.59438515e+01 4.78315532e-01 
478 1007.29 1.59809952e+01 4.79429841e-01 
477 1009.10 1.61442318e+01 4.84326959e-01 
476 1010.91 1.61367702e+01 4.84103113e-01 
475 1012.72 1.62594509e+01 4.87783521e-01 
474 1014.53 1.61093693e+01 4.83281076e-01 
473 1016.33 1.62485580e+01 4.87456739e-01 
