% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\sleblanc\Research\NAAMES\c130\NAAMES_3\4STARB_20170919starsun.mat and recorded on 2018-11-02 17:31:19.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STARB
Pix Wavelength C0 C0err
511 946.05 1.59860449e+01 4.79581356e-01 
510 947.95 1.63460464e+01 4.90381390e-01 
509 949.84 1.63902817e+01 4.91708457e-01 
508 951.73 1.62950802e+01 4.88852412e-01 
507 953.62 1.61802559e+01 4.85407680e-01 
506 955.51 1.61525784e+01 4.84577358e-01 
505 957.40 1.61631489e+01 4.84894454e-01 
504 959.28 1.62614098e+01 4.87842292e-01 
503 961.16 1.62457962e+01 4.87373888e-01 
502 963.03 1.60838604e+01 4.82515812e-01 
501 964.90 1.60846767e+01 4.82540309e-01 
500 966.78 1.58223362e+01 4.74670082e-01 
499 968.64 1.58141642e+01 4.74424928e-01 
498 970.51 1.56610479e+01 4.69831437e-01 
497 972.37 1.59133558e+01 4.77400661e-01 
496 974.23 1.60173740e+01 4.80521232e-01 
495 976.09 1.62775955e+01 4.88327861e-01 
494 977.95 1.62144566e+01 4.86433685e-01 
493 979.80 1.62235088e+01 4.86705273e-01 
492 981.65 1.61182251e+01 4.83546764e-01 
491 983.50 1.61186008e+01 4.83558029e-01 
490 985.34 1.59163227e+01 4.77489680e-01 
489 987.18 1.59038734e+01 4.77116197e-01 
488 989.02 1.57460670e+01 4.72382009e-01 
487 990.86 1.58497515e+01 4.75492537e-01 
486 992.70 1.57224712e+01 4.71674144e-01 
485 994.53 1.58735943e+01 4.76207823e-01 
484 996.36 1.57430935e+01 4.72292811e-01 
483 998.19 1.58682213e+01 4.76046652e-01 
482 1000.01 1.58071604e+01 4.74214822e-01 
481 1001.83 1.56898775e+01 4.70696330e-01 
480 1003.65 1.56622839e+01 4.69868511e-01 
479 1005.47 1.56647186e+01 4.69941556e-01 
478 1007.29 1.56927433e+01 4.70782310e-01 
477 1009.10 1.58803024e+01 4.76409078e-01 
476 1010.91 1.58773232e+01 4.76319700e-01 
475 1012.72 1.59910421e+01 4.79731262e-01 
474 1014.53 1.58389091e+01 4.75167274e-01 
473 1016.33 1.59845848e+01 4.79537547e-01 
472 1018.13 1.57909403e+01 4.73728210e-01 
471 1019.93 1.58553333e+01 4.75659996e-01 
470 1021.73 1.57223358e+01 4.71670061e-01 
469 1023.52 1.56575642e+01 4.69726920e-01 
468 1025.31 1.54704781e+01 4.64114338e-01 
467 1027.10 1.54973459e+01 4.64920372e-01 
466 1028.89 1.52793055e+01 4.58379149e-01 
