% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\sleblan2\Research\4STAR\roof\4STAR_20171023starsun.mat and recorded on 2017-10-26 16:17:29.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
511 949.79 3.09441972e+00 9.28325951e-02 
510 949.79 4.18374348e+00 1.25512302e-01 
509 951.68 4.53666449e+00 1.36099935e-01 
508 953.57 4.64034986e+00 1.39210492e-01 
507 955.46 5.06552839e+00 1.51965857e-01 
506 957.34 5.21345234e+00 1.56403571e-01 
505 959.22 5.72783470e+00 1.71835035e-01 
504 961.10 5.95038128e+00 1.78511441e-01 
503 962.98 6.58568478e+00 1.97570547e-01 
502 964.85 6.87984180e+00 2.06395254e-01 
501 966.72 7.55321741e+00 2.26596519e-01 
500 968.59 7.89242506e+00 2.36772746e-01 
499 970.45 8.33756065e+00 2.50126809e-01 
498 972.32 8.31181240e+00 2.49354377e-01 
497 974.18 8.66176987e+00 2.59853095e-01 
496 976.04 8.60859394e+00 2.58257806e-01 
495 977.89 9.09329796e+00 2.72798926e-01 
494 979.74 9.16067410e+00 2.74820209e-01 
493 981.59 9.57231808e+00 2.87169546e-01 
492 983.44 9.57008171e+00 2.87102461e-01 
491 985.29 9.87596607e+00 2.96278983e-01 
490 987.13 9.74892044e+00 2.92467624e-01 
489 988.97 1.00873470e+01 3.02620411e-01 
488 990.81 9.87137794e+00 2.96141326e-01 
487 992.65 1.00672350e+01 3.02017063e-01 
486 994.48 9.83263779e+00 2.94979125e-01 
485 996.31 1.00934992e+01 3.02804977e-01 
484 998.14 9.81484413e+00 2.94445336e-01 
483 999.97 9.98806477e+00 2.99641937e-01 
482 1001.79 9.67401123e+00 2.90220350e-01 
481 1003.62 9.72290039e+00 2.91687012e-01 
480 1005.44 9.47877312e+00 2.84363180e-01 
479 1007.25 9.70298004e+00 2.91089416e-01 
478 1009.07 9.49014282e+00 2.84704298e-01 
477 1010.88 9.71746349e+00 2.91523904e-01 
476 1012.69 9.42954731e+00 2.82886416e-01 
475 1014.50 9.54054546e+00 2.86216378e-01 
474 1016.31 9.30268002e+00 2.79080391e-01 
473 1018.11 9.49951458e+00 2.84985423e-01 
472 1019.91 9.24544621e+00 2.77363390e-01 
471 1021.71 9.41561222e+00 2.82468379e-01 
470 1023.51 9.19907188e+00 2.75972158e-01 
469 1025.30 9.37010479e+00 2.81103134e-01 
468 1027.09 9.26557064e+00 2.77967125e-01 
467 1028.88 9.38568687e+00 2.81570613e-01 
466 1030.67 9.18657875e+00 2.75597364e-01 
465 1032.46 9.40155888e+00 2.82046765e-01 
464 1034.24 9.22760868e+00 2.76828259e-01 
463 1036.02 9.47709179e+00 2.84312755e-01 
462 1037.80 9.34149933e+00 2.80244976e-01 
461 1039.58 9.58351135e+00 2.87505329e-01 
460 1041.35 9.39017200e+00 2.81705171e-01 
459 1043.12 9.60888004e+00 2.88266391e-01 
458 1044.89 9.52098083e+00 2.85629421e-01 
457 1046.66 9.81050873e+00 2.94315249e-01 
456 1048.43 9.68166733e+00 2.90450007e-01 
455 1050.19 9.93632698e+00 2.98089802e-01 
454 1051.95 9.75971603e+00 2.92791486e-01 
453 1053.71 1.00015907e+01 3.00047725e-01 
452 1055.47 9.84952641e+00 2.95485795e-01 
451 1057.23 1.00128689e+01 3.00386071e-01 
450 1058.98 9.88776302e+00 2.96632886e-01 
449 1060.73 1.00679312e+01 3.02037925e-01 
448 1062.48 9.87111473e+00 2.96133429e-01 
447 1064.23 1.00765619e+01 3.02296847e-01 
446 1065.97 9.79121494e+00 2.93736458e-01 
445 1067.71 9.87122726e+00 2.96136826e-01 
444 1069.46 9.56578827e+00 2.86973655e-01 
443 1071.19 9.63736629e+00 2.89121002e-01 
442 1072.93 9.36304379e+00 2.80891299e-01 
441 1074.67 9.42428780e+00 2.82728642e-01 
440 1076.40 9.22061253e+00 2.76618361e-01 
439 1078.13 9.37075043e+00 2.81122506e-01 
438 1079.86 8.98419380e+00 2.69525826e-01 
437 1081.58 9.05969334e+00 2.71790802e-01 
436 1083.31 8.80625248e+00 2.64187574e-01 
435 1085.03 8.94312286e+00 2.68293679e-01 
434 1086.75 8.89122009e+00 2.66736597e-01 
433 1088.47 9.05035591e+00 2.71510690e-01 
432 1090.19 8.91715813e+00 2.67514735e-01 
431 1091.90 9.01536655e+00 2.70460993e-01 
430 1093.61 8.80317116e+00 2.64095128e-01 
429 1095.33 9.00499058e+00 2.70149708e-01 
428 1097.03 8.99840164e+00 2.69952059e-01 
427 1098.74 9.16988277e+00 2.75096476e-01 
426 1100.45 9.10705376e+00 2.73211598e-01 
425 1102.15 9.35168552e+00 2.80550569e-01 
424 1103.85 9.13363171e+00 2.74008960e-01 
423 1105.55 9.24252987e+00 2.77275890e-01 
422 1107.25 8.91575336e+00 2.67472595e-01 
421 1108.94 8.79765320e+00 2.63929605e-01 
420 1110.64 8.03097057e+00 2.40929112e-01 
419 1112.33 7.45215654e+00 2.23564699e-01 
418 1114.02 6.36601830e+00 1.90980554e-01 
417 1115.70 5.85142517e+00 1.75542757e-01 
416 1117.39 5.45545673e+00 1.63663700e-01 
415 1119.07 5.23190975e+00 1.56957299e-01 
414 1120.76 5.12345934e+00 1.53703779e-01 
413 1122.44 5.11503649e+00 1.53451100e-01 
412 1124.12 5.09594011e+00 1.52878210e-01 
411 1125.79 5.49762630e+00 1.64928794e-01 
410 1127.47 5.57597113e+00 1.67279139e-01 
409 1129.14 6.25963497e+00 1.87789053e-01 
408 1130.81 5.61553621e+00 1.68466091e-01 
407 1132.48 5.54068375e+00 1.66220516e-01 
406 1134.15 5.44842243e+00 1.63452670e-01 
405 1135.81 6.24934912e+00 1.87480479e-01 
404 1137.48 7.52104235e+00 2.25631267e-01 
403 1139.14 8.03449059e+00 2.41034716e-01 
402 1140.80 7.36901093e+00 2.21070334e-01 
401 1142.46 6.67905521e+00 2.00371653e-01 
400 1144.12 5.91221333e+00 1.77366406e-01 
399 1145.77 5.66783667e+00 1.70035094e-01 
398 1147.43 6.00522232e+00 1.80156663e-01 
397 1149.08 6.62500668e+00 1.98750198e-01 
396 1150.73 6.79469061e+00 2.03840718e-01 
395 1152.38 7.27957916e+00 2.18387380e-01 
394 1154.02 7.37493372e+00 2.21248016e-01 
393 1155.67 7.91334677e+00 2.37400398e-01 
392 1157.31 8.15451908e+00 2.44635567e-01 
391 1158.95 8.46453667e+00 2.53936112e-01 
390 1160.59 8.72757626e+00 2.61827290e-01 
389 1162.23 9.03711033e+00 2.71113306e-01 
388 1163.87 9.05223560e+00 2.71567076e-01 
387 1165.50 9.17248726e+00 2.75174618e-01 
386 1167.13 9.19317627e+00 2.75795281e-01 
385 1168.76 9.49112701e+00 2.84733802e-01 
384 1170.39 9.21205902e+00 2.76361763e-01 
383 1172.02 9.30357647e+00 2.79107302e-01 
382 1173.65 9.10853863e+00 2.73256153e-01 
381 1175.27 9.26948833e+00 2.78084636e-01 
380 1176.90 9.23728085e+00 2.77118415e-01 
379 1178.52 9.12785912e+00 2.73835778e-01 
378 1180.14 8.83968925e+00 2.65190691e-01 
377 1181.75 8.79783726e+00 2.63935119e-01 
376 1183.37 8.60668087e+00 2.58200437e-01 
375 1184.99 8.61325645e+00 2.58397698e-01 
374 1186.60 8.53736019e+00 2.56120801e-01 
373 1188.21 8.56044674e+00 2.56813407e-01 
372 1189.82 8.55013847e+00 2.56504148e-01 
371 1191.43 8.83812332e+00 2.65143692e-01 
370 1193.04 8.77007580e+00 2.63102263e-01 
369 1194.64 8.72942162e+00 2.61882663e-01 
368 1196.24 8.52237225e+00 2.55671173e-01 
367 1197.85 8.58243656e+00 2.57473111e-01 
366 1199.45 8.30835724e+00 2.49250710e-01 
365 1201.05 8.45338154e+00 2.53601432e-01 
364 1202.64 8.44250107e+00 2.53275037e-01 
363 1204.24 8.62265587e+00 2.58679688e-01 
362 1205.83 8.50466442e+00 2.55139947e-01 
361 1207.43 8.56240845e+00 2.56872267e-01 
360 1209.02 8.46463108e+00 2.53938943e-01 
359 1210.61 8.60720444e+00 2.58216143e-01 
358 1212.19 8.63428307e+00 2.59028494e-01 
357 1213.78 8.78680706e+00 2.63604224e-01 
356 1215.37 8.72753906e+00 2.61826158e-01 
355 1216.95 8.89668655e+00 2.66900599e-01 
354 1218.53 8.91265869e+00 2.67379761e-01 
353 1220.11 9.05593300e+00 2.71678001e-01 
352 1221.69 8.96246815e+00 2.68874049e-01 
351 1223.27 9.00777149e+00 2.70233154e-01 
350 1224.84 8.96961403e+00 2.69088417e-01 
349 1226.42 9.01994801e+00 2.70598441e-01 
348 1227.99 8.96091270e+00 2.68827379e-01 
347 1229.56 9.12594604e+00 2.73778379e-01 
346 1231.13 9.09118843e+00 2.72735655e-01 
345 1232.70 9.10046005e+00 2.73013800e-01 
344 1234.27 9.17997360e+00 2.75399208e-01 
343 1235.84 9.24694920e+00 2.77408481e-01 
342 1237.40 9.15831852e+00 2.74749547e-01 
341 1238.96 9.18571186e+00 2.75571346e-01 
340 1240.52 9.03944874e+00 2.71183461e-01 
339 1242.08 9.11567497e+00 2.73470253e-01 
338 1243.64 9.02836514e+00 2.70850956e-01 
337 1245.20 9.10072899e+00 2.73021877e-01 
336 1246.75 9.15259457e+00 2.74577826e-01 
335 1248.31 9.24076271e+00 2.77222872e-01 
334 1249.86 9.14834023e+00 2.74450213e-01 
333 1251.41 9.19576263e+00 2.75872886e-01 
332 1252.96 9.14344311e+00 2.74303287e-01 
331 1254.51 9.22490978e+00 2.76747286e-01 
330 1256.06 9.13560486e+00 2.74068147e-01 
329 1257.61 9.13408947e+00 2.74022698e-01 
