% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\kpistone\Documents\NAAMES\rooftop_for_c0s\starmats\4STARB_20171024starsun.mat and recorded on 2018-09-21 13:25:32.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STARB
Pix Wavelength C0 C0err
511 946.05 7.22497368e+00 2.16749206e-01 
510 947.95 7.52626753e+00 2.25788027e-01 
509 949.84 7.78576183e+00 2.33572856e-01 
508 951.73 8.02858639e+00 2.40857586e-01 
507 953.62 8.22459507e+00 2.46737853e-01 
506 955.51 8.46545887e+00 2.53963768e-01 
505 957.40 8.73088360e+00 2.61926502e-01 
504 959.28 9.20316792e+00 2.76095033e-01 
503 961.16 9.82822227e+00 2.94846654e-01 
502 963.03 1.02777891e+01 3.08333665e-01 
501 964.90 1.12027988e+01 3.36083978e-01 
500 966.78 1.17005901e+01 3.51017714e-01 
499 968.64 1.27721519e+01 3.83164555e-01 
498 970.51 1.31474037e+01 3.94422114e-01 
497 972.37 1.35425444e+01 4.06276345e-01 
496 974.23 1.32858810e+01 3.98576438e-01 
495 976.09 1.36457310e+01 4.09371942e-01 
494 977.95 1.36650429e+01 4.09951299e-01 
493 979.80 1.41386938e+01 4.24160808e-01 
492 981.65 1.44804411e+01 4.34413224e-01 
491 983.50 1.49684200e+01 4.49052602e-01 
490 985.34 1.50914669e+01 4.52744007e-01 
489 987.18 1.53733864e+01 4.61201578e-01 
488 989.02 1.54829645e+01 4.64488924e-01 
487 990.86 1.56969299e+01 4.70907897e-01 
486 992.70 1.55568771e+01 4.66706306e-01 
485 994.53 1.58415833e+01 4.75247502e-01 
484 996.36 1.56295767e+01 4.68887299e-01 
483 998.19 1.58856382e+01 4.76569146e-01 
482 1000.01 1.58283091e+01 4.74849284e-01 
481 1001.83 1.56244421e+01 4.68733251e-01 
480 1003.65 1.57284136e+01 4.71852422e-01 
479 1005.47 1.56800718e+01 4.70402151e-01 
478 1007.29 1.56853781e+01 4.70561355e-01 
477 1009.10 1.59006357e+01 4.77019072e-01 
476 1010.91 1.58133268e+01 4.74399805e-01 
475 1012.72 1.60787792e+01 4.82363373e-01 
474 1014.53 1.58101788e+01 4.74305362e-01 
473 1016.33 1.60868969e+01 4.82606918e-01 
472 1018.13 1.57336712e+01 4.72010136e-01 
471 1019.93 1.58440008e+01 4.75320011e-01 
470 1021.73 1.57307949e+01 4.71923858e-01 
469 1023.52 1.57005234e+01 4.71015692e-01 
468 1025.31 1.54222050e+01 4.62666154e-01 
467 1027.10 1.55827055e+01 4.67481166e-01 
466 1028.89 1.53199997e+01 4.59600002e-01 
465 1030.67 1.53370008e+01 4.60110039e-01 
464 1032.45 1.50408077e+01 4.51224238e-01 
463 1034.23 1.49531784e+01 4.48595345e-01 
462 1036.01 1.47871628e+01 4.43614870e-01 
461 1037.79 1.46157799e+01 4.38473403e-01 
460 1039.56 1.44455900e+01 4.33367699e-01 
459 1041.33 1.43356380e+01 4.30069149e-01 
458 1043.10 1.39881630e+01 4.19644892e-01 
457 1044.87 1.40371742e+01 4.21115220e-01 
456 1046.63 1.37139282e+01 4.11417842e-01 
455 1048.39 1.36732397e+01 4.10197198e-01 
454 1050.15 1.36380968e+01 4.09142911e-01 
453 1051.91 1.35178852e+01 4.05536562e-01 
452 1053.67 1.34589424e+01 4.03768271e-01 
451 1055.42 1.34609699e+01 4.03829098e-01 
450 1057.17 1.32432404e+01 3.97297204e-01 
449 1058.92 1.30380507e+01 3.91141534e-01 
448 1060.67 1.29658012e+01 3.88974041e-01 
447 1062.41 1.28775253e+01 3.86325747e-01 
446 1064.15 1.26370296e+01 3.79110903e-01 
445 1065.89 1.25663824e+01 3.76991481e-01 
444 1067.63 1.21587000e+01 3.64760995e-01 
443 1069.37 1.20539799e+01 3.61619383e-01 
442 1071.10 1.18027525e+01 3.54082584e-01 
441 1072.83 1.17503290e+01 3.52509856e-01 
440 1074.56 1.16363602e+01 3.49090815e-01 
439 1076.29 1.15040970e+01 3.45122904e-01 
438 1078.02 1.14143887e+01 3.42431664e-01 
437 1079.74 1.12437878e+01 3.37313622e-01 
436 1081.46 1.10892248e+01 3.32676739e-01 
435 1083.18 1.09717913e+01 3.29153746e-01 
434 1084.90 1.07695665e+01 3.23087007e-01 
433 1086.61 1.08528738e+01 3.25586200e-01 
432 1088.33 1.07620277e+01 3.22860837e-01 
431 1090.04 1.07084093e+01 3.21252286e-01 
