% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\kpistone\Documents\NAAMES\rooftop_for_c0s\starmats\4STAR_20171024starsun.mat and recorded on 2018-09-21 14:18:30.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
511 949.79 3.02922010e+00 9.08766016e-02 
510 949.79 3.16255260e+00 9.48765799e-02 
509 951.68 3.44903612e+00 1.03471085e-01 
508 953.57 3.53958631e+00 1.06187589e-01 
507 955.46 3.91874719e+00 1.17562413e-01 
506 957.34 4.05379343e+00 1.21613801e-01 
505 959.22 4.57688999e+00 1.37306705e-01 
504 961.10 4.80992937e+00 1.44297883e-01 
503 962.98 5.38132286e+00 1.61439687e-01 
502 964.85 5.61066437e+00 1.68319926e-01 
501 966.72 6.32223463e+00 1.89667046e-01 
500 968.59 6.63226318e+00 1.98967889e-01 
499 970.45 7.14405107e+00 2.14321539e-01 
498 972.32 7.03261042e+00 2.10978314e-01 
497 974.18 7.32099438e+00 2.19629824e-01 
496 976.04 7.28822803e+00 2.18646839e-01 
495 977.89 7.74164867e+00 2.32249454e-01 
494 979.74 7.83467913e+00 2.35040367e-01 
493 981.59 8.25214291e+00 2.47564286e-01 
492 983.44 8.29931164e+00 2.48979345e-01 
491 985.29 8.65845394e+00 2.59753615e-01 
490 987.13 8.58616543e+00 2.57584959e-01 
489 988.97 8.82875919e+00 2.64862776e-01 
488 990.81 8.67178726e+00 2.60153621e-01 
487 992.65 8.84442139e+00 2.65332639e-01 
486 994.48 8.66318703e+00 2.59895623e-01 
485 996.31 8.81729889e+00 2.64518976e-01 
484 998.14 8.60317516e+00 2.58095264e-01 
483 999.97 8.74340725e+00 2.62302220e-01 
482 1001.79 8.46881580e+00 2.54064471e-01 
481 1003.62 8.53668022e+00 2.56100416e-01 
480 1005.44 8.32926369e+00 2.49877915e-01 
479 1007.25 8.58590126e+00 2.57577032e-01 
478 1009.07 8.41055775e+00 2.52316743e-01 
477 1010.88 8.55330086e+00 2.56599039e-01 
476 1012.69 8.32093716e+00 2.49628112e-01 
475 1014.50 8.43351841e+00 2.53005564e-01 
474 1016.31 8.22159958e+00 2.46647984e-01 
473 1018.11 8.36783028e+00 2.51034915e-01 
472 1019.91 8.15366173e+00 2.44609848e-01 
471 1021.71 8.30054665e+00 2.49016404e-01 
470 1023.51 8.07337284e+00 2.42201179e-01 
469 1025.30 8.23837852e+00 2.47151360e-01 
468 1027.09 8.10152626e+00 2.43045792e-01 
467 1028.88 8.27040577e+00 2.48112172e-01 
466 1030.67 8.09494400e+00 2.42848322e-01 
465 1032.46 8.25233555e+00 2.47570068e-01 
464 1034.24 8.11859226e+00 2.43557766e-01 
463 1036.02 8.28144932e+00 2.48443484e-01 
462 1037.80 8.17707157e+00 2.45312154e-01 
461 1039.58 8.37483597e+00 2.51245081e-01 
460 1041.35 8.27456665e+00 2.48236999e-01 
459 1043.12 8.44003010e+00 2.53200889e-01 
458 1044.89 8.36467075e+00 2.50940114e-01 
457 1046.66 8.55352497e+00 2.56605744e-01 
456 1048.43 8.45272827e+00 2.53581852e-01 
