% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\sleblan2\Research\ORACLES\data_2017\4STAR_20171024starsun.mat and recorded on 2017-10-26 15:42:18.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
511 949.79 2.70032787e+00 8.10098350e-02 
510 949.79 3.20016479e+00 9.60049406e-02 
509 951.68 3.44104624e+00 1.03231385e-01 
508 953.57 3.53898668e+00 1.06169604e-01 
507 955.46 3.81372833e+00 1.14411853e-01 
506 957.34 4.05439806e+00 1.21631943e-01 
505 959.22 4.34946251e+00 1.30483881e-01 
504 961.10 4.70290804e+00 1.41087234e-01 
503 962.98 5.21189690e+00 1.56356901e-01 
502 964.85 5.48784637e+00 1.64635390e-01 
501 966.72 5.90936184e+00 1.77280858e-01 
500 968.59 6.39082623e+00 1.91724792e-01 
499 970.45 6.70544577e+00 2.01163366e-01 
498 972.32 6.53793526e+00 1.96138054e-01 
497 974.18 6.85123062e+00 2.05536917e-01 
496 976.04 6.72583866e+00 2.01775163e-01 
495 977.89 7.33604574e+00 2.20081374e-01 
494 979.74 7.48575544e+00 2.24572659e-01 
493 981.59 7.49061632e+00 2.24718496e-01 
492 983.44 7.84660912e+00 2.35398278e-01 
491 985.29 8.18687916e+00 2.45606378e-01 
490 987.13 8.03613758e+00 2.41084129e-01 
489 988.97 8.22261906e+00 2.46678576e-01 
488 990.81 8.16260910e+00 2.44878277e-01 
487 992.65 8.25848103e+00 2.47754425e-01 
486 994.48 7.70021629e+00 2.31006488e-01 
485 996.31 8.25223160e+00 2.47566953e-01 
484 998.14 8.10249615e+00 2.43074879e-01 
483 999.97 8.08844280e+00 2.42653280e-01 
482 1001.79 7.75358868e+00 2.32607663e-01 
481 1003.62 7.69167900e+00 2.30750367e-01 
480 1005.44 7.30619049e+00 2.19185710e-01 
479 1007.25 7.86733770e+00 2.36020133e-01 
478 1009.07 7.92435598e+00 2.37730682e-01 
477 1010.88 7.37259293e+00 2.21177787e-01 
476 1012.69 7.55254221e+00 2.26576269e-01 
475 1014.50 7.66515350e+00 2.29954600e-01 
474 1016.31 7.46039629e+00 2.23811895e-01 
473 1018.11 7.73413134e+00 2.32023939e-01 
472 1019.91 7.59200716e+00 2.27760211e-01 
471 1021.71 7.74742222e+00 2.32422665e-01 
470 1023.51 7.13512278e+00 2.14053690e-01 
469 1025.30 7.71177578e+00 2.31353268e-01 
468 1027.09 7.42227602e+00 2.22668275e-01 
467 1028.88 7.65401173e+00 2.29620352e-01 
466 1030.67 7.21351290e+00 2.16405392e-01 
465 1032.46 7.45524597e+00 2.23657385e-01 
464 1034.24 7.43859816e+00 2.23157942e-01 
463 1036.02 7.21156311e+00 2.16346890e-01 
462 1037.80 7.41751289e+00 2.22525388e-01 
461 1039.58 7.48464775e+00 2.24539429e-01 
460 1041.35 7.62870646e+00 2.28861198e-01 
459 1043.12 7.85453796e+00 2.35636145e-01 
458 1044.89 7.79524183e+00 2.33857259e-01 
457 1046.66 7.90055037e+00 2.37016514e-01 
456 1048.43 7.62343645e+00 2.28703097e-01 
455 1050.19 7.46145105e+00 2.23843530e-01 
454 1051.95 8.04791641e+00 2.41437495e-01 
453 1053.71 8.15190983e+00 2.44557291e-01 
452 1055.47 8.13425255e+00 2.44027570e-01 
451 1057.23 7.26610804e+00 2.17983246e-01 
450 1058.98 7.85676670e+00 2.35703006e-01 
449 1060.73 7.99971724e+00 2.39991516e-01 
448 1062.48 8.07865620e+00 2.42359683e-01 
447 1064.23 8.09696102e+00 2.42908835e-01 
446 1065.97 7.48209381e+00 2.24462807e-01 
445 1067.71 7.87470913e+00 2.36241281e-01 
444 1069.46 7.33725023e+00 2.20117509e-01 
443 1071.19 7.97540092e+00 2.39262030e-01 
442 1072.93 7.22054529e+00 2.16616362e-01 
441 1074.67 7.63563538e+00 2.29069054e-01 
440 1076.40 7.16152096e+00 2.14845628e-01 
439 1078.13 7.63579035e+00 2.29073703e-01 
438 1079.86 7.34466171e+00 2.20339850e-01 
437 1081.58 6.89367580e+00 2.06810281e-01 
436 1083.31 7.23411179e+00 2.17023358e-01 
435 1085.03 7.32859802e+00 2.19857946e-01 
434 1086.75 7.29217339e+00 2.18765199e-01 
433 1088.47 7.28777075e+00 2.18633115e-01 
432 1090.19 7.06651258e+00 2.11995378e-01 
431 1091.90 7.24430513e+00 2.17329159e-01 
430 1093.61 6.72399426e+00 2.01719820e-01 
429 1095.33 7.03331709e+00 2.10999519e-01 
428 1097.03 7.31654024e+00 2.19496205e-01 
427 1098.74 7.11905861e+00 2.13571757e-01 
426 1100.45 7.17665958e+00 2.15299785e-01 
425 1102.15 7.16621590e+00 2.14986473e-01 
424 1103.85 6.84803677e+00 2.05441102e-01 
423 1105.55 7.36187315e+00 2.20856190e-01 
422 1107.25 7.07103443e+00 2.12131038e-01 
421 1108.94 6.77971172e+00 2.03391358e-01 
420 1110.64 6.43310928e+00 1.92993283e-01 
419 1112.33 5.77604675e+00 1.73281401e-01 
418 1114.02 4.72357321e+00 1.41707197e-01 
417 1115.70 4.24958467e+00 1.27487540e-01 
416 1117.39 3.89137840e+00 1.16741352e-01 
415 1119.07 3.80664134e+00 1.14199243e-01 
414 1120.76 3.58934164e+00 1.07680246e-01 
413 1122.44 3.72389197e+00 1.11716762e-01 
412 1124.12 3.40178394e+00 1.02053516e-01 
411 1125.79 3.38461280e+00 1.01538382e-01 
410 1127.47 3.62343097e+00 1.08702928e-01 
409 1129.14 4.31753922e+00 1.29526183e-01 
408 1130.81 3.82435298e+00 1.14730589e-01 
407 1132.48 3.78937650e+00 1.13681294e-01 
406 1134.15 3.71133256e+00 1.11339979e-01 
405 1135.81 4.37367487e+00 1.31210253e-01 
404 1137.48 5.52184772e+00 1.65655434e-01 
403 1139.14 5.56468010e+00 1.66940406e-01 
402 1140.80 5.52597046e+00 1.65779114e-01 
401 1142.46 4.81100082e+00 1.44330025e-01 
