% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\sleblan2\Research\ORACLES\data_2017\4STAR_20171025starsun.mat and recorded on 2017-10-26 13:18:47.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
511 949.79 3.01972127e+00 9.05916393e-02 
510 949.79 3.33429050e+00 1.00028716e-01 
509 951.68 3.66362929e+00 1.09908879e-01 
508 953.57 3.74816370e+00 1.12444907e-01 
507 955.46 4.15142918e+00 1.24542877e-01 
506 957.34 4.29634905e+00 1.28890470e-01 
505 959.22 4.81613350e+00 1.44483998e-01 
504 961.10 5.05017328e+00 1.51505202e-01 
503 962.98 5.63794613e+00 1.69138387e-01 
502 964.85 5.87058353e+00 1.76117510e-01 
501 966.72 6.59280062e+00 1.97784021e-01 
500 968.59 6.89338398e+00 2.06801519e-01 
499 970.45 7.39850807e+00 2.21955240e-01 
498 972.32 7.28655291e+00 2.18596593e-01 
497 974.18 7.57199287e+00 2.27159783e-01 
496 976.04 7.52861309e+00 2.25858390e-01 
495 977.89 7.98007202e+00 2.39402160e-01 
494 979.74 8.05590248e+00 2.41677076e-01 
493 981.59 8.46776962e+00 2.54033089e-01 
492 983.44 8.51283360e+00 2.55385011e-01 
491 985.29 8.85359097e+00 2.65607715e-01 
490 987.13 8.73930359e+00 2.62179106e-01 
489 988.97 9.02539921e+00 2.70761967e-01 
488 990.81 8.83350563e+00 2.65005171e-01 
487 992.65 9.02332878e+00 2.70699859e-01 
486 994.48 8.84789085e+00 2.65436739e-01 
485 996.31 9.01070976e+00 2.70321280e-01 
484 998.14 8.77157116e+00 2.63147146e-01 
483 999.97 8.93814087e+00 2.68144220e-01 
482 1001.79 8.64358330e+00 2.59307504e-01 
481 1003.62 8.72819805e+00 2.61845946e-01 
480 1005.44 8.50754166e+00 2.55226254e-01 
479 1007.25 8.77252293e+00 2.63175696e-01 
478 1009.07 8.57562256e+00 2.57268667e-01 
477 1010.88 8.73537636e+00 2.62061298e-01 
476 1012.69 8.48543167e+00 2.54562944e-01 
475 1014.50 8.59520149e+00 2.57856041e-01 
474 1016.31 8.36903954e+00 2.51071185e-01 
