% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from C:\Users\sleblan2\Research\ORACLES\data_2017\4STAR_20171025starsun.mat and recorded on 2017-10-26 13:18:47.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.98 -1.00000000e+00 -1.00000000e+00 
2 174.77 -1.00000000e+00 -1.00000000e+00 
3 175.56 -1.00000000e+00 -1.00000000e+00 
4 176.36 -1.00000000e+00 -1.00000000e+00 
5 177.15 -1.00000000e+00 -1.00000000e+00 
6 177.94 -1.00000000e+00 -1.00000000e+00 
7 178.74 -1.00000000e+00 -1.00000000e+00 
8 179.53 -1.00000000e+00 -1.00000000e+00 
9 180.33 -1.00000000e+00 -1.00000000e+00 
10 181.12 -1.00000000e+00 -1.00000000e+00 
11 181.92 -1.00000000e+00 -1.00000000e+00 
12 182.71 -1.00000000e+00 -1.00000000e+00 
13 183.51 -1.00000000e+00 -1.00000000e+00 
14 184.30 -1.00000000e+00 -1.00000000e+00 
15 185.10 -1.00000000e+00 -1.00000000e+00 
16 185.89 -1.00000000e+00 -1.00000000e+00 
17 186.69 -1.00000000e+00 -1.00000000e+00 
18 187.49 -1.00000000e+00 -1.00000000e+00 
19 188.28 -1.00000000e+00 -1.00000000e+00 
20 189.08 -1.00000000e+00 -1.00000000e+00 
21 189.88 -1.00000000e+00 -1.00000000e+00 
22 190.67 -1.00000000e+00 -1.00000000e+00 
23 191.47 -1.00000000e+00 -1.00000000e+00 
24 192.27 -1.00000000e+00 -1.00000000e+00 
25 193.07 -1.00000000e+00 -1.00000000e+00 
26 193.86 -1.00000000e+00 -1.00000000e+00 
27 194.66 -1.00000000e+00 -1.00000000e+00 
28 195.46 -1.00000000e+00 -1.00000000e+00 
29 196.26 -1.00000000e+00 -1.00000000e+00 
30 197.05 -1.00000000e+00 -1.00000000e+00 
31 197.85 -1.00000000e+00 -1.00000000e+00 
32 198.65 -1.00000000e+00 -1.00000000e+00 
33 199.45 -1.00000000e+00 -1.00000000e+00 
34 200.25 -1.00000000e+00 -1.00000000e+00 
35 201.05 -1.00000000e+00 -1.00000000e+00 
36 201.85 -1.00000000e+00 -1.00000000e+00 
37 202.65 -1.00000000e+00 -1.00000000e+00 
38 203.44 -1.00000000e+00 -1.00000000e+00 
39 204.24 -1.00000000e+00 -1.00000000e+00 
40 205.04 -1.00000000e+00 -1.00000000e+00 
41 205.84 -1.00000000e+00 -1.00000000e+00 
42 206.64 -1.00000000e+00 -1.00000000e+00 
43 207.44 -1.00000000e+00 -1.00000000e+00 
44 208.24 -1.00000000e+00 -1.00000000e+00 
45 209.04 -1.00000000e+00 -1.00000000e+00 
46 209.84 -1.00000000e+00 -1.00000000e+00 
47 210.64 -1.00000000e+00 -1.00000000e+00 
48 211.44 -1.00000000e+00 -1.00000000e+00 
49 212.24 -1.00000000e+00 -1.00000000e+00 
50 213.04 -1.00000000e+00 -1.00000000e+00 
51 213.85 -1.00000000e+00 -1.00000000e+00 
52 214.65 -1.00000000e+00 -1.00000000e+00 
53 215.45 -1.00000000e+00 -1.00000000e+00 
54 216.25 -1.00000000e+00 -1.00000000e+00 
55 217.05 -1.00000000e+00 -1.00000000e+00 
56 217.85 -1.00000000e+00 -1.00000000e+00 
57 218.65 -1.00000000e+00 -1.00000000e+00 
58 219.46 -1.00000000e+00 -1.00000000e+00 
59 220.26 -1.00000000e+00 -1.00000000e+00 
60 221.06 -1.00000000e+00 -1.00000000e+00 
61 221.86 -1.00000000e+00 -1.00000000e+00 
62 222.66 1.85028780e+00 5.55086322e-02 
63 223.47 2.47617579e+00 7.42852762e-02 
64 224.27 3.72274303e+00 1.11682288e-01 
65 225.07 3.35309792e+00 1.00592941e-01 
66 225.87 2.79107904e+00 8.37323740e-02 
67 226.68 3.29713583e+00 9.89140719e-02 
68 227.48 3.22024202e+00 9.66072604e-02 
69 228.28 3.50395036e+00 1.05118513e-01 
70 229.08 3.67087603e+00 1.10126279e-01 
71 229.89 3.51997328e+00 1.05599195e-01 
72 230.69 3.38853598e+00 1.01656079e-01 
73 231.49 3.57867956e+00 1.07360385e-01 
74 232.30 3.44042730e+00 1.03212819e-01 
75 233.10 3.40078616e+00 1.02023587e-01 
76 233.90 3.37396073e+00 1.01218820e-01 
77 234.71 3.02624536e+00 9.07873586e-02 
78 235.51 3.69585848e+00 1.10875756e-01 
79 236.32 3.67939973e+00 1.10381991e-01 
80 237.12 5.24402428e+00 1.57320723e-01 
81 237.92 -1.00000000e+00 -1.00000000e+00 
82 238.73 -1.00000000e+00 -1.00000000e+00 
83 239.53 -1.00000000e+00 -1.00000000e+00 
84 240.34 -1.00000000e+00 -1.00000000e+00 
85 241.14 -1.00000000e+00 -1.00000000e+00 
86 241.94 -1.00000000e+00 -1.00000000e+00 
87 242.75 -1.00000000e+00 -1.00000000e+00 
88 243.55 -1.00000000e+00 -1.00000000e+00 
89 244.36 -1.00000000e+00 -1.00000000e+00 
90 245.16 -1.00000000e+00 -1.00000000e+00 
91 245.97 -1.00000000e+00 -1.00000000e+00 
92 246.77 -1.00000000e+00 -1.00000000e+00 
93 247.58 -1.00000000e+00 -1.00000000e+00 
94 248.38 -1.00000000e+00 -1.00000000e+00 
95 249.19 -1.00000000e+00 -1.00000000e+00 
96 249.99 -1.00000000e+00 -1.00000000e+00 
97 250.80 -1.00000000e+00 -1.00000000e+00 
98 251.60 -1.00000000e+00 -1.00000000e+00 
99 252.41 -1.00000000e+00 -1.00000000e+00 
100 253.21 -1.00000000e+00 -1.00000000e+00 
101 254.02 -1.00000000e+00 -1.00000000e+00 
102 254.82 -1.00000000e+00 -1.00000000e+00 
103 255.63 -1.00000000e+00 -1.00000000e+00 
104 256.44 -1.00000000e+00 -1.00000000e+00 
105 257.24 -1.00000000e+00 -1.00000000e+00 
106 258.05 -1.00000000e+00 -1.00000000e+00 
107 258.85 -1.00000000e+00 -1.00000000e+00 
108 259.66 -1.00000000e+00 -1.00000000e+00 
109 260.46 -1.00000000e+00 -1.00000000e+00 
110 261.27 -1.00000000e+00 -1.00000000e+00 
111 262.08 -1.00000000e+00 -1.00000000e+00 
112 262.88 -1.00000000e+00 -1.00000000e+00 
113 263.69 -1.00000000e+00 -1.00000000e+00 
114 264.49 -1.00000000e+00 -1.00000000e+00 
115 265.30 -1.00000000e+00 -1.00000000e+00 
116 266.11 -1.00000000e+00 -1.00000000e+00 
117 266.91 -1.00000000e+00 -1.00000000e+00 
118 267.72 -1.00000000e+00 -1.00000000e+00 
119 268.53 -1.00000000e+00 -1.00000000e+00 
120 269.33 -1.00000000e+00 -1.00000000e+00 
121 270.14 -1.00000000e+00 -1.00000000e+00 
122 270.95 -1.00000000e+00 -1.00000000e+00 
123 271.75 4.09603310e+00 1.22880995e-01 
124 272.56 3.63309479e+00 1.08992845e-01 
125 273.37 2.89912033e+00 8.69736075e-02 
126 274.17 3.22179008e+00 9.66536999e-02 
127 274.98 3.05167961e+00 9.15503874e-02 
128 275.79 3.39301133e+00 1.01790339e-01 
129 276.59 3.42884517e+00 1.02865353e-01 
130 277.40 3.51189899e+00 1.05356969e-01 
131 278.21 3.50923395e+00 1.05277017e-01 
132 279.01 3.27561092e+00 9.82683301e-02 
133 279.82 2.96942234e+00 8.90826732e-02 
134 280.63 2.99348831e+00 8.98046494e-02 
135 281.43 3.20334649e+00 9.61003974e-02 
136 282.24 4.20455599e+00 1.26136675e-01 
137 283.05 5.25576019e+00 1.57672808e-01 
138 283.86 6.02010679e+00 1.80603206e-01 
139 284.66 6.69320297e+00 2.00796083e-01 
140 285.47 7.29637146e+00 2.18891144e-01 
141 286.28 9.30898380e+00 2.79269516e-01 
142 287.09 1.06459246e+01 3.19377750e-01 
143 287.89 1.19760666e+01 3.59281987e-01 
144 288.70 1.53084507e+01 4.59253520e-01 
145 289.51 1.46720390e+01 4.40161169e-01 
146 290.32 1.76518402e+01 5.29555202e-01 
147 291.12 2.83519020e+01 8.50557089e-01 
148 291.93 2.01060429e+01 6.03181303e-01 
149 292.74 1.48544207e+01 4.45632607e-01 
150 293.55 1.13645849e+01 3.40937555e-01 
151 294.35 8.84666348e+00 2.65399903e-01 
152 295.16 7.04943609e+00 2.11483076e-01 
153 295.97 5.67356634e+00 1.70206994e-01 
154 296.78 4.66600037e+00 1.39980018e-01 
155 297.58 3.90054178e+00 1.17016256e-01 
156 298.39 3.35226655e+00 1.00567997e-01 
157 299.20 2.90693307e+00 8.72079954e-02 
158 300.01 2.56576061e+00 7.69728199e-02 
159 300.81 2.27829242e+00 6.83487728e-02 
160 301.62 2.08257365e+00 6.24772087e-02 
161 302.43 1.90624964e+00 5.71874902e-02 
162 303.24 1.75922728e+00 5.27768172e-02 
163 304.04 1.65007246e+00 4.95021753e-02 
164 304.85 1.54325259e+00 4.62975763e-02 
165 305.66 1.44736862e+00 4.34210598e-02 
166 306.47 1.37735653e+00 4.13206965e-02 
167 307.28 1.31489086e+00 3.94467264e-02 
168 308.08 1.26604819e+00 3.79814468e-02 
169 308.89 1.22732651e+00 3.68197970e-02 
170 309.70 1.19269300e+00 3.57807912e-02 
171 310.51 1.15738702e+00 3.47216092e-02 
172 311.32 1.12398446e+00 3.37195322e-02 
173 312.12 1.09804976e+00 3.29414941e-02 
174 312.93 1.07694972e+00 3.23084928e-02 
175 313.74 1.04796875e+00 3.14390622e-02 
176 314.55 1.04835165e+00 3.14505510e-02 
177 315.36 1.03342605e+00 3.10027823e-02 
178 316.16 1.02909160e+00 3.08727473e-02 
179 316.97 1.02928698e+00 3.08786090e-02 
180 317.78 1.02647114e+00 3.07941344e-02 
181 318.59 1.01860762e+00 3.05582285e-02 
182 319.40 1.02079523e+00 3.06238569e-02 
183 320.20 1.02386248e+00 3.07158753e-02 
184 321.01 1.02672577e+00 3.08017731e-02 
185 321.82 1.03713071e+00 3.11139207e-02 
186 322.63 1.03882372e+00 3.11647113e-02 
187 323.43 1.03889203e+00 3.11667603e-02 
188 324.24 1.04175663e+00 3.12526971e-02 
189 325.05 1.05574906e+00 3.16724703e-02 
190 325.86 1.08513832e+00 3.25541496e-02 
191 326.67 1.09538710e+00 3.28616127e-02 
192 327.48 1.10841656e+00 3.32524963e-02 
193 328.28 1.13172507e+00 3.39517519e-02 
194 329.09 1.15522993e+00 3.46568972e-02 
195 329.90 1.18655837e+00 3.55967507e-02 
196 330.71 1.20210421e+00 3.60631272e-02 
197 331.52 1.25370252e+00 3.76110747e-02 
198 332.32 1.31669462e+00 3.95008400e-02 
199 333.13 1.44334424e+00 4.33003269e-02 
200 333.94 1.64564610e+00 4.93693836e-02 
201 334.75 1.99627388e+00 5.98882176e-02 
202 335.55 2.49165726e+00 7.47497156e-02 
203 336.36 3.26762891e+00 9.80288684e-02 
204 337.17 4.56920815e+00 1.37076244e-01 
205 337.98 6.50375175e+00 1.95112556e-01 
206 338.79 9.00654507e+00 2.70196348e-01 
207 339.60 1.20255795e+01 3.60767394e-01 
208 340.40 1.49295282e+01 4.47885841e-01 
209 341.21 1.78097687e+01 5.34293056e-01 
210 342.02 2.11517925e+01 6.34553790e-01 
211 342.83 2.41161575e+01 7.23484755e-01 
212 343.63 2.49919014e+01 7.49757051e-01 
213 344.44 2.70913849e+01 8.12741518e-01 
214 345.25 3.09640541e+01 9.28921640e-01 
215 346.06 3.47668991e+01 1.04300702e+00 
216 346.87 3.73195229e+01 1.11958563e+00 
217 347.67 3.94818230e+01 1.18445468e+00 
218 348.48 4.15888901e+01 1.24766672e+00 
219 349.29 4.52682724e+01 1.35804820e+00 
220 350.10 5.06849442e+01 1.52054834e+00 
221 350.90 5.41934433e+01 1.62580335e+00 
222 351.71 5.47221603e+01 1.64166486e+00 
223 352.52 5.69355392e+01 1.70806623e+00 
224 353.33 6.33649597e+01 1.90094876e+00 
225 354.14 7.05988464e+01 2.11796546e+00 
226 354.94 7.33493881e+01 2.20048165e+00 
227 355.75 7.20152817e+01 2.16045856e+00 
228 356.56 6.72995605e+01 2.01898670e+00 
229 357.37 6.36418762e+01 1.90925634e+00 
230 358.18 6.44741898e+01 1.93422568e+00 
231 358.98 7.45191116e+01 2.23557329e+00 
232 359.79 8.61251526e+01 2.58375454e+00 
233 360.60 8.68885498e+01 2.60665655e+00 
234 361.41 8.65519562e+01 2.59655857e+00 
235 362.21 9.28021164e+01 2.78406358e+00 
236 363.02 9.84765549e+01 2.95429659e+00 
237 363.83 1.02037796e+02 3.06113386e+00 
238 364.64 1.08708832e+02 3.26126504e+00 
239 365.44 1.19597282e+02 3.58791852e+00 
240 366.25 1.27756645e+02 3.83269930e+00 
241 367.06 1.28136490e+02 3.84409475e+00 
242 367.87 1.26459602e+02 3.79378796e+00 
243 368.67 1.29557007e+02 3.88671017e+00 
244 369.48 1.35389389e+02 4.06168175e+00 
245 370.29 1.35891678e+02 4.07675028e+00 
246 371.10 1.34657471e+02 4.03972435e+00 
247 371.90 1.30789795e+02 3.92369390e+00 
248 372.71 1.23083893e+02 3.69251680e+00 
249 373.52 1.16617096e+02 3.49851298e+00 
250 374.33 1.17685616e+02 3.53056836e+00 
251 375.13 1.27064957e+02 3.81194878e+00 
252 375.94 1.38788467e+02 4.16365385e+00 
253 376.75 1.51513794e+02 4.54541397e+00 
254 377.56 1.65819427e+02 4.97458267e+00 
255 378.36 1.67094711e+02 5.01284122e+00 
256 379.17 1.57841537e+02 4.73524618e+00 
257 379.98 1.55933472e+02 4.67800426e+00 
258 380.78 1.55202194e+02 4.65606594e+00 
259 381.59 1.38825272e+02 4.16475821e+00 
260 382.40 1.17870216e+02 3.53610659e+00 
261 383.20 1.10646698e+02 3.31940103e+00 
262 384.01 1.22695099e+02 3.68085289e+00 
263 384.82 1.38238159e+02 4.14714479e+00 
264 385.63 1.43076767e+02 4.29230309e+00 
265 386.43 1.44158569e+02 4.32475710e+00 
266 387.24 1.44956375e+02 4.34869146e+00 
267 388.05 1.47533295e+02 4.42599869e+00 
268 388.85 1.57592911e+02 4.72778749e+00 
269 389.66 1.72240936e+02 5.16722822e+00 
270 390.47 1.82793716e+02 5.48381138e+00 
271 391.27 1.81760895e+02 5.45282698e+00 
272 392.08 1.58466492e+02 4.75399494e+00 
273 392.89 1.27661156e+02 3.82983470e+00 
274 393.69 1.25915718e+02 3.77747154e+00 
275 394.50 1.53665497e+02 4.60996485e+00 
276 395.31 1.67766296e+02 5.03298903e+00 
277 396.11 1.52518814e+02 4.57556438e+00 
278 396.92 1.47580856e+02 4.42742586e+00 
279 397.73 1.80091614e+02 5.40274858e+00 
280 398.53 2.20502670e+02 6.61507988e+00 
281 399.34 2.43759354e+02 7.31278038e+00 
282 400.15 2.55185379e+02 7.65556145e+00 
283 400.95 2.64181610e+02 7.92544842e+00 
284 401.76 2.70751648e+02 8.12254906e+00 
285 402.57 2.71986115e+02 8.15958309e+00 
286 403.37 2.70197968e+02 8.10593891e+00 
287 404.18 2.69306091e+02 8.07918262e+00 
288 404.99 2.68103333e+02 8.04310036e+00 
289 405.79 2.66681183e+02 8.00043583e+00 
290 406.60 2.67687012e+02 8.03061008e+00 
291 407.40 2.75144714e+02 8.25434113e+00 
292 408.21 2.85640259e+02 8.56920815e+00 
293 409.02 2.87709991e+02 8.63129997e+00 
294 409.82 2.82728577e+02 8.48185730e+00 
295 410.63 2.87210083e+02 8.61630249e+00 
296 411.43 2.99521179e+02 8.98563576e+00 
297 412.24 3.05427246e+02 9.16281700e+00 
298 413.05 3.04753540e+02 9.14260578e+00 
299 413.85 3.03801453e+02 9.11404324e+00 
300 414.66 3.03031189e+02 9.09093571e+00 
301 415.46 3.03071350e+02 9.09214020e+00 
302 416.27 3.01964233e+02 9.05892658e+00 
303 417.08 2.96588348e+02 8.89765072e+00 
304 417.88 2.91196930e+02 8.73590755e+00 
305 418.69 2.89322510e+02 8.67967510e+00 
306 419.49 2.90225739e+02 8.70677185e+00 
307 420.30 2.94554047e+02 8.83662128e+00 
308 421.11 2.97926544e+02 8.93779659e+00 
309 421.91 2.94703522e+02 8.84110546e+00 
310 422.72 2.90570251e+02 8.71710777e+00 
311 423.52 2.92364807e+02 8.77094460e+00 
312 424.33 2.96793915e+02 8.90381718e+00 
313 425.13 2.99644470e+02 8.98933411e+00 
314 425.94 3.00949951e+02 9.02849865e+00 
315 426.74 3.01974152e+02 9.05922413e+00 
316 427.55 3.03189880e+02 9.09569645e+00 
317 428.36 3.00378357e+02 9.01135063e+00 
318 429.16 2.88246338e+02 8.64739037e+00 
319 429.96 2.77402679e+02 8.32208061e+00 
320 430.77 2.90303406e+02 8.70910263e+00 
321 431.58 3.25248596e+02 9.75745773e+00 
322 432.38 3.56198364e+02 1.06859512e+01 
323 433.19 3.70003937e+02 1.11001177e+01 
324 433.99 3.79634521e+02 1.13890352e+01 
325 434.80 3.98151306e+02 1.19445391e+01 
326 435.60 4.21339478e+02 1.26401844e+01 
327 436.41 4.34910583e+02 1.30473175e+01 
328 437.21 4.33588684e+02 1.30076609e+01 
329 438.02 4.28910919e+02 1.28673277e+01 
330 438.82 4.34491272e+02 1.30347385e+01 
331 439.63 4.50032654e+02 1.35009794e+01 
332 440.43 4.69908630e+02 1.40972586e+01 
333 441.24 4.90483734e+02 1.47145119e+01 
334 442.04 5.08574280e+02 1.52572289e+01 
335 442.85 5.20922791e+02 1.56276836e+01 
336 443.65 5.29031555e+02 1.58709469e+01 
337 444.45 5.32564880e+02 1.59769468e+01 
338 445.26 5.32588501e+02 1.59776554e+01 
339 446.06 5.38398743e+02 1.61519623e+01 
340 446.87 5.53165955e+02 1.65949783e+01 
341 447.67 5.69863281e+02 1.70958977e+01 
342 448.48 5.82359741e+02 1.74707928e+01 
343 449.28 5.94907715e+02 1.78472309e+01 
344 450.09 6.08433533e+02 1.82530060e+01 
345 450.89 6.15145508e+02 1.84543648e+01 
346 451.70 6.08309998e+02 1.82493000e+01 
347 452.50 5.96706909e+02 1.79012070e+01 
348 453.30 5.93326599e+02 1.77997971e+01 
349 454.11 5.98758484e+02 1.79627552e+01 
350 454.91 6.09073303e+02 1.82721996e+01 
351 455.72 6.19992004e+02 1.85997601e+01 
352 456.52 6.28904419e+02 1.88671322e+01 
353 457.32 6.32353821e+02 1.89706154e+01 
354 458.13 6.31169006e+02 1.89350700e+01 
355 458.93 6.31066650e+02 1.89319992e+01 
356 459.74 6.36365356e+02 1.90909615e+01 
357 460.54 6.45707397e+02 1.93712215e+01 
358 461.34 6.55317810e+02 1.96595345e+01 
359 462.15 6.61323853e+02 1.98397160e+01 
360 462.95 6.61240234e+02 1.98372078e+01 
361 463.76 6.56496582e+02 1.96948967e+01 
362 464.56 6.51959778e+02 1.95587940e+01 
363 465.36 6.49018372e+02 1.94705505e+01 
364 466.17 6.47849915e+02 1.94354973e+01 
365 466.97 6.49602905e+02 1.94880867e+01 
366 467.77 6.53999207e+02 1.96199760e+01 
367 468.58 6.57591553e+02 1.97277470e+01 
368 469.38 6.57265869e+02 1.97179756e+01 
369 470.18 6.58060181e+02 1.97418060e+01 
370 470.99 6.65786743e+02 1.99736023e+01 
371 471.79 6.76406494e+02 2.02921944e+01 
372 472.59 6.85068665e+02 2.05520592e+01 
373 473.40 6.91675781e+02 2.07502728e+01 
374 474.20 6.96798584e+02 2.09039574e+01 
375 475.00 6.99406738e+02 2.09822025e+01 
376 475.81 7.00970581e+02 2.10291176e+01 
377 476.61 7.05317871e+02 2.11595364e+01 
378 477.41 7.12770874e+02 2.13831253e+01 
379 478.21 7.19577515e+02 2.15873260e+01 
380 479.02 7.24060303e+02 2.17218094e+01 
381 479.82 7.27058105e+02 2.18117428e+01 
382 480.62 7.30289124e+02 2.19086742e+01 
383 481.43 7.31521484e+02 2.19456444e+01 
384 482.23 7.29334229e+02 2.18800278e+01 
385 483.03 7.23031799e+02 2.16909542e+01 
386 483.84 7.10227661e+02 2.13068295e+01 
387 484.64 6.85550659e+02 2.05665207e+01 
388 485.44 6.56766174e+02 1.97029858e+01 
389 486.24 6.43275574e+02 1.92982674e+01 
390 487.04 6.51017883e+02 1.95305367e+01 
391 487.85 6.71883911e+02 2.01565170e+01 
392 488.65 6.93433960e+02 2.08030186e+01 
393 489.45 7.07198364e+02 2.12159500e+01 
394 490.26 7.10224976e+02 2.13067493e+01 
395 491.06 7.05654297e+02 2.11696281e+01 
396 491.86 7.00308105e+02 2.10092430e+01 
397 492.66 7.01625366e+02 2.10487614e+01 
398 493.46 7.10041809e+02 2.13012543e+01 
399 494.27 7.18439636e+02 2.15531883e+01 
400 495.07 7.22386658e+02 2.16716003e+01 
401 495.87 7.23319031e+02 2.16995716e+01 
402 496.67 7.19179993e+02 2.15753994e+01 
403 497.48 7.12542847e+02 2.13762856e+01 
404 498.28 7.06180054e+02 2.11854019e+01 
405 499.08 6.99170288e+02 2.09751091e+01 
406 499.88 6.91371460e+02 2.07411442e+01 
407 500.68 6.84924622e+02 2.05477390e+01 
408 501.48 6.83238831e+02 2.04971657e+01 
409 502.29 6.86804810e+02 2.06041451e+01 
410 503.09 6.91932129e+02 2.07579632e+01 
411 503.89 6.98353271e+02 2.09505978e+01 
412 504.69 7.06221802e+02 2.11866531e+01 
413 505.49 7.12127441e+02 2.13638229e+01 
414 506.29 7.11963745e+02 2.13589115e+01 
415 507.09 7.07317139e+02 2.12195148e+01 
416 507.90 7.03296814e+02 2.10989037e+01 
417 508.70 7.02385559e+02 2.10715675e+01 
418 509.50 7.03541992e+02 2.11062603e+01 
419 510.30 7.04785339e+02 2.11435604e+01 
420 511.10 7.03363892e+02 2.11009159e+01 
421 511.90 6.98208435e+02 2.09462528e+01 
422 512.71 6.90342285e+02 2.07102680e+01 
423 513.51 6.82416077e+02 2.04724827e+01 
424 514.31 6.76537476e+02 2.02961235e+01 
425 515.11 6.65762634e+02 1.99728794e+01 
426 515.91 6.47092529e+02 1.94127750e+01 
427 516.71 6.29396729e+02 1.88819027e+01 
428 517.51 6.21048340e+02 1.86314507e+01 
429 518.31 6.27616211e+02 1.88284855e+01 
430 519.11 6.43881714e+02 1.93164520e+01 
431 519.91 6.59238281e+02 1.97771492e+01 
432 520.71 6.70155762e+02 2.01046734e+01 
433 521.52 6.74087891e+02 2.02226372e+01 
434 522.32 6.76740356e+02 2.03022099e+01 
435 523.12 6.82224121e+02 2.04667244e+01 
436 523.92 6.87571899e+02 2.06271572e+01 
437 524.72 6.86665649e+02 2.05999699e+01 
438 525.52 6.75461487e+02 2.02638454e+01 
439 526.32 6.63184753e+02 1.98955421e+01 
440 527.12 6.62721008e+02 1.98816299e+01 
441 527.92 6.73866150e+02 2.02159843e+01 
442 528.72 6.89292358e+02 2.06787701e+01 
443 529.52 7.01244019e+02 2.10373211e+01 
444 530.32 7.05982422e+02 2.11794720e+01 
445 531.12 7.02331970e+02 2.10699596e+01 
446 531.92 6.94985168e+02 2.08495560e+01 
447 532.72 6.89138245e+02 2.06741467e+01 
448 533.52 6.89544495e+02 2.06863346e+01 
449 534.32 6.95943848e+02 2.08783150e+01 
450 535.12 7.01228638e+02 2.10368595e+01 
451 535.92 7.01262451e+02 2.10378742e+01 
452 536.72 6.99081970e+02 2.09724598e+01 
453 537.52 6.96170227e+02 2.08851070e+01 
454 538.32 6.91607544e+02 2.07482262e+01 
455 539.12 6.85337891e+02 2.05601368e+01 
456 539.92 6.79941345e+02 2.03982410e+01 
457 540.72 6.78914001e+02 2.03674202e+01 
458 541.52 6.82063110e+02 2.04618931e+01 
459 542.32 6.87659790e+02 2.06297932e+01 
460 543.12 6.92810669e+02 2.07843208e+01 
461 543.92 6.96618530e+02 2.08985558e+01 
462 544.72 6.99164978e+02 2.09749489e+01 
463 545.52 6.99084961e+02 2.09725494e+01 
464 546.32 6.95793884e+02 2.08738174e+01 
465 547.12 6.91852295e+02 2.07555695e+01 
466 547.91 6.89673706e+02 2.06902103e+01 
467 548.71 6.89137573e+02 2.06741276e+01 
468 549.51 6.89080383e+02 2.06724110e+01 
469 550.31 6.88684570e+02 2.06605377e+01 
470 551.11 6.87956299e+02 2.06386890e+01 
471 551.91 6.87256592e+02 2.06176987e+01 
472 552.71 6.87280151e+02 2.06184044e+01 
473 553.51 6.89428467e+02 2.06828537e+01 
474 554.31 6.90357422e+02 2.07107220e+01 
475 555.10 6.88214844e+02 2.06464462e+01 
476 555.90 6.83684998e+02 2.05105495e+01 
477 556.70 6.78156860e+02 2.03447056e+01 
478 557.50 6.70091858e+02 2.01027565e+01 
479 558.30 6.63966919e+02 1.99190083e+01 
480 559.10 6.63099365e+02 1.98929806e+01 
481 559.90 6.64204102e+02 1.99261227e+01 
482 560.70 6.67767517e+02 2.00330257e+01 
483 561.49 6.73761108e+02 2.02128334e+01 
484 562.29 6.77403198e+02 2.03220959e+01 
485 563.09 6.79261108e+02 2.03778324e+01 
