% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2018-04-13 16:00:37.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , MLO -av-g-, infl-ig-ht, infl-ig-ht, high- a-lt, high- a-lt, high- a-lt, Ames- r-oo. See the list of files below
% 20170605_NIR_C0_refined_Langley_MLO_May2017_averages.dat
% 20170807_NIR_C0_refined_langley_4STARpm.dat
% 20170807_NIR_C0_refined_langley_4STAR_subset_pm.dat
% 20170809_NIR_C0_refined_high_alt_low_m_frompolyfit.dat
% 20170815_NIR_C0_refined_high_alt_low_m_frompolyfit.dat
% 20170903_NIR_C0_refined_high_alt_low_m_frompolyfitBonanza.dat
% 20171026_NIR_C0_refined_langley_4STARam_Ames_roof_.dat
Pix Wavelength C0 C0err
511 949.79 4.69005374e+00 8.22682307e-01 
510 949.79 4.90025768e+00 7.43561501e-01 
509 951.68 5.25935617e+00 7.65611155e-01 
508 953.57 5.32069636e+00 7.51042481e-01 
507 955.46 5.76394641e+00 7.63070763e-01 
506 957.34 5.87521128e+00 7.47070523e-01 
505 959.22 6.34735168e+00 7.17365406e-01 
504 961.10 6.45873210e+00 6.62860101e-01 
503 962.98 6.91282463e+00 5.97400485e-01 
502 964.85 6.94990854e+00 5.07459016e-01 
501 966.72 7.48424918e+00 4.20383082e-01 
500 968.59 7.56625534e+00 3.24632609e-01 
499 970.45 7.97980422e+00 2.88184589e-01 
498 972.32 7.92132901e+00 3.10664115e-01 
497 974.18 8.25159695e+00 3.31020071e-01 
496 976.04 8.18863382e+00 3.19546755e-01 
495 977.89 8.54421164e+00 2.77206481e-01 
494 979.74 8.48315950e+00 2.14851929e-01 
493 981.59 8.79106635e+00 1.71451669e-01 
492 983.44 8.70051722e+00 1.17925695e-01 
491 985.29 8.97450240e+00 9.13223306e-02 
490 987.13 8.78612573e+00 7.07946669e-02 
489 988.97 9.03807824e+00 6.49913314e-02 
488 990.81 8.84969755e+00 6.32903182e-02 
487 992.65 9.03016851e+00 6.45398595e-02 
486 994.48 8.84012125e+00 5.84888732e-02 
485 996.31 8.98525283e+00 5.89626298e-02 
484 998.14 8.72985395e+00 5.58055260e-02 
483 999.97 8.88779177e+00 5.62393318e-02 
482 1001.79 8.59991337e+00 5.50450610e-02 
481 1003.62 8.68285140e+00 5.52128679e-02 
480 1005.44 8.47031589e+00 5.09402790e-02 
479 1007.25 8.71758486e+00 5.18630075e-02 
478 1009.07 8.53109394e+00 4.69456271e-02 
477 1010.88 8.69133779e+00 5.41248272e-02 
476 1012.69 8.43704546e+00 5.20648771e-02 
475 1014.50 8.55737407e+00 4.95059062e-02 
474 1016.31 8.34689141e+00 5.02439654e-02 
473 1018.11 8.49796883e+00 5.50630748e-02 
472 1019.91 8.25928804e+00 5.34193425e-02 
471 1021.71 8.41542889e+00 5.39954658e-02 
470 1023.51 8.19338208e+00 5.02490462e-02 
469 1025.30 8.35805166e+00 5.50513429e-02 
468 1027.09 8.24629706e+00 6.50112634e-02 
467 1028.88 8.41040825e+00 6.41141183e-02 
466 1030.67 8.24725984e+00 6.62339217e-02 
465 1032.46 8.41850671e+00 7.66805785e-02 
464 1034.24 8.26385639e+00 7.44798414e-02 
463 1036.02 8.44460156e+00 7.61109287e-02 
462 1037.80 8.33444984e+00 6.73855756e-02 
461 1039.58 8.53726853e+00 7.76251283e-02 
460 1041.35 8.40049523e+00 6.87861027e-02 
459 1043.12 8.56518839e+00 7.94925333e-02 
458 1044.89 8.47930145e+00 7.86064355e-02 
457 1046.66 8.68799932e+00 8.16047029e-02 
456 1048.43 8.61013199e+00 7.97138564e-02 
455 1050.19 8.83441071e+00 7.95212629e-02 
454 1051.95 8.68201905e+00 7.13273749e-02 
453 1053.71 8.91937796e+00 7.41323366e-02 
452 1055.47 8.74833093e+00 7.55931994e-02 
451 1057.23 8.88281314e+00 7.53597197e-02 
450 1058.98 8.73879092e+00 7.45392885e-02 
449 1060.73 8.92844931e+00 7.68549143e-02 
448 1062.48 8.73288264e+00 8.05202728e-02 
447 1064.23 8.87404783e+00 8.19233079e-02 
446 1065.97 8.57078941e+00 8.37371238e-02 
445 1067.71 8.60941001e+00 7.62395992e-02 
444 1069.46 8.41043901e+00 6.77349390e-02 
443 1071.19 8.51809166e+00 7.17776913e-02 
442 1072.93 8.35226182e+00 7.02630304e-02 
441 1074.67 8.44629594e+00 7.21036745e-02 
440 1076.40 8.25335432e+00 6.67260474e-02 
439 1078.13 8.29826761e+00 6.67684054e-02 
438 1079.86 8.06304430e+00 7.41254335e-02 
437 1081.58 8.14462214e+00 7.21461687e-02 
436 1083.31 8.01398880e+00 8.82894066e-02 
435 1085.03 8.17941677e+00 9.60625578e-02 
434 1086.75 8.11152031e+00 1.06464293e-01 
433 1088.47 8.25847515e+00 1.05780614e-01 
432 1090.19 8.14097423e+00 1.18477315e-01 
431 1091.90 8.24436739e+00 1.31391486e-01 
430 1093.61 8.09522035e+00 1.49630777e-01 
429 1095.33 8.28313914e+00 1.74842468e-01 
428 1097.03 8.30006678e+00 2.19537102e-01 
427 1098.74 8.51001259e+00 2.64966102e-01 
426 1100.45 8.48449077e+00 3.11218445e-01 
425 1102.15 8.74552220e+00 3.61736469e-01 
424 1103.85 8.70243490e+00 4.11779567e-01 
423 1105.55 8.90352880e+00 4.91086776e-01 
422 1107.25 8.81068878e+00 5.69800160e-01 
421 1108.94 8.91049276e+00 6.79078135e-01 
420 1110.64 8.62065962e+00 8.77060722e-01 
419 1112.33 8.53097099e+00 1.15345277e+00 
418 1114.02 8.04530613e+00 1.45990812e+00 
417 1115.70 7.90764871e+00 1.67099137e+00 
416 1117.39 7.60859429e+00 1.76126766e+00 
415 1119.07 7.55781600e+00 1.84815633e+00 
414 1120.76 7.33751198e+00 2.01342537e+00 
413 1122.44 7.41931390e+00 1.92561686e+00 
412 1124.12 7.26919541e+00 2.06550250e+00 
411 1125.79 7.48945857e+00 1.96886034e+00 
410 1127.47 7.60928692e+00 1.90103823e+00 
409 1129.14 7.97418388e+00 1.71114619e+00 
408 1130.81 7.62158857e+00 1.77185777e+00 
407 1132.48 7.51896000e+00 1.82895701e+00 
406 1134.15 7.39600688e+00 1.78035943e+00 
405 1135.81 7.77731360e+00 1.56898761e+00 
404 1137.48 8.30494732e+00 1.23413845e+00 
403 1139.14 8.60056263e+00 1.11998016e+00 
402 1140.80 8.30349054e+00 1.27085057e+00 
401 1142.46 8.14516589e+00 1.56696126e+00 
400 1144.12 7.82437631e+00 1.76543626e+00 
399 1145.77 7.84187183e+00 1.82069775e+00 
398 1147.43 7.87337284e+00 1.65442551e+00 
397 1149.08 8.13103272e+00 1.44737259e+00 
396 1150.73 8.09807109e+00 1.41489582e+00 
395 1152.38 8.36705109e+00 1.32094525e+00 
394 1154.02 8.37626538e+00 1.20046701e+00 
393 1155.67 8.66486379e+00 1.03967460e+00 
392 1157.31 8.60670973e+00 8.87939578e-01 
391 1158.95 8.74797076e+00 7.88468367e-01 
390 1160.59 8.73325913e+00 6.59267654e-01 
389 1162.23 8.91822531e+00 5.69575130e-01 
388 1163.87 8.85887728e+00 4.95945863e-01 
387 1165.50 8.95045769e+00 4.64853121e-01 
386 1167.13 8.86001010e+00 4.11188990e-01 
385 1168.76 8.98575960e+00 3.26417513e-01 
384 1170.39 8.84516339e+00 3.52388793e-01 
383 1172.02 8.84974350e+00 3.50755560e-01 
382 1173.65 8.67977438e+00 3.54894377e-01 
381 1175.27 8.67559183e+00 3.42150044e-01 
380 1176.90 8.58399870e+00 2.76456492e-01 
379 1178.52 8.53494788e+00 3.40359523e-01 
378 1180.14 8.33181679e+00 3.26161626e-01 
377 1181.75 8.31009397e+00 3.26222455e-01 
376 1183.37 8.11703260e+00 3.00832098e-01 
375 1184.99 8.15491546e+00 3.02695738e-01 
374 1186.60 8.04816271e+00 2.82793574e-01 
373 1188.21 8.03699029e+00 2.64169410e-01 
372 1189.82 7.96576075e+00 2.12028662e-01 
371 1191.43 8.16111637e+00 1.67819822e-01 
370 1193.04 8.04965008e+00 1.60482000e-01 
369 1194.64 8.01618119e+00 1.72299013e-01 
368 1196.24 7.81690473e+00 2.01924826e-01 
367 1197.85 7.86428285e+00 2.13829441e-01 
366 1199.45 7.72464421e+00 2.39184200e-01 
365 1201.05 7.80401968e+00 2.46673066e-01 
364 1202.64 7.75328829e+00 2.22243656e-01 
363 1204.24 7.79866864e+00 2.05771054e-01 
362 1205.83 7.73089552e+00 1.68137818e-01 
361 1207.43 7.73760989e+00 1.62251066e-01 
360 1209.02 7.68030615e+00 1.80708491e-01 
359 1210.61 7.81434227e+00 1.67346180e-01 
