% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\sleblan2\Research\4STAR\roof\4STAR_20171031starsun.mat and recorded on 2017-11-08 15:45:09.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
511 949.79 3.01400995e+00 9.04202983e-02 
510 949.79 3.18175268e+00 9.54525769e-02 
509 951.68 3.50262427e+00 1.05078727e-01 
508 953.57 3.61465025e+00 1.08439505e-01 
507 955.46 4.00551224e+00 1.20165370e-01 
506 957.34 4.13790131e+00 1.24137037e-01 
505 959.22 4.63841057e+00 1.39152318e-01 
504 961.10 4.87575388e+00 1.46272615e-01 
503 962.98 5.42980623e+00 1.62894189e-01 
502 964.85 5.65800762e+00 1.69740230e-01 
501 966.72 6.33288193e+00 1.89986452e-01 
500 968.59 6.61914635e+00 1.98574394e-01 
499 970.45 7.11014366e+00 2.13304311e-01 
498 972.32 7.01059198e+00 2.10317761e-01 
497 974.18 7.28592587e+00 2.18577772e-01 
496 976.04 7.25258493e+00 2.17577547e-01 
495 977.89 7.67465687e+00 2.30239704e-01 
494 979.74 7.76177311e+00 2.32853189e-01 
493 981.59 8.15857792e+00 2.44757339e-01 
492 983.44 8.20347404e+00 2.46104226e-01 
491 985.29 8.53336525e+00 2.56000966e-01 
490 987.13 8.42102909e+00 2.52630860e-01 
489 988.97 8.67485046e+00 2.60245502e-01 
488 990.81 8.50395012e+00 2.55118489e-01 
487 992.65 8.69430065e+00 2.60829031e-01 
486 994.48 8.52005577e+00 2.55601674e-01 
485 996.31 8.66434383e+00 2.59930313e-01 
484 998.14 8.44987583e+00 2.53496289e-01 
483 999.97 8.59288883e+00 2.57786661e-01 
482 1001.79 8.31101227e+00 2.49330372e-01 
481 1003.62 8.40005493e+00 2.52001643e-01 
480 1005.44 8.19000530e+00 2.45700166e-01 
479 1007.25 8.43812466e+00 2.53143728e-01 
478 1009.07 8.25773239e+00 2.47731969e-01 
477 1010.88 8.40441132e+00 2.52132326e-01 
476 1012.69 8.17858887e+00 2.45357662e-01 
475 1014.50 8.28606510e+00 2.48581946e-01 
474 1016.31 8.05977726e+00 2.41793320e-01 
473 1018.11 8.22329330e+00 2.46698797e-01 
472 1019.91 8.01692867e+00 2.40507856e-01 
471 1021.71 8.15190601e+00 2.44557187e-01 
470 1023.51 7.94822168e+00 2.38446653e-01 
469 1025.30 8.10962963e+00 2.43288890e-01 
468 1027.09 8.00414562e+00 2.40124375e-01 
467 1028.88 8.15076923e+00 2.44523078e-01 
466 1030.67 7.98237276e+00 2.39471182e-01 
465 1032.46 8.15345192e+00 2.44603559e-01 
464 1034.24 7.99565649e+00 2.39869699e-01 
463 1036.02 8.19200325e+00 2.45760098e-01 
462 1037.80 8.05963707e+00 2.41789117e-01 
461 1039.58 8.29165745e+00 2.48749718e-01 
460 1041.35 8.15099716e+00 2.44529918e-01 
