% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\sleblan2\Research\4STAR\roof\4STAR_20171101starsun.mat and recorded on 2017-11-08 15:14:09.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
511 949.79 2.99663353e+00 8.98990035e-02 
510 949.79 2.79179931e+00 8.37539807e-02 
509 951.68 3.21528292e+00 9.64584872e-02 
508 953.57 3.33090234e+00 9.99270678e-02 
507 955.46 3.72802687e+00 1.11840807e-01 
506 957.34 3.87202644e+00 1.16160795e-01 
505 959.22 4.37144136e+00 1.31143242e-01 
504 961.10 4.62366438e+00 1.38709933e-01 
503 962.98 5.22441483e+00 1.56732440e-01 
502 964.85 5.46938038e+00 1.64081410e-01 
501 966.72 6.20503187e+00 1.86150953e-01 
500 968.59 6.53760481e+00 1.96128145e-01 
499 970.45 7.05308676e+00 2.11592600e-01 
498 972.32 6.94002056e+00 2.08200619e-01 
497 974.18 7.19913864e+00 2.15974152e-01 
496 976.04 7.15863562e+00 2.14759067e-01 
495 977.89 7.62461710e+00 2.28738517e-01 
494 979.74 7.73135614e+00 2.31940687e-01 
493 981.59 8.17958736e+00 2.45387614e-01 
492 983.44 8.25689602e+00 2.47706875e-01 
491 985.29 8.62759590e+00 2.58827865e-01 
490 987.13 8.53279400e+00 2.55983829e-01 
489 988.97 8.81517410e+00 2.64455229e-01 
488 990.81 8.64037514e+00 2.59211242e-01 
487 992.65 8.83115768e+00 2.64934719e-01 
486 994.48 8.64788532e+00 2.59436548e-01 
485 996.31 8.80486488e+00 2.64145941e-01 
484 998.14 8.56952381e+00 2.57085711e-01 
483 999.97 8.72796535e+00 2.61838973e-01 
482 1001.79 8.43624115e+00 2.53087223e-01 
481 1003.62 8.52604008e+00 2.55781204e-01 
480 1005.44 8.31218338e+00 2.49365509e-01 
479 1007.25 8.57000256e+00 2.57100075e-01 
478 1009.07 8.37489223e+00 2.51246780e-01 
477 1010.88 8.55093575e+00 2.56528080e-01 
476 1012.69 8.30539989e+00 2.49162003e-01 
475 1014.50 8.41905975e+00 2.52571791e-01 
474 1016.31 8.19536972e+00 2.45861098e-01 
473 1018.11 8.36554623e+00 2.50966400e-01 
472 1019.91 8.13628578e+00 2.44088575e-01 
471 1021.71 8.29087257e+00 2.48726174e-01 
470 1023.51 8.06551361e+00 2.41965413e-01 
469 1025.30 8.22793579e+00 2.46838078e-01 
468 1027.09 8.11758709e+00 2.43527606e-01 
467 1028.88 8.26071739e+00 2.47821525e-01 
466 1030.67 8.09801769e+00 2.42940530e-01 
465 1032.46 8.26875496e+00 2.48062655e-01 
464 1034.24 8.10925770e+00 2.43277729e-01 
463 1036.02 8.30240631e+00 2.49072194e-01 
462 1037.80 8.17829800e+00 2.45348945e-01 
461 1039.58 8.39574814e+00 2.51872450e-01 
460 1041.35 8.26808262e+00 2.48042479e-01 
459 1043.12 8.43584538e+00 2.53075361e-01 
458 1044.89 8.35558033e+00 2.50667423e-01 
457 1046.66 8.55227661e+00 2.56568313e-01 
456 1048.43 8.47235966e+00 2.54170775e-01 
455 1050.19 8.71030617e+00 2.61309177e-01 
454 1051.95 8.54722214e+00 2.56416678e-01 
453 1053.71 8.78734970e+00 2.63620496e-01 
452 1055.47 8.62685299e+00 2.58805603e-01 
451 1057.23 8.77029991e+00 2.63108999e-01 
450 1058.98 8.65003586e+00 2.59501070e-01 
449 1060.73 8.81806278e+00 2.64541894e-01 
448 1062.48 8.62951088e+00 2.58885324e-01 
447 1064.23 8.77189541e+00 2.63156861e-01 
446 1065.97 8.48983860e+00 2.54695147e-01 
445 1067.71 8.50868988e+00 2.55260706e-01 
444 1069.46 8.30889797e+00 2.49266937e-01 
443 1071.19 8.39084530e+00 2.51725346e-01 
442 1072.93 8.20511150e+00 2.46153340e-01 
441 1074.67 8.26010895e+00 2.47803271e-01 
440 1076.40 8.05318546e+00 2.41595566e-01 
439 1078.13 8.07066059e+00 2.42119819e-01 
438 1079.86 7.79742765e+00 2.33922824e-01 
437 1081.58 7.83881378e+00 2.35164419e-01 
436 1083.31 7.65233326e+00 2.29570001e-01 
435 1085.03 7.79817533e+00 2.33945265e-01 
434 1086.75 7.68839264e+00 2.30651781e-01 
433 1088.47 7.84788322e+00 2.35436499e-01 
432 1090.19 7.69139910e+00 2.30741978e-01 
431 1091.90 7.72712660e+00 2.31813803e-01 
430 1093.61 7.51168585e+00 2.25350574e-01 
429 1095.33 7.59344482e+00 2.27803349e-01 
428 1097.03 7.46642494e+00 2.23992750e-01 
427 1098.74 7.52294874e+00 2.25688457e-01 
426 1100.45 7.38566017e+00 2.21569806e-01 
425 1102.15 7.50604486e+00 2.25181341e-01 
424 1103.85 7.34130192e+00 2.20239058e-01 
423 1105.55 7.37895966e+00 2.21368790e-01 
422 1107.25 7.14050055e+00 2.14215010e-01 
421 1108.94 7.03427696e+00 2.11028308e-01 
420 1110.64 6.31872272e+00 1.89561680e-01 
419 1112.33 5.59059668e+00 1.67717904e-01 
418 1114.02 4.41528702e+00 1.32458612e-01 
417 1115.70 3.85418224e+00 1.15625471e-01 
416 1117.39 3.34518361e+00 1.00355506e-01 
415 1119.07 3.05705118e+00 9.17115360e-02 
414 1120.76 1.73190808e+00 5.19572422e-02 
413 1122.44 2.65511107e+00 7.96533301e-02 
412 1124.12 1.53376746e+00 4.60130237e-02 
411 1125.79 2.30725574e+00 6.92176744e-02 
410 1127.47 2.43444490e+00 7.30333477e-02 
409 1129.14 3.38306856e+00 1.01492055e-01 
408 1130.81 3.23154640e+00 9.69463885e-02 
407 1132.48 3.00315022e+00 9.00945067e-02 
406 1134.15 3.10747290e+00 9.32241902e-02 
405 1135.81 3.95139432e+00 1.18541829e-01 
404 1137.48 5.03862333e+00 1.51158705e-01 
403 1139.14 5.53211164e+00 1.65963352e-01 
402 1140.80 4.89438343e+00 1.46831498e-01 
401 1142.46 3.94466043e+00 1.18339814e-01 
400 1144.12 3.10626435e+00 9.31879282e-02 
399 1145.77 3.22976851e+00 9.68930572e-02 
398 1147.43 3.72368956e+00 1.11710690e-01 
397 1149.08 4.55779171e+00 1.36733755e-01 
396 1150.73 4.52332687e+00 1.35699809e-01 
395 1152.38 4.96865892e+00 1.49059772e-01 
394 1154.02 5.27135944e+00 1.58140779e-01 
393 1155.67 5.97819042e+00 1.79345712e-01 
392 1157.31 6.29284811e+00 1.88785449e-01 
391 1158.95 6.64032221e+00 1.99209660e-01 
390 1160.59 6.91969872e+00 2.07590967e-01 
389 1162.23 7.27657127e+00 2.18297139e-01 
388 1163.87 7.41016102e+00 2.22304836e-01 
387 1165.50 7.56075954e+00 2.26822793e-01 
386 1167.13 7.59672928e+00 2.27901876e-01 
385 1168.76 7.91893911e+00 2.37568170e-01 
384 1170.39 7.68839598e+00 2.30651885e-01 
383 1172.02 7.69326782e+00 2.30798036e-01 
382 1173.65 7.50761080e+00 2.25228325e-01 
381 1175.27 7.51612329e+00 2.25483701e-01 
380 1176.90 7.62147093e+00 2.28644133e-01 
379 1178.52 7.41635275e+00 2.22490579e-01 
378 1180.14 7.27046537e+00 2.18113959e-01 
377 1181.75 7.22860241e+00 2.16858074e-01 
376 1183.37 7.09955931e+00 2.12986782e-01 
375 1184.99 7.13109589e+00 2.13932872e-01 
374 1186.60 7.08183050e+00 2.12454915e-01 
373 1188.21 7.12696362e+00 2.13808909e-01 
372 1189.82 7.18813944e+00 2.15644181e-01 
371 1191.43 7.50592518e+00 2.25177750e-01 
370 1193.04 7.41233444e+00 2.22370028e-01 
369 1194.64 7.36278057e+00 2.20883414e-01 
368 1196.24 7.08493280e+00 2.12547988e-01 
367 1197.85 7.11220789e+00 2.13366240e-01 
366 1199.45 6.90733719e+00 2.07220122e-01 
365 1201.05 6.97890282e+00 2.09367082e-01 
364 1202.64 7.00349951e+00 2.10104987e-01 
363 1204.24 7.07189274e+00 2.12156788e-01 
362 1205.83 7.12282848e+00 2.13684857e-01 
361 1207.43 7.14971590e+00 2.14491472e-01 
360 1209.02 7.03610373e+00 2.11083114e-01 
359 1210.61 7.18995047e+00 2.15698510e-01 
358 1212.19 7.18743706e+00 2.15623111e-01 
357 1213.78 7.42635345e+00 2.22790599e-01 
356 1215.37 7.42879009e+00 2.22863704e-01 
355 1216.95 7.58090878e+00 2.27427259e-01 
354 1218.53 7.53814125e+00 2.26144239e-01 
353 1220.11 7.61717844e+00 2.28515357e-01 
352 1221.69 7.61139250e+00 2.28341773e-01 
351 1223.27 7.68432760e+00 2.30529830e-01 
350 1224.84 7.69594097e+00 2.30878234e-01 
349 1226.42 7.77949572e+00 2.33384877e-01 
348 1227.99 7.79179525e+00 2.33753860e-01 
347 1229.56 7.99050331e+00 2.39715099e-01 
346 1231.13 7.95151043e+00 2.38545313e-01 
345 1232.70 8.02809525e+00 2.40842864e-01 
344 1234.27 7.97084045e+00 2.39125207e-01 
343 1235.84 8.00215912e+00 2.40064770e-01 
342 1237.40 7.94587040e+00 2.38376111e-01 
341 1238.96 7.94253683e+00 2.38276109e-01 
340 1240.52 7.77771330e+00 2.33331397e-01 
339 1242.08 7.90231180e+00 2.37069353e-01 
338 1243.64 7.88120842e+00 2.36436248e-01 
337 1245.20 7.96384430e+00 2.38915324e-01 
336 1246.75 7.91848612e+00 2.37554580e-01 
335 1248.31 7.98002434e+00 2.39400730e-01 
334 1249.86 7.88406134e+00 2.36521840e-01 
333 1251.41 7.93914223e+00 2.38174260e-01 
332 1252.96 7.83854818e+00 2.35156447e-01 
331 1254.51 7.86462879e+00 2.35938862e-01 
330 1256.06 7.74991083e+00 2.32497320e-01 
329 1257.61 7.69039631e+00 2.30711892e-01 
