% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from rooftopOct2017+in-fieldSept2017 and recorded on 2018-10-11 10:47:45.
% Based on the mean of c0s from 20170918 (in-field PLUS 3% per Yohei's analysis), and rooftop 20171024, 1025, 1026, 1101, and 1107.  C0err=2*stdev the variability within these 6 langleys.
Pix Wavelength C0 C0err
0 171.70 -8.33333313e-01 8.16496611e-01 
1 172.51 5.96339876e+10 2.92145693e+11 
2 173.33 2.67085373e+10 1.30844582e+11 
3 174.14 1.32974356e+10 6.51438653e+10 
4 174.95 8.01640858e+10 3.92722219e+11 
5 175.76 4.49039647e+10 2.19983593e+11 
6 176.58 2.40963318e+10 1.18047433e+11 
7 177.39 1.31849318e+10 6.45927117e+10 
8 178.20 7.48773018e+09 3.66822359e+10 
9 179.01 4.18526976e+09 2.05035500e+10 
10 179.83 2.41371930e+09 1.18247619e+10 
11 180.64 1.41598054e+09 6.93686016e+09 
12 181.45 8.49472064e+08 4.16154624e+09 
13 182.26 5.11636000e+08 2.50649421e+09 
14 183.08 3.11979136e+08 1.52837939e+09 
15 183.89 1.92823744e+08 9.44639616e+08 
16 184.70 1.21069488e+08 5.93116928e+08 
17 185.51 7.76589040e+07 3.80449376e+08 
18 186.33 4.97608560e+07 2.43777424e+08 
19 187.14 3.27994400e+07 1.60683792e+08 
20 187.95 2.15605520e+07 1.05624712e+08 
21 188.76 1.45276210e+07 7.11705200e+07 
22 189.57 9.91889300e+06 4.85924600e+07 
23 190.39 6.76244300e+06 3.31290740e+07 
24 191.20 4.64660000e+06 2.27636020e+07 
25 192.01 3.23370300e+06 1.58418500e+07 
26 192.82 2.26835325e+06 1.11126210e+07 
27 193.64 1.59827088e+06 7.82990100e+06 
28 194.45 1.15722963e+06 5.66924950e+06 
29 195.26 8.40257063e+05 4.11640700e+06 
30 196.07 6.00467688e+05 2.94168375e+06 
31 196.89 4.38907781e+05 2.15020525e+06 
32 197.70 3.30044375e+05 1.61688550e+06 
33 198.51 2.43723797e+05 1.19400275e+06 
34 199.32 1.83932078e+05 9.01084375e+05 
35 200.14 1.38186094e+05 6.76975688e+05 
36 200.95 1.06308281e+05 5.20807000e+05 
37 201.76 8.10052969e+04 3.96848188e+05 
38 202.57 6.22897930e+04 3.05161313e+05 
39 203.39 4.80965664e+04 2.35628984e+05 
40 204.20 3.79385234e+04 1.85864953e+05 
41 205.01 3.01737246e+04 1.47825359e+05 
42 205.82 2.35898906e+04 1.15571289e+05 
43 206.64 1.87094043e+04 9.16618906e+04 
44 207.45 1.51195146e+04 7.40750938e+04 
45 208.26 1.21015840e+04 5.92903125e+04 
46 209.07 9.79525684e+03 4.79916602e+04 
47 209.88 7.91531494e+03 3.87818633e+04 
48 210.70 6.41153467e+03 3.14148770e+04 
49 211.51 5.33595020e+03 2.61456094e+04 
50 212.32 4.34450684e+03 2.12885488e+04 
51 213.13 3.58431763e+03 1.75643984e+04 
52 213.95 2.97194922e+03 1.45644180e+04 
53 214.76 2.49114844e+03 1.22089844e+04 
54 215.57 2.08208105e+03 1.02049707e+04 
55 216.38 1.76395422e+03 8.64647461e+03 
56 217.19 1.47592102e+03 7.23540576e+03 
57 218.01 1.25950549e+03 6.17519092e+03 
58 218.82 1.05030518e+03 5.15032275e+03 
59 219.63 9.03890320e+02 4.43303906e+03 
60 220.44 7.72217773e+02 3.78797803e+03 
61 221.26 6.63351318e+02 3.25464331e+03 
62 222.07 5.72085754e+02 2.80753540e+03 
63 222.88 4.91326630e+02 2.41189819e+03 
64 223.69 4.23343170e+02 2.07884863e+03 
65 224.50 3.70288940e+02 1.81893689e+03 
66 225.32 3.23470245e+02 1.58957312e+03 
67 226.13 2.82072235e+02 1.38419873e+03 
68 226.94 2.46256851e+02 1.20433655e+03 
69 227.75 2.19478531e+02 1.07421252e+03 
70 228.56 1.92874924e+02 9.43938843e+02 
71 229.38 1.70046402e+02 8.32197754e+02 
72 230.19 1.51864471e+02 7.43058838e+02 
73 231.00 1.33280563e+02 6.51875244e+02 
74 231.81 1.21730362e+02 5.96003662e+02 
75 232.63 1.05773346e+02 5.18309753e+02 
76 233.44 9.44606552e+01 4.64948792e+02 
